capture,actorId,instanceName,baseClass,classPath,zoneTag,x,y,z,rotation,hadInstantiate,hadAddActor
gridania_to_coerthas.pcapng,0x50e0f32b,pplStd_fst0Fld01_0m@09600,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Fld01,394.230,4.970,-782.400,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f331,funguarLess_fst0Fld01_PU@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,369.132,5.610,-720.556,1.8378,true,true
gridania_to_coerthas.pcapng,0x50e0f334,funguarLess_fst0Fld01_N0@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,369.529,5.605,-692.194,-1.7105,true,true
gridania_to_coerthas.pcapng,0x50e0f335,funguarLess_fst0Fld01_PS@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,350.230,4.280,-696.280,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f338,miningPoint_fst0Fld01_0I@09600,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld01,336.650,5.590,-679.850,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f33b,pplStd_fst0Fld01_0q@09600,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Fld01,328.620,4.340,-646.330,2.0500,true,true
gridania_to_coerthas.pcapng,0x50e0f33c,hareStd_fst0Fld01_Kz@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,273.949,7.766,-706.239,0.6192,true,true
gridania_to_coerthas.pcapng,0x50e0f33d,hareStd_fst0Fld01_KE@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,265.336,7.830,-687.287,-0.2105,true,true
gridania_to_coerthas.pcapng,0x50e0f341,hareStd_fst0Fld01_kg@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,239.894,5.654,-699.997,-1.8597,true,true
gridania_to_coerthas.pcapng,0x50e0f342,hareStd_fst0Fld01_Km@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,227.247,4.850,-700.015,-1.7695,true,true
gridania_to_coerthas.pcapng,0x50e0f343,hareStd_fst0Fld01_3s@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,214.062,4.609,-710.695,-2.1675,true,true
gridania_to_coerthas.pcapng,0x50e0f345,hareStd_fst0Fld01_Kx@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,196.247,4.506,-707.791,-1.4275,true,true
gridania_to_coerthas.pcapng,0x50e0f348,hareStd_fst0Fld01_z9@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,169.002,4.452,-695.091,0.6786,true,true
gridania_to_coerthas.pcapng,0x50e0f349,hareStd_fst0Fld01_1V@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,164.368,4.723,-701.102,-2.1499,true,true
gridania_to_coerthas.pcapng,0x50e0f34b,hareStd_fst0Fld01_kf@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,140.984,7.732,-708.613,-1.4464,true,true
gridania_to_coerthas.pcapng,0x50e0f34c,hareStd_fst0Fld01_2j@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,129.800,10.517,-712.264,2.4677,true,true
gridania_to_coerthas.pcapng,0x50e0f355,chigoeLesse_fst0Fld01_MT@09600,ChigoeLesserStandard,/Chara/Npc/Monster/Chigoe/ChigoeLesserStandard,fst0Fld01,68.500,23.500,-739.740,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f356,pplStd_fst0Fld01_0a@09600,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Fld01,55.130,21.300,-708.950,2.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f359,chigoeLesse_fst0Fld01_Ia@09600,ChigoeLesserStandard,/Chara/Npc/Monster/Chigoe/ChigoeLesserStandard,fst0Fld01,36.068,21.047,-741.482,-1.0908,true,true
gridania_to_coerthas.pcapng,0x50e0f35b,miningPoint_fst0Fld01_0V@09600,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld01,17.880,21.370,-709.740,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f35c,funguarLess_fst0Fld01_2w@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,39.781,22.055,-762.614,2.9081,true,true
gridania_to_coerthas.pcapng,0x50e0f35d,chigoeLesse_fst0Fld01_I4@09600,ChigoeLesserStandard,/Chara/Npc/Monster/Chigoe/ChigoeLesserStandard,fst0Fld01,36.508,22.055,-764.378,-2.9298,true,true
gridania_to_coerthas.pcapng,0x50e0f36c,hareStd_fst0Fld01_KC@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,-97.047,4.561,-769.431,-2.6598,true,true
gridania_to_coerthas.pcapng,0x50e0f36e,miningPoint_fst0Fld01_0Q@09600,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld01,-121.900,0.470,-776.350,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f36f,hareStd_fst0Fld01_2a@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,-131.697,0.256,-764.712,-0.6278,true,true
gridania_to_coerthas.pcapng,0x50e0f370,miningPoint_fst0Fld01_0Z@09600,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld01,-133.150,-0.730,-787.970,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f37a,funguarLess_fst0Fld01_MS@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-208.729,5.369,-806.736,-1.7175,true,true
gridania_to_coerthas.pcapng,0x50e0f37b,funguarLess_fst0Fld01_Jd@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-201.457,5.344,-824.823,2.3546,true,true
gridania_to_coerthas.pcapng,0x50e0f37c,moleMoleStd_fst0Fld01_oR@09600,MoleMoleStandard,/Chara/Npc/Monster/Mole/MoleMoleStandard,fst0Fld01,-240.534,-8.122,-772.359,2.6789,true,true
gridania_to_coerthas.pcapng,0x50e0f37d,funguarLess_fst0Fld01_ls@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-248.287,-8.085,-760.019,-1.1424,true,true
gridania_to_coerthas.pcapng,0x50e0f37e,petitghostL_fst0Fld01_oS@09600,PetitghostLesserStandard,/Chara/Npc/Monster/Petitghost/PetitghostLesserStandard,fst0Fld01,-256.258,-7.733,-765.837,-3.1038,true,true
gridania_to_coerthas.pcapng,0x50e0f384,hareStd_fst0Fld01_NI@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,-273.762,5.484,-835.048,1.9231,true,true
gridania_to_coerthas.pcapng,0x50e0f38c,petitghostL_fst0Fld01_1v@09600,PetitghostLesserStandard,/Chara/Npc/Monster/Petitghost/PetitghostLesserStandard,fst0Fld01,-252.204,0.679,-918.597,0.2941,true,true
gridania_to_coerthas.pcapng,0x50e0f38e,chigoeLesse_fst0Fld01_Bl@09600,ChigoeLesserStandard,/Chara/Npc/Monster/Chigoe/ChigoeLesserStandard,fst0Fld01,-323.714,4.620,-772.130,0.6193,true,true
gridania_to_coerthas.pcapng,0x50e0f38f,chigoeLesse_fst0Fld01_Bm@09600,ChigoeLesserStandard,/Chara/Npc/Monster/Chigoe/ChigoeLesserStandard,fst0Fld01,-364.446,5.548,-852.747,1.6603,true,true
gridania_to_coerthas.pcapng,0x50e0f390,chigoeLesse_fst0Fld01_Bk@09600,ChigoeLesserStandard,/Chara/Npc/Monster/Chigoe/ChigoeLesserStandard,fst0Fld01,-375.102,8.183,-835.213,-1.0072,true,true
gridania_to_coerthas.pcapng,0x50e0f391,monkeyLesse_fst0Fld01_pb@09600,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld01,-375.977,5.943,-863.000,2.1204,true,true
gridania_to_coerthas.pcapng,0x50e0f397,hareStd_fst0Fld01_kP@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,-427.299,2.924,-899.337,-1.9924,true,true
gridania_to_coerthas.pcapng,0x50e0f3a4,hareStd_fst0Fld01_os@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,-512.445,8.035,-904.167,-2.0628,true,true
gridania_to_coerthas.pcapng,0x50e0f3a5,funguarLess_fst0Fld01_tC@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-513.026,6.488,-931.465,0.3486,true,true
gridania_to_coerthas.pcapng,0x50e0f3a7,funguarLess_fst0Fld01_Bz@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-524.371,5.668,-938.580,2.6070,true,true
gridania_to_coerthas.pcapng,0x50e0f3a8,funguarLess_fst0Fld01_BJ@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-518.357,8.206,-953.860,0.3997,true,true
gridania_to_coerthas.pcapng,0x50e0f3a9,funguarLess_fst0Fld01_BH@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-562.240,5.953,-903.310,-1.1357,true,true
gridania_to_coerthas.pcapng,0x50e0f3aa,funguarLess_fst0Fld01_BF@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-538.787,5.871,-954.007,2.2038,true,true
gridania_to_coerthas.pcapng,0x50e0f3ab,funguarLess_fst0Fld01_BD@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-547.722,6.341,-957.498,-3.1028,true,true
gridania_to_coerthas.pcapng,0x50e0f3c2,pplStd_fst0Fld01_0o@09600,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Fld01,-642.010,20.070,-1060.050,-1.8800,true,true
gridania_to_coerthas.pcapng,0x50e0f3c5,pplStd_fst0Fld01_0g@09600,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Fld01,-639.870,22.970,-1086.220,-2.6200,true,true
gridania_to_coerthas.pcapng,0x50e0f3c9,funguarLess_fst0Fld01_NH@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-711.732,23.630,-1084.857,1.5596,true,true
gridania_to_coerthas.pcapng,0x50e0f3ca,funguarLess_fst0Fld01_rR@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-703.961,26.143,-1099.029,-1.4854,true,true
gridania_to_coerthas.pcapng,0x50e0f3cc,funguarLess_fst0Fld01_23@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-691.415,21.925,-1125.857,2.5121,true,true
gridania_to_coerthas.pcapng,0x50e0f3ce,funguarLess_fst0Fld01_NG@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-716.421,23.553,-1083.303,1.4974,true,true
gridania_to_coerthas.pcapng,0x50e0f3cf,pplStd_fst0Fld01_0k@09600,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Fld01,-652.754,20.550,-1163.901,-1.2789,true,true
gridania_to_coerthas.pcapng,0x50e0f3d1,monkeyLesse_fst0Fld01_1x@09600,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld01,-703.938,20.792,-1165.339,1.7403,true,true
gridania_to_coerthas.pcapng,0x50e0f3d3,hareStd_fst0Fld01_NF@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,-691.021,21.438,-1190.277,0.1933,true,true
gridania_to_coerthas.pcapng,0x50e0f3de,hareStd_fst0Fld01_NE@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,-730.098,20.886,-1281.618,-0.7170,true,true
gridania_to_coerthas.pcapng,0x50e0f3ec,funguarLess_fst0Fld01_1E@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-794.407,21.762,-1333.940,0.0856,true,true
gridania_to_coerthas.pcapng,0x50e0f3ed,funguarLess_fst0Fld01_12@09600,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld01,-822.409,24.183,-1286.213,1.7120,true,true
gridania_to_coerthas.pcapng,0x50e0f410,_areaMaster@09800,ZoneMasterFstF0,,,-889.742,21.654,-1459.374,2.7832,true,true
gridania_to_coerthas.pcapng,0x50e0f423,hareStd_fst0Fld03_qJ@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-996.280,21.040,-1599.628,2.3102,true,true
gridania_to_coerthas.pcapng,0x50e0f427,monkeyLesse_fst0Fld03_30@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1026.340,22.525,-1618.152,-0.3891,true,true
gridania_to_coerthas.pcapng,0x50e0f428,monkeyLesse_fst0Fld03_CN@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1033.945,21.375,-1611.212,1.6456,true,true
gridania_to_coerthas.pcapng,0x50e0f42b,monkeyLesse_fst0Fld03_2j@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1038.237,21.773,-1649.491,-2.4322,true,true
gridania_to_coerthas.pcapng,0x50e0f42c,hareStd_fst0Fld03_hZ@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1058.905,21.014,-1625.560,-0.6516,true,true
gridania_to_coerthas.pcapng,0x50e0f42d,monkeyLesse_fst0Fld03_hY@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1044.150,22.480,-1661.370,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f42e,monkeyLesse_fst0Fld03_CP@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1083.541,22.730,-1618.056,-2.0644,true,true
gridania_to_coerthas.pcapng,0x50e0f42f,monkeyLesse_fst0Fld03_2O@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1072.177,22.985,-1649.260,-2.6741,true,true
gridania_to_coerthas.pcapng,0x50e0f436,moleMoleStd_fst0Fld03_3q@09800,MoleMoleStandard,/Chara/Npc/Monster/Mole/MoleMoleStandard,fst0Fld03,-1131.360,7.850,-1665.100,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f437,batNormalSt_fst0Fld03_3k@09800,BatNormalStandard,/Chara/Npc/Monster/Bat/BatNormalStandard,fst0Fld03,-1144.663,7.691,-1659.792,-2.3053,true,true
gridania_to_coerthas.pcapng,0x50e0f438,batNormalSt_fst0Fld03_3h@09800,BatNormalStandard,/Chara/Npc/Monster/Bat/BatNormalStandard,fst0Fld03,-1152.422,8.510,-1662.648,3.0150,true,true
gridania_to_coerthas.pcapng,0x50e0f439,miningPoint_fst0Fld03_0G@09800,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld03,-1147.090,16.310,-1705.400,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f43a,miningPoint_fst0Fld03_0t@09800,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld03,-1143.590,17.920,-1719.970,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f43b,hareStd_fst0Fld03_wB@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1133.902,18.987,-1734.639,2.0299,true,true
gridania_to_coerthas.pcapng,0x50e0f43d,pplStd_fst0Fld03_04@09800,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Fld03,-1047.550,20.600,-1744.680,-0.3800,true,true
gridania_to_coerthas.pcapng,0x50e0f43e,miningPoint_fst0Fld03_0O@09800,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld03,-1052.000,20.000,-1760.000,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f43f,pplCampMast_fst0Fld03_03@09800,PopulaceCampMaster,/Chara/Npc/Populace/PopulaceCampMaster,fst0Fld03,-1046.800,20.390,-1768.750,-0.7800,true,true
gridania_to_coerthas.pcapng,0x50e0f444,batNormalSt_fst0Fld03_3h@09800,BatNormalStandard,/Chara/Npc/Monster/Bat/BatNormalStandard,fst0Fld03,-1144.663,7.691,-1659.792,-2.3053,true,true
gridania_to_coerthas.pcapng,0x50e0f445,moleMoleStd_fst0Fld03_3q@09800,MoleMoleStandard,/Chara/Npc/Monster/Mole/MoleMoleStandard,fst0Fld03,-1204.196,20.513,-1716.752,-0.2551,true,true
gridania_to_coerthas.pcapng,0x50e0f447,monkeyLesse_fst0Fld03_Q2@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1216.760,20.969,-1691.093,2.1586,true,true
gridania_to_coerthas.pcapng,0x50e0f449,monkeyLesse_fst0Fld03_1a@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1213.207,20.323,-1666.596,1.9641,true,true
gridania_to_coerthas.pcapng,0x50e0f44a,hareStd_fst0Fld03_uv@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1200.269,33.233,-1796.272,1.9341,true,true
gridania_to_coerthas.pcapng,0x50e0f44b,monkeyLesse_fst0Fld03_Q7@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1230.295,21.855,-1666.985,-2.4396,true,true
gridania_to_coerthas.pcapng,0x50e0f44c,hareStd_fst0Fld03_1T@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1268.049,20.438,-1737.773,-2.2089,true,true
gridania_to_coerthas.pcapng,0x50e0f44d,hareStd_fst0Fld03_uw@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1206.465,32.294,-1802.370,2.6587,true,true
gridania_to_coerthas.pcapng,0x50e0f44e,funguarLess_fst0Fld03_vb@09800,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld03,-1281.431,33.003,-1692.868,-3.1398,true,true
gridania_to_coerthas.pcapng,0x50e0f451,funguarLess_fst0Fld03_v8@09800,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld03,-1278.311,33.148,-1673.873,2.7623,true,true
gridania_to_coerthas.pcapng,0x50e0f452,funguarLess_fst0Fld03_vc@09800,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld03,-1278.648,33.148,-1671.249,0.2112,true,true
gridania_to_coerthas.pcapng,0x50e0f453,funguarLess_fst0Fld03_vd@09800,FunguarLesserStandard,/Chara/Npc/Monster/Funguar/FunguarLesserStandard,fst0Fld03,-1297.329,32.405,-1671.062,-0.7692,true,true
gridania_to_coerthas.pcapng,0x50e0f455,miningPoint_fst0Fld03_0u@09800,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld03,-1307.110,33.500,-1800.260,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f45a,miningPoint_fst0Fld03_0u@09800,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld03,-1307.110,33.500,-1800.260,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f45b,hareStd_fst0Fld03_1C@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1389.238,21.550,-1723.651,2.4190,true,true
gridania_to_coerthas.pcapng,0x50e0f45c,hareStd_fst0Fld03_uy@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1397.374,7.582,-1740.961,1.6673,true,true
gridania_to_coerthas.pcapng,0x50e0f45d,batNormalSt_fst0Fld03_3u@09800,BatNormalStandard,/Chara/Npc/Monster/Bat/BatNormalStandard,fst0Fld03,-1402.591,8.087,-1726.130,0.2513,true,true
gridania_to_coerthas.pcapng,0x50e0f45e,monkeyLesse_fst0Fld03_1v@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1415.770,21.379,-1738.245,-0.5402,true,true
gridania_to_coerthas.pcapng,0x50e0f45f,hareStd_fst0Fld03_uA@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1418.853,21.896,-1766.134,-1.3478,true,true
gridania_to_coerthas.pcapng,0x50e0f460,monkeyLesse_fst0Fld03_2K@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1434.130,22.480,-1733.520,0.0000,true,true
gridania_to_coerthas.pcapng,0x50e0f461,monkeyLesse_fst0Fld03_2u@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1437.235,21.023,-1765.955,1.4524,true,true
gridania_to_coerthas.pcapng,0x50e0f464,chigoeLesse_fst0Fld03_16@09800,ChigoeLesserStandard,/Chara/Npc/Monster/Chigoe/ChigoeLesserStandard,fst0Fld03,-1459.466,21.743,-1746.141,0.9647,true,true
gridania_to_coerthas.pcapng,0x50e0f465,miningPoint_fst0Fld03_0K@09800,MiningPoint,/Chara/Npc/Object/MiningPoint,fst0Fld03,-1440.576,22.102,-1785.275,-1.6703,true,true
gridania_to_coerthas.pcapng,0x50e0f466,monkeyLesse_fst0Fld03_2Q@09800,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld03,-1462.398,21.389,-1782.175,-3.0096,true,true
gridania_to_coerthas.pcapng,0x50e0f467,hareStd_fst0Fld03_XZ@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1405.851,32.632,-1808.325,2.9163,true,true
gridania_to_coerthas.pcapng,0x50e0f468,hareStd_fst0Fld03_uB@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1405.902,32.632,-1811.000,0.0482,true,true
gridania_to_coerthas.pcapng,0x50e0f46b,hareStd_fst0Fld03_1o@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1512.923,19.429,-1791.881,-2.2111,true,true
gridania_to_coerthas.pcapng,0x50e0f46e,hareStd_fst0Fld03_O2@09800,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld03,-1520.590,33.233,-1729.384,2.0747,true,true
