ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,npc_name,race,clan,gender,occupation,affiliation,zones,locations,map_coords,npc_type,sells,source
Aylard,177377,2012-05-05T18:34:02Z,0,Aylard,Hyur,Highlander,Male,Merchant,Limsa Lominsa,Limsa Lominsa,The Astalicia,4-7,,{{Sells|Weathered War Axe|840}} {{Sells|Bronze Labrys|33696}} {{Sells|Iron Bill|100464}} {{Sells|Steel Bhuj|198900}} {{Sells|Dodoskin Pot Helm|13395}} {{Sells|Bronze Barbut|31416}} {{Sells|Iron Elmo|99792}} {{Sells|Steel Barbut|239316}} {{Sells|Hempen Tunic|780}} {{Sells|Dodoskin Harness|44880}} {{Sells|Iron Scale Mail|142560}} {{Sells|Boarskin Harness|341880}} {{Sells|Hempen Breeches|234}} {{Sells|Dodoskin Subligar|13464}} {{Sells|Cotton Kecks|35935}} {{Sells|Boarskin Subligar|102564}} {{Sells|Sheepskin Mitts|6697}} {{Sells|Bronze Mitt Gauntlets|15708}} {{Sells|Iron Vambraces|33264}} {{Sells|Steel Mitt Gauntlets|119658}} {{Sells|Sheepskin Shoes|192}} {{Sells|Dodoskin Caligae|17952}} {{Sells|Iron-plated Jackboots|31449}} {{Sells|Steel-plated Caligae|136752}},ge-npc-pages
Ayled,483337,2010-12-20T22:44:40Z,0,Ayled,Hyur,Midlander,Female,Quartermaster,Gridania,Central Shroud,Camp Bentbranch,32-33,,,ge-npc-pages
Aylufa,189877,2012-06-23T01:08:20Z,0,Aylufa,,,,Merchant,,Upper La Noscea,Camp Iron Lake,22-7,,"{{Sells|Warped Arrow|2}} {{Sells|Lugworm|2}} {{Sells|Moth Pupa|2}} {{Sells|Mineral Water|60}} {{Sells|Orange Juice|168}} {{Sells|Salt Cod|84}} {{Sells|Eye Drops|1,463}} {{Sells|Boiled Egg|112}} {{Sells|Potion|650}} {{Sells|Throat Drops|7,400}} {{Sells|Dawn Drops|2,850}} {{Sells|Blood Drops|413}} {{Sells|Grade 1 Dark Matter|50}} {{Sells|Grade 2 Dark Matter|300}} {{Sells|Grade 3 Dark Matter|700}} {{Sells|Grade 4 Dark Matter|1,500}} {{Sells|Grade 5 Dark Matter|3500}}",ge-npc-pages
B'konbalha,474949,2012-05-09T17:23:11Z,0,B'konbalha,Miqo'te,Seekers of the Sun,Female,Merchant,Gridania,Gridania,The Knot,6-5,,"{{Sells|Desert Saffron|3,715}} {{Sells|Cloves|479}} {{Sells|Carnation|1,331}} {{Sells|Chamomile|7,603}} {{Sells|Lavender|2,253}} {{Sells|Honey|43}} {{Sells|Sunflower Seeds|58}} {{Sells|Flax|2,287}}",ge-npc-pages
B'mallpa,347087,2010-10-02T15:51:32Z,0,B'mallpa,Miqo'te,Keepers of the Moon,Female,,Limsa Lominsa,Limsa Lominsa,Upper Decks,7-6,,,ge-npc-pages
B'nhapla,347174,2012-05-10T18:40:50Z,0,B'nhapla,Miqo'te,Seekers of the Sun,Female,,Limsa Lominsa,Limsa Lominsa,Coral Tower,6-2,,,ge-npc-pages
Babaki,169572,2012-04-29T17:42:32Z,0,Babaki,Lalafell,,Female,,Ul'dah,Ul'dah,Frondale's Phrontistery,5-6,,,ge-npc-pages
Baby-faced Adventurer,347233,2010-08-25T01:38:19Z,0,Baby-faced Adventurer,Hyur,Midlander,Male,,,Limsa Lominsa Opening,,,Instance,,ge-npc-pages
Baderon,217473,2012-05-04T19:34:47Z,0,Baderon Tenfingers,Hyur,Midlanders,Male,Tavernkeeper,Limsa Lominsa,Limsa Lominsa,The Drowning Wench,7-5,,,ge-npc-pages
Baenryss,284966,2012-05-13T19:43:00Z,0,Baenryss,Roegadyn,Sea Wolves,Male,,Limsa Lominsa,Lower La Noscea,Moraby Bay,28-33,,,ge-npc-pages
Baenskylt,258575,2012-05-05T20:33:03Z,0,Baenskylt,Roegadyn,Sea Wolf,Male,,Limsa Lominsa,Eastern La Noscea,Bloodshore,30-21,,,ge-npc-pages
Bald Knoll Battlewarden,483846,2011-07-29T15:04:25Z,0,Bald Knoll Battlewarden,Lalafell,,Male,Battlewarden,,Camp Bald Knoll,,6-16,,,ge-npc-pages
Bamponcet,90353,2011-09-30T19:24:39Z,0,Bamponcet,Elezen,,Male,,Limsa Lominsa,Limsa Lominsa,Ferry Docks,3-5,Instance,,ge-npc-pages
Bango Zango,410972,2012-08-06T00:02:11Z,0,Bango Zango,Lalafell,,Male,,,Limsa Lominsa,Upper Decks,7-6,,,ge-npc-pages
Bardo,237684,2011-04-27T01:26:59Z,0,Bardo,Hyur,Midlander,Male,,,Central Shroud,,33-37,Instance,,ge-npc-pages
Baritone Pirate,347285,2010-08-11T21:44:34Z,0,Baritone Pirate,Lalafell,,Male,,,Limsa Lominsa,Coral Tower,2-6,Cutscene,,ge-npc-pages
Barnabaix,482655,2012-06-01T23:42:04Z,0,Barnabaix,Elezen,Wildwood Elezen,Male,,Ul'dah,Ul'dah,Sunsilk Tapestries,7-6,,,ge-npc-pages
Barracuda Knight,347399,2010-08-11T22:03:11Z,0,Wildwood Elezen,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Limsa Lominsa,Coral Tower,2-6,Cutscene,,ge-npc-pages
Barryn (1.0),473538,2011-10-06T11:33:53Z,0,Barryn,Hyur,Midlander,Male,Merchant,Ul'dah,Ul'dah,Sapphire Avenue Exchange,7-4,,"{{Sells|Weathered Saw|660}} {{Sells|Bronze Claw Hammer|14,784}} {{Sells|Maple Lumber|1,350}} {{Sells|Ash Lumber|3,024}} {{Sells|Elm Lumber|4,500}} {{Sells|Walnut Lumber|6,750}}",ge-npc-pages
Bartholomew,29805,2011-07-22T07:34:26Z,0,Bartholomew,Hyur,Midlander,Male,,,Western Thanalan,The Coffer & Coffin,9-27,,,ge-npc-pages
Basewin,474537,2012-05-07T17:28:23Z,0,Basewin,Hyur,Highlander,Male,,Gridania,Gridania,Carline Canopy,6-6,,,ge-npc-pages
Baterich,481659,2010-10-02T19:29:11Z,0,Baterich,Hyur,Midlander,Female,,Ul'dah,Ul'dah,Merchant Strip,7-4,,,ge-npc-pages
Bayard,447023,2012-05-05T18:42:30Z,0,Bayard,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,The Astalicia,4-7,,,ge-npc-pages
Bearded Rock Battlewarden,478847,2011-05-21T19:32:15Z,0,Bearded Rock Battlewarden,Lalafell,Plainsfolk,Male,Battlewarden,Limsa Lominsa,Camp Bearded Rock,,25-29,,,ge-npc-pages
Beaudefoin,477512,2012-03-24T18:39:56Z,0,Beaudefoin,Elezen,Duskwight Elezen,Male,Merchant,Gridania,Gridania,Ebony Stalls,7-3,,{{Sells|Midland Cabbage|1688}} {{Sells|Sun Lemon|898}} {{Sells|Rolanberry|4526}} {{Sells|Wizard Eggplant|1566}} {{Sells|Ramhorn Zucchini|527}} {{Sells|Ruby Tomato|675}} {{Sells|Salt Leek|2664}} {{Sells|Jade Peas|1546}},ge-npc-pages
Beaudonet,366738,2012-05-07T17:03:55Z,0,Beaudonet,Elezen,Wildwood Elezen,Male,,Gridania,Gridania,Airship Landing,6-6,,,ge-npc-pages
Beauteous Beauty,309192,2012-05-26T07:05:19Z,0,Beauteous Beauty,Miqo'te,Keepers of the Moon,Female,,Ul'dah,Ul'dah,Eshtaime's Lapidaries,6-6,Instance,,ge-npc-pages
Beleaguered Botanist,331362,2011-12-27T04:09:29Z,0,Beleaguered Botanist,Lalafell,,Male,,,,,,Instance,,ge-npc-pages
Beli,503155,2011-03-04T04:07:15Z,0,Beli,Hyur,Midlander,Male,,Gridania,Gridania,Atelier Fen-Yll,7-3,,,ge-npc-pages
Bellinda,63816,2010-09-20T19:20:31Z,0,Bellinda,Hyur,Midlander,Female,,Ala Mhigo,Eastern Thanalan,Little Ala Mhigo,32-38,,,ge-npc-pages
Belmont,297663,2012-05-20T16:27:27Z,0,Belmont,Hyur,Midlander,Male,,Gridania,South Shroud,Tranquil Paths,38-49,,"{{Sells|Gysahl Greens|2,250}}",ge-npc-pages
Beltardois,510144,2010-11-08T07:11:50Z,0,Beltardois,Elezen,Wildwood Elezen,Male,,,Mor Dhona,Camp Revenant's Toll,,,,ge-npc-pages
Benedict,468811,2012-06-01T23:38:42Z,0,Benedict,Hyur,Midlander,Male,Merchant,Ul'dah,Central Thanalan,Camp Black Brush,27-26,,"{{Sells|Warped Arrow|2}} {{Sells|Lugworm|2}} {{Sells|Moth Pupa|2}} {{Sells|Mineral Water|60}} {{Sells|Eye Drops|1,463}} {{Sells|Throat Drops|7,400}} {{Sells|Dawn Drops|2,850}} {{Sells|Blood Drops|413}} {{Sells|Marmot Steak|216}} {{Sells|Boiled Egg|112}} {{Sells|Potion|650}} {{Sells|Grade 1 Dark Matter|50}} {{Sells|Grade 2 Dark Matter|300}} {{Sells|Grade 3 Dark Matter|700}} {{Sells|Grade 4 Dark Matter|1,500}} {{Sells|Grade 5 Dark Matter|3,500}}",ge-npc-pages
Beneger,297506,2012-05-20T16:15:24Z,0,Beneger,Hyur,Midlander,Male,Repair Merchant,Gridania,South Shroud,Tranquil Paths,38-49,,,ge-npc-pages
Berahthraben,63955,2010-09-20T19:21:50Z,0,Berahthraben,Hyur,Highlander,Male,,Ala Mhigo,Eastern Thanalan,Little Ala Mhigo,32-38,,,ge-npc-pages
Berndan,244813,2012-04-28T21:59:19Z,0,Berndan,Hyur,,Male,,Ul'dah,Ul'dah,The Hourglass,6-4,,,ge-npc-pages
Bernier,512342,2012-06-03T23:57:02Z,0,Bernier,Hyur,Midlander,Male,,Ul'dah,Eastern Thanalan,The Golden Bazaar,19-37,,,ge-npc-pages
Bertennant,500895,2012-05-07T17:44:03Z,0,Bertennant,Elezen,Wildwood Elezen,Male,Wood Wailer,Gridania,Gridania,,6-8,,,ge-npc-pages
Berthar,169884,2012-04-29T17:44:48Z,0,Berthar,Hyur,Highlander,Male,,Ul'dah,Ul'dah,Frondale's Phrontistery,5-6,,,ge-npc-pages
Bertouaint,28981,2011-07-22T03:45:25Z,0,Bertouaint,Elezen,Wildwood Elezen,Male,Miner,,Eastern Thanalan,Mythril Pit T-8,40-28,,,ge-npc-pages
Bertram,479980,2010-10-02T19:47:59Z,0,Bertram,Hyur,Midlander,Male,,Ul'dah,Ul'dah,The Quicksand,6-4,,,ge-npc-pages
Bertrand,361405,2012-06-14T01:51:46Z,0,Bertrand,Hyur,Midlander,Male,Yellowjacket,Limsa Lominsa,Lower La Noscea,Bearded Rock,22-29,Instance,,ge-npc-pages
Bhirsyng,326363,2012-06-03T17:00:55Z,0,Bhirsyng,Roegadyn,,Male,Chocobo Caravan Leader,Gridania,North Shroud,Treespeak,21-16,,,ge-npc-pages
Bibiraka,447963,2012-05-06T17:59:20Z,0,Bibiraka,Lalafell,Plainsfolk,Male,Yellowjacket,Limsa Lominsa,Limsa Lominsa,Lower Decks,9-5,,,ge-npc-pages
