npc_name,ge_page_title,join_pass,client_display_name,actor_id_count,actor_ids,actor_id_prefixes,race,clan,gender,occupation,affiliation,zones,map_coords
Arlth,Arlth,exact,arlth,1,1500216,15,Hyur,Midlander,Male,,Limsa Lominsa,Eastern La Noscea,36-20
Armantel,Armantel,exact,armantel,1,1001368,10,Elezen,Wildwood Elezen,Male,,,,
Arnald,Arnald,exact,arnald,1,1600003,16,Hyur,Midlander,Male,Merchant,Limsa Lominsa,Limsa Lominsa,6-5
Arnegis,Arnegis,exact,arnegis,1,1000227,10,Hyur,Midlanders,Male,Limsa Lominsa,,Limsa Lominsa,7-4
Arscelin,Arscelin,exact,arscelin,1,1001574,10,Elezen,Wildwood Elezen,Male,,,Coerthas Eastern Lowlands,63-34
Arthurioux,Arthurioux,exact,arthurioux,1,1000133,10,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Limsa Lominsa,6-2
Ascilia,Ascilia,exact,ascilia,3,1000042 1001515 1001651,10,Hyur,Midlander,Female,,Ul'dah,Ul'dah,4-7
Aspipi,Aspipi,exact,aspipi,1,1000916,10,Lalafell,,Female,,Ul'dah,Ul'dah,7-6
Astrid,Astrid (1.x),exact,astrid,1,1000180,10,Elezen,Wildwood Elezen,Female,,Limsa Lominsa,Limsa Lominsa,6-6
Astute Merchant,Astute Merchant,exact,astute merchant,1,1000446,10,Hyur,Midlander,Male,,,Limsa Lominsa Opening,
Atelloune,Atelloune,exact,atelloune,1,1500270,15,Elezen,Wildwood,Female,,Limsa Lominsa,Eastern La Noscea,36-25
Athalwolf,Athalwolf,exact,athalwolf,1,1001328,10,Hyur,Highlander,Male,,Ul'dah,Western Thanalan,35-13
Aubrenard,Aubrenard,exact,aubrenard,2,1500118 1700038,15 17,Elezen,Wildwood Elezen,Male,,Gridania,Gridania,7-4
Audaine,Audaine (1.x),exact,audaine,1,1000346,10,Elezen,Wildwood Elezen,Female,,Limsa Lominsa,Limsa Lominsa,6-5
Augustiniel,Augustiniel (1.x),exact,augustiniel,1,1500398,15,Elezen,,Male,Mercantile House Representative,Ul'dah,Ul'dahn Mercantile House,1-1
Aunillie,Aunillie,exact,aunillie,2,1000410 1002072,10,Hyur,Midlander,Female,Youngling,Gridania,Gridania,5-5
Austere Adventurer,Austere Adventurer,exact,austere adventurer,1,1000443,10,Hyur,Midlander,Male,,,,
Autgar,Autgar,exact,autgar,1,1001714,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah,2-1
Aylard,Aylard,exact,aylard,1,1600074,16,Hyur,Highlander,Male,Merchant,Limsa Lominsa,Limsa Lominsa,4-7
Ayled,Ayled,exact,ayled,1,1500094,15,Hyur,Midlander,Female,Quartermaster,Gridania,Central Shroud,32-33
Aylufa,Aylufa,exact,aylufa,1,1600142,16,,,,Merchant,,Upper La Noscea,22-7
B'konbalha,B'konbalha,exact,b'konbalha,1,1600033,16,Miqo'te,Seekers of the Sun,Female,Merchant,Gridania,Gridania,6-5
B'mallpa,B'mallpa,exact,b'mallpa,1,1000335,10,Miqo'te,Keepers of the Moon,Female,,Limsa Lominsa,Limsa Lominsa,7-6
B'nhapla,B'nhapla,exact,b'nhapla,1,1000471,10,Miqo'te,Seekers of the Sun,Female,,Limsa Lominsa,Limsa Lominsa,6-2
Babaki,Babaki,exact,babaki,1,1000643,10,Lalafell,,Female,,Ul'dah,Ul'dah,5-6
Baby-faced Adventurer,Baby-faced Adventurer,exact,baby-faced adventurer,1,1000442,10,Hyur,Midlander,Male,,,Limsa Lominsa Opening,
Baderon Tenfingers,Baderon,exact,baderon,2,1000137 9114401,10 91,Hyur,Midlanders,Male,Tavernkeeper,Limsa Lominsa,Limsa Lominsa,7-5
Baenryss,Baenryss,exact,baenryss,1,1001764,10,Roegadyn,Sea Wolves,Male,,Limsa Lominsa,Lower La Noscea,28-33
Baenskylt,Baenskylt,exact,baenskylt,1,1000364,10,Roegadyn,Sea Wolf,Male,,Limsa Lominsa,Eastern La Noscea,30-21
Bald Knoll Battlewarden,Bald Knoll Battlewarden,exact,bald knoll battlewarden,1,1500015,15,Lalafell,,Male,Battlewarden,,Camp Bald Knoll,6-16
Bamponcet,Bamponcet,exact,bamponcet,1,1001633,10,Elezen,,Male,,Limsa Lominsa,Limsa Lominsa,3-5
Bango Zango,Bango Zango,exact,bango zango,1,1001187,10,Lalafell,,Male,,,Limsa Lominsa,7-6
Bardo,Bardo,exact,bardo,1,1001580,10,Hyur,Midlander,Male,,,Central Shroud,33-37
Baritone Pirate,Baritone Pirate,exact,baritone pirate,2,1000089 1000873,10,Lalafell,,Male,,,Limsa Lominsa,2-6
Barnabaix,Barnabaix,exact,barnabaix,1,1001202,10,Elezen,Wildwood Elezen,Male,,Ul'dah,Ul'dah,7-6
Wildwood Elezen,Barracuda Knight,exact,barracuda knight,8,1000084 1000085 1000095 1000126 1000127 1000128 1000183 1000184,10,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Limsa Lominsa,2-6
Barryn,Barryn (1.0),exact,barryn,1,1600047,16,Hyur,Midlander,Male,Merchant,Ul'dah,Ul'dah,7-4
Bartholomew,Bartholomew,exact,bartholomew,1,1001598,10,Hyur,Midlander,Male,,,Western Thanalan,9-27
Basewin,Basewin,exact,basewin,1,1000435,10,Hyur,Highlander,Male,,Gridania,Gridania,6-6
Baterich,Baterich,exact,baterich,2,1500119 1700039,15 17,Hyur,Midlander,Female,,Ul'dah,Ul'dah,7-4
Bayard,Bayard,exact,bayard,2,1000190 1000555,10,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,4-7
Bearded Rock Battlewarden,Bearded Rock Battlewarden,exact,bearded rock battlewarden,1,1500013,15,Lalafell,Plainsfolk,Male,Battlewarden,Limsa Lominsa,Camp Bearded Rock,25-29
Beaudefoin,Beaudefoin,exact,beaudefoin,1,1600029,16,Elezen,Duskwight Elezen,Male,Merchant,Gridania,Gridania,7-3
Beaudonet,Beaudonet,exact,beaudonet,1,1001708,10,Elezen,Wildwood Elezen,Male,,Gridania,Gridania,6-6
Beauteous Beauty,Beauteous Beauty,exact,beauteous beauty,1,1000953,10,Miqo'te,Keepers of the Moon,Female,,Ul'dah,Ul'dah,6-6
Beli,Beli,exact,beli,1,1001077,10,Hyur,Midlander,Male,,Gridania,Gridania,7-3
Bellinda,Bellinda,exact,bellinda,1,1001330,10,Hyur,Midlander,Female,,Ala Mhigo,Eastern Thanalan,32-38
Belmont,Belmont,exact,belmont,1,1500217,15,Hyur,Midlander,Male,,Gridania,South Shroud,38-49
Beltardois,Beltardois,exact,beltardois,1,1500084,15,Elezen,Wildwood Elezen,Male,,,Mor Dhona,
Benedict,Benedict,exact,benedict,1,1600062,16,Hyur,Midlander,Male,Merchant,Ul'dah,Central Thanalan,27-26
Beneger,Beneger,exact,beneger,1,1500238,15,Hyur,Midlander,Male,Repair Merchant,Gridania,South Shroud,38-49
Berahthraben,Berahthraben,exact,berahthraben,1,1001332,10,Hyur,Highlander,Male,,Ala Mhigo,Eastern Thanalan,32-38
Berndan,Berndan,exact,berndan,1,1001953,10,Hyur,,Male,,Ul'dah,Ul'dah,6-4
Bernier,Bernier,exact,bernier,1,1001319,10,Hyur,Midlander,Male,,Ul'dah,Eastern Thanalan,19-37
Bertennant,Bertennant,exact,bertennant,1,1000071,10,Elezen,Wildwood Elezen,Male,Wood Wailer,Gridania,Gridania,6-8
Berthar,Berthar,exact,berthar,1,1001075,10,Hyur,Highlander,Male,,Ul'dah,Ul'dah,5-6
Bertouaint,Bertouaint,exact,bertouaint,1,1001600,10,Elezen,Wildwood Elezen,Male,Miner,,Eastern Thanalan,40-28
Bertram,Bertram,exact,bertram,1,1000782,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah,6-4
Bertrand,Bertrand,exact,bertrand,2,1001903 1060004,10,Hyur,Midlander,Male,Yellowjacket,Limsa Lominsa,Lower La Noscea,22-29
Bhirsyng,Bhirsyng,exact,bhirsyng,1,1500291,15,Roegadyn,,Male,Chocobo Caravan Leader,Gridania,North Shroud,21-16
Bibiraka,Bibiraka,exact,bibiraka,1,1001511,10,Lalafell,Plainsfolk,Male,Yellowjacket,Limsa Lominsa,Limsa Lominsa,9-5
Bibiroku,Bibiroku,exact,bibiroku,1,1001318,10,Lalafell,Plainsfolk,Male,,Ul'dah,Eastern Thanalan,19-38
Biddy,Biddy,exact,biddy,1,1000737,10,Hyur,Midlander,Female,,Gridania,Gridania,2-1
Big-bellied Barker,Big-bellied Barker,exact,big-bellied barker,2,1001490 1060001,10,Roegadyn,,Male,,Ul'dah,Ul'dah Opening,4-7
Bijiji,Bijiji,exact,bijiji,1,1001988,10,Lalafell,Plainsfolk,Female,Event NPC,,Limsa Lominsa,7-6
Bizarre Blacksmith,Bizarre Blacksmith,exact,bizarre blacksmith,1,1001008,10,Miqo'te,Seekers of the Sun,Female,Blacksmith,Ul'dah,,
Bizzare Blacksmith,Bizzare Blacksmith,spelling-folded,bizarre blacksmith,1,1001008,10,Miqo'te,Seeker of the Sun,Female,,Ul'dah,Lower La Noscea,20-26
Black Brush Battlewarden,Black Brush Battlewarden,exact,black brush battlewarden,1,1500023,15,Miqo'te,Seekers of the Sun,Female,Battlewarden,Ul'dah,Central Thanalan,
Blackburn,Blackburn,exact,blackburn,1,1000006,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah,4-4
Blandhem,Blandhem,exact,blandhem,1,1000672,10,Roegadyn,Hellsguard,Male,,Ul'dah,Central Thanalan,27-26
Blandie,Blandie,exact,blandie,1,1001435,10,Elezen,Wildwood Elezen,Female,,Gridania,Gridania,5-6
Blaubenn,Blaubenn,exact,blaubenn,1,1000487,10,Roegadyn,,Male,,,,
Blavier,Blavier,exact,blavier,1,1500062,15,Hyur,Highlander,Male,,Gridania,North Shroud,25-14
Bloehyr,Bloehyr,exact,bloehyr,1,1500235,15,Roegadyn,,Male,,Ul'dah,Ul'dah,6-3
Bloemerl,Bloemerl,exact,bloemerl,1,1000203,10,Roegadyn,Sea Wolves,Male,,Limsa Lominsa,Limsa Lominsa,6-6
Bloisirant,Bloisirant,exact,bloisirant,1,1001150,10,Elezen,Duskwight Elezen,Male,Wood Wailer,Gridania,South Shroud,39-44
Bloodshore Battlewarden,Bloodshore Battlewarden,exact,bloodshore battlewarden,1,1500016,15,Elezen,Wildwood Elezen,Female,Battlewarden,Limsa Lominsa,Eastern La Noscea,36-20
Bodenolf,Bodenolf,exact,bodenolf,1,1000144,10,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,7-7
Bouchard,Bouchard,exact,bouchard,1,1001055,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah,
Braitognieux,Braitognieux (1.0),exact,braitognieux,1,1500114,15,Elezen,Wildwood Elezen,Male,Repair Merchant,Limsa Lominsa,Limsa Lominsa,5-5
Bran,Bran (1.x),exact,bran,1,1001605,10,Hyur,Midlander,Male,Botanist,,Western La Noscea,7-21
Breine,Breine,exact,breine,1,1500403,15,Elezen,,Female,Mercantile House Representative,Ul'dah,Ul'dahn Mercantile House,1-1
Brianna,Brianna,exact,brianna,1,1001607,10,Hyur,Midlanders,Female,,Limsa Lominsa,Eastern La Noscea,36-25
Bricot,Bricot,exact,bricot,1,1001589,10,Hyur,Midlander,Male,Event NPC,Gridania,Gridania,6-5
Brictt,Brictt,exact,brictt,1,1000051,10,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,4-7
Broenfohc,Broenfohc,exact,broenfohc,1,1500159,15,Roegadyn,Sea Wolves,Male,Merchant,Limsa Lominsa,Spellcraft Ward,1-1
Broken Water Battlewarden,Broken Water Battlewarden,exact,broken water battlewarden,1,1500027,15,Elezen,Duskwight Elezen,Female,Battlewarden,Ul'dah,Southern Thanalan,43-40
Brooks,Brooks,other-locale,storm sergeant brooks,4,1001833 1060010 1060017 1060019,10,Hyur,Midlander,Male,,Limsa Lominsa,Upper La Noscea,32-13
Brunadier,Brunadier (1.0),exact,brunadier,1,1500009,15,Elezen,Wildwood Elezen,Male,Gatewarden,,Eastern La Noscea,36-20
Brutish Resistance Member,Brutish Resistance Member,exact,brutish resistance member,1,1000478,10,Hyur,,Female,,Ala Mhigo,,
Bubudoga,Bubudoga (1.x),exact,bubudoga,1,1000667,10,Lalafell,Dunesfolk,Female,Bard,,Coerthas Eastern Lowlands,63-35
Bubuku,Bubuku,exact,bubuku,1,1000625,10,Lalafell,Plainsfolk,Female,,Gridania,Gridania,8-5
Bubunakka,Bubunakka,exact,bubunakka,1,1500096,15,Lalafell,,Male,,Gridania,North Shroud,20-20
Buburoon,Buburoon,exact,buburoon,1,1000219,10,Qiqirn,,,,Limsa Lominsa,Limsa Lominsa,4-7
Bubusha,Bubusha,exact,bubusha,1,1001298,10,Lalafell,Plainsfolk,Female,,Limsa Lominsa,Western La Noscea,12-24
Burchard,Burchard,exact,burchard,3,1000018 1000243 1002061,10,Hyur,Midlander,Male,,Gridania,Gridania,8-2
C'ndanya,C'ndanya,exact,c'ndanya,1,1001632,10,Miqo'te,Seekers of the Sun,Female,,Limsa Lominsa,Limsa Lominsa,3-5
C'rhabye,C'rhabye,exact,c'rhabye,1,1001476,10,Miqo'te,Seekers of the Sun,Female,Dancer,Ul'dah,Ul'dah,6-6
Cahernaut,Cahernaut,exact,cahernaut,1,1000915,10,Elezen,Wildwood Elezen,Male,,Ul'dah,Ul'dah,7-5
Caplan,Caplan,exact,caplan,1,1000822,10,Hyur,Midlander,Male,,Gridania,Gridania,5-5
Careworn Rebel Warrior,Careworn Rebel Warrior,exact,careworn rebel warrior,2,1000483 1001241,10,Hyur,,Female,,Ala Mhigo,,
Carrilaut,Carrilaut,exact,carrilaut,1,1000062,10,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Limsa Lominsa,7-7
Carvallain de Gorgagne,Carvallain,exact,carvallain,1,1000147,10,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Limsa Lominsa,x-x
Caspar,Caspar,exact,caspar,1,1500077,15,Hyur,Midlander,Male,Gatewarden,Ul'dah,Southern Thanalan,40-43
Cassandra,Cassandra,exact,cassandra,1,1000464,10,Hyur,Midlander,Female,Guild Merchant,,Gridania,8-5
Cassiopeia Hollow Battlewarden,Cassiopeia Hollow Battlewarden,exact,cassiopeia hollow battlewarden,1,1500021,15,Roegadyn,Sea Wolves,Male,Battlewarden,Limsa Lominsa,Cassiopeia Hollow,7-5
Catriona,Catriona,exact,catriona,1,1001336,10,Hyur,Midlander,Female,Alchemist,Ul'dah,Eastern Thanalan,31-39
Ceadda,Ceadda (1.x),exact,ceadda,1,1000330,10,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,4-5
Ceinguled,Ceinguled,exact,ceinguled,1,1000565,10,Hyur,Midlander,Female,,Gridania,Gridania,7-2
Celie,Celie (1.x),exact,celie,1,1001323,10,Elezen,Wildwood Elezen,Female,,Ul'dah,Western Thanalan,36-13
Chachai,Chachai,exact,chachai,1,1001167,10,Lalafell,,Female,Miner,Ul'dah,Ul'dah,6-6
Chachapi,Chachapi,exact,chachapi,1,1001765,10,Lalafell,Plainsfolk,Female,,Limsa Lominsa,Lower La Noscea,28-33
Chalyo Tamlyo,Chalyo Tamlyo,exact,chalyo tamlyo,1,1000623,10,Lalafell,Plainsfolk,Male,,Gridania,Gridania,5-5
Chamberlain,Chamberlain,exact,chamberlain,1,1001295,10,Hyur,Midlander,Male,,Ul'dah,Eastern Thanalan,43-25
Chamberliaux,Chamberliaux,exact,chamberliaux,1,1001610,10,Elezen,Wildwood Elezen,Male,Farmer,Gridania,South Shroud,35-43
Chantine,Chantine (1.x),exact,chantine,1,1000275,10,Elezen,Wildwood Elezen,Female,,Limsa Lominsa,Limsa Lominsa,7-5
Charlys,Charlys,exact,charlys,1,1000138,10,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,7-3
Chaunollet,Chaunollet (1.0),exact,chaunollet,1,1000125,10,Elezen,Duskwight Elezen,Male,,,Limsa Lominsa,6-2
Chechedoba,Chechedoba,exact,chechedoba,1,1000673,10,Lalafell,Dunesfolk,Male,,Ul'dah,Central Thanalan,25-26
Cherlinaie,Cherlinaie,exact,cherlinaie,1,1000928,10,Elezen,Wildwood Elezen,Female,,Ul'dah,Ul'dah,5-5
Chichiroon,Chichiroon,exact,chichiroon,1,1000217,10,Qiqirn,,,,Limsa Lominsa,Limsa Lominsa,7-4
Chloe,Chloe,exact,chloe,1,1001175,10,Hyur,Midlander,Female,,Gridania,Gridania,8-5
Chuchumu,Chuchumu,exact,chuchumu,2,1000905 1000906,10,Lalafell,,Female,Weaver,Ul'dah,Eastern Thanalan,
Cicely,Cicely,exact,cicely,2,1000326 1700026,10 17,Hyur,Midlander,Female,Botanist,Gridania,Gridania,4-3
Ciceroix,Ciceroix,exact,ciceroix,1,1000640,10,Elezen,Wildwood Elezen,Male,,Ul'dah,Ul'dah,
Clarembald,Clarembald,exact,clarembald,1,1000462,10,Hyur,Highlander,Male,Guild Merchant,Gridania,Gridania,7-2
Claroise,Claroise,exact,claroise,1,1001192,10,Elezen,,Female,Stockist,Ul'dah,Ul'dah,5-4
Claudien,Claudian,exact,claudien,1,1500239,15,Hyur,Midlander,Male,Repair Merchant,,Coerthas Central Highlands,18-39
Clifton,Clifton,exact,clifton,1,1000199,10,Hyur,Midlanders,Male,,Limsa Lominsa,Limsa Lominsa,6-6
Colbernoux,Colbernoux,exact,colbernoux,1,1000949,10,Elezen,,Male,Goldsmith,,,
Colson,Colson,exact,colson,1,1000266,10,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,7-7
Comoere,Comoere,exact,comoere,1,1001341,10,Hyur,Highlander,Male,,Gridania,North Shroud,25-13
Conayn,Conayn,exact,conayn,1,1500150,15,Hyur,Midlander,Male,Merchant,Gridania,Battlecraft Den,1-1
Concessa,Concessa,exact,concessa,1,1000511,10,Hyur,Midlander,Female,,Gridania,Gridania,2-1
Corguevais,Corguevais,exact,corguevais,2,1000043 1001054,10,Elezen,,Male,,Ul'dah,Ul'dah,
Cornell,Cornell,exact,cornell,1,1000073,10,Elezen,Wildwood Elezen,Male,,Gridania,Gridania,2-1
Cotter,Cotter,other-locale,flame sergeant cotter,1,1001685,10,Hyur,,Male,,Ul'dah,Ul'dah,7-4
Coultenet,Coultenet,exact,coultenet,1,1001904,10,Elezen,Duskwight Elezen,Male,,Ishgard,Coerthas Central Highlands,33-35
Coynach,Coynach,exact,coynach,1,1000631,10,Hyur,Midlander,Male,Guild Merchant,,Ul'dah,5-5
Crapulous Adventurer,Crapulous Adventurer,exact,crapulous adventurer,1,1000075,10,Roegadyn,Sea Wolves,Male,,Limsa Lominsa,Limsa Lominsa,5-7
Cultivated Tender,Cultivated Tender,exact,cultivated tender,1,1000440,10,Hyur,Midlander,Male,,,Limsa Lominsa Opening,
Curious Gorge,Curious Gorge,exact,curious gorge,1,1060028,10,Roegadyn,Hellsguard,Male,,,Western Thanalan,15-33
Cweilorh,Cweilorh,exact,cweilorh,1,1500292,15,Roegadyn,Sea Wolves,Male,Chocobo Caravan Leader,Ul'dah,Eastern Thanalan,39-25
D'arimbeh,D'arimbeh,exact,d'arimbeh,1,1001325,10,Miqo'te,Seekers of the Sun,Female,,Ul'dah,Western Thanalan,36-12
D'bhonja,D'bhonja,exact,d'bhonja,1,1600089,16,Miqo'te,Seekers of the Sun,Female,Merchant,Gridania,Gridania,4-3
Daca Jinjahl,Daca Jinjahl,exact,daca jinjahl,1,1000202,10,Miqo'te,Keepers of the Moon,Female,,Limsa Lominsa,Limsa Lominsa,6-6
Dadalo,Dadalo,exact,dadalo,1,1000067,10,Lalafell,Plainsfolk,Female,,Gridania,Gridania,7-3
