mob_name,ge_page_title,join_pass,client_display_name,mob_range_actor_ids,other_range_actor_ids,client_race_id,client_race_name,client_race_block,client_plural,spawn_container,client_leve,client_quest,client_proper_name,ge_family,removed_before_arr,notorious_monster,level_low,level_high,hp_low,hp_high
Banescale Guivre,Banescale Guivre,exact,banescale guivre,2102215,,1022,Drake,,banescale guivres,persistent,,,0,Drake,0,,70,74,4333,4688
Barbatos,Barbatos,exact,barbatos,2203503,1001973,1035,Gargoyle,,Barbatos,leve-or-quest,,Always Bet on Black,1,Gargoyle,0,Yes,,,,
Bardi,Bardi,exact,bardi,2101413,,1014,Wolf/Hyena/Hellhound,,Bardi,persistent,,The Archer's Anthem,1,Wolf,0,x,42,,"19,992",
Bark Eft,Bark Eft,exact,bark eft,2101307,,1013,Salamander,,bark efts,persistent,,,0,Salamander,0,,50,54,5408,5850
Bark Weevil,Bark Weevil,exact,bark weevil,2203901,,1039,Weevil,,bark weevils,leve-or-quest,Evil Weevils,,0,Beetle,0,,3,15,56,255
Barometz,Barometz,exact,barometz,2102718,,1027,Flytrap,,Barometz,persistent,,,1,Landtrap,0,x,36,,17424,
Basilisk,Basilisk,exact,basilisk,2100709 2100710 2100711 2100712 2100719,9020002,1007,Basilisk,,basilisks,persistent,Looting the Larder,Good Vibrations,0,Basilisk,0,,75,89,6455,8506
Bastard Mite,Bastard Mite,exact,bastard mite,2301105,,1011,Crab,,bastard mites,instanced-dungeon,,,0,Diremite,0,,39,39,,
Batraal,Batraal,exact,batraal,2303501,,1035,Gargoyle,,Batraal,instanced-dungeon,,,1,Gargoyle,0,Yes,,,,
Battle Drake,Battle Drake,exact,battle drake,2102220 2102222 2102223 2102224 2102225 2202207 2202209,,1022,Drake,,battle drakes,persistent | leve-or-quest,,,0,Drake,0,,52,57,,
Battrap,Battrap,exact,battrap,2102710,,1027,Flytrap,,battraps,persistent,,,0,Landtrap,0,,45,49,1855,2007
Beady Beetle,Beady Beetle,exact,beady beetle,2103902 2103903,,1039,Weevil,,beady beetles,persistent,,,0,Beetle,0,,5,14,337,802
Bee Cloud,Bee Cloud,exact,bee cloud,2205301 2205302 2205303 2205309,,1053,Swarm,,bee clouds,leve-or-quest,,,0,Swarm,0,,5,40,76,793
Beryl Crab,Beryl Crab,exact,beryl crab,2107613,,1076,Crab,,beryl crabs,persistent,,Beryl Overboard,0,Crab,0,,20,20,,
Biast,Biast,exact,biast,2102209 2102210 2102217 2202204,6500029,1022,Drake,,biasts,persistent | leve-or-quest,,,0,Drake,0,,60,69,3558,4249
Bigmouth Orobon,Bigmouth Orobon,exact,bigmouth orobon,2104506,,1045,Angler,,bigmouth orobon,persistent,,,0,Angler,0,,40,44,1682,1819
Bile Gnat,Bile Gnat,exact,bile gnat,2200602,,1006,Gnat,,bile gnats,leve-or-quest,,,0,Gnat,0,,40,68,769,1959
Bilge-soaked Buccaneer,Bilge-soaked Buccaneer,exact,bilge-soaked buccaneer,2280211 2280212,,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",bilge-soaked buccaneers,leve-or-quest,,,0,Enemy Humanoid,0,,,,,
Bixie,Bixie,exact,bixie,2208701,,1087,キマイラ (仮),,Bixie,leve-or-quest,,,1,Chimera,0,Y,55,,,
Black Bat,Black Bat,exact,black bat,2104103 2104112,,1041,Bat,,black bats,persistent,,,0,Bat,0,,15,19,265,1061
Black Crow Cleaver,Black Crow Cleaver,exact,black crow cleaver,2180217 2180219,,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",Black Crow cleavers,persistent,,,1,Enemy Humanoid,0,,47,49,,
Black Crow Swashbuckler,Black Crow Swashbuckler,exact,black crow swashbuckler,2180214 2180218,,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",Black Crow swashbucklers,persistent,,,1,Enemy Humanoid,0,,47,49,,
Black Eft,Black Eft,exact,black eft,2101305 2101306 2101321 2101322 2101323,,1013,Salamander,,black efts,persistent,,,0,Salamander,0,,40,49,4444,5303
Black Wolf,Black Wolf (1.x),exact,black wolf,2101427 2101428,,1014,Wolf/Hyena/Hellhound,,black wolves,persistent,,,0,Wolf,0,,53,56,,
Blind Eft,Blind Eft,exact,blind eft,2101309 2101310,,1013,Salamander,,blind efts,persistent,,,0,Salamander,0,,40,44,4444,4807
Bloated Bogy,Bloated Bogy,exact,bloated bogy,2104304 2104305,,1043,Ghost,,bloated bogies,persistent,,,0,Ghost,0,,20,24,682,920
Bloated Burble,Bloated Burble,exact,bloated burble,2204404,,1044,Phurble,,bloated burbles,leve-or-quest,,,0,Snurble,0,,40,52,,
Bloodied Buccaneer,Bloodied Buccaneer,exact,bloodied buccaneer,2280203 2280204,,1802,,"pirates - buccaneers, Black Crow, Kraken, Mistbeard",bloodied buccaneers,leve-or-quest,,,0,Enemy Humanoid,0,,,,,
Bloodshore Bell,Bloodshore Bell,exact,bloodshore bell,2105403,,1054,Jellyfish,,Bloodshore bells,persistent,,,1,Aurelia,0,,20,24,751,1150
Bloodshot Eye,Bloodshot Eye,exact,bloodshot eye,2201705,,1017,Ahriman,,bloodshot eyes,leve-or-quest,Eye of the Miner | Eyeopener | Red Eye,,0,Ahriman,0,,40,52,,
Bloodthirsty Wolf,Bloodthirsty Wolf,exact,bloodthirsty wolf,2201407,,1014,Wolf/Hyena/Hellhound,,bloodthirsty wolves,leve-or-quest,,,0,Wolf,0,,1,13,152,801
Bloody Revenant,Bloody Revenant,exact,bloody revenant,2104314 2104315,,1043,Ghost,,bloody revenants,persistent,,,0,Ghost,0,,41,41,,
Blotched Mongrel,Blotched Mongrel,exact,blotched mongrel,2201414 2201415 2201416,,1014,Wolf/Hyena/Hellhound,,blotched mongrels,leve-or-quest,,,0,Wolf,0,,40,52,1590,2759
Bog Yarzon,Bog Yarzon,exact,bog yarzon,2205507,,1055,Yarzon,,bog yarzons,leve-or-quest,Yarz on Me,,0,Yarzon,0,,35,59,847,1919
Bogy,Bogy,exact,bogy,2104302 2104303 2104322 2104324 2104325 2104326 2204314,,1043,Ghost,,bogies,persistent | leve-or-quest,,,0,Ghost,0,,10,14,525,688
Bomb,Bomb (Enemy),exact,bomb,2101601 2101611 2201604,,1016,Bomb,,bombs,persistent | leve-or-quest,,,0,Bomb,0,,30,34,1645,1849
Bomb Baron,Bomb Baron,exact,bomb baron,2101610,,1016,Bomb,,bomb barons,persistent,,Lance of Fury,0,Bomb,0,x,42,,"29,988",
Bomb Ember,Bomb Ember,exact,bomb ember,2101609,,1016,Bomb,,bomb embers,persistent,,,0,Bomb,0,,30,,1645,
Bone Nix,Bone Nix,exact,bone nix,2303101,6500043,1031,Gigantoad,,bone nixes,instanced-dungeon,,,0,Toad,0,,52,52,,
Branded Drake,Branded Drake,exact,branded drake,2202202 2202203,,1022,Drake,,branded drakes,leve-or-quest,,,0,Drake,0,,40,75,1081,4781
Brimstone Bomb,Brimstone Bomb,exact,brimstone bomb,2201602,,1016,Bomb,,brimstone bomb,leve-or-quest,,,0,Bomb,0,,40,52,,
Brine Bogy,Brine Bogy,exact,brine bogy,2204305,,1043,Ghost,,brine bogies,leve-or-quest,,,0,Ghost,0,,,,,
Bristletail Marmot,Bristletail Marmot,exact,bristletail marmot,2104022,,1040,Rat,,bristletail marmots,persistent,,The Search for Sicksa,0,Rodent,0,,10,,1019,
Brutal Sheep,Brutal Sheep,exact,brutal sheep,2106022,,1060,Sheep,,brutal sheep,persistent,,,0,Ram,0,,40,43,,
Buata,Buata,exact,buata,2101515,,1015,Boar,,Buata,persistent,,,1,Boar,0,Y,55,55,,
Bumble Beetle,Bumble Beetle,exact,bumble beetle,2103901,,1039,Weevil,,bumble beetles,persistent,,,0,Beetle,0,,1,7,,
Burble,Burble,exact,burble,2104407,,1044,Phurble,,burbles,persistent,A Fine Host | Back in Back | Tapping the Spine,,0,Snurble,0,,20,22,400,450
Burned Brother,Burned Brother,exact,burned brother,2162045,,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",Burned Brothers,persistent,,,1,Amalj'aa,0,,55,,,
Buzzard,Buzzard,exact,buzzard,2101201 2101209 2201205,,1012,Vulture,,buzzards,persistent | leve-or-quest,,,0,Vulture,0,,40,44,1562,1689
Buzzing Djigga,Buzzing Djigga,exact,buzzing djigga,2105607 2105608,,1056,Chigoe,,buzzing djiggas,persistent,,,0,Chigoe,0,,40,49,1802,2150
Cactuar,Cactuar,exact,cactuar,2100901 2100902 2100911 2100914 2100915 2100916,,1009,Sabotender,,cactuars,persistent,A Leg Up | Threading the Needles,Lost in Rage,0,Cactuar,0,,20,24,887,997
Cactuar Jack,Cactuar Jack,exact,cactuar jack,2100910,,1009,Sabotender,,Cactuar Jack,persistent,,Lost in Rage,1,Cactuar,0,x,47,,26449,
Cactuar Jaques,Cactuar Jaques,exact,cactuar jaques,2200907,,1009,Sabotender,,Cactuar Jaques,leve-or-quest,,,1,Cactuar,0,Y,55,,,
Cadaverous Cockatrice,Cadaverous Cockatrice,exact,cadaverous cockatrice,2202004 2202005 2202013,,1020,Cockatrice,,cadaverous cockatrices,leve-or-quest,,,0,Cockatrice,0,,40,52,1060,2529
Canopy Galago,Canopy Galago,exact,canopy galago,2100502,,1005,Opo-opo,,canopy galagos,persistent,,,0,Opo-opo,0,,20,24,1092,1227
Canyon Condor,Canyon Condor,exact,canyon condor,2201208,,1012,Vulture,,canyon condors,leve-or-quest,,Curious Gorge Goes to the Bazaar,0,Vulture,0,,43,,,
Capricious Cassie,Capricious Cassie,exact,capricious cassie,2101011,,1010,Morbol,,Capricious Cassie,persistent,,,1,Morbol,0,Y,55,55,,
Carrier Ladybug,Carrier Ladybug,exact,carrier ladybug,2203903,,1039,Weevil,,carrier ladybugs,leve-or-quest,,,0,Beetle,0,,20,44,405,1377
Carrion Chiglet,Carrion Chiglet,exact,carrion chiglet,2205602,,1056,Chigoe,,carrion chiglets,leve-or-quest,,,0,Chigoe,0,,10,30,86,461
Carrion Chigoe,Carrion Chigoe,exact,carrion chigoe,2105603 2105604,,1056,Chigoe,,carrion chigoes,persistent,,,0,Chigoe,0,,10,19,408,928
Cassiopeia,Cassiopeia,exact,cassiopeia,2105404 2105413 2105414 2105415,,1054,Jellyfish,,cassiopeias,persistent,,,0,Aurelia,0,,20,29,868,1331
Cave Bat,Cave Bat,exact,cave bat,2104101 2104102 2104113,,1041,Bat,,cave bats,persistent,,,0,Bat,0,,5,14,673,917
Cavern Eft,Cavern Eft,exact,cavern eft,2201303 2201304 2201305,,1013,Salamander,,cavern eft,leve-or-quest,,,0,Salamander,0,,40,68,1346,2958
Cavernulous Coblyn,Cavernulous Coblyn,exact,cavernulous coblyn,2202102 2202103,,1021,Coblyn,,cavernulous coblyns,leve-or-quest,,,0,Coblyn,0,,10,26,62,813
Cell Mite,Cell Mite,exact,cell mite,2301101,,1011,Crab,,cell mites,instanced-dungeon,,,0,Diremite,0,,39,39,,
Cellar Puk,Cellar Puk,exact,cellar puk,2100109 2100110,,1001,Puk,,cellar puks,persistent,Necrologos: The Moons' Mistress,,0,Puk,0,,30,34,1279,1438
Ceruleum Generator,Ceruleum Generator,exact,ceruleum generator,2210802,1002064,1108,オブジェクト,,ceruleum generators,leve-or-quest,,,0,Unknown,0,,50,,,
Chain Bearer,Chain Bearer,exact,chain bearer,2304302,,1043,Ghost,,chain bearers,instanced-dungeon,,,0,Ghost,0,,55,55,,
Chiglet,Chiglet,exact,chiglet,2205601 2205608,,1056,Chigoe,,chiglets,leve-or-quest,Crushing Chiglets | Lack of Humours | Weevil Panic,,0,Chigoe,0,,3,15,47,213
Chigoe,Chigoe,exact,chigoe,2105601 2105602 2105609 2105612 2105613 2105614 2205610 2205611,,1056,Chigoe,,chigoes,persistent | leve-or-quest,,,0,Chigoe,0,,4,10,289,686
Chinchilla,Chinchilla,exact,chinchilla,2204010,,1040,Rat,,chinchillas,leve-or-quest,,,0,Rodent,0,,10,,,
Cinderbelly Eft,Cinderbelly Eft,exact,cinderbelly eft,2101308,,1013,Salamander,,cinderbelly efts,persistent,,,0,Salamander,0,,55,59,5967,6455
