ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,item_name,item_category,patch_introduced,required_level,optimal_level,required_rank,suits_classes,fits_races,favors_classes,requires_classes,gender_restriction,wear_durability_points,base_material,base_item,dye_colors,defense,magic_defense,damage,delay_seconds,number_of_attacks,recast_seconds,duration_seconds,blunt_attack_pct,piercing_attack_pct,slashing_attack_pct,projectile_attack_pct,evasion_bonus,magic_evasion_bonus,accuracy_bonus,magic_accuracy_bonus,attack_magic_potency_bonus,healing_magic_potency_bonus,enhancement_magic_potency_bonus,enfeebling_magic_potency_bonus,strength_bonus,vitality_bonus,dexterity_bonus,intelligence_bonus,mind_bonus,piety_bonus,hp_bonus,mp_bonus,craftsmanship_bonus,magic_craftsmanship_bonus,gathering_bonus,perception_bonus,output_bonus,has_attributes,materia_effect,meld_slots,meldable,convertible,materia_catalyst,recipe_templates_raw,stack_max,unique,untradeable,resale_price_gil,repair_class,repair_level,hq_effect,hq_bonus_attribute,description,source
Aldgoat Horn,92891,2012-04-21T17:33:32Z,0,Aldgoat Horn,Bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,576,,,,,"The large, curved horn of an aldgoat.",ge-item-pages
Aldgoat Horn Bow Grip,423365,2011-09-29T19:02:23Z,1,Aldgoat Horn Bow Grip,Weapon Grip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe |Name = Aldgoat Horn Bow Grip |Primary Skill = Goldsmithing |Primary Skill Level = 35 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Wind Crystal |Crystal 1 Amount = 1 |Crystal 2 = Earth Shard |Crystal 2 Amount = 16 |Ingredients = Aldgoat Horn, Aldgoat Horn, Wing Glue, Soot-black Buffalo Leather, Buffalo Leather Strap |Main Hand NQ = Aldgoat Horn Bow Grip |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,312,,,,,A bow grip made of aldgoat horn.,ge-item-pages
Aldgoat Horn Sword Grip,428681,2011-09-29T19:05:12Z,1,Aldgoat Horn Sword Grip,Weapon Grip,,,,25,All Classes,,,,,,Aldgoat Horn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Aldgoat Horn Sword Grip | Primary Skill = Goldsmithing | Primary Skill Level = 24 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Simple Facilities = | Guild Facilities = | Crystal 1 = Ice Shard | Crystal 1 Amount = 8 | Crystal 2 = Wind Shard | Crystal 2 Amount = 8 | Ingredients = Aldgoat Horn, Wing Glue | Main Hand NQ = Aldgoat Horn Sword Grip x 1 | Main Hand HQ+1 = | Main Hand HQ+2 = | Main Hand HQ+3 = | Off Hand NQ = | Off Hand HQ+1 = | Off Hand HQ+2 = | Off Hand HQ+3 = }}",99,,,,,,,,A polished piece of aldgoat horn used as a sword hilt.,ge-item-pages
Aldgoat Leather,276099,2012-07-06T15:49:14Z,0,Aldgoat Leather,Leather,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe |Name = Aldgoat Leather |Primary Skill = Leathercraft |Primary Skill Level = 18 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 2 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Alumen, Aldgoat Skin |Main Hand NQ = Aldgoat Leather x1 |Main Hand HQ+1 = Aldgoat Leather +1 x1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Aldgoat Leather x1 |Off Hand HQ+1 = Aldgoat Leather x2 |Off Hand HQ+2 = |Off Hand HQ+3 = }} {{Recipe |Name = Aldgoat Leather |Primary Skill = Leathercraft |Primary Skill Level = 18 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 6 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Alumen, Aldgoat Skin, Aldgoat Skin, Aldgoat Skin |Main Hand NQ = Aldgoat Leather x3 |Main Hand HQ+1 = Aldgoat Leather +1 x3 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Aldgoat Leather x3 |Off Hand HQ+1 = Aldgoat Leather x6 |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,168,,,,,A large piece of cured aldgoat skin.,ge-item-pages
Aldgoat Meat,305186,2010-09-09T20:59:39Z,0,Aldgoat Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tough meat of an Aldgoat.,ge-item-pages
Aldgoat Milk,391317,2012-03-17T02:19:07Z,0,Aldgoat Milk,Dairy Product,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,36,,,,,"The thick, creamy milk of an aldgoat nanny.",ge-item-pages
Aldgoat Salt,81516,2011-01-29T23:49:22Z,0,Aldgoat Salt,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,ge-item-pages
Aldgoat Sirloin,477055,2010-12-18T03:56:58Z,0,Aldgoat Sirloin,Other,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,ge-item-pages
Aldgoat Skin,434984,2011-02-03T19:19:05Z,0,Aldgoat Skin,Hide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,816,,,+3,,The heavy hide of an aldgoat.,ge-item-pages
Aldgoat Steak,446368,2012-05-19T03:06:20Z,0,Aldgoat Steak,Meat Dish,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe |Name = Aldgoat Steak |Primary Skill = Cooking |Primary Skill Level = 25 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Crystal 1 = Fire Shard |Crystal 1 Amount = 3 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Aldgoat Chuck, Table Salt, Garlean Garlic |Main Hand NQ = Aldgoat Steak x4 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Aldgoat Steak x4 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,97,,,,,A traditional dish of the Highland Hyur consisting of a thick cut of aldgoat chuck charred over an open flame.,ge-item-pages
Alembic of the Luminary,11419,2012-07-25T20:11:29Z,0,Alembic of the Luminary,Alchemist's Primary Tool,1.20,50,,,,,,ALC,,97600,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,,,,,,,,,,No,No,,,,Yes,Yes,1,Armorer,,,,,ge-item-pages
Alesone's Songbow,117818,2012-08-08T15:14:16Z,0,Alesone's Songbow,Archer's Arm,1.21,50,,,,,,"ARC, BRD",,190320,,,,,,95,4.1,1,,,,,,100,,,-20,,,,,,,,,,,,,,,,,,,,,,No,No,,,,Yes,,7854,Carpenter,,,,,ge-item-pages
Alkalurops,262732,2012-07-24T21:51:44Z,0,Alkalurops,Two-Handed Conjurer's Arm,1.22a,50,,,,,,CNJ,,131760,,,,,,62,4.1,1,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,Yes,Yes,,"{{Recipe | Name = Alkalurops | Primary Skill = Alchemy | Primary Skill Level = 55 | Crystal 1 = Water Cluster | Crystal 1 Amount = 1 | Crystal 2 = Lightning Cluster | Crystal 2 Amount = 1 | Ingredients = Flawless Suspended Trillium Flower, Darksteel Nugget, Spruce Lumber, Spruce Lumber | Main Hand NQ = Alkalurops | Main Hand HQ+1 = | Off Hand NQ = Alkalurops | Off Hand HQ+1 = }}",,,,,Alchemist,,Magic Accuracy+10,,,ge-item-pages
All-purpose Black Dye,287643,2012-07-06T15:49:26Z,0,All-purpose Black Dye,Dye,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,32,,,,,"A labor saving black dye, used to color anything from cloth to metal.",ge-item-pages
All-purpose Blue Dye,265898,2012-07-06T15:49:23Z,0,All-purpose Blue Dye,Dye,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,32,,,,,"A labor saving blue dye, used to color anything from cloth to metal.",ge-item-pages
All-purpose Brown Dye,287710,2012-07-06T15:49:28Z,0,All-purpose Brown Dye,Dye,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,32,,,,,"A labor saving brown dye, used to color anything from cloth to metal.",ge-item-pages
All-purpose Grey Dye,253905,2012-07-06T15:49:31Z,0,All-purpose Grey Dye,Dye,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,32,,,,,"A labor-saving grey dye, used for coloring anything from cloth to metal.",ge-item-pages
All-purpose Purple Dye,287564,2012-07-06T15:49:36Z,0,All-purpose Purple Dye,Dye,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,32,,,,,"A labor saving purple dye, used to color anything from cloth to metal.",ge-item-pages
All-purpose Red Dye,255538,2012-07-06T15:49:40Z,0,All-purpose Red Dye,Dye,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,32,,,,,"A labor-saving red dye, used for coloring anything from cloth to metal.",ge-item-pages
All-purpose White Dye,288087,2012-07-06T15:49:42Z,0,All-purpose White Dye,Dye,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,32,,,,,"A labor-saving white dye, used for coloring anything from cloth to metal.",ge-item-pages
All-purpose Yellow Dye,284965,2012-07-06T15:49:44Z,0,All-purpose Yellow Dye,Dye,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,32,,,,,"A labor-saving yellow dye, used for coloring anything from cloth to metal.",ge-item-pages
Allagan Band,338976,2012-06-25T15:44:11Z,0,Allagan Band,Miscellany,1.22b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An old, weathered ring carved with ancient runes thought to be of Allagan origin.",ge-item-pages
Allagan Runestone - Althyk,27447,2010-12-23T19:14:18Z,0,Allagan Runestone - Althyk,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Althyk the Keeper.",ge-item-pages
Allagan Runestone - Azeyma,27716,2010-12-23T19:11:52Z,0,Allagan Runestone - Azeyma,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Azeyma, the Warden.",ge-item-pages
Allagan Runestone - Byregot,27874,2010-12-27T10:37:01Z,0,Allagan Runestone - Byregot,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Byregot the Builder.",ge-item-pages
Allagan Runestone - Halone,28018,2010-12-23T19:12:13Z,0,Allagan Runestone - Halone,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Halone the Fury.",ge-item-pages
Allagan Runestone - Llymlaen,27590,2010-12-23T19:12:24Z,0,Allagan Runestone - Llymlaen,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Llymlaen the Navigator.",ge-item-pages
Allagan Runestone - Menphina,28326,2010-12-23T19:12:47Z,0,Allagan Runestone - Menphina,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Menphina the Lover.",ge-item-pages
Allagan Runestone - Nald'thal,28454,2010-12-23T19:12:48Z,0,Allagan Runestone - Nald'thal,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Nald'thal the Traders.",ge-item-pages
Allagan Runestone - Nophica,28583,2010-12-23T19:12:51Z,0,Allagan Runestone - Nophica,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Nophica the Matron.",ge-item-pages
Allagan Runestone - Nymeia,28836,2010-12-23T19:13:00Z,0,Allagan Runestone - Nymeia,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Nymeia the Spinner.",ge-item-pages
Allagan Runestone - Oschon,28991,2011-03-06T03:04:49Z,0,Allagan Runestone - Oschon,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Oschon the Wanderer.",ge-item-pages
Allagan Runestone - Rhalgr,28179,2010-12-27T10:34:06Z,0,Allagan Runestone - Rhalgr,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Rhalgr the Destroyer.",ge-item-pages
Allagan Runestone - Thaliak,28721,2011-03-06T02:57:13Z,0,Allagan Runestone - Thaliak,Gemstone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,"A small, smoothed stone featuring in its center a single carved symbol representing Thaliak the Scholar.",ge-item-pages
Allagan Snail,69943,2012-05-12T04:14:41Z,0,Allagan Snail,Freshwater Fare,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,10,,,,,A giant snail believed to have been bred for consumption during the reign of the Great Allagan Empire.,ge-item-pages
Alligator Garfish,145596,2012-05-05T00:54:17Z,0,Alligator Garfish,Freshwater Fare,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,278,,,,,"A legendary freshwater fish said to have a head not unlike that of an alligator, complete with rows of razor-sharp teeth.",ge-item-pages
Alligator Pear,482159,2012-05-09T05:04:22Z,0,Alligator Pear,Fruit,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,70,,,,,"A soft, green fruit, also known as “shroud butter.” Though not thought to be indigenous to Eorzea, it is not certain how the plant first came to the realm.",ge-item-pages
Alligator Salad,73488,2012-07-21T13:32:24Z,0,Alligator Salad,Vegetable Dish,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe |Name = Alligator Salad |Primary Skill = Cooking |Primary Skill Level = 29 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Crystal 1 = Water Shard |Crystal 1 Amount = 3 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Alligator Pear, Gridanian Walnut, Paprika, Table Salt, Dark Vinegar, Olive Oil, Blue Cheese, Sun Lemon |Main Hand NQ = Alligator Salad x4 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Alligator Salad x4 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,86,,,,,A simple salad made from slices of alligator pear tossed in dark vinegar.,ge-item-pages
Almonds,482466,2012-07-13T14:57:30Z,0,Almonds,Spice,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,58,,,,,"A tear-shaped nut which can be eaten whole, or pressed for its fragrant oil.",ge-item-pages
Aloe,481839,2012-05-06T06:43:06Z,0,Aloe,Vegetable,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,50,,,,,"A thick, spiny-leaved cactus indigenous to the southern continent of Meracydia. The Miqo'te are known to treat severe burns with the cool gel-like substance found inside the leaves.",ge-item-pages
Alpine Parsnip,495436,2012-05-09T00:27:13Z,0,Alpine Parsnip,Vegetable,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,27,,,,,"A round, leafy vegetable which prefers the steady climate of the Black Shroud.",ge-item-pages
Alpine War Jacket,379727,2012-07-11T18:21:10Z,0,Alpine War Jacket,War Garb,1.18,50,,,,,,Discipline of War,,33360,,,,156,,,,,,,,,,,,1,,,,,,,3,3,3,,,,24,,,,,,,,,,n,Yes,,,,y,y,1,Leatherworker,,,,,ge-item-pages
Althyk's Ring,46328,2012-08-15T21:08:56Z,0,Althyk's Ring,Ring,1.23a,,1,,All Classes,,,,,6900,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,yes,yes,,Goldsmith,1,,,,ge-item-pages
Alumen,367645,2012-04-30T04:58:36Z,0,Alumen,Reagent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,76,,,,,A white mineral used by leatherworkers to tan animal hides. It also has deodorizing properties.,ge-item-pages
Alumina Salts,338053,2012-06-25T15:40:50Z,0,Alumina Salts,Stone,1.22b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A fine-grain form of the mineral alumina found in the stomach of the Chimera of Cutter's Cry. It is believed the creature grinds chunks of alumina ore with its powerful jaws and swallows the resulting powder to use as a catalyst for its firey breath.,ge-item-pages
Amajina Silver Nuggets,261917,2012-05-09T05:17:56Z,0,Amajina Silver Nuggets,Quest Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,A collection of pure silver nuggets excavated by Amajina & Sons Mineral Concern.,ge-item-pages
Amber,485900,2012-05-16T16:19:51Z,0,Amber,Gemstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Recipe | Name = Amber | Primary Skill = Goldsmithing | Primary Skill Level = 40 |Crystal 1 = Wind Shard |Crystal 1 Amount = 3 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Raw Amber |Main Hand NQ = Amber x1 |Main Hand HQ+1 = Amber +1 x1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Amber x1 |Off Hand HQ+1 = Amber x2 |Off Hand HQ+2 = |Off Hand HQ+3 = }},99,,,1500,,,,,A yellow jewel.,ge-item-pages
Amber Bracelet,68503,2012-07-20T21:11:36Z,0,Amber Bracelets,Bracelets,1.21,48,,,All Classes,,,,,6900,,,,8,,,,,,,,,,,,,,,,,,,,3,,,,,,15,,,,,,,,,No,Yes,,"{{Recipe |Name = Amber Bracelets |Primary Skill = Goldsmithing |Primary Skill Level = 52 |Crystal 1 = Wind Shard |Crystal 1 Amount = 6 |Crystal 2 = Fire Shard |Crystal 2 Amount = 6 |Ingredients = Electrum Ingot, Amber, Amber |Main Hand NQ = Amber Bracelets |Main Hand HQ+1 = Amber Bracelets +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Amber Bracelets |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,4214,Goldsmith,,,Vitality,,ge-item-pages
Amber Choker,80175,2012-07-20T21:11:48Z,0,Amber Choker,Necklace,1.21,48,,,All Classes,,,,,6900,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,No,Yes,,"{{Recipe |Name = Amber Choker |Primary Skill = Goldsmithing |Primary Skill Level = 52 |Crystal 1 = Wind Shard |Crystal 1 Amount = 6 |Crystal 2 = Fire Shard |Crystal 2 Amount = 6 |Ingredients = Electrum Ingot, Amber |Main Hand NQ = Amber Choker |Main Hand HQ+1 = Amber Choker +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Amber Choker |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,3626,Goldsmith,,,Earth Magic Potency,,ge-item-pages
