client_table,column_index,client_type,rows_populated,distinct_values,field_name,ge_field,confidence,evidence,matching_rows,comparable_rows,match_rate,runner_up,note,top_values
armor,128,s16,3599,1,bonus_slot_4_value,,structural,bonus-slot value (unused),,,,,unused slot 4 of armor's bonus run; empty on every 1.23b row,0(3599)
equipment,69,s32,4875,24,equip_kind,,high,slot enum vs GE item_category,,,,,"0 not equippable, 2 shield, 5 throwing, 6 ammunition, 9 head, 10 undershirt, 11 body, 12 undergarment, 13 legs, 14 hands, 15 feet, 16 waist, 17 neck, 36 one-handed, 37 two-handed, 38 bow, 39/40 crafter and gatherer tools, 42/43/44 multi-slot garments, 45 wrists, 47 ears, 49 ring. It is the item kind, not the socket: the repair menu in populaceItemRepairer.csv enumerates 19 sockets, and only the 8 armour ids map to one each - 4 accessory kinds fill 9 sockets and 8 weapon kinds fill Main and Off Hand",9(795) 11(783) 13(494) 15(477)
equipment,70,s8,4875,25,race_gender_restriction,,high,xtx_tribe id + GE fits_races,,,,,"three bands, all 25 values corroborated by GE. 0-15 are ids straight out of xtx_tribe.csv, which is gender-specific: 0 Clanless (not equippable), 1/2 Midlander male/female, 3 Highlander Male, 4/5 Wildwood, 6/7 Duskwight, 8/9 Plainsfolk, 10/11 Dunesfolk, 12 Seeker of the Sun Female, 13 Keeper of the Moon Female, 14 Sea Wolf Male, 15 Hellsguard Male. 16-23 are race-level rather than clan-level: 18/19 Elezen male/female, 20/21 Lalafell male/female, 22 Roegadyn, 23 Miqo'te, with 16/17 unused where Hyur would fall by position. Then 27/28 all races male/female and 29 unrestricted. GE names the clan or race in fits_races and the gender in gender_restriction on every populated value, with no disagreement",29(4254) 0(393) 1(20) 2(20)
equipment,71,s16,4875,5,set_bonus_condition,,high,dedicated slot,,,,,"the condition of a conditional bonus, not a generic bonus slot: only 4 ids ever appear, and all four are named in xtx_text_paramName - 16007/16008/16009 are the Storm, Serpent and Flame gear counts, each string ending in '([@VALUE($E8(1))] or more pieces): ', and 16010 is Sanction, a timed Grand Company buff bestowed on rank by the officer in populaceCompanyBuffer.csv, whose row 11 calls it enhancing spells cast on gear specially crafted to harbor them - so this column is how an item declares itself sanction-ready, which is why its threshold is a flag at 1 and not a piece count",-1(4620) 16009(74) 16008(74) 16007(74)
equipment,72,s16,4875,6,set_bonus_threshold,,high,dedicated slot,,,,,"how many pieces the 16xxx set condition needs, graded 2-5; the parameter name itself carries a [@VALUE] slot for it. 0 on the 162 plain city-gear rows, which count toward a set without granting a bonus of their own, and 1 on the Sanction rows",0(4782) 1(33) 3(23) 5(16)
equipment,73,s16,4875,26,set_bonus_param,,high,dedicated slot,,,,,the attribute the 71/72 condition grants. All 93 carriers also carry 71/72 and none appears without it,-1(4782) 15018(16) 15016(10) 15001(9)
equipment,74,s16,4875,22,set_bonus_value,,high,dedicated slot,,,,,"amount the condition grants. GE lists it on no item: of the 44 rows whose attribute has a trusted GE field, GE is silent on 42 and disagrees on 2",0(4782) 30(14) 60(8) 10(8)
equipment,75,s32,4875,21,,,structural,bonus-slot id (param),,,,,decoded into the param:* virtual rows,-1(4555) 1015063(243) 20026(35) 20013(8)
equipment,76,s16,4875,2,,,structural,bonus-slot value (param),,,,,decoded into the param:* virtual rows,0(4632) 3(243)
equipment,77,s32,4875,38,hq_bonus_param,hq_bonus_attribute,high,dedicated slot,594,599,0.9925,,"the high-quality bonus, not a generic bonus slot: set on exactly the 1,574 items that have one, and the attribute GE names for the HQ version; GE cross-check hq_bonus_attribute 0.9925",-1(3301) 15008(114) 15001(108) 15007(107)
equipment,78,s16,4875,18,hq_bonus_value,,high,dedicated slot,,,,,"magnitude of the hq_bonus_param attribute, the amount HQ adds over normal quality",0(3011) 1(1027) 10(294) 2(215)
equipment,79,s32,4875,93,,,structural,bonus-slot id (param),,,,,decoded into the param:* virtual rows,-1(1087) 15001(638) 15017(422) 15002(330)
equipment,80,s16,4875,73,,hp_bonus,structural,bonus-slot value (param),507,531,0.9548,mp_bonus 0.8217,decoded into the param:* virtual rows; GE cross-check hp_bonus 0.9548,0(1122) 1(359) 3(277) 10(274)
equipment,81,s32,4875,71,,,structural,bonus-slot id (param),,,,,decoded into the param:* virtual rows,-1(1707) 15029(270) 15005(241) 15006(209)
equipment,82,s16,4875,53,,output_bonus,structural,bonus-slot value (param),105,140,0.7500,,decoded into the param:* virtual rows; GE cross-check output_bonus 0.7500,0(1707) 2(443) 1(383) 3(359)
equipment,83,s32,4875,55,,,structural,bonus-slot id (param),,,,,decoded into the param:* virtual rows,-1(3215) 15017(173) 15029(162) 15009(123)
equipment,84,s16,4875,36,,,structural,bonus-slot value (param),,,,,decoded into the param:* virtual rows,0(3215) 2(228) 3(217) 4(207)
equipment,85,s32,4875,36,,,structural,bonus-slot id (param),,,,,decoded into the param:* virtual rows,-1(4348) 15031(77) 15029(66) 15030(44)
equipment,86,s16,4875,62,,,structural,bonus-slot value (param),,,,,decoded into the param:* virtual rows,0(4185) 1(82) 3(51) 5(48)
equipment,87,s32,4875,31,,,structural,bonus-slot id (param),,,,,decoded into the param:* virtual rows,-1(4687) 15031(35) 15033(23) 15007(15)
equipment,88,s16,4875,33,,,structural,bonus-slot value (param),,,,,decoded into the param:* virtual rows,0(4583) 5(56) 7(37) 10(31)
equipment,89,s32,4875,18,,,structural,bonus-slot id (param),,,,,decoded into the param:* virtual rows,-1(4828) 15029(7) 15020(5) 15028(5)
equipment,90,s16,4875,20,,,structural,bonus-slot value (param),,,,,decoded into the param:* virtual rows,0(4785) 3(16) 5(15) 10(11)
equipment,137,s16,4875,15,additional_effect_id,,medium,_item.0 AdditionalEffectEquipItem,,,,,"nonzero on 31 rows, every one a weapon, values 1001-1023. Named from the client's own class: 7 of the 8 rows whose _item.0 is Normal/AdditionalEffectEquipItem carry a distinct value here (the Dated Paralyzing/Poison/Blinding/Silencing/Sleeping Dagger and the Smothering/Disabling Baghnakhs; Dated Maddening Dagger is the exception at 0). The other 23 carriers are StandardItem and share values by family - 1002 on all 7 Ifrit weapons, 1006 on all 7 Garuda, 1021/1022 across the Moogle weapons - with Flametongue 1001, Frostbite 1003 and Curtana 1023 unique. Competing reading: a weapon-series id rather than an effect id would fit the family sharing just as well; the class name and the elemental-proc weapons carrying unique values are what favour the effect reading. Medium, not high, because the table these ids key into is not in the client-data dump, so no effect can be resolved by name",0(4844) 1002(7) 1006(7) 1021(5)
equipment,138,bool,4875,2,meldable,meldable,high,numeric-skew-lift,2722,2731,0.9967,,skew base 0.7327 lift 0.9877,false(3192) true(1683)
equipment,139,s16,4875,91,equip_category,,medium,item type / equipment category,,,,,"an item-type / equipment-category code, not a slot: 1-10 weapon by class (Hora 1, sword 2, axe 3, polearm 4, bow 5, shield 6, wand 7, staff 10), 11-21 and 28-38 crafting/gathering tool type, 22-27 armor slot (head 22, body 23, hands 24, legs 25, feet 26, waist 27), 39-42 accessory slot (wrist 39, ear 40, neck 41, ring 42); arrows and thrown weapons are 0, with ammunition/throwing keyed in equipment.69 (arrow 6, thrown 5, bow 38) not here; the 43-91 tail is near-unique per relic/primal/notorious item (Ifrit's Cane 46, Garuda's Gaze 76), purpose unsettled",0(1558) 23(674) 22(595) 25(407)
equipment,param:15001,slot,674,60,HP,hp_bonus,client-named,xtx_text_paramName id 15001,530,530,1.0000,,GE cross-check hp_bonus 1.0000,15(53) 10(42) 30(35) 20(30)
equipment,param:15002,slot,520,46,MP,mp_bonus,client-named,xtx_text_paramName id 15002,314,314,1.0000,,GE cross-check mp_bonus 1.0000,10(45) 20(38) 15(36) 24(34)
equipment,param:15004,slot,351,14,Strength,strength_bonus,client-named,xtx_text_paramName id 15004,269,269,1.0000,,GE cross-check strength_bonus 1.0000,2(89) 1(67) 3(62) 4(42)
equipment,param:15005,slot,434,18,Vitality,vitality_bonus,client-named,xtx_text_paramName id 15005,306,306,1.0000,mind_bonus 0.7600,GE cross-check vitality_bonus 1.0000,3(90) 2(87) 1(67) 4(48)
equipment,param:15006,slot,500,11,Dexterity,dexterity_bonus,client-named,xtx_text_paramName id 15006,333,334,0.9970,,GE cross-check dexterity_bonus 0.9970,2(125) 3(125) 1(94) 4(54)
equipment,param:15007,slot,338,17,Intelligence,intelligence_bonus,client-named,xtx_text_paramName id 15007,184,185,0.9946,,GE cross-check intelligence_bonus 0.9946,1(80) 2(76) 3(48) 5(37)
equipment,param:15008,slot,364,17,Mind,mind_bonus,client-named,xtx_text_paramName id 15008,247,250,0.9880,vitality_bonus 0.7600,GE cross-check mind_bonus 0.9880,2(82) 3(66) 1(66) 4(35)
equipment,param:15009,slot,358,13,Piety,piety_bonus,client-named,xtx_text_paramName id 15009,222,222,1.0000,,GE cross-check piety_bonus 1.0000,1(83) 2(81) 3(69) 4(45)
equipment,param:15010,slot,42,15,Fire Resistance,,client-named,xtx_text_paramName id 15010,,,,,,5(9) 15(7) 10(6) 3(4)
equipment,param:15011,slot,30,13,Ice Resistance,,client-named,xtx_text_paramName id 15011,,,,,,10(5) 5(4) 7(4) 4(3)
equipment,param:15012,slot,46,14,Wind Resistance,,client-named,xtx_text_paramName id 15012,,,,,,1(11) 15(7) 10(6) 5(4)
equipment,param:15013,slot,41,14,Earth Resistance,,client-named,xtx_text_paramName id 15013,,,,,,1(10) 10(5) 2(5) 5(4)
equipment,param:15014,slot,27,13,Lightning Resistance,,client-named,xtx_text_paramName id 15014,,,,,,10(6) 5(4) 7(3) 4(3)
equipment,param:15015,slot,60,13,Water Resistance,,client-named,xtx_text_paramName id 15015,,,,,,3(18) 2(11) 10(7) 5(6)
equipment,param:15016,slot,297,26,Accuracy,accuracy_bonus,client-named,xtx_text_paramName id 15016,244,245,0.9959,,GE cross-check accuracy_bonus 0.9959,5(57) 2(41) 3(27) 4(26)
equipment,param:15017,slot,814,25,Evasion,evasion_bonus,client-named,xtx_text_paramName id 15017,604,604,1.0000,,GE cross-check evasion_bonus 1.0000,1(138) 2(115) 5(88) 6(74)
equipment,param:15018,slot,293,26,Attack Power,,client-named,xtx_text_paramName id 15018,,,,,,4(43) 5(40) 3(32) 7(24)
equipment,param:15019,slot,10,6,Defense,,client-named,xtx_text_paramName id 15019,,,,,,5(5) 3(1) 4(1) 30(1)
equipment,param:15020,slot,108,20,Critical Hit Rating,,client-named,xtx_text_paramName id 15020,,,,,,15(17) 10(14) 5(12) 3(9)
equipment,param:15021,slot,2,2,Critical Hit Evasion,,client-named,xtx_text_paramName id 15021,,,,,,10(1) 2(1)
equipment,param:15022,slot,19,7,Critical Hit Attack Power,,client-named,xtx_text_paramName id 15022,,,,,,10(7) 40(4) 30(2) 20(2)
equipment,param:15023,slot,2,2,Critical Hit Resilience,,client-named,xtx_text_paramName id 15023,,,,,,10(1) 2(1)
equipment,param:15024,slot,178,23,Attack Magic Potency,attack_magic_potency_bonus,client-named,xtx_text_paramName id 15024,149,149,1.0000,,GE cross-check attack_magic_potency_bonus 1.0000,2(25) 3(23) 10(20) 6(18)
equipment,param:15025,slot,62,16,Healing Magic Potency,healing_magic_potency_bonus,client-named,xtx_text_paramName id 15025,34,35,0.9714,,GE cross-check healing_magic_potency_bonus 0.9714,3(13) 15(12) 5(9) 10(7)
equipment,param:15026,slot,5,4,Enhancement Magic Potency,enhancement_magic_potency_bonus,client-named,xtx_text_paramName id 15026,4,5,0.8000,,GE cross-check enhancement_magic_potency_bonus 0.8000,5(2) 10(1) 15(1) 4(1)
equipment,param:15027,slot,6,4,Enfeebling Magic Potency,enfeebling_magic_potency_bonus,client-named,xtx_text_paramName id 15027,5,5,1.0000,,GE cross-check enfeebling_magic_potency_bonus 1.0000,15(3) 20(1) 10(1) 5(1)
equipment,param:15028,slot,194,20,Magic Accuracy,magic_accuracy_bonus,client-named,xtx_text_paramName id 15028,138,138,1.0000,,GE cross-check magic_accuracy_bonus 1.0000,5(39) 4(22) 6(22) 10(19)
equipment,param:15029,slot,663,17,Magic Evasion,magic_evasion_bonus,client-named,xtx_text_paramName id 15029,468,473,0.9894,,GE cross-check magic_evasion_bonus 0.9894,1(160) 2(98) 8(62) 6(59)
equipment,param:15030,slot,492,23,Craftsmanship,craftsmanship_bonus,client-named,xtx_text_paramName id 15030,297,297,1.0000,,GE cross-check craftsmanship_bonus 1.0000,15(43) 11(40) 10(40) 9(39)
equipment,param:15031,slot,523,23,Magic Craftsmanship,magic_craftsmanship_bonus,client-named,xtx_text_paramName id 15031,323,326,0.9908,,GE cross-check magic_craftsmanship_bonus 0.9908,5(44) 9(42) 8(41) 1(41)
equipment,param:15032,slot,341,21,Control,,client-named,xtx_text_paramName id 15032,,,,,,4(45) 11(32) 8(30) 3(25)
equipment,param:15033,slot,326,23,Gathering,gathering_bonus,client-named,xtx_text_paramName id 15033,197,197,1.0000,,GE cross-check gathering_bonus 1.0000,14(27) 16(25) 24(22) 8(22)
equipment,param:15034,slot,322,22,Output,output_bonus,client-named,xtx_text_paramName id 15034,138,140,0.9857,,GE cross-check output_bonus 0.9857,13(36) 12(35) 10(30) 15(29)
equipment,param:15035,slot,232,21,Perception,perception_bonus,client-named,xtx_text_paramName id 15035,158,160,0.9875,,GE cross-check perception_bonus 0.9875,15(22) 3(21) 6(20) 18(19)
equipment,param:15036,slot,64,23,Magic Critical Hit Rating,,client-named,xtx_text_paramName id 15036,,,,,,7(7) 15(6) 20(6) 13(5)
equipment,param:15037,slot,3,3,Magic Critical Hit Evasion,,client-named,xtx_text_paramName id 15037,,,,,,5(1) 10(1) 15(1)
equipment,param:15038,slot,7,5,Magic Critical Hit Potency,,client-named,xtx_text_paramName id 15038,,,,,,5(2) 22(2) 120(1) 35(1)
equipment,param:15040,slot,80,11,Parry,,client-named,xtx_text_paramName id 15040,,,,,,1(25) 10(12) 5(10) 2(9)
equipment,param:15041,slot,9,4,Block Rate,,client-named,xtx_text_paramName id 15041,,,,,,10(5) 5(2) 15(1) 3(1)
equipment,param:15042,slot,1,1,Block,,client-named,xtx_text_paramName id 15042,,,,,,5(1)
equipment,param:15043,slot,15,12,Fire Magic Potency,,client-named,xtx_text_paramName id 15043,,,,,,4(2) 9(2) 20(2) 11(1)
equipment,param:15044,slot,14,11,Ice Magic Potency,,client-named,xtx_text_paramName id 15044,,,,,,20(3) 7(2) 11(1) 10(1)
equipment,param:15045,slot,16,14,Wind Magic Potency,,client-named,xtx_text_paramName id 15045,,,,,,3(2) 20(2) 11(1) 6(1)
equipment,param:15046,slot,14,12,Earth Magic Potency,,client-named,xtx_text_paramName id 15046,,,,,,20(3) 11(1) 8(1) 10(1)
equipment,param:15047,slot,17,12,Lightning Magic Potency,,client-named,xtx_text_paramName id 15047,,,,,,10(3) 5(2) 15(2) 20(2)
equipment,param:15048,slot,16,11,Water Magic Potency,,client-named,xtx_text_paramName id 15048,,,,,,20(3) 11(2) 4(2) 5(2)
equipment,param:15049,slot,3,2,Regen,,client-named,xtx_text_paramName id 15049,,,,,,5(2) 1(1)
equipment,param:15050,slot,13,4,Refresh,,client-named,xtx_text_paramName id 15050,,,,,,-3(6) 1(5) 5(1) 3(1)
equipment,param:15051,slot,2,2,Store TP,,client-named,xtx_text_paramName id 15051,,,,,,30(1) 40(1)
equipment,param:15052,slot,50,24,Enmity,,client-named,xtx_text_paramName id 15052,,,,,,-15(6) 10(5) -30(4) 1(4)
equipment,param:15058,slot,9,1,Increased Spiritbond Gain,,client-named,xtx_text_paramName id 15058,,,,,,1(9)
equipment,param:15076,slot,5,3,Paralysis Resistance,,client-named,xtx_text_paramName id 15076,,,,,,10(3) 20(1) 1(1)
equipment,param:15077,slot,2,2,Silence Resistance,,client-named,xtx_text_paramName id 15077,,,,,,10(1) 3(1)
equipment,param:15078,slot,4,3,Blind Resistance,,client-named,xtx_text_paramName id 15078,,,,,,1(2) 10(1) 3(1)
equipment,param:15079,slot,4,2,Poison Resistance,,client-named,xtx_text_paramName id 15079,,,,,,10(3) 3(1)
equipment,param:15080,slot,1,1,Stun Resistance,,client-named,xtx_text_paramName id 15080,,,,,,1(1)
equipment,param:15081,slot,3,3,Sleep Resistance,,client-named,xtx_text_paramName id 15081,,,,,,5(1) 10(1) -1(1)
equipment,param:15083,slot,1,1,Heavy Resistance,,client-named,xtx_text_paramName id 15083,,,,,,10(1)
equipment,param:15102,slot,1,1,Conserve MP,,client-named,xtx_text_paramName id 15102,,,,,,50(1)
equipment,param:15103,slot,3,1,Spell Interrupt Resistance,,client-named,xtx_text_paramName id 15103,,,,,,50(3)
equipment,param:15104,slot,9,1,Double Down Odds,,client-named,xtx_text_paramName id 15104,,,,,,10(9)
equipment,param:15105,slot,4,1,HQ Discovery Rate,,client-named,xtx_text_paramName id 15105,,,,,,10(4)
equipment,param:16004,slot,5,3,HP 75% or lower: Increases critical hit attack power,,client-named,xtx_text_paramName id 16004,,,,,,60(3) 30(1) 20(1)
equipment,param:16006,slot,3,1,HP 75% or lower: Increases potency of critical hits,,client-named,xtx_text_paramName id 16006,,,,,,50(3)
equipment,param:16007,slot,74,5,Storm gear ([@VALUE($E8(1))] or more pieces):,,client-named,xtx_text_paramName id 16007,,,,,,0(54) 3(8) 5(5) 4(4)
equipment,param:16008,slot,74,5,Serpent gear ([@VALUE($E8(1))] or more pieces):,,client-named,xtx_text_paramName id 16008,,,,,,0(54) 3(8) 5(5) 4(4)
equipment,param:16009,slot,74,5,Flame gear ([@VALUE($E8(1))] or more pieces):,,client-named,xtx_text_paramName id 16009,,,,,,0(54) 3(7) 5(6) 4(4)
equipment,param:16010,slot,33,1,Sanction:,,client-named,xtx_text_paramName id 16010,,,,,,1(33)
equipment,param:20001,slot,1,1,Level ～10: EXP bonus,,client-named,xtx_text_paramName id 20001,,,,,,0(1)
equipment,param:20002,slot,1,1,Level ～10:  Halves Weakness and Brink of Death durations,,client-named,xtx_text_paramName id 20002,,,,,,0(1)
equipment,param:20003,slot,1,1,Level ～10: Enhances main arm,,client-named,xtx_text_paramName id 20003,,,,,,0(1)
equipment,param:20004,slot,1,1,Temporarily increases movement speed,,client-named,xtx_text_paramName id 20004,,,,,,0(1)
equipment,param:20005,slot,1,1,"Chance to inflict Silence, Poison",,client-named,xtx_text_paramName id 20005,,,,,,0(1)
equipment,param:20006,slot,1,1,"Chance to inflict Paralysis, Poison",,client-named,xtx_text_paramName id 20006,,,,,,0(1)
equipment,param:20007,slot,1,1,Chance to inflict Paralysis,,client-named,xtx_text_paramName id 20007,,,,,,0(1)
equipment,param:20009,slot,1,1,Chance to inflict Poison,,client-named,xtx_text_paramName id 20009,,,,,,0(1)
equipment,param:20010,slot,1,1,Chance to inflict Blind,,client-named,xtx_text_paramName id 20010,,,,,,0(1)
equipment,param:20011,slot,1,1,Chance to inflict Silence,,client-named,xtx_text_paramName id 20011,,,,,,0(1)
equipment,param:20012,slot,1,1,Chance to inflict Sleep,,client-named,xtx_text_paramName id 20012,,,,,,0(1)
equipment,param:20013,slot,8,1,Chance to inflict fire damage,,client-named,xtx_text_paramName id 20013,,,,,,0(8)
equipment,param:20014,slot,1,1,Chance to inflict ice damage,,client-named,xtx_text_paramName id 20014,,,,,,0(1)
equipment,param:20015,slot,7,1,Chance to inflict wind damage,,client-named,xtx_text_paramName id 20015,,,,,,0(7)
equipment,param:20024,slot,5,1,Chance to restore HP,,client-named,xtx_text_paramName id 20024,,,,,,0(5)
equipment,param:20025,slot,3,1,Chance to restore MP,,client-named,xtx_text_paramName id 20025,,,,,,0(3)
equipment,param:20026,slot,35,1,Cannot equip gear to head,,client-named,xtx_text_paramName id 20026,,,,,,0(35)
equipment,param:20027,slot,1,1,"Cannot equip gear to hands, legs, and feet",,client-named,xtx_text_paramName id 20027,,,,,,0(1)
equipment,param:20028,slot,6,1,Cannot equip gear to feet,,client-named,xtx_text_paramName id 20028,,,,,,0(6)
equipment,param:20029,slot,1,1,Recovers MP during Cover,,client-named,xtx_text_paramName id 20029,,,,,,0(1)
equipment,param:20030,slot,1,1,Increases HP recovery of Holy Succor,,client-named,xtx_text_paramName id 20030,,,,,,0(1)
equipment,param:20031,slot,1,1,Increases HP recovery of Divine Veil,,client-named,xtx_text_paramName id 20031,,,,,,0(1)
equipment,param:20032,slot,1,1,Reduces Collusion recast,,client-named,xtx_text_paramName id 20032,,,,,,0(1)
equipment,param:20033,slot,1,1,Enhances Antagonize,,client-named,xtx_text_paramName id 20033,,,,,,0(1)
equipment,param:20034,slot,1,1,Redirects magic damage during Vengeance,,client-named,xtx_text_paramName id 20034,,,,,,0(1)
equipment,param:20035,slot,1,1,Conserves MP cost of Fist actions,,client-named,xtx_text_paramName id 20035,,,,,,0(1)
equipment,param:20036,slot,1,1,Enhances Fists of Wind,,client-named,xtx_text_paramName id 20036,,,,,,0(1)
equipment,param:20037,slot,1,1,Reduces Shoulder Tackle recast,,client-named,xtx_text_paramName id 20037,,,,,,0(1)
equipment,param:20038,slot,1,1,Enhances Ballads,,client-named,xtx_text_paramName id 20038,,,,,,0(1)
equipment,param:20039,slot,1,1,Enhances Paeons,,client-named,xtx_text_paramName id 20039,,,,,,0(1)
equipment,param:20040,slot,1,1,Enhances Minuets,,client-named,xtx_text_paramName id 20040,,,,,,0(1)
equipment,param:20041,slot,1,1,Reduces Jump recast,,client-named,xtx_text_paramName id 20041,,,,,,0(1)
equipment,param:20042,slot,1,1,Enhances Elusive Jump,,client-named,xtx_text_paramName id 20042,,,,,,0(1)
equipment,param:20043,slot,1,1,Increases TP during Invigorate,,client-named,xtx_text_paramName id 20043,,,,,,0(1)
equipment,param:20044,slot,1,1,Enhances Regen,,client-named,xtx_text_paramName id 20044,,,,,,0(1)
equipment,param:20045,slot,1,1,Reduces Presence of Mind recast,,client-named,xtx_text_paramName id 20045,,,,,,0(1)
equipment,param:20046,slot,1,1,Enhances Cure,,client-named,xtx_text_paramName id 20046,,,,,,0(1)
equipment,param:20047,slot,1,1,Reduces Convert recast,,client-named,xtx_text_paramName id 20047,,,,,,0(1)
equipment,param:20048,slot,1,1,Reduces Resonance recast,,client-named,xtx_text_paramName id 20048,,,,,,0(1)
equipment,param:20049,slot,1,1,Enhances Excruciate,,client-named,xtx_text_paramName id 20049,,,,,,0(1)
equipment,param:20050,slot,1,1,Increases Spirits Within damage,,client-named,xtx_text_paramName id 20050,,,,,,0(1)
equipment,param:20051,slot,1,1,Increases Shoulder Tackle damage,,client-named,xtx_text_paramName id 20051,,,,,,0(1)
equipment,param:20052,slot,1,1,Reduces Vengeance recast,,client-named,xtx_text_paramName id 20052,,,,,,0(1)
equipment,param:20053,slot,1,1,Increases Jump damage,,client-named,xtx_text_paramName id 20053,,,,,,0(1)
equipment,param:20054,slot,1,1,Increases song duration,,client-named,xtx_text_paramName id 20054,,,,,,0(1)
equipment,param:20055,slot,1,1,Increases Holy damage,,client-named,xtx_text_paramName id 20055,,,,,,0(1)
equipment,param:20056,slot,1,1,Increases Flare damage over time,,client-named,xtx_text_paramName id 20056,,,,,,0(1)
equipment,param:20057,slot,7,1,Inhibits main arm spiritbond,,client-named,xtx_text_paramName id 20057,,,,,,0(7)
equipment,param:1015001,slot,10,7,HP,,client-named-offset,paramName id 15001 + 1000000,,,,,"consumable on-use effect: 10 carriers, 0 on gear, 0 also carry the flat id; magnitude unit not established, and in the same range as the flat HP bonus on gear",5(3) 6(2) 15(1) 13(1)
equipment,param:1015002,slot,6,6,MP,,client-named-offset,paramName id 15002 + 1000000,,,,,"consumable on-use effect: 6 carriers, 0 on gear, 0 also carry the flat id; magnitude unit not established, and in the same range as the flat MP bonus on gear",15(1) 5(1) 7(1) 6(1)
equipment,param:1015004,slot,10,7,Strength,,client-named-offset,paramName id 15004 + 1000000,,,,,"consumable on-use effect: 10 carriers, 0 on gear, 0 also carry the flat id; magnitude unit not established, and in the same range as the flat Strength bonus on gear",7(2) 3(2) 5(2) 4(1)
equipment,param:1015005,slot,14,7,Vitality,,client-named-offset,paramName id 15005 + 1000000,,,,,"consumable on-use effect: 14 carriers, 0 on gear, 0 also carry the flat id; magnitude unit not established, and in the same range as the flat Vitality bonus on gear",3(4) 7(3) 4(2) 5(2)
equipment,param:1015006,slot,11,7,Dexterity,,client-named-offset,paramName id 15006 + 1000000,,,,,"consumable on-use effect: 11 carriers, 0 on gear, 0 also carry the flat id; magnitude unit not established, and in the same range as the flat Dexterity bonus on gear",5(3) 3(3) 7(1) 4(1)
equipment,param:1015007,slot,22,7,Intelligence,,client-named-offset,paramName id 15007 + 1000000,,,,,"consumable on-use effect: 22 carriers, 0 on gear, 0 also carry the flat id; magnitude unit not established, and in the same range as the flat Intelligence bonus on gear",3(9) 5(4) 4(4) 7(2)
equipment,param:1015008,slot,13,7,Mind,,client-named-offset,paramName id 15008 + 1000000,,,,,"consumable on-use effect: 13 carriers, 0 on gear, 0 also carry the flat id; magnitude unit not established, and in the same range as the flat Mind bonus on gear",7(3) 3(3) 4(3) 5(1)
equipment,param:1015009,slot,13,7,Piety,,client-named-offset,paramName id 15009 + 1000000,,,,,"consumable on-use effect: 13 carriers, 0 on gear, 0 also carry the flat id; magnitude unit not established, and in the same range as the flat Piety bonus on gear",3(4) 5(3) 7(2) 4(1)
