materia_row_id,grade_item_ids,grade_item_names,primary_param_id,primary_param,primary_magnitudes,second_param_id,second_param,second_magnitudes,grade_icon_ids,meld_target_count,meld_targets
15,10100057 10100058 10100059 10100060,Vestryman's Faith Materia I | Vestryman's Faith Materia II | Vestryman's Faith Materia III | Vestryman's Faith Materia IV,15008,Mind,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,15009,Piety,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,61652 61653 61654 61655,1,Legs
16,10100061 10100062 10100063 10100064,Fire Materia I | Fire Materia II | Fire Materia III | Fire Materia IV,15043,Fire Magic Potency,2 4 6 8 9 10 11 12 13 15 17 20 22 25 27 30,,,,61656 61657 61658 61659,4,Feet | Pugilist's Arm | Two-Handed Conjurer's Arm | Two-Handed Thaumaturge's Arm
17,10100065 10100066 10100067 10100068,Ice Materia I | Ice Materia II | Ice Materia III | Ice Materia IV,15044,Ice Magic Potency,2 4 6 8 9 10 11 12 13 15 17 20 22 25 27 30,,,,61656 61657 61658 61659,4,Feet | Pugilist's Arm | Two-Handed Conjurer's Arm | Two-Handed Thaumaturge's Arm
18,10100069 10100070 10100071 10100072,Wind Materia I | Wind Materia II | Wind Materia III | Wind Materia IV,15045,Wind Magic Potency,2 4 6 8 9 10 11 12 13 15 17 20 22 25 27 30,,,,61656 61657 61658 61659,4,Feet | Pugilist's Arm | Two-Handed Conjurer's Arm | Two-Handed Thaumaturge's Arm
19,10100073 10100074 10100075 10100076,Earth Materia I | Earth Materia II | Earth Materia III | Earth Materia IV,15046,Earth Magic Potency,2 4 6 8 9 10 11 12 13 15 17 20 22 25 27 30,,,,61656 61657 61658 61659,4,Feet | Pugilist's Arm | Two-Handed Conjurer's Arm | Two-Handed Thaumaturge's Arm
20,10100077 10100078 10100079 10100080,Lightning Materia I | Lightning Materia II | Lightning Materia III | Lightning Materia IV,15047,Lightning Magic Potency,2 4 6 8 9 10 11 12 13 15 17 20 22 25 27 30,,,,61656 61657 61658 61659,4,Feet | Pugilist's Arm | Two-Handed Conjurer's Arm | Two-Handed Thaumaturge's Arm
21,10100081 10100082 10100083 10100084,Water Materia I | Water Materia II | Water Materia III | Water Materia IV,15048,Water Magic Potency,2 4 6 8 9 10 11 12 13 15 17 20 22 25 27 30,,,,61656 61657 61658 61659,4,Feet | Pugilist's Arm | Two-Handed Conjurer's Arm | Two-Handed Thaumaturge's Arm
22,10100085 10100086 10100087 10100088,Fire Veil Materia I | Fire Veil Materia II | Fire Veil Materia III | Fire Veil Materia IV,15010,Fire Resistance,1 2 0 3 4 5 0 6 7 8 9 10 11 12 13 15,,,,61656 61657 61658 61659,14,Body | Waist | Shield | Carpenter's Secondary Tool | Blacksmith's Secondary Tool | Armorer's Secondary Tool | Goldsmith's Secondary Tool | Leatherworker's Secondary Tool | Weaver's Secondary Tool | Alchemist's Secondary Tool | Culinarian's Secondary Tool | Miner's Secondary Tool | Botanist's Secondary Tool | Fisher's Secondary Tool
23,10100089 10100090 10100091 10100092,Ice Veil Materia I | Ice Veil Materia II | Ice Veil Materia III | Ice Veil Materia IV,15011,Ice Resistance,1 2 0 3 4 5 0 6 7 8 9 10 11 12 13 15,,,,61656 61657 61658 61659,14,Body | Waist | Shield | Carpenter's Secondary Tool | Blacksmith's Secondary Tool | Armorer's Secondary Tool | Goldsmith's Secondary Tool | Leatherworker's Secondary Tool | Weaver's Secondary Tool | Alchemist's Secondary Tool | Culinarian's Secondary Tool | Miner's Secondary Tool | Botanist's Secondary Tool | Fisher's Secondary Tool
24,10100093 10100094 10100095 10100096,Wind Veil Materia I | Wind Veil Materia II | Wind Veil Materia III | Wind Veil Materia IV,15012,Wind Resistance,1 2 0 3 4 5 0 6 7 8 9 10 11 12 13 15,,,,61656 61657 61658 61659,14,Body | Waist | Shield | Carpenter's Secondary Tool | Blacksmith's Secondary Tool | Armorer's Secondary Tool | Goldsmith's Secondary Tool | Leatherworker's Secondary Tool | Weaver's Secondary Tool | Alchemist's Secondary Tool | Culinarian's Secondary Tool | Miner's Secondary Tool | Botanist's Secondary Tool | Fisher's Secondary Tool
25,10100097 10100098 10100099 10100100,Earth Veil Materia I | Earth Veil Materia II | Earth Veil Materia III | Earth Veil Materia IV,15013,Earth Resistance,1 2 0 3 4 5 0 6 7 8 9 10 11 12 13 15,,,,61656 61657 61658 61659,14,Body | Waist | Shield | Carpenter's Secondary Tool | Blacksmith's Secondary Tool | Armorer's Secondary Tool | Goldsmith's Secondary Tool | Leatherworker's Secondary Tool | Weaver's Secondary Tool | Alchemist's Secondary Tool | Culinarian's Secondary Tool | Miner's Secondary Tool | Botanist's Secondary Tool | Fisher's Secondary Tool
26,10100101 10100102 10100103 10100104,Lightning Veil Materia I | Lightning Veil Materia II | Lightning Veil Materia III | Lightning Veil Materia IV,15014,Lightning Resistance,1 2 0 3 4 5 0 6 7 8 9 10 11 12 13 15,,,,61656 61657 61658 61659,14,Body | Waist | Shield | Carpenter's Secondary Tool | Blacksmith's Secondary Tool | Armorer's Secondary Tool | Goldsmith's Secondary Tool | Leatherworker's Secondary Tool | Weaver's Secondary Tool | Alchemist's Secondary Tool | Culinarian's Secondary Tool | Miner's Secondary Tool | Botanist's Secondary Tool | Fisher's Secondary Tool
27,10100105 10100106 10100107 10100108,Water Veil Materia I | Water Veil Materia II | Water Veil Materia III | Water Veil Materia IV,15015,Water Resistance,1 2 0 3 4 5 0 6 7 8 9 10 11 12 13 15,,,,61656 61657 61658 61659,14,Body | Waist | Shield | Carpenter's Secondary Tool | Blacksmith's Secondary Tool | Armorer's Secondary Tool | Goldsmith's Secondary Tool | Leatherworker's Secondary Tool | Weaver's Secondary Tool | Alchemist's Secondary Tool | Culinarian's Secondary Tool | Miner's Secondary Tool | Botanist's Secondary Tool | Fisher's Secondary Tool
28,10100109 10100110 10100111 10100112,Heavens' Fist Materia I | Heavens' Fist Materia II | Heavens' Fist Materia III | Heavens' Fist Materia IV,15018,Attack Power,4 6 8 10 12 13 14 15 20 22 23 25 26 27 28 30,,,,61640 61641 61642 61643,3,Hands | Marauder's Arm | Lancer's Arm
29,10100113 10100114 10100115 10100116,Heavens' Eye Materia I | Heavens' Eye Materia II | Heavens' Eye Materia III | Heavens' Eye Materia IV,15016,Accuracy,2 4 6 8 9 10 11 12 11 12 13 15 16 17 18 20,,,,61640 61641 61642 61643,6,Hands | Pugilist's Arm | Gladiator's Arm | Marauder's Arm | Lancer's Arm | Archer's Arm
30,10100117 10100118 10100119 10100120,Hells' Fist Materia I | Hells' Fist Materia II | Hells' Fist Materia III | Hells' Fist Materia IV,15024,Attack Magic Potency,1 2 0 3 4 5 0 6 8 9 0 10 11 12 13 15,,,,61620 61621 61622 61623,3,Feet | Two-Handed Conjurer's Arm | Two-Handed Thaumaturge's Arm
31,10100121 10100122 10100123 10100124,Hells' Eye Materia I | Hells' Eye Materia II | Hells' Eye Materia III | Hells' Eye Materia IV,15028,Magic Accuracy,2 4 6 8 9 10 11 12 11 12 13 15 16 17 18 20,,,,61620 61621 61622 61623,3,Head | Conjurer's Arm | Thaumaturge's Arm
32,10100125 10100126 10100127 10100128,Savage Aim Materia I | Savage Aim Materia II | Savage Aim Materia III | Savage Aim Materia IV,15020,Critical Hit Rating,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,,,,61640 61641 61642 61643,1,Legs
33,10100129 10100130 10100131 10100132,Savage Might Materia I | Savage Might Materia II | Savage Might Materia III | Savage Might Materia IV,15022,Critical Hit Attack Power,10 12 16 20 22 24 26 30 32 34 36 40 42 44 46 50,,,,61640 61641 61642 61643,4,Body | Marauder's Arm | Lancer's Arm | Archer's Arm
35,10100137 10100138 10100139 10100140,Sagacious Might Materia I | Sagacious Might Materia II | Sagacious Might Materia III | Sagacious Might Materia IV,15038,Magic Critical Hit Potency,10 12 16 20 22 24 26 30 32 34 36 40 42 44 46 50,,,,61620 61621 61622 61623,3,Hands | Two-Handed Conjurer's Arm | Two-Handed Thaumaturge's Arm
36,10100141 10100142 10100143 10100144,Battledance Materia I | Battledance Materia II | Battledance Materia III | Battledance Materia IV,15040,Parry,1 3 7 10 11 12 13 15 16 17 18 20 21 22 23 25,,,,61632 61633 61634 61635,6,Hands | Gladiator's Arm | Marauder's Arm | Lancer's Arm | Two-Handed Conjurer's Arm | Two-Handed Thaumaturge's Arm
37,10100145 10100146 10100147 10100148,Gatherer's Guerdon Materia I | Gatherer's Guerdon Materia II | Gatherer's Guerdon Materia III | Gatherer's Guerdon Materia IV,15033,Gathering,1 0 0 0 2 0 0 0 3 0 0 4 5 0 0 6,,,,61624 61625 61626 61627,3,Miner's Primary Tool | Botanist's Primary Tool | Fisher's Primary Tool
38,10100149 10100150 10100151 10100152,Gatherer's Guile Materia I | Gatherer's Guile Materia II | Gatherer's Guile Materia III | Gatherer's Guile Materia IV,15035,Perception,1 0 0 0 2 0 0 0 3 0 0 4 5 0 0 6,,,,61624 61625 61626 61627,3,Miner's Primary Tool | Botanist's Primary Tool | Fisher's Primary Tool
39,10100153 10100154 10100155 10100156,Gatherer's Grasp Materia I | Gatherer's Grasp Materia II | Gatherer's Grasp Materia III | Gatherer's Grasp Materia IV,15034,Output,1 0 0 0 2 0 0 0 3 0 0 4 5 0 0 6,,,,61624 61625 61626 61627,3,Miner's Primary Tool | Botanist's Primary Tool | Fisher's Primary Tool
40,10100157 10100158 10100159 10100160,Craftsman's Competence Materia I | Craftsman's Competence Materia II | Craftsman's Competence Materia III | Craftsman's Competence Materia IV,15030,Craftsmanship,1 0 0 0 2 0 0 0 3 0 0 4 5 0 0 6,,,,61624 61625 61626 61627,8,Carpenter's Primary Tool | Blacksmith's Primary Tool | Armorer's Primary Tool | Goldsmith's Primary Tool | Leatherworker's Primary Tool | Weaver's Primary Tool | Alchemist's Primary Tool | Culinarian's Primary Tool
41,10100161 10100162 10100163 10100164,Craftsman's Cunning Materia I | Craftsman's Cunning Materia II | Craftsman's Cunning Materia III | Craftsman's Cunning Materia IV,15031,Magic Craftsmanship,1 0 0 0 2 0 0 0 3 0 0 4 5 0 0 6,,,,61624 61625 61626 61627,8,Carpenter's Primary Tool | Blacksmith's Primary Tool | Armorer's Primary Tool | Goldsmith's Primary Tool | Leatherworker's Primary Tool | Weaver's Primary Tool | Alchemist's Primary Tool | Culinarian's Primary Tool
42,10100165 10100166 10100167 10100168,Craftsman's Command Materia I | Craftsman's Command Materia II | Craftsman's Command Materia III | Craftsman's Command Materia IV,15032,Control,1 0 0 0 2 0 0 0 3 0 0 4 5 0 0 6,,,,61624 61625 61626 61627,8,Carpenter's Primary Tool | Blacksmith's Primary Tool | Armorer's Primary Tool | Goldsmith's Primary Tool | Leatherworker's Primary Tool | Weaver's Primary Tool | Alchemist's Primary Tool | Culinarian's Primary Tool
43,10100169 10100170 10100171 10100172,Bloodflight Materia I | Bloodflight Materia II | Bloodflight Materia III | Bloodflight Materia IV,15017,Evasion,1 3 7 10 11 12 13 15 16 17 18 20 21 22 23 25,,,,61632 61633 61634 61635,2,Body | Feet
44,10100173 10100174 10100175 10100176,Manaflight Materia I | Manaflight Materia II | Manaflight Materia III | Manaflight Materia IV,15029,Magic Evasion,1 3 7 10 11 12 13 15 16 17 18 20 21 22 23 25,,,,61620 61621 61622 61623,2,Head | Feet
45,10100177 10100178 10100179 10100180,Bloodwall Materia I | Bloodwall Materia II | Bloodwall Materia III | Bloodwall Materia IV,15019,Defense,2 4 6 8 9 10 11 12 11 12 13 15 16 17 18 20,,,,61632 61633 61634 61635,2,Body | Shield
47,10100185 10100186 10100187 10100188,Cactuar Foot Materia I | Cactuar Foot Materia II | Cactuar Foot Materia III | Cactuar Foot Materia IV,15074,Slow Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Feet
48,10100189 10100190 10100191 10100192,Wyvern Skin Materia I | Wyvern Skin Materia II | Wyvern Skin Materia III | Wyvern Skin Materia IV,15075,Petrification Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Hands
49,10100193 10100194 10100195 10100196,Bomb Blood Materia I | Bomb Blood Materia II | Bomb Blood Materia III | Bomb Blood Materia IV,15076,Paralysis Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Hands
50,10100197 10100198 10100199 10100200,Pixie Tongue Materia I | Pixie Tongue Materia II | Pixie Tongue Materia III | Pixie Tongue Materia IV,15077,Silence Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Head
51,10100201 10100202 10100203 10100204,Coeurl Eye Materia I | Coeurl Eye Materia II | Coeurl Eye Materia III | Coeurl Eye Materia IV,15078,Blind Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Head
52,10100205 10100206 10100207 10100208,Aurelia Kiss Materia I | Aurelia Kiss Materia II | Aurelia Kiss Materia III | Aurelia Kiss Materia IV,15079,Poison Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Legs
53,10100209 10100210 10100211 10100212,Bison Hoof Materia I | Bison Hoof Materia II | Bison Hoof Materia III | Bison Hoof Materia IV,15080,Stun Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Legs
54,10100213 10100214 10100215 10100216,Funguar Shriek Materia I | Funguar Shriek Materia II | Funguar Shriek Materia III | Funguar Shriek Materia IV,15081,Sleep Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Legs
55,10100217 10100218 10100219 10100220,Treant Root Materia I | Treant Root Materia II | Treant Root Materia III | Treant Root Materia IV,15082,Bind Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Feet
56,10100221 10100222 10100223 10100224,Chocobo Down Materia I | Chocobo Down Materia II | Chocobo Down Materia III | Chocobo Down Materia IV,15083,Heavy Resistance,1 2 3 0 4 5 6 0 7 8 9 10 11 12 13 15,,,,61636 61637 61638 61639,1,Feet
57,10100225 10100226 10100227 10100228,Ahriman Gaze Materia I | Ahriman Gaze Materia II | Ahriman Gaze Materia III | Ahriman Gaze Materia IV,-1,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,61636 61637 61638 61639,0,
61,10100241 10100242 10100243 10100244,Touch of Rage Materia I | Touch of Rage Materia II | Touch of Rage Materia III | Touch of Rage Materia IV,15052,Enmity,1 3 7 10 11 12 13 15 16 17 18 20 21 22 23 25,,,,61648 61649 61650 61651,3,Waist | Gladiator's Arm | Marauder's Arm
62,10100245 10100246 10100247 10100248,Touch of Serenity Materia I | Touch of Serenity Materia II | Touch of Serenity Materia III | Touch of Serenity Materia IV,15052,Enmity,-1 -2 -3 -4 -5 -6 -7 -8 -9 -10 -11 -12 -13 -14 -15 -16,,,,61648 61649 61650 61651,3,Waist | Conjurer's Arm | Thaumaturge's Arm
68,10100269 10100270 10100271 10100272,Healer's Hand Materia I | Healer's Hand Materia II | Healer's Hand Materia III | Healer's Hand Materia IV,15025,Healing Magic Potency,1 2 3 4 5 6 7 8 10 11 12 13 15 16 17 20,,,,61620 61621 61622 61623,3,Head | Conjurer's Arm | Thaumaturge's Arm
82,10100325 10100326 10100327 10100328,Sanguinary Might Materia I | Sanguinary Might Materia II | Sanguinary Might Materia III | Sanguinary Might Materia IV,15022,Critical Hit Attack Power,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,15001,HP,1 3 7 10 11 12 13 15 16 17 18 20 21 22 23 25,61640 61641 61642 61643,1,Waist
83,10100329 10100330 10100331 10100332,Stellar Might Materia I | Stellar Might Materia II | Stellar Might Materia III | Stellar Might Materia IV,15038,Magic Critical Hit Potency,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,15002,MP,5 7 8 10 11 11 12 12 14 14 14 15 16 16 17 18,61620 61621 61622 61623,1,Waist
84,10100333 10100334 10100335 10100336,Sound of Serenity Materia I | Sound of Serenity Materia II | Sound of Serenity Materia III | Sound of Serenity Materia IV,15025,Healing Magic Potency,1 1 1 1 2 0 2 3 4 5 0 6 7 8 9 10,15002,MP,5 7 8 10 11 0 12 12 14 14 0 15 16 16 17 18,61620 61621 61622 61623,1,Feet
85,10100337 10100338 10100339 10100340,Sound of Certainty Materia I | Sound of Certainty Materia II | Sound of Certainty Materia III | Sound of Certainty Materia IV,15026,Enhancement Magic Potency,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,,,,61620 61621 61622 61623,1,Head
86,10100341 10100342 10100343 10100344,Sound of Suffering Materia I | Sound of Suffering Materia II | Sound of Suffering Materia III | Sound of Suffering Materia IV,15027,Enfeebling Magic Potency,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,,,,61620 61621 61622 61623,1,Hands
87,10100345 10100346 10100347 10100348,Swiftwall Materia I | Swiftwall Materia II | Swiftwall Materia III | Swiftwall Materia IV,15041,Block Rate,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,,,,61632 61633 61634 61635,1,Hands
88,10100349 10100350 10100351 10100352,Evenflow Materia I | Evenflow Materia II | Evenflow Materia III | Evenflow Materia IV,15051,Store TP,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,15016,Accuracy,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,61640 61641 61642 61643,1,Hands
