ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,mob_name,family,subfamily,subspecies,mob_type,job,gender,element,elemental_weakness,aggressive,behavior_flags,notorious_monster,level_low,level_high,hp_low,hp_high,mp_low,mp_high,drops_no_shards,drops_no_crystals,notes,etymology,source
Amalj'aa Bruiser,318486,2012-05-30T01:11:45Z,0,Amalj'aa Bruiser,Amalj'aa,,,,PGL,,Fire,,x,,,27,29,,,,,,,,,ge-mob-pages
Amalj'aa Chief,328538,2012-07-13T15:07:04Z,0,Amalj'aa Chief,Amalj'aa,,,,Pugilist,,Fire,,Y,,Y,59,59,,,,,Y,Y,The boss for The Battle for the Golden Bazaar level 1.,,ge-mob-pages
Amalj'aa Divinator,65111,2012-10-31T07:52:56Z,0,Amalj'aa Divinator,Amalj'aa,,,,,,Fire,Wind,x,,,47,49,,,,,,,,,ge-mob-pages
Amalj'aa Drubber,7221,2012-08-08T19:50:41Z,0,Amalj'aa Drubber,Amalj'aa,,,,Pugilist,,,,,,,,,,,,,,,,,ge-mob-pages
Amalj'aa Grappler,497844,2011-09-20T00:45:16Z,0,Amalj'aa Grappler,Amalj'aa,,,,,,Earth,,x,,,65,99,5891,11513,1206,2343,,,"Aggressive, large sight aggro distance, can also see through walls currently, not sure if this is a glitch or not.",,ge-mob-pages
Amalj'aa Grunt,231531,2011-09-20T00:56:29Z,0,Amalj'aa Grunt,Amalj'aa,,,,,,,,x,,,30,,2741,,568,,,,,,ge-mob-pages
Amalj'aa Hunter,318691,2012-05-30T01:13:29Z,0,Amalj'aa Hunter,Amalj'aa,,,,ARC,,Fire,,x,,,27,29,,,,,,,,,ge-mob-pages
Amalj'aa Inculcator,157980,2011-09-20T00:47:38Z,0,Amalj'aa Inculcator,Amalj'aa,,,,,,Fire,,,,,50,70,4385,6500,902,1330,,,,,ge-mob-pages
Amalj'aa Javelineer,318850,2012-05-30T01:12:39Z,0,Amalj'aa Javelineer,Amalj'aa,,,,LNC,,Fire,,x,,,27,29,,,,,,,,,ge-mob-pages
Amalj'aa Lancer,328621,2012-07-13T15:07:44Z,0,Amalj'aa Lancer,Amalj'aa,,,,Lancer,,Fire,,Y,,,55,55,,,,,Y,Y,,,ge-mob-pages
Amalj'aa Pugilist,428453,2012-07-13T15:08:21Z,0,Amalj'aa Pugilist,Amalj'aa,,,,Pugilist,,Fire,,,,,36,59,1987,5234,676,1074,,,,,ge-mob-pages
Amalj'aa Shaman,328877,2012-07-13T15:08:50Z,0,Amalj'aa Shaman,Amalj'aa,,,,Thaumaturge,,Fire,,Y,,,55,55,,,,,Y,Y,,,ge-mob-pages
Amalj'aa Stargazer,318429,2012-05-30T01:14:27Z,0,Amalj'aa Stargazer,Amalj'aa,,,,THM,,fire,,x,,,27,29,,,,,,,,,ge-mob-pages
Amalj'aa Striker,60897,2012-10-31T07:41:39Z,0,Amalj'aa Striker,Amalj'aa,,,,,,,,x,,,32,34,,,,,,,,,ge-mob-pages
Amalj'aa Transfigurator,80537,2011-09-20T00:50:57Z,0,Amalj'aa Transfigurator,Amalj'aa,,,,,,Fire,,,,,45,66,2385,3605,819,6150,,,,,ge-mob-pages
Amalj'aa Transfisticator,80287,2011-09-20T00:52:21Z,0,Amalj'aa Transfisticator,Amalj'aa,,,,,,Fire,,,,,45,66,1987,3605,819,1230,,,,,ge-mob-pages
Amalj'aa Transfixer,80385,2011-09-20T00:53:28Z,0,Amalj'aa Transfixer,Amalj'aa,,,,,,Fire,,,,,36,66,2385,3605,676,1230,,,,,ge-mob-pages
Amalj'aa Trooper,80451,2011-09-20T00:54:36Z,0,Amalj'aa Trooper,Amalj'aa,,,,,,Fire,,,,,36,66,2385,3605,676,1230,,,,,ge-mob-pages
Amateur Footpad,363286,2012-05-30T02:08:30Z,0,Amateur Footpad,Enemy Humanoid,,,Quest,Gladiator,Male,,,,,,,,,,,,,,Midlander Hyur,,ge-mob-pages
Amateur Highwayman,401691,2012-05-29T00:56:34Z,0,Amateur Highwayman,Enemy Humanoid,,,Quest,Lancer,Male,,,,,,,,,,,,,,Midlander Hyur,,ge-mob-pages
Amateur Raider,504099,2012-05-30T02:09:02Z,0,Amateur Raider,Enemy Humanoid,,,Quest,Archer,Male,,,,,,,,,,,,,,Midlander Hyur,,ge-mob-pages
Anemone,361733,2012-09-30T04:25:20Z,0,Anemone,Aurelia,,,,,,Water,,x,,,45,54,2252,2688,819,975,,,,,ge-mob-pages
Angler,501044,2011-09-21T18:09:14Z,0,Angler,Angler,,,,,,Water,,x,,,20,24,682,920,427,478,,,,,ge-mob-pages
Ankle Biter,451731,2011-09-22T00:24:21Z,0,Ankle Biter,Chigoe,,,,,,,,,,,10,,2,3,322,,,,This monster is found during the instanced escort in the quest Treasures of the Main.,,ge-mob-pages
Anole,493654,2012-05-28T01:13:55Z,0,Anole,Raptor,,,,,,Fire,,x,,,55,64,3387,4043,994,1183,,,"Very Aggressive, aggros on sight",,ge-mob-pages
Anole Familiar,89495,2011-09-30T13:01:58Z,0,Anole Familiar,Raptor,,,,,,Fire,,x,,,19,,2783,,415,,,,,,ge-mob-pages
Anole Stalker,327159,2012-06-03T18:30:23Z,0,Anole Stalker,Raptor,Anole,,,,,,,Y,,,40,52,,,,,,,,,ge-mob-pages
Antares,41305,2012-05-20T00:47:25Z,0,Antares,Diremite,,,NM,,,,,x,,x,38,38,,,,,,,*Antares appears in the Confession (southern) Chamber of The Thousand Maws of Toto-Rak. *Spawns a number of chests after defeat. Rewards vary by tasks accomplished in the raid.,"Antares, also called Alpha Scorpii, is the brighest star in the constellation Scorpius and one of the brightest stars in the sky. Antares was used in some Ancient Egyptian rituals and the Persians considered it one of the ""royal stars"" (the others are Aldebaran, Regulus, Fomalhaut). Antares is Greek for ""opposed to Ares"" (Ares is the god of war and the Greek name for the planet Mars), which derives from its red color, which makes it somewhat similar to Mars. Antares is a M-type star (red) and is a red giant. It is located 604 ly from the Sol solar system. Antares is also called The Heart of the Scorpion.",ge-mob-pages
Antelope Doe,498062,2012-08-29T20:08:23Z,0,Antelope Doe,Antelope,,,,,Female,Earth,,,,,20,29,1342,1508,492,552,,,,,ge-mob-pages
Antelope Stag,472753,2012-08-08T19:23:44Z,0,Antelope Stag,Antelope,,,,,Male,Earth,,x,"A, S",,45,54,2517,3004,819,975,,,,,ge-mob-pages
Antling Digger,497372,2012-06-17T01:11:28Z,0,Antling Digger,Antling,,,,,,Earth,,x,,,35,39,1693,1876,657,726,,,,,ge-mob-pages
Antling Forager,507164,2011-09-21T03:25:52Z,0,Antling Forager,Antling,,,,,,Earth,,x,,,50,54,2339,2530,902,975,,,,,ge-mob-pages
Antling Worker,81004,2012-06-23T02:31:41Z,0,Antling Worker,Antling,,,,,,Earth,,x,,,35,59,847,1919,657,1074,,,,,ge-mob-pages
Apep,318942,2012-06-12T20:05:41Z,0,Apep,Basilisk,,,,,,Earth,Wind,Y,,,53,53,,,,,,,"Has high HP and Regen. Difficult, if not impossible to solo at 50.",,ge-mob-pages
Apkallu,488279,2011-09-18T01:21:11Z,0,Apkallu,Apkallu,,,,,,Water,,x,,,55,59,2258,2443,994,1074,,,,,ge-mob-pages
Arbor Squirrel,498189,2011-09-18T02:13:29Z,0,Arbor Squirrel,Rodent,,,,,,Earth,,,,,20,29,1364,1774,427,552,,,,,ge-mob-pages
Ascian,407265,2011-10-02T05:04:01Z,0,Ascian,Ascian,,,,,,,,,,,,,,,,,,,The only ascian seen thus far has been part of a cutscene during a main scenario mission.,,ge-mob-pages
Ashdrake,252278,2012-05-01T00:17:19Z,0,Ashdrake,Drake,,,,,,Fire,,Yes,,,43,49,,,,,,,,,ge-mob-pages
Atomos,58085,2012-09-14T03:29:19Z,0,Atomos,Primal,,,,,,,,Y,,Y,60,,,,,,Y,Y,"*The inactive (Level N/A) Atomoses are untargetable and only spawn monsters. **Note that only one inactive Atomos will spawn monsters, the rest act as a signal that there is an inactive Atomos releasing monsters at one of the applicable camps. *The active (Level 60) Atomoses attack, spawn monsters, and leave a Voidstone upon defeat. Active Atomoses spawn every night at 18:00 and 0:00 at the above camps.",,ge-mob-pages
Aurelia,448340,2012-09-26T20:03:24Z,0,Aurelia,Aurelia,,,,,,Water,,Yes,,,10,19,175,385,200,401,,,,,ge-mob-pages
Aurora Angler,56042,2012-09-03T18:47:23Z,0,Aurora Angler,Angler,,,,,,Water,,x,,,30,30,,,,,,,,,ge-mob-pages
B'Khenna Phoenixfire,29086,2010-09-14T20:02:19Z,0,B'Khenna Phoenixfire,Enemy Humanoid,,,Quest,,,,,,,,,,,,,,,,,,ge-mob-pages
B'khenna the Phoenixfire,475352,2010-11-23T19:22:52Z,0,B'khenna the Pheonixfire,Enemy Humanoid,,,Quest,,,,,,,,,,,,,,,,,,ge-mob-pages
Balloon,513980,2011-09-25T01:12:37Z,0,Balloon,Bomb,,,,,,Fire,,x,,,35,39,1904,2110,3285,3630,,,,,ge-mob-pages
Bandicoot,507093,2011-09-17T21:59:36Z,0,Bandicoot,Mole,,,,,,Earth,,,,,55,59,4032,4362,994,1074,,,,,ge-mob-pages
Bandit Spearman,58544,2011-04-27T22:29:48Z,0,Bandit Spearman,Enemy Humanoid,,,,Lancer,Female,,,,,,,,,,,,,,"Very long respawn. Uses lancer weapon skills Leg Sweep, Moonrise, Heavy Trammel and Twisting Vice.",,ge-mob-pages
Banemite,487003,2011-09-22T01:04:44Z,0,Banemite,Diremite,,,,,,Earth,,x,,,65,74,3142,3751,1206,1438,,,,,ge-mob-pages
Banescale Guivre,433851,2011-09-19T00:43:39Z,0,Banescale Guivre,Drake,,,,,,,,x,,,70,74,4333,4688,1330,1438,,,,,ge-mob-pages
Barbatos,251531,2012-04-30T22:26:22Z,0,Barbatos,Gargoyle,,,,,,,,Yes,,Yes,,,,,,,Yes,Yes,,,ge-mob-pages
Bardi,215201,2012-07-04T15:09:06Z,0,Bardi,Wolf,,,,,Female,Lightning,Earth,x,,x,42,,"19,992",,773,,,,Bardi does a hate reset move called threatening growl. It resets everyone in the group. So first person to do something after it casts it will have hate.,"Bardi, outside of game lore, is a feminine, shapeshifting jackal from Turkish folklore whose howl is an omen of death.",ge-mob-pages
Bark Eft,4200,2011-09-19T23:32:55Z,0,Bark Eft,Salamander,,,,,,Water,,x,,,50,54,5408,5850,902,975,,,,,ge-mob-pages
Bark Weevil,344551,2012-04-30T02:42:45Z,0,Bark Weevil,Beetle,,,,,,Fire,,,,,3,15,56,255,248,370,,,,,ge-mob-pages
Barometz,216879,2012-08-18T21:58:40Z,0,Barometz,Landtrap,,Roseling,,,,Wind,Ice,x,,x,36,,17424,,676,,,,,"Barometz, outside of game lore, is also known as the Vegetable Lamb of Tartary, a mythical plant from southeast Asia said to grow sheep as if it were the plant's fruit.",ge-mob-pages
Basilisk,433748,2011-10-02T05:53:12Z,0,Basilisk,Basilisk,,,,,,,,x,,,75,89,6455,8506,1466,1926,,,,,ge-mob-pages
Bastard Mite,296278,2012-05-20T01:04:54Z,0,Bastard Mite,Diremite,Miteling,,,,,,,Y,,,39,39,,,,,,,Assists Shaula,,ge-mob-pages
Batraal,48876,2012-04-30T21:35:15Z,0,Batraal,Gargoyle,,,,,,,,Yes,,Yes,,,,,,,,,"Final boss for The Dzemael Darkhold. Up to 5 chests spawn on defeat, depending on objectives accomplished.",,ge-mob-pages
Battle Drake,296577,2012-07-13T15:09:14Z,0,Battle Drake,Drake,,,,,,Fire,,Y,,,52,57,,,,,,,,,ge-mob-pages
Battrap,43708,2011-10-24T06:10:58Z,0,Battrap,Landtrap,,Flytrap,,,,Wind,,x,,,45,49,1855,2007,819,885,,,Shares spawn with Yarzon Scavengers (group of 4),,ge-mob-pages
Beady Beetle,420762,2011-09-21T23:11:13Z,0,Beady Beetle,Beetle,,,,,,Fire,,,,,5,14,337,802,267,360,,,,,ge-mob-pages
Bee Cloud,467608,2011-10-02T07:48:09Z,0,Bee Cloud,Swarm,Bees,,,,,Wind,,x,,,5,40,76,793,267,744,,,,,ge-mob-pages
Beryl Crab,258318,2012-05-05T20:06:27Z,0,Beryl Crab,Crab,,,,,,Water,,,,,20,20,,,,,,,Involved in quest Beryl Overboard. Beryl Crab Shell only drops while on quest.,,ge-mob-pages
Biast,363610,2011-09-19T00:45:36Z,0,Biast,Drake,,,,,,Lightning,,x,,,60,69,3558,4249,1095,1304,,,,,ge-mob-pages
Bigmouth Orobon,34088,2012-09-30T04:31:16Z,0,Bigmouth Orobon,Angler,,,,,,Water,,x,,,40,44,1682,1819,744,803,,,,,ge-mob-pages
Bile Gnat,266295,2012-09-26T03:47:03Z,0,Bile Gnat,Gnat,,Gnat,,,,Lightning,,x,,,40,68,769,1959,3720,6395,,,,,ge-mob-pages
Bilge-soaked Buccaneer,51181,2010-11-03T01:54:51Z,0,Bilge-soaked Buccaneer,Enemy Humanoid,,,Quest,Archer,Male,,,,,,,,,,,,,,Roegadyn,,ge-mob-pages
Bixie,28967,2012-07-28T21:22:47Z,0,Bixie,Chimera,,,,,,,,Y,,Y,55,,,,,,,,Spawns after Wadjet is defeated or after 10 minutes pass.,,ge-mob-pages
Black Bat,449279,2012-05-29T05:05:00Z,0,Black Bat,Bat,,Bat,,,,Wind,,x,,,15,19,265,1061,300,415,,,,,ge-mob-pages
Black Crow Cleaver,63416,2012-10-24T21:21:31Z,0,Black Crow Cleaver,Enemy Humanoid,,,,Marauder,Male,,,,,,47,49,,,,,,,,,ge-mob-pages
Black Crow Swashbuckler,63492,2012-10-24T21:21:34Z,0,Black Crow Swashbuckler,Enemy Humanoid,,,,Gladiator,Male,,,,,,47,49,,,,,,,,,ge-mob-pages
Black Eft,495639,2012-05-30T02:54:38Z,0,Black Eft,Salamander,,,,,,Water,,x,,,40,49,4444,5303,744,885,,,,,ge-mob-pages
Black Wolf (1.x),310267,2012-05-29T03:19:17Z,0,Black Wolf,Wolf,,,,,,,,Y,,,53,56,,,,,,,,,ge-mob-pages
Blind Eft,42419,2012-09-30T04:44:47Z,0,Blind Eft,Salamander,,,,,,Water,,x,,,40,44,4444,4807,744,803,,,,,ge-mob-pages
Bloated Bogy,304130,2012-05-29T23:40:52Z,0,Bloated Bogy,Ghost,,,,Thaumaturge,,Ice,,x,,,20,24,682,920,2135,2390,,,,,ge-mob-pages
Bloated Burble,327436,2012-06-03T19:02:52Z,0,Bloated Burble,Snurble,,,,Conjurer,,,,,,,40,52,,,,,,,,,ge-mob-pages
Bloodied Buccaneer,50918,2010-11-03T01:57:10Z,0,Bloodied Buccaneer,Enemy Humanoid,,,Quest,Gladiator,Male,,,,,,,,,,,,,,Roegadyn,,ge-mob-pages
Bloodshore Bell,360265,2012-08-08T19:33:20Z,0,Bloodshore Bell,Aurelia,,,,,,Water,,,P,,20,24,751,1150,427,478,,,,,ge-mob-pages
Bloodshot Eye,326791,2012-06-03T21:26:55Z,0,Bloodshot Eye,Ahriman,,,,,,,,Y,,,40,52,,,,,,,,,ge-mob-pages
Bloodthirsty Wolf,495022,2012-08-07T18:10:07Z,0,Bloodthirsty Wolf,Wolf,,,,,,Lightning,Earth,,P,,1,13,152,801,230,350,x,x,"Fought during Gridania's introductory quest, Sundered Skies. Though the exact location is never shown, due to their low level and proximity to Gridania, it has been listed as the Central Shroud.",,ge-mob-pages
Bloody Revenant,63331,2012-10-24T20:59:08Z,0,Bloody Revenant,Ghost,,,,,,Ice,,,,,41,41,,,,,,,,,ge-mob-pages
Blotched Mongrel,475282,2012-06-17T00:20:38Z,0,Blotched Mongrel,Wolf,,,,,,Lightning,Earth,Y,,,40,52,1590,2759,819,1410,,,,,ge-mob-pages
Bog Yarzon,443892,2012-04-19T00:48:41Z,0,Bog Yarzon,Yarzon,,,,,,Ice,,,,,35,59,847,1919,657,1074,,,,,ge-mob-pages
Bogy,66855,2012-05-30T03:03:21Z,0,Bogy,Ghost,,,,,,Ice,,,,,10,14,525,688,1610,1800,,,,,ge-mob-pages
Bomb Baron,209684,2012-08-07T02:04:23Z,0,Bomb Baron,Bomb,,,,Conjurer,,Fire,Fire,x,,x,42,,"29,988",,"23,190",,,,Can spawn anywhere in that western area of Cassiopeia Hollow. Casts Burn II and Fire II.,Many important bombs in the Final Fantasy series have been given titles of nobility and monarchy. Baron is often one of the lowest ranking of such titles in various real world and fictional hierarchies.,ge-mob-pages
Bomb Ember,269501,2011-11-06T09:40:22Z,0,Bomb Ember,Bomb,,,,,,Fire,,x,,,30,,1645,,2840,,,x,,,ge-mob-pages
Bomb (Enemy),278477,2011-09-25T01:14:35Z,0,Bomb,Bomb,,,,,,Fire,,,,,30,34,1645,1849,2840,3190,,,,,ge-mob-pages
Bone Nix,323135,2012-06-01T21:25:32Z,0,Bone Nix,Toad,,,,,,Water,,Y,,,52,52,,,,,,,,,ge-mob-pages
Branded Drake,157662,2011-09-19T00:48:03Z,0,Branded Drake,Drake,,,,,,Lightning,,x,,,40,75,1081,4781,744,1466,,,,,ge-mob-pages
Brimstone Bomb,310816,2012-05-29T01:15:46Z,0,Brimstone Bomb,Bomb,,,,,,Fire,Fire,Y,,,40,52,,,,,,,,,ge-mob-pages
Brine Bogy,430527,2012-04-24T21:05:52Z,0,Brine Bogy,Ghost,,,Quest,,,,,,,,,,,,,,,,,,ge-mob-pages
Bristletail Marmot,203015,2011-09-18T02:14:56Z,0,Bristletail Marmot,Rodent,,,,,,Earth,,,,,10,,1019,,322,,,,,,ge-mob-pages
Brutal Sheep,266601,2012-07-11T05:02:28Z,0,Brutal Sheep,Ram,,,,,Female,Wind,,,,,40,43,,,,,,,,,ge-mob-pages
Buata,310222,2012-05-30T03:44:35Z,0,Buata,Boar,,,,,,Earth,,Y,,Y,55,55,,,,,,,,,ge-mob-pages
Bumble Beetle,420551,2012-04-30T00:58:53Z,0,Bumble Beetle,Beetle,,,,,,Fire,,,,,1,7,,,,,,,,,ge-mob-pages
Burble,258486,2012-05-05T20:07:02Z,0,Burble,Snurble,,,,Conjurer,,Lightning,,,,,20,22,400,450,,,,,"While idle, cast Cure and Protect on players.",,ge-mob-pages
Burned Brother,372800,2012-06-20T22:38:58Z,0,Burned Brother,Amalj'aa,,,,,,Fire,,Y,,,55,,,,,,,,Assists Flamefist Ahlygg Roh,,ge-mob-pages
Buzzard,459881,2012-06-08T02:44:25Z,0,Buzzard,Vulture,Vulture,,,,,Wind,,x,,,40,44,1562,1689,744,803,,,,,ge-mob-pages
Buzzing Djigga,277125,2011-09-22T00:26:57Z,0,Buzzing Djigga,Chigoe,,,,,,Fire,,x,,,40,49,1802,2150,744,885,,,,,ge-mob-pages
Cactuar,150468,2012-05-30T03:19:51Z,0,Cactuar,Cactuar,,,,,,Lightning,,,,,20,24,887,997,427,478,,,,,ge-mob-pages
Cactuar Jack,213735,2012-07-29T02:17:40Z,0,Cactuar Jack,Cactuar,,,,,,Lightning,Earth,,,x,47,,26449,,851,,,,"Able to use Sun Spines which damages and binds anyone in the AoE, whether or not they are on his hate list, Tender Thrust, that damages and knocks back, and 1000 Needles.","Cactuar Jack is a play on the name Cactus Jack, which, outside of game lore, has been used numerous times in numerous ways in the past, from political nicknames to television personas.",ge-mob-pages
Cactuar Jaques,29814,2012-07-29T18:29:41Z,0,Cactuar Jaques,Cactuar,,,,,,Lightning,Fire,Y,,Y,55,,,,,,Y,Y,Spawns along with Princess of Pestilence and Eurylochus,,ge-mob-pages
Cadaverous Cockatrice,474681,2012-05-29T02:58:51Z,0,Cadaverous Cockatrice,Cockatrice,Cockatrice,,,,,Wind,,,,,40,52,1060,2529,819,1410,,,,,ge-mob-pages
Canopy Galago,498777,2011-10-27T19:12:09Z,0,Canopy Galago,Opo-opo,,,,,,Fire,"Water, Wind",,,,20,24,1092,1227,427,478,,,,,ge-mob-pages
Canyon Condor,329424,2012-06-06T20:06:03Z,0,Canyon Condor,Vulture,Condor,,,,,Wind,,Y,,,43,,,,,,,,,,ge-mob-pages
Capricious Cassie,310033,2012-05-28T01:35:37Z,0,Capricious Cassie,Morbol,,,,,,Earth,,,,Y,55,55,,,,,,,,,ge-mob-pages
Carrier Ladybug,400334,2012-05-30T01:44:00Z,0,Carrier Ladybug,Beetle,,,,,,Fire,,,,,20,44,405,1377,427,803,,,,,ge-mob-pages
Carrion Chiglet,430496,2012-03-18T01:08:20Z,0,Carrion Chiglet,Chigoe,,,,,,Fire,,,,,10,30,86,461,322,568,,,,,ge-mob-pages
Carrion Chigoe,360695,2012-05-30T03:51:11Z,0,Carrion Chigoe,Chigoe,,,,,,Fire,,,,,10,19,408,928,322,415,,,,,ge-mob-pages
Cassiopeia,281867,2012-08-08T19:33:24Z,0,Cassiopeia,Aurelia,,,,,,Water,,,P,,20,29,868,1331,492,552,,,,,ge-mob-pages
Cave Bat,496585,2011-09-18T01:57:25Z,0,Cave Bat,Bat,,Bat,,,,Wind,,x,,,5,14,673,917,267,360,,,,,ge-mob-pages
Cavern Eft,29019,2011-09-19T23:39:58Z,0,Cavern Eft,Salamander,,,,,,Water,,,,,40,68,1346,2958,744,1279,,,,,ge-mob-pages
Cavernulous Coblyn,481586,2011-09-17T22:48:35Z,0,Cavernulous Coblyn,Coblyn,,,,,,,,,,,10,26,62,813,322,506,,,,,ge-mob-pages
Cell Mite,295454,2012-05-20T00:49:05Z,0,Cell Mite,Diremite,Miteling,,,,,,,Y,,,39,39,,,,,,,All Cell Mites beyond the third gate must be defeated for the chest containing Charred Axe or Warden's Dagger to appear.,,ge-mob-pages
Cellar Puk,501125,2012-04-19T00:49:02Z,0,Cellar Puk,Puk,,,,,,Wind,Ice,,,,30,34,1279,1438,568,638,,,,,ge-mob-pages
Ceruleum Generator,355534,2012-08-08T19:53:05Z,0,Ceruleum Generator,Unknown,,,,,,,,,,,50,,,,,,N,N,,,ge-mob-pages
Chain Bearer,323206,2012-06-01T21:27:07Z,0,Chain Bearer,Ghost,,,,,,Ice,,Y,,,55,55,,,,,,,Spawn in the mid-boss fight against Deepvoid Slave.,,ge-mob-pages
Chiglet,457587,2012-05-30T03:51:43Z,0,Chiglet,Chigoe,,,,,,Fire,,,,,3,15,47,213,248,370,,,,,ge-mob-pages
Chigoe,496550,2012-05-30T03:59:49Z,0,Chigoe,Chigoe,,,,,,Fire,,,,,4,10,289,686,230,310,,,,,ge-mob-pages
Chinchilla,474225,2011-09-18T02:16:17Z,0,Chinchilla,Rodent,,,,,,Earth,,,,,10,,,,322,,,,,,ge-mob-pages
Cinderbelly Eft,503734,2011-09-19T23:41:32Z,0,Cinderbelly Eft,Salamander,,,,,,Water,,x,,,55,59,5967,6455,994,1074,,,,,ge-mob-pages
Cliffdiver,329579,2012-06-06T19:30:28Z,0,Cliffdiver,Vulture,Condor,,,,,Wind,,Y,,,53,,,,,,,,,,ge-mob-pages
