mob_name,zone,map_coords,event_or_quest,level_range,drops,behavior_flags,source
Alpha Eft,North Shroud,,Caravan Security (Treespeak),50,{{Drops|Name=Eft Tail|Link=|0|0}},A,ge-mob-pages
Alpha Gnat,Western Thanalan,Horizon's Edge,Caravan Security (Horizon's Edge),30,"{{Drops|Name=Bone Chip|Link=|0|0}}, {{Drops|Name=Rat Tail |Link=|0|0}}",A,ge-mob-pages
Alpha Miteling,Eastern Thanalan,,Caravan Security (Drybone),50,{{Drops|Name=Diremite Web|Link=|0|0}},A,ge-mob-pages
Alpha Roseling,South Shroud,Tranquil Paths,Caravan Security (Tranquil Paths),30,{{Drops|Name=Cotton Boll|Link=|1|3}},A,ge-mob-pages
Alpha Toad,Western La Noscea,Skull Valley,Caravan Security (Skull Valley),50,{{Drops|Name=Gigantoad Skin|Link=|0|0}},A,ge-mob-pages
Alux,The Mun-Tuy Cellars,5-5,,42,"{{Drops|Name=Black Pepper |3|16}}, {{Drops|Name=Chocobo Feather |2|16}}, {{Drops|Name=Imp Wing |6|16}}, {{Drops|Name=Kple Kple |7|24}}, {{Drops|Name=Leather Crakows |4|24}}, {{Drops|Name=Boarskin Crakows |1|9}}, {{Drops|Name=Salt Leek |1|16}}, {{Drops|Name=Steel-plated Jackboots|2|16}}, {{Drops|Name=Wild Onion |2|16}}, {{Drops|Name=Wildfowl Feather |5|24}}, {{Drops|Name=Padded Sheepskin Duckbills |1|8|}}",A,ge-mob-pages
Alvara Sourkiss,East Shroud,,Wanted: Alvara Sourkiss,,,,ge-mob-pages
Amalj'aa Bowyer,Eastern Thanalan,Drybone,Caravan Security (Drybone),42,,A,ge-mob-pages
Amalj'aa Bruiser,Western Thanalan,18-29,,27-29,{{Drops|Name= Bronze Amalj'ok| | }},A,ge-mob-pages
Amalj'aa Chief,The Battle for the Golden Bazaar,38-19,The Battle for the Golden Bazaar,59,,A,ge-mob-pages
Amalj'aa Divinator,Eastern Thanalan,47-27,,47-49,"{{Drops|Name=Buffalo Sirloin|1|1}},{{Drops|Name=Thanalan Tea Leaves|1|1}}",A,ge-mob-pages
Amalj'aa Drubber,Southern Thanalan,"(45,51)",,41+,Bronze Amalj'ok,,ge-mob-pages
Amalj'aa Grappler,Eastern Thanalan,,,,,A,ge-mob-pages
Amalj'aa Grappler,Southern Thanalan,,,,,A,ge-mob-pages
Amalj'aa Grunt,Eastern Thanalan,,,30,,A,ge-mob-pages
Amalj'aa Hunter,Western Thanalan,18-29,,27-29,{{Drops|Name= Bronze Amalj'ok| | }},A,ge-mob-pages
Amalj'aa Inculcator,Southern Thanalan,,Operation: Under Siege,,,,ge-mob-pages
Amalj'aa Javelineer,Western Thanalan,18-29,,27-29,{{Drops|Name= Bronze Amalj'ok| | }},A,ge-mob-pages
Amalj'aa Lancer,The Battle for the Golden Bazaar,38-19,The Battle for the Golden Bazaar,55,,A,ge-mob-pages
Amalj'aa Pugilist,Southern Thanalan,,,36-59,,A,ge-mob-pages
Amalj'aa Pugilist,The Battle for the Golden Bazaar,38-19,The Battle for the Golden Bazaar,55,,A,ge-mob-pages
Amalj'aa Shaman,The Battle for the Golden Bazaar,38-19,The Battle for the Golden Bazaar,55,,A,ge-mob-pages
Amalj'aa Stargazer,Western Thanalan,18-29,,27-29,{{Drops|Name= Bronze Amalj'ok||}},A,ge-mob-pages
Amalj'aa Striker,Eastern Thanalan,47-27,,32-34,"{{Drops|Name= Bronze Amalj'ok |9|19}}, {{Drops|Name= Buffalo Sirloin |4|19}}, {{Drops|Name= Thanalan Tea Leaves |3|19}}, {{Drops|Name= Buffalo Milk |7|19}}, {{Drops|Name= Sagolii Sage |6|19}}",A,ge-mob-pages
Amalj'aa Transfigurator,Southern Thanalan,,Operation: Warm Welcome,,,,ge-mob-pages
Amalj'aa Transfigurator,Southern Thanalan,,Operation: Broken Thunder,,,,ge-mob-pages
Amalj'aa Transfisticator,Southern Thanalan,,Operation: Warm Welcome,,,,ge-mob-pages
Amalj'aa Transfisticator,Southern Thanalan,,Operation: Broken Thunder,,,,ge-mob-pages
Amalj'aa Transfixer,Southern Thanalan,,Operation: Warm Welcome,,,,ge-mob-pages
Amalj'aa Transfixer,Southern Thanalan,,Operation: Broken Thunder,,,,ge-mob-pages
Amalj'aa Trooper,Southern Thanalan,,Operation: Warm Welcome,,,,ge-mob-pages
Amateur Footpad,Western Thanalan,,Securing Horizon's Edge,25,"{{Drops|Name=Buffalo Leather|0|5}}, {{Drops|Name=Tallow Candle|2|5}}",,ge-mob-pages
Amateur Footpad,Eastern La Noscea,,To Catch a Thief,20-32,"{{Drops|Name=Bent Silver Ingot}}, {{Drops|Name=Buffalo Leather}}",,ge-mob-pages
Amateur Highwayman,Eastern La Noscea,,To Catch a Thief,20-32,{{Drops|Name=Bent Silver Ingot}},,ge-mob-pages
Amateur Raider,Western Thanalan,,Securing Horizon's Edge,20-32,"{{Drops|Name=Buffalo Leather|0|5}}, {{Drops|Name=Crow Feather|3|5}}, {{Drops|Name=Tallow Candle|2|5}}",,ge-mob-pages
Amateur Raider,Eastern La Noscea,,To Catch a Thief,20-32,{{Drops|Name=Bent Silver Ingot}},,ge-mob-pages
Anemone,Eastern La Noscea,,,45 - 49,"{{Drops|Name=Jellyfish Umbrella||}},{{Drops|Name=Jellyfish Cnida||}},{{Drops|Name=Sunrise Tellin||}},{{Drops|Name=Blacklip Oyster||}},{{Drops|Name=Uncultured Pearl||}}",A,ge-mob-pages
Anemone,Lower La Noscea,,,50 - 54,"{{Drops|Name=Sunrise Tellin||}},{{Drops|Name=Jellyfish Cnida||}},{{Drops|Name=Jellyfish Umbrella||}},{{Drops|Name=Blacklip Oyster||}},{{Drops|Name=Uncultured Pearl||}}",A,ge-mob-pages
Anemone,Mistbeard Cove,5-5,,45 - 49,"{{Drops|Name=Jellyfish Umbrella|1|6}},{{Drops|Name=Jellyfish Cnida|0|6}},{{Drops|Name=Sunrise Tellin|0|6}},{{Drops|Name=Blacklip Oyster|1|6}},{{Drops|Name=Uncultured Pearl|0|6}}",A,ge-mob-pages
Angler,North Shroud,16-18,,,"{{Drops|Name=Orobon Liver||}},{{Drops|Name=Scallop Shell||}},{{Drops|Name=Miter Shell||}},{{Drops|Name=Hawksbill Shell||}}",A,ge-mob-pages
Angler,Western Thanalan,7-30,,,"{{Drops|Name=Orobon Liver||}},{{Drops|Name=Scallop Shell||}},{{Drops|Name=Miter Shell||}},{{Drops|Name=Hawksbill Shell||}}",A,ge-mob-pages
Ankle Biter,Lower La Noscea,,Treasures of the Main,,,,ge-mob-pages
Anole,South Shroud,,,,,A,ge-mob-pages
Anole,West Shroud,Turning Leaf,,,"{{Drops|Name=Unmarked Keystone|Link=|2|1}}, {{Drops|Name=Raptor Shank|Link=|1|1}}, {{Drops|Name=Raptor Sinew|Link=|1|1}}",A,ge-mob-pages
Anole,East Shroud,,,64,,A,ge-mob-pages
Anole Familiar,Western Thanalan,9-31,Career Opportunities,19,,A,ge-mob-pages
Anole Stalker,North Shroud,,Alone in the Dark,40-52,{{Drops|Name=Raptor Sinew|Link=|2|2}},A,ge-mob-pages
Antares,The Thousand Maws of Toto-Rak,Confession Chamber,,38,,,ge-mob-pages
Antelope Doe,South Shroud,"53-38, 39,49",,20-22,"{{Drops|Name=Antelope Shank||}}, {{Drops|Name=Antelope Sinew||}}, {{Drops|Name=Flax||}}, {{Drops|Name=Midland Basil||}}, {{Drops|Name=Coerthas Carrot||}}, {{Drops|Name=Popoto||}}",P,ge-mob-pages
Antelope Doe,West Shroud,30-24,,,,P,ge-mob-pages
Antelope Doe,Coerthas Eastern Lowlands,51-30,,19,,P,ge-mob-pages
Antelope Stag,Coerthas Central Lowlands,37-47,,,,A,ge-mob-pages
Antelope Stag,Coerthas Central Highlands,32-23,,50-54,"{{Drops|Name=Cotton Boll|Link=|2|2}}, {{Drops|Name=Antelope Sinew|Link=|2|2}}, {{Drops|Name=Antelope Shank|Link=|2|2}}, {{Drops|Name=Coerthas Carrot|Link=|2|2}}",A,ge-mob-pages
Antling Digger,Eastern Thanalan,42-30,,40-46,"{{Drops|Name=Formic Acid|22|54}}, {{Drops|Name=Ogre Pumpkin|11|54}}",A,ge-mob-pages
Antling Digger,Central Thanalan,33-24,,,,A,ge-mob-pages
Antling Digger,Copperbell Mines,3-4,,,"{{Drops|Name=Formic Acid||}}, {{Drops|Name=Drake Scales||}}, {{Drops|Name=Ogre Pumpkin||}}, {{Drops|Name=Biast Scales||}}",A,ge-mob-pages
Antling Digger,Western Thanalan,,,,,A,ge-mob-pages
Antling Forager,Southern Thanalan,,,,,A,ge-mob-pages
Antling Worker,Southern Thanalan,,Netting the Gnats,40-52,,A,ge-mob-pages
Antling Worker,Nanawa Mines,,Antling Invasion,30-42,,A,ge-mob-pages
Antling Worker,Western Thanalan,Horizon's Edge,Pride and Duty (Will Take You from the Mountain),33,,A,ge-mob-pages
Apep,Western Thanalan,10-18,,53,"{{Drops|Name=Basilisk Egg|Link=|2|2}}, {{Drops|Name=Jade|Link=|1|2}}",A,ge-mob-pages
Apkallu,Lower La Noscea,,,,"{{Drops|Name=Apkallu Egg||}},{{Drops|Name=Apkallu Down||}},{{Drops|Name=Saber Sardine||}},{{Drops|Name=Wahoo||}},{{Drops|Name=Jellyfish Umbrella||}}",A,ge-mob-pages
Arbor Squirrel,South Shroud,,,16,,,ge-mob-pages
Arbor Squirrel,Coerthas Eastern Lowlands,45-28,,19,,,ge-mob-pages
Arbor Squirrel,Coerthas Central Highlands,19-36,,19,,,ge-mob-pages
Ascian,Eastern Thanalan,,Toll of the Warden,,,,ge-mob-pages
Ashdrake,Coerthas Central Highlands,"32-20, 31-18",,43-49,"{{Drops|Name=Drake Scales|Link=|2|3}}, {{Drops|Name=Fire Rock|Link=|1|3}}",A,ge-mob-pages
Atomos,Mor Dhona,Camp Brittlebark,,60,Voidstone,A,ge-mob-pages
Atomos,Mor Dhona,Camp Revenant's Toll,,60,Voidstone,A,ge-mob-pages
Atomos,Coerthas Central Lowlands,Camp Ever Lakes,,60,Voidstone,A,ge-mob-pages
Atomos,Coerthas Eastern Lowlands,Camp Glory,,60,Voidstone,A,ge-mob-pages
Atomos,Northern Thanalan,Camp Bluefog,,60,Voidstone,A,ge-mob-pages
Atomos,Coerthas Central Highlands,Camp Dragonhead,,N/A,,A,ge-mob-pages
Atomos,North Shroud,Camp Emerald Moss,,N/A,,A,ge-mob-pages
Atomos,West Shroud,Camp Crimson Bark,,N/A,,A,ge-mob-pages
Atomos,Central Thanalan,Camp Black Brush,,N/A,,A,ge-mob-pages
Atomos,Western Thanalan,Camp Horizon,,N/A,,A,ge-mob-pages
Aurelia,Lower La Noscea,,,10-14,"{{Drops|Name=Jellyfish Umbrella||}}, {{Drops|Name=Jellyfish Cnida||}}, {{Drops|Name=Finger Shrimp||}}, {{Drops|Name=Miter Shell||}}, {{Drops|Name=Scallop Shell||}}",,ge-mob-pages
Aurelia,Western La Noscea,,,10-14,"{{Drops|Name=Jellyfish Umbrella||}}, {{Drops|Name=Jellyfish Cnida||}}, {{Drops|Name=Finger Shrimp||}}, {{Drops|Name=Miter Shell||}}, {{Drops|Name=Scallop Shell||}}",,ge-mob-pages
Aurelia,Shposhae,,,17-19,"{{Drops|Name=Jellyfish Umbrella|16|43}}, {{Drops|Name=Finger Shrimp|10|43}}, {{Drops|Name=Scallop Shell|3|43}}",A,ge-mob-pages
Aurora Angler,Central Shroud,26-34,,,"{{Drops|Name=Orobon Liver||}},{{Drops|Name=Scallop Shell||}},{{Drops|Name=Hawksbill Shell||}},{{Drops|Name=Blinking Eye||}}",A,ge-mob-pages
Aurora Angler,,,,,{{Drops|Name=|Link=||}},,ge-mob-pages
B'Khenna Phoenixfire,Southern Thanalan,,Still Wanted: B'Khenna Phoenixfire,,,,ge-mob-pages
B'khenna the Phoenixfire,Western Thanalan,,Wanted: B'khenna the Phoenixfire,,,,ge-mob-pages
Balloon,Nanawa Mines,6-6,,,{{Drops|Name=Bomb Ash||}},A,ge-mob-pages
Bandicoot,Southern Thanalan,27-34,,,,P,ge-mob-pages
Bandit Spearman,Coerthas Western Highlands,16-24,,45-49,"Oak Chips,Sour Red,Ala Mhigan Mustard,Wild Onion,Buffalo Hide",,ge-mob-pages
Banemite,Eastern Thanalan,,,,,A,ge-mob-pages
Banescale Guivre,East Shroud,41-23,,,,A,ge-mob-pages
Barbatos,Southern Thanalan,37-36,Always Bet on Black,,,A,ge-mob-pages
Bardi,Nanawa Mines,3-5,,42,"{{Drops|Name=Divining Hat| 4|21}}, {{Drops|Name=Toadskin Armguards| 3|11}}, {{Drops|Name=Iron Mitt Gauntlets| 0|21}}, {{Drops|Name=Leather Vambraces| 0|21}}, {{Drops|Name=Leather Subligar (Black)|0|21}}, {{Drops|Name=Velveteen Chausses| 0|21}}, {{Drops|Name=Velveteen Sarouel| 5|21}}, {{Drops|Name=Velveteen Tights| 2|21}}, {{Drops|Name=Hyena Fang| 9|21}}, {{Drops|Name=Wolf Fang| 0|21}}, {{Drops|Name=Wolf Hide| 0|21}}, {{Drops|Name=Antelope Sinew| 0|21}}, {{Drops|Name=Buffalo Hide| 0|21}}, {{Drops|Name=Hippogryph Sinew| 0|21}}, {{Drops|Name=Steel Vambraces| 3|21}}, {{Drops|Name=Prickly Pineapple| 7|21}}",A,ge-mob-pages
Bark Eft,West Shroud,31-8,,,,A,ge-mob-pages
Bark Weevil,Lower La Noscea,,Evil Weevils,,"{{Drops|Name=Weevil Elytron||1|5}}, {{Drops|Name=Cotton Boll|1|5}}, {{Drops|Name=Moko Grass|1|5}}",,ge-mob-pages
Bark Weevil,Central Thanalan,,Weevil Panic,,,,ge-mob-pages
Bark Weevil,Central Thanalan,24-26,Black Brush Behest,13,,A,ge-mob-pages
Barometz,Eastern La Noscea,35-17,,36,"{{Drops|Name=Crimson Tide |3|20}}, {{Drops|Name=Assault Sallet |0|20}}, {{Drops|Name=Canvas Hat |0|20}}, {{Drops|Name=Brass Preserves (Red)|0|20}}, {{Drops|Name=Brass Elmo |0|20}}, {{Drops|Name=Red Landtrap Leaf |9|20}}, {{Drops|Name=Dodo Skin |0|20}}, {{Drops|Name=Cotton Boll |9|20}}, {{Drops|Name=Growth Formula Alpha |1|20}}, {{Drops|Name=Cloves |7|20}}, {{Drops|Name=Flax |8|20}}, {{Drops|Name=Steel Goggles |3|20}}, {{Drops|Name=Steel Sallet |4|20}}, {{Drops|Name=Velveteen Bandana |3|20}}, {{Drops|Name=Velveteen Wedge Cap |3|20}}",A,ge-mob-pages
Basilisk,Southern Thanalan,,,,,A,ge-mob-pages
Basilisk,Northern Thanalan,9-18,,,,A,ge-mob-pages
Bastard Mite,The Thousand Maws of Toto-Rak,Interrogation Chamber,,39,,A,ge-mob-pages
Batraal,The Dzemael Darkhold,,,,,A,ge-mob-pages
Battle Drake,Zahar'ak,,,52-57,{{Drops|Name=Drake Scales|Link=|0|0}},A,ge-mob-pages
Battle Drake,The Battle for the Golden Bazaar,38-19,The Battle for the Golden Bazaar,55,,P,ge-mob-pages
Battrap,Upper La Noscea,28-11,,45 - 49,"{{Drops|Name=Gnat Wing||}}, {{Drops|Name=Flax||}}, {{Drops|Name=Dodo Skin||}}, {{Drops|Name=Cotton Boll||}}, {{Drops|Name=Blue Landtrap Leaf||}}",A,ge-mob-pages
Beady Beetle,Lower La Noscea,,,,{{Drops|Name=Weevil Elytron||}},,ge-mob-pages
Beady Beetle,Western La Noscea,20-9,,,,,ge-mob-pages
Beady Beetle,Eastern Thanalan,,,,"{{Drops|Name=Weevil Elytron||}}, {{Drops|Name=Blood Currants||}}",,ge-mob-pages
Bee Cloud,Central Shroud,,"Bees vs the Pilgrims, Help the Children",,,,ge-mob-pages
Beryl Crab,Eastern La Noscea,36-19,,20,"{{Drops|Name=Beryl Crab Shell (Quest Item)|Link=Quest Item|1000|1000}}, {{Drops|Name=Megalocrab Leg|Link=|3|8}}, {{Drops|Name=Megalocrab Leg|Link=|2|8}}",P,ge-mob-pages
Biast,Upper La Noscea,22-15,,,,A,ge-mob-pages
Bigmouth Orobon,Mistbeard Cove,5-5,,40-44,"{{Drops|Name=Orobon Liver|8|10}},{{Drops|Name=Black Sole|5|10}},{{Drops|Name=Blue Coral|0|10}},{{Drops|Name=Red Coral|1|10}}",A,ge-mob-pages
Bile Gnat,Upper La Noscea,,Annexing the Lake,,,A,ge-mob-pages
Bile Gnat,Southern Thanalan,,Netting the Gnats,40-52,,A,ge-mob-pages
Bile Gnat,East Shroud,,All Nine Ivies is a Stage,40-52,{{Drops|Name=Bone Chip|2|6}},A,ge-mob-pages
Bilge-soaked Buccaneer,Western La Noscea,,Operation: Reave-quest,,"Faerie Apple, Ala Mhigan Mustard, Coal Tar",,ge-mob-pages
Bixie,Turtleback Island,1-1,Skirmish,55,,A,ge-mob-pages
Black Bat,Eastern La Noscea,"35-24, 36-25, 40-18, 36-20, 34-18, 31-23, 33-22",,15-19,"{{Drops|Name=Bat Fang||}}, {{Drops|Name=Bat Wing||}}, {{Drops|Name=Cotton Boll||}}, {{Drops|Name=Chocobo Fly||}}, {{Drops|Name=Bronze Arrowheads||}}, {{Drops|Name=Firefly Elytron||}}",A,ge-mob-pages
Black Bat,South Shroud,,,15-19,"{{Drops|Name=Bat Fang||}}, {{Drops|Name=Bat Wing||}}, {{Drops|Name=Cotton Boll||}}, {{Drops|Name=Chocobo Fly||}}, {{Drops|Name=Bronze Arrowheads||}}, {{Drops|Name=Firefly Elytron||}}",A,ge-mob-pages
Black Bat,Shposhae,"6-7, 6-8, 5-7 5-8,",,15-16,"{{Drops|Name=Bat Fang|28|64}}, {{Drops|Name=Bat Wing|17|64}}, {{Drops|Name=Cotton Boll|11|64}}, {{Drops|Name=Chocobo Fly|27|64}}",P,ge-mob-pages
Black Crow Cleaver,Western La Noscea,5-12,,47-49,"{{Drops|Name=Faerie Apple|2|8}},{{Drops|Name=Black Pepper|2|8}},{{Drops|Name=Hawksbill Shell|1|8}}",A,ge-mob-pages
Black Crow Swashbuckler,Western La Noscea,5-12,,47-49,"{{Drops|Name=Ala Mhigan Mustard|3|5}},{{Drops|Name=Black Pepper|1|5}},{{Drops|Name=Hawksbill Shell|1|5}}",A,ge-mob-pages
Black Eft,The Tam-Tara Deepcroft,,,,{{Drops|Name=Eft Tail||}},A,ge-mob-pages
Black Eft,East Shroud,,,,"{{Drops|Name=Eft Tail||}}, {{Drops|Name=Yew Branch||}}",A,ge-mob-pages
Black Eft,North Shroud,,,,,A,ge-mob-pages
Black Wolf (1.x),West Shroud,Turning Leaf,,53-56,"{{Drops|Name=Unmarked Keystone|Link=|0|0}}, {{Drops|Name=Wolf Fang|Link=|0|0}}, {{Drops|Name=Wolf Hide|Link=|0|0}}",A,ge-mob-pages
Blind Eft,Mistbeard Cove,"8-5, 10-4",,40-44,{{Drops|Name=Eft Tail|25|103}},A,ge-mob-pages
Bloated Bogy,Western Thanalan,"9-20, 16-33",,21-23,"{{Drops|Name=Hempen Yarn|2|2}},{{Drops|Name=Undyed Cotton Cloth|1|2}},{{Drops|Name=Undyed Hempen Cloth|1|2}},{{Drops|Name=Cotton Fent||}},{{Drops|Name=Hempen Fent||}}",A,ge-mob-pages
Bloated Burble,North Shroud,,A Fine Host,40-52,"{{Drops|Name=Chanterelle|Link= |1|4}}, {{Drops|Name=Garlean Garlic|Link=|3|4}}, {{Drops|Name=Straw|Link= |1|4}}",P,ge-mob-pages
Bloodied Buccaneer,Western La Noscea,,Operation: Reave-quest,,"Faerie Apple, Ala Mhigan Mustard, Coal Tar, Black Pepper",,ge-mob-pages
Bloodshore Bell,Eastern La Noscea,"35-14, 37-16, 41-17, 43-18",,20-22,"{{Drops|Name=Jellyfish Cnida||}},{{Drops|Name=Jellyfish Umbrella||}},{{Drops|Name=Finger Shrimp||}},{{Drops|Name=Miter Shell||}},{{Drops|Name=Scallop Shell||}}",P,ge-mob-pages
Bloodshot Eye,North Shroud,,Eyeopener,40-52,"{{Drops|Name=Ahriman Wing|Link= |3|8}}, {{Drops|Name=Chocobo Feather|Link=|2|8}}",A,ge-mob-pages
Bloodthirsty Wolf,Central Shroud,,Sundered Skies,1,,P,ge-mob-pages
Bloody Revenant,Western La Noscea,"7-11, 7-14",,41,{{Drops|Name=Cotton Yarn|Link=|1|2}},A,ge-mob-pages
Blotched Mongrel,Southern Thanalan,,Thwack Ye Mole,40-52,,A,ge-mob-pages
Blotched Mongrel,Southern Thanalan,,Whipping the Curs,40-52,"{{Drops|Name=Hyena Fang|Link=|4|6}}, {{Drops|Name=Prickly Pineapple|Link=|5|6}}",A,ge-mob-pages
Blotched Mongrel,Eastern Thanalan,,Cat Eat Dog,40-52,{{Drops|Name=Prickly Pineapple|Link=|1|6}},A,ge-mob-pages
Bog Yarzon,Eastern La Noscea,,"Yarz on Me, Awful Offal",,{{Drops|Name=Blue Yarzon Leg||}},,ge-mob-pages
Bog Yarzon,The Mun-Tuy Cellars,,Necrologos: The Ever-reaching Claw,,,,ge-mob-pages
Bog Yarzon,Nanawa Mines,,Necrologos: Torn Asunder,,,,ge-mob-pages
Bogy,Eastern Thanalan,43-18,,,"{{Drops|Name=Cotton Fent|4|5}},{{Drops|Name=Hempen Fent||}},{{Drops|Name=Hempen Yarn|1|5}},{{Drops|Name=Undyed Hempen Cloth|1|3}},{{Drops|Name=Undyed Cotton Cloth||}},{{Drops|Name=Formic Acid||}},{{Drops|Name=Mole Meat||}}",,ge-mob-pages
Bomb Baron,Cassiopeia Hollow,Western Section,,42,"{{Drops|Name=Brimstone |1|24}}, {{Drops|Name=Bomb Ash |4|24}}, {{Drops|Name=Bomb Arm |2|24}}, {{Drops|Name=Flametongue |3|24}}, {{Drops|Name=Latex |2|24}}, {{Drops|Name=Linen Hat |2|24}}, {{Drops|Name=Steel Celata|2|24}}, {{Drops|Name=Woolen Coif |3|24}}",A,ge-mob-pages
Bomb Ember,Nanawa Mines,5-4,,30,"{{Drops|Name=Bomb Arm||}}, {{Drops|Name=Bomb Ash||}}, {{Drops|Name=Brimstone||}}, {{Drops|Name=Latex||}}",A,ge-mob-pages
Bomb (Enemy),Cassiopeia Hollow,,,,{{Drops|Name=Bomb Ash||}},,ge-mob-pages
Bone Nix,The Dzemael Darkhold,,,52,,A,ge-mob-pages
Branded Drake,Southern Thanalan,,Operation: Bloody Scales,,{{Drops|Name=Magicked Drake Scale||}},A,ge-mob-pages
Branded Drake,Southern Thanalan,,Operation: Under Siege,,,A,ge-mob-pages
Brimstone Bomb,Eastern Thanalan,,Preventing the Plague,40-52,,A,ge-mob-pages
Brine Bogy,Western La Noscea,,Annexing the Valley,,,A,ge-mob-pages
Bristletail Marmot,North Shroud,,The Search for Sicksa,,,,ge-mob-pages
Brutal Sheep,Coerthas Eastern Lowlands,"55-31,32",,40 - 43,"{{Drops|Name=Flax||}}, {{Drops|Name=Gysahl Greens||}}, {{Drops|Name=Karakul Fleece||}}, {{Drops|Name=Mutton Loin||}}",P,ge-mob-pages
Buata,West Shroud,15-40,,55,"{{Drops|Name=Boar Hide||}}, {{Drops|Name=Unmarked Keystone|Link=|10|1}}",A,ge-mob-pages
Bumble Beetle,Lower La Noscea,26-28,,7,"{{Drops|Name=Blood Currants|Link=|1|4}}, {{Drops|Name=Cotton Boll|Link=|1|4}}, {{Drops|Name=Weevil Elytron|Link=|1|4}}, {{Drops|Name=Moko Grass|Link=|1|4}}",P,ge-mob-pages
Bumble Beetle,Central Thanalan,"26-28, 26-29, 28-33, 28-34",,1-2,"{{Drops|Name=Blood Currants|Link=|1|4}}, {{Drops|Name=Cotton Boll|Link=|1|4}}, {{Drops|Name=Weevil Elytron|Link=|1|4}}, {{Drops|Name=Moko Grass|Link=|1|4|}}",P,ge-mob-pages
Burble,Eastern La Noscea,"32-24, 32-23",,20-22,"{{Drops|Name=Garlean Garlic|Link=|5|10}}, {{Drops|Name=Straw|Link=|3|10}}, {{Drops|Name=Chanterelle|Link=|1|10}}, {{Drops|Name=Snurble Tufts|Link=|2|10}},",P,ge-mob-pages
Burned Brother,Zahar'ak,,,55,{{Drops|Name=Inferno Taper|Link=|0|0}},A,ge-mob-pages
Buzzard,Eastern La Noscea,,,,,A,ge-mob-pages
