side,family,client_race_id,ge_mob_count,counterpart,evidence_counterpart,evidence_mobs,nearest_unmatched
ge,Morbol,,3,Morbol,Morbol,3,
ge,Ogre,,5,Ogre,Ogre,5,
ge,Opo-Opo,,1,Opo-opo,Opo-opo,1,
ge,Opo-opo,,13,Opo-opo,Opo-opo,13,
ge,Plasmoid,,2,,ウィル・オー・ウィスプ (仮),2,
ge,Primal,,3,,,,Ahriman
ge,Puk,,14,Puk,Puk,14,
ge,Qiqirn,,8,Qiqirn,Qiqirn,8,
ge,Ram,,12,,Sheep,12,Rat
ge,Raptor,,8,Raptor,Raptor,8,
ge,Rodent,,27,,Rat,27,
ge,Salamander,,14,Salamander,Salamander,14,
ge,Slug,,14,Slug,Slug,14,
ge,Snurble,,4,,Phurble,4,Phurble
ge,Spriggan,,11,Spriggan,Spriggan,11,
ge,Swarm,,10,Swarm,Swarm,10,
ge,Sylph,,5,Sylph,Sylph,5,
ge,Toad,,8,,Gigantoad,8,
ge,Treant,,3,Treant,Treant,3,
ge,Unknown,,5,,,,
ge,Vulture,,8,Vulture,Vulture,8,
ge,Wight,,8,Wight,Wight,8,
ge,Wisp,,17,,妖火 (仮),16,
ge,Wolf,,27,Wolf/Hyena/Hellhound,Wolf/Hyena/Hellhound,27,
ge,Yarzon,,13,Yarzon,Yarzon,13,
client,Puk,1001,,Puk,Puk,14,
client,Raptor,1002,,Raptor,Raptor,8,
client,Antelope,1003,,Antelope,Antelope,9,
client,Hippogryph,1004,,Hippogryph,Hippogryph,8,
client,Opo-opo,1005,,Opo-Opo | Opo-opo,Opo-opo | Opo-Opo,14,
client,Gnat,1006,,Gnat,Gnat,12,
client,Basilisk,1007,,Basilisk,Basilisk,12,
client,Buffalo,1008,,Buffalo,Buffalo,3,
client,Sabotender,1009,,,Cactuar,9,Salamander
client,Morbol,1010,,Morbol,Morbol,3,
client,Crab,1011,,Crab,Diremite,19,
client,Vulture,1012,,Vulture,Vulture,8,
client,Salamander,1013,,Salamander,Salamander,14,
client,Wolf/Hyena/Hellhound,1014,,Wolf,Wolf,27,
client,Boar,1015,,Boar,Boar,10,
client,Bomb,1016,,Bomb,Bomb | Wisp,14,
client,Ahriman,1017,,Ahriman,Ahriman,15,
client,Zombie,1018,,,Fomor,14,Bomb
client,Wight,1019,,Wight,Wight,8,
client,Cockatrice,1020,,Cockatrice,Cockatrice,12,
client,Coblyn,1021,,Coblyn,Coblyn,10,
client,Drake,1022,,Drake,Drake,19,
client,Aldgoats,1023,,Aldgoat,Aldgoat,13,
client,Juggernaut,1024,,Juggernaut,Juggernaut,1,
client,Ogre,1025,,Ogre,Ogre,5,
client,Imp,1026,,Imp,Imp,8,
client,Flytrap,1027,,,Landtrap,24,
client,Treant,1028,,Treant,Treant,3,
client,Apkallu,1029,,Apkallu,Apkallu,4,
client,Antling,1030,,Antling,Antling,11,
client,Gigantoad,1031,,,Toad,8,
client,Couerl,1032,,,Coeurl,1,Coeurl
client,Goobbue,1033,,Goobbue,Goobbue,4,
client,Flan,1034,,Flan,Flan,4,
client,Gargoyle,1035,,Gargoyle,Gargoyle,2,
client,Wyvern,1038,,,,,
client,Weevil,1039,,,Beetle,11,
client,Rat,1040,,,Rodent,27,Raptor | Ram
client,Bat,1041,,Bat,Bat,10,
client,Slug,1042,,Slug,Slug,14,
client,Ghost,1043,,Ghost,Ghost,16,
client,Phurble,1044,,,Snurble,4,Snurble
client,Angler,1045,,Angler,Angler,15,
client,Fire Elemental,1046,,,Elemental,2,Elemental
client,Ice Elemental,1047,,,Elemental,2,Elemental
client,Air Elemental,1048,,,Elemental,1,Elemental
client,Earth Elemental,1049,,,Elemental,2,Elemental
client,Lightning Elemental,1050,,,Elemental,1,Elemental
client,Water Elemental,1051,,,Elemental,1,Elemental
client,Elemental,1052,,Elemental,Elemental,1,
client,Swarm,1053,,Swarm,Swarm,10,
client,Jellyfish,1054,,,Aurelia,12,
client,Yarzon,1055,,Yarzon,Yarzon,13,
client,Chigoe,1056,,Chigoe,Chigoe,11,
client,Hedgemole,1057,,,Mole,15,
client,Firefly,1058,,Firefly,Firefly,5,
client,Funguar,1059,,Funguar,Funguar,12,
client,Sheep,1060,,,Ram,12,
client,Spriggan,1062,,Spriggan,Spriggan,11,
client,Qiqirn,1063,,Qiqirn,Qiqirn,8,
client,Ixal,1064,,Ixal,Ixal,24,
client,Amlaj'aa,1065,,,Amalj'aa,14,Amalj'aa
client,Kobold,1066,,Kobold,Kobold,24,
client,Sylph,1067,,Sylph,Sylph,5,
client,Dragon,1068,,,,,
client,Ascian,1069,,Ascian,Ascian,1,
client,Imperial,1070,,,Enemy Humanoid,3,
client,Bandit,1071,,,,,Bat
client,Pirate,1072,,,,,
client,Ifrit,1073,,,Primal | Unknown,2,
client,Titan,1074,,,,,
client,Crab,1076,,Crab,Crab,18,
client,エリマキトカゲ (仮),1081,,,,,
client,キマイラ (仮),1087,,,Chimera,1,
client,Golem (1.2),1089,,,Golem,2,Golem
client,キラーマシン(仮),1090,,,Magitek Armor,1,
client,Garuda,1095,,,Primal | Unknown,2,
client,カーシー (仮),1098,,,,,
client,妖火 (仮),1099,,,Wisp,16,
client,ウィル・オー・ウィスプ (仮),1100,,,Plasmoid,2,
client,戦士 (仮),1101,,,,,
client,障害物 (仮),1102,,,,,
client,Goblin,1103,,Goblin,Goblin,7,
client,モーグリ,1104,,,Moogle,7,
client,チョコボ,1105,,,,,
client,黒子,1106,,,,,
client,サイクロプス,1107,,,Cyclopes,1,
client,オブジェクト,1108,,,Unknown,2,
client,アニマオブジェクト,1109,,,Unknown,1,
