client_display_name,client_race_id,client_race_name,actor_ids,name_relation,documented_siblings,id_neighbors,bracket_basis,race_run_position,spawn_container,leve_basis,client_leve,client_quest,leve_candidates,leve_one_sided,band_level_floor,band_zone_hint,level_bracket_low,level_bracket_high,zone_candidates
brutal karakul ewe,1060,Sheep,2206011,sibling-base,Karakul Ewe | Lost Ewe | Mad Karakul Ewe,Stray Karakul Ram | Stray Karakul Ewe,flanked,0.8649,leve-or-quest,flanked,,,Wanted: Godwin Goodgoat,,,,30,30,Lower La Noscea
brutal karakul ram,1060,Sheep,2206012,sibling-base,Raging Ram | Stray Karakul Ram,Stray Karakul Ram | Stray Karakul Ewe,flanked,0.8919,leve-or-quest,flanked,,,Wanted: Godwin Goodgoat,,,,30,30,Lower La Noscea
butcher basilisk,1007,Basilisk,2200705,sibling-base,Basilisk | Rainbow Basilisk,Fellbite Peiste | Peiste Familiar,flanked,0.7714,leve-or-quest,flanked,Looting the Larder,,Bigger Fish to Fry | Desert Defilement | Dunesfolk for Dinner,,,,19,45,Eastern La Noscea | Eastern Thanalan | Southern Thanalan
carbonized coblyn,1021,Coblyn,2202115,sibling-base,Cavernulous Coblyn | Copper Coblyn | Corroded Coblyn,Territorial Coblyn,above-race-high,0.9773,leve-or-quest,above-band-high,,,,Caravan Security,,,,,
carnivorous cassiopeia,1054,Jellyfish,2205410,sibling-base,Cassiopeia,Anemone | Drifting Anemone,flanked,0.9259,leve-or-quest,flanked,,,Sharing the Load | Soft Targets,,,,45,45,Eastern La Noscea | Lower La Noscea | Mistbeard Cove
cave crab,1076,Crab,2207609,sibling-base,Beryl Crab | Delta Crab | Giant Crab,Lake Crab | Territorial Megalocrab,flanked,0.8919,leve-or-quest,flanked,,,Caravan Security | Out of its Shell | Slugging it Out,,,,40,48,East Shroud | North Shroud | Western La Noscea
cave yarzon,1055,Yarzon,2205519,sibling-base,Bog Yarzon | Hill Yarzon | Sand Yarzon,Territorial Yarzon | Hill Yarzon,flanked,0.9512,leve-or-quest,flanked,,,Alone in the Dark | Caravan Security | Eyeopener,,,,29,40,North Shroud | Western Thanalan
chasm condor,1012,Vulture,2101206,sibling-base,Canyon Condor | Condor,Condor | Buzzard,flanked,0.2273,persistent,,,,,,,,40,40,Coerthas Central Highlands | East Shroud | Eastern La Noscea
chitinous coblyn,1021,Coblyn,2202104 2202105,sibling-base,Cavernulous Coblyn | Copper Coblyn | Corroded Coblyn,Cavernulous Coblyn | Corrosive Coblyn,flanked,0.7273,leve-or-quest,flanked,,,Culling All Coblyns | The Unheard Horizon,,,,10,20,Central Thanalan | Eastern Thanalan | Western Thanalan
cinderwing,1012,Vulture,2101208,race-documented,,Condor | Buzzard,flanked,0.3182,persistent,,,,,,,,40,40,Coerthas Central Highlands | East Shroud | Eastern La Noscea
clay golem,1089,Golem (1.2),2208903,sibling-base,Lunar Golem | Stone Golem,Lunar Golem,below-race-low,0.5455,leve-or-quest,below-band-low,,,,The Raven Nevermore | To Kill a Raven,,,,,
clever dodo,1020,Cockatrice,2202011,sibling-base,Dodo | Fat Dodo | Feral Dodo,Moonblind Dodo | Cadaverous Cockatrice,flanked,0.9333,leve-or-quest,flanked,,No Other Dodo Will Do,A Terrible Thirst | All Cracked Up | The Unheard Horizon,,,,20,40,Southern Thanalan | Western Thanalan
cliff yarzon,1055,Yarzon,2205509,sibling-base,Bog Yarzon | Hill Yarzon | Sand Yarzon,Bog Yarzon | Territorial Yarzon,flanked,0.7073,leve-or-quest,flanked,Cliff Haranguers,,Awful Offal | Caravan Security | Necrologos: The Ever-reaching Claw,,,,29,35,Eastern La Noscea | Nanawa Mines | The Mun-Tuy Cellars
cloud dragon,1081,エリマキトカゲ (仮),2208101,race-undocumented,,,no-level-bearing-race-mate,0.6667,leve-or-quest,no-tagged-band-mate,,,,,,,,,
coerthas spriggan,1062,Spriggan,2206207,sibling-base,Sabletooth Spriggan | Scrambling Spriggan | Scurrying Spriggan,Spriggan | Spriggan,flanked,0.7750,leve-or-quest,flanked,,,An Old Fashioned Exorcism | Black Brush Behest | Sprightly Spriggans,,,,5,5,Central Shroud | Central Thanalan | Eastern Thanalan
coliseum mite,1011,Crab,2201108,sibling-base,Bastard Mite | Cell Mite | Horde Mite,Diremite | Miteling,flanked,0.6000,leve-or-quest,below-band-low,,,,Caravan Security,,,20,50,Mor Dhona | Northern Thanalan | Western Thanalan
coliseum yarzon,1055,Yarzon,2205517,sibling-base,Bog Yarzon | Hill Yarzon | Sand Yarzon,Bog Yarzon | Territorial Yarzon,flanked,0.9024,leve-or-quest,flanked,,,Awful Offal | Caravan Security | Necrologos: The Ever-reaching Claw,,,,29,35,Eastern La Noscea | Nanawa Mines | The Mun-Tuy Cellars
corridor condor,1012,Vulture,2201203 2201204,sibling-base,Canyon Condor | Condor,Scout Vulture | Buzzard,flanked,0.7273,leve-or-quest,below-band-low,,,,Proof is in the Pudding.,,,40,50,East Shroud | Eastern La Noscea | Northern Thanalan
courting banemite,1011,Crab,2201112,sibling-base,Banemite | Dwarf Banemite,Miteling | Alpha Miteling,flanked,0.6889,leve-or-quest,below-band-low,,,,Caravan Security,,,20,50,Eastern Thanalan | Western Thanalan
courting diremite,1011,Crab,2201111,sibling-base,Diremite | Dwarf Diremite | Vale Diremite,Miteling | Alpha Miteling,flanked,0.6667,leve-or-quest,below-band-low,,,,Caravan Security,,,20,50,Eastern Thanalan | Western Thanalan
curious pteroc,1001,Puk,2200110,sibling-base,Illtempered Pteroc.jpg | Prison Pteroc | Ringtail Pteroc,Illtempered Pteroc.jpg | Puk,flanked,0.8571,leve-or-quest,above-band-high,,,,Necrologos: Torn Asunder,,,20,45,Nanawa Mines | The Thousand Maws of Toto-Rak
dart slug,1042,Slug,2204211,sibling-base,Ghost Slug | Giant Slug | Sand Slug,Sea Hare | Salt Hare,flanked,0.8000,leve-or-quest,flanked,,The Cove,Best Cellars | Wanted: Ser Aucheforne of the High Tide,,,,30,35,Cassiopeia Hollow | Mistbeard Cove | The Mun-Tuy Cellars
dastardly devilet,1026,Imp,2102607 2102608,sibling-base,Darkeye Devilet | Darkwing Devilet | Devilet,Devilet | Alux,flanked,0.2609,persistent,,,,,,,,40,42,The Mun-Tuy Cellars | The Tam-Tara Deepcroft | Western La Noscea
deadly dormouse,1040,Rat,2104016 2104020,sibling-base,Dire Dormouse | Dormouse | Drunken Dormouse,Hispid Dormouse | Pygmy Dormouse,flanked,0.2778,persistent,,,,,,,,35,45,Central Shroud | Eastern La Noscea
deadly nightshade,1027,Flytrap,2202714,race-documented,,Alpha Roseling | Territorial Roselet,flanked,0.8605,leve-or-quest,flanked,,Oil Crisis,Caravan Security,,,,30,48,North Shroud | South Shroud
death-marked billygoat,1023,Aldgoats,2202303,sibling-base,Longhorn Billygoat | Lowland Billygoat | Mosshorn Billygoat,Sure-footed Billygoat | Lowland Nannygoat,flanked,0.7000,leve-or-quest,flanked,,The Big Payback,A Terrible Thirst | Dodos and Popotoes | Necrologos: Celeritous Impetus,,,,20,40,Cassiopeia Hollow | Central Shroud | Eastern La Noscea
deepground angler,1045,Angler,2204508,sibling-base,Angler | Aurora Angler | Greedy Angler,Orobon | Territorial Angler,flanked,0.8571,leve-or-quest,flanked,,,Caravan Security | From the Sea to the Trees | Necrologos: Celeritous Impetus,,,,35,50,Cassiopeia Hollow | Eastern Thanalan
deepsea angler,1045,Angler,2204507,sibling-base,Angler | Aurora Angler | Greedy Angler,Orobon | Territorial Angler,flanked,0.8214,leve-or-quest,flanked,,,Caravan Security | From the Sea to the Trees | Necrologos: Celeritous Impetus,,,,35,50,Cassiopeia Hollow | Eastern Thanalan
deepvoid butcher,1035,Gargoyle,2103504 2103505,race-documented,,Barbatos,no-level-bearing-race-mate,0.3000,persistent,,,,,,,,,,
deepvoid slave,1025,Ogre,2102507 2102508 2302501,sibling-base,Aetherbound Slave,Headrip Ogre | Manipulated Ogre,flanked,0.4615,persistent | instanced-dungeon,,,,,,35,The Dzemael Darkhold | The Thousand Maws of Toto-Rak | Cutter's Cry | The Aurum Vale,55,85,Mor Dhona | Northern Thanalan | Southern Thanalan
delinquent sylph,1067,Sylph,2206707 2206708 2206709 2206710 2206711 2206712 2206713 2206714,sibling-base,Green Dewflower Sylph | Red Dewflower Sylph | Turquoise Dewflower Sylph,Yellow Dewflower Sylph,above-race-high,0.8222,leve-or-quest,above-band-high,Operation: Sylph Stalkings,,,Operation: Sylph Stalkings,,,,,
desert rose,1009,Sabotender,2100909 2100913,race-documented,,Sabotender Del Sol | Cactuar Jack,flanked,0.3333,persistent,,,,,,,,47,75,Central Shroud | Central Thanalan | North Shroud
diaphanous doblyn,1021,Coblyn,2202107 2202108,sibling-base,Heliodor Doblyn | Quartz Doblyn | Sphene Doblyn,Cavernulous Coblyn | Corrosive Coblyn,flanked,0.7955,leve-or-quest,flanked,,,Culling All Coblyns | The Unheard Horizon,,,,10,20,Central Thanalan | Eastern Thanalan | Western Thanalan
djigga,1056,Chigoe,2205609,sibling-base,Buzzing Djigga | Gorged Djigga | Jumping Djigga,Chiglet | Chigoe,flanked,0.7857,leve-or-quest,flanked,Preventing the Plague | Volatile Vitals,,Annexing the Rock | Caravan Security | Crushing Chiglets,,,,3,4,Central Shroud | Central Thanalan | Lower La Noscea
doblyn,1021,Coblyn,2202110,sibling-base,Heliodor Doblyn | Quartz Doblyn | Sphene Doblyn,Cavernulous Coblyn | Corrosive Coblyn,flanked,0.8636,leve-or-quest,flanked,,,Culling All Coblyns | The Unheard Horizon,,,,10,20,Central Thanalan | Eastern Thanalan | Western Thanalan
doe,1003,Antelope,2100310 2200305 2200308,sibling-base,Antelope Doe | Fevered Doe | Foraging Doe,Sirocco | Antelope Doe,flanked,0.3333,persistent | leve-or-quest,flanked,,,A Fine Host | The Root of the Problem,,,,20,42,Central Shroud | Coerthas Eastern Lowlands | South Shroud
draught drake,1022,Drake,2102202,sibling-base,Battle Drake | Branded Drake | Inferno Drake,Sundrake | Flamedrake,flanked,0.0270,persistent,,,,,,,,60,70,Central Thanalan | Coerthas Central Highlands | Coerthas Eastern Highlands
dung gnat,1006,Gnat,2200603,sibling-base,Alpha Gnat | Bile Gnat | Gall Gnat,Bile Gnat | Giant Gnat,flanked,0.6800,leve-or-quest,flanked,,,All Nine Ivies is a Stage | Annexing the Lake | Caravan Security,,,,32,40,East Shroud | Lower La Noscea | Southern Thanalan
dung midge swarm,1053,Swarm,2105311 2105312,sibling-base,Emerald Bee Swarm | Honeybee Swarm | Hoverfly Swarm,Sun Midge Swarm | Syrphid Swarm,flanked,0.3846,persistent,,,,,,,,6,15,Eastern La Noscea | Lower La Noscea | Southern Thanalan
dusk bat,1041,Bat,2104104,sibling-base,Black Bat | Cave Bat | Giant Bat,Black Bat | Giant Bat,flanked,0.1364,persistent,,,,,,,,15,25,Cassiopeia Hollow | Central Shroud | Eastern La Noscea
earth homunculus,1049,Earth Elemental,2104907 2104908,sibling-prefix,,Earth Elemental | Earth Elemental,flanked,0.4286,persistent,,,,,,,,30,30,Cassiopeia Hollow | East Shroud | Eastern La Noscea
eft,1013,Salamander,2101301 2101302 2101319,sibling-base,Alpha Eft | Bark Eft | Black Eft,Surf Eft,below-race-low,0.0000,persistent,,,,,,,,,,
elder goobbue,1033,Goobbue,2103304,sibling-base,Escaped Goobbue | Goobbue | Mildewed Goobbue,Mossy Goobbue | Goobbue,flanked,0.3333,persistent,,,,,,,,65,75,Eastern La Noscea | Lower La Noscea
enraged nannygoat,1023,Aldgoats,2202307,sibling-base,Longhorn Nannygoat | Lowland Nannygoat | Mosshorn Nannygoat,Lowland Nannygoat | Aldgoat Nanny,flanked,0.8333,leve-or-quest,flanked,,,Dodos and Popotoes | Necrologos: Celeritous Impetus | Skirmish,,,,20,20,Cassiopeia Hollow | Central Shroud | Eastern La Noscea
errant spirit,1043,Ghost,2104306,sibling-prefix,,Bloated Bogy | Phantasma,flanked,0.1000,persistent,,,,,,,,10,20,North Shroud | Western Thanalan
escaped lemming,1040,Rat,2204005,race-documented,,Pack Rat | Nutbreaker Squirrel,flanked,0.5926,leve-or-quest,flanked,,,A Beardful of Rats | Missing Teeth | My Very First Adventure,,,,10,20,Lower La Noscea | South Shroud | Western La Noscea
fire homunculus,1046,Fire Elemental,2104607,sibling-prefix,,Fire Elemental | Fire Elemental,flanked,0.3750,persistent,,,,,,,,30,30,Eastern La Noscea | Eastern Thanalan | Lower La Noscea
fledgling apkallu,1029,Apkallu,2102906 2102907 2102908,sibling-base,Apkallu | Emperor Apkallu | King Apkallu,Apkallu | Apkallu,flanked,0.5556,persistent,,,,,,,,55,55,Lower La Noscea
flickering firefly,1058,Firefly,2205805,sibling-base,Evenfall Firefly | Firefly,Firefly,above-race-high,1.0000,leve-or-quest,above-band-high,,,,An Old Fashioned Exorcism | Hidden Behind a Hide | Leaders of the Pack,,,,,
forest familiar,1040,Rat,2204011,race-documented,,Chinchilla | Dire Dormouse,flanked,0.7037,leve-or-quest,flanked,,,Court in the Sands | Reforesting Humblehearth | What the Devilet Dons,,,,10,35,Central Shroud | Central Thanalan | East Shroud
frenzied anemone,1054,Jellyfish,2205406,sibling-base,Anemone | Drifting Anemone,Drifting Anemone | Aurelia,flanked,0.7778,leve-or-quest,flanked,,,Sharing the Load | Soft Targets,,,,10,45,Lower La Noscea | North Shroud | Shposhae
frightened crab,1076,Crab,2207613,sibling-base,Beryl Crab | Delta Crab | Giant Crab,Ironshell,above-race-high,1.0000,leve-or-quest,above-band-high,,,,Eye of the Dragon,,,,,
galago,1005,Opo-opo,2100511 2200506,sibling-base,Canopy Galago | Curious Galago | Longclaw Galago,Jackanapes | Lemur,flanked,0.3448,persistent | leve-or-quest,flanked,Impish Intentions | Sating the Simians | Secret of the Sewers,Stone Deaf,Caravan Security | Secret of the Sewers,,,,36,40,North Shroud | South Shroud | The Tam-Tara Deepcroft
giltrap,1027,Flytrap,2302703,race-documented,,Mitetrap | Lily of the Vale,flanked,0.9535,instanced-dungeon,,,,,,35,The Aurum Vale | The Thousand Maws of Toto-Rak,39,53,The Aurum Vale | The Thousand Maws of Toto-Rak
gnattrap,1027,Flytrap,2102711,race-documented,,Battrap | Kedtrap,flanked,0.2326,persistent,,,,,,,,45,55,Lower La Noscea | Upper La Noscea
gnawing gnat,1006,Gnat,2100609,sibling-base,Alpha Gnat | Bile Gnat | Gall Gnat,Redwing Ked | Prince of Pestilence,flanked,0.3200,persistent,,,Say it with Wolf Tails,,,,,47,65,Central Shroud | Coerthas Central Lowlands | Coerthas Eastern Highlands
go zu's sword bearer,1066,Kobold,2206624,race-documented,,Kobold Junkman | Kobold Bedesman,flanked,0.9468,leve-or-quest,flanked,,,Caravan Security,,,,52,53,Western La Noscea
goblin bushwhacker,1103,Goblin,2110310,sibling-prefix,,Goblin Mugger | Goblin Headman,flanked,0.5625,persistent,,,,,,,,71,90,Murmur Rills | South Shroud
goblin butcher,1103,Goblin,2110307 2110308,sibling-prefix,,Goblin Bouncer | Goblin Mugger,flanked,0.3750,persistent,,,,,,,,50,71,Coerthas Central Highlands | Coerthas Eastern Lowlands | Mor Dhona
goblin robber,1103,Goblin,2210303,sibling-prefix,,Goblin Braggadocio,above-race-high,1.0000,leve-or-quest,no-tagged-band-mate,,,,,,,,,
goldfang adebb chah,1065,Amlaj'aa,2206515,race-documented,,Amalj'aa Transfigurator | Amalj'aa Transfigurator,flanked,0.6364,leve-or-quest,flanked,Operation: Pulling Fangs,,Operation: Broken Thunder | Operation: Warm Welcome,,,,45,45,Southern Thanalan
golem tender,1062,Spriggan,2206211 2206212 2206213,race-documented,,Spriggan | Spriggan Bezzler,flanked,0.8750,leve-or-quest,flanked,,,An Old Fashioned Exorcism | Black Brush Behest | Sprightly Spriggans,,,,5,30,Central Shroud | Central Thanalan | Eastern Thanalan
good king moggle mog xii,1104,モーグリ,2210408,race-documented,,Pukna Pako the Tailturner,above-race-high,1.0000,leve-or-quest,above-band-high,,,,A Feast of Fools,,,,,
greedy orobon,1045,Angler,2204503,sibling-base,Alpgrot Orobon | Bigmouth Orobon | Orobon,Greedy Angler | Angler,flanked,0.6786,leve-or-quest,flanked,,,Caravan Security | From the Sea to the Trees | Necrologos: Celeritous Impetus,,,,20,30,Central Shroud | North Shroud | Western Thanalan
headsman's hex,1064,Ixal,2106473,sibling-prefix,,Natalan Sentry | Ixali Bravo,flanked,0.6486,persistent,,,,,,,,45,59,Coerthas Central Highlands | East Shroud | Natalan
headsman's lance,1064,Ixal,2106452,sibling-prefix,,Natalan Sentry | Natalan Logsplitter,flanked,0.4595,persistent,,,,,,,,50,59,Natalan
hearty victual,1042,Slug,2304202,race-documented,,Sulfur Slug,above-race-high,0.9143,instanced-dungeon,,,,,,35,The Aurum Vale,,,
hedgeless hedgemole,1057,Hedgemole,2205712,sibling-base,Diamond-tooth Hedgemole | Hedgemole | Hellsfire Hedgemole,Hedgemole | Diamond-tooth Hedgemole,flanked,0.9737,leve-or-quest,above-band-high,,,,Hiding Under the Beds | Nine Ivies Behest | Thwack Ye Mole,,,45,52,Mistbeard Cove | The Dzemael Darkhold
hellhound,1098,カーシー (仮),2109801 2209801,race-undocumented,,,no-level-bearing-race-mate,0.0000,persistent | leve-or-quest,no-tagged-band-mate,,Arms Race,,,,,,,
herald imp,1026,Imp,2102603 2102604,sibling-base,Firestarter Imp | Runagate Imp,Devilet,below-race-low,0.0870,persistent,,,,,,,,,,
highland condor,1012,Vulture,2101207,sibling-base,Canyon Condor | Condor,Condor | Buzzard,flanked,0.2727,persistent,,,,,,,,40,40,Coerthas Central Highlands | East Shroud | Eastern La Noscea
hog,1015,Boar,2101510 2201503,sibling-base,Territorial Hog | Truffle Hog | Tusked Hog,Phaia | Wild Hog,flanked,0.4286,persistent | leve-or-quest,flanked,,,Caravan Security | Reforesting Nine Ivies,,,,40,47,Central Shroud | Coerthas Central Highlands | Coerthas Eastern Lowlands
imperial centurion,1070,Imperial,2107002 2207001 2207004 2207006 2207008 2207009,sibling-base,VIIth Legion Centurion,VIIth Legion Centurion,below-race-low,0.0000,persistent | leve-or-quest,below-band-low,,,,Imperial Invasion,,,,,
