row_index,capture,scenario_id,wire_index,lane_index,frame_index,outer_timestamp_or_seq_hex,subevent_index,subevent_offset,opcode,shape,row_index_in_packet,row_count,source_actor_id,target_actor_id,effect_or_animation_id,command_id,numeric_value,world_master_text_id,message_class,effect_id,text_param,row_ordinal_or_filter,header_control_value,presentation_flags
14,combat_autoattack.pcapng,action-mechanic-combat-and-actions,119,0,46,9a4698ee3b010000,0,0,0x0139,X01,0,1,1154495952,43723073,285216768,23005,38,30302,critical_damage,134219279,1,1,0,2064
15,combat_autoattack.pcapng,action-mechanic-combat-and-actions,155,0,53,c34e98ee3b010000,0,0,0x0139,X01,0,1,43723073,1154495952,419434496,22104,81,30301,normal_damage,134219268,1,1,0,2064
16,combat_autoattack.pcapng,action-mechanic-combat-and-actions,182,0,60,e55998ee3b010000,0,0,0x0139,X01,0,1,1154495952,43723073,285216768,23003,30,30301,normal_damage,134219276,1,1,0,2064
17,combat_autoattack.pcapng,action-mechanic-combat-and-actions,187,0,65,675f98ee3b010000,0,0,0x0139,X01,0,1,43723073,1154495952,419434496,22104,89,30301,normal_damage,134219268,1,1,0,2064
18,combat_autoattack.pcapng,action-mechanic-combat-and-actions,253,0,91,3b8198ee3b010000,0,0,0x0139,X01,0,1,43723073,1154495952,419434496,22104,84,30301,normal_damage,134219268,4,1,0,2064
19,combat_autoattack.pcapng,action-mechanic-combat-and-actions,265,0,92,c78198ee3b010000,1,40,0x0139,X01,0,1,1154495952,43723073,1862270987,23079,0,30126,non_fit,1,0,1,0,2064
20,combat_autoattack.pcapng,action-mechanic-combat-and-actions,474,0,104,ef8698ee3b010000,1,40,0x0139,X01,0,1,1154495952,43723073,553660416,23079,49,30301,normal_damage,134225420,1,1,0,2064
21,combat_autoattack.pcapng,action-mechanic-combat-and-actions,534,0,115,f49198ee3b010000,7,536,0x013A,X10,0,3,43723073,1154495952,419434496,22104,80,30301,normal_damage,134743556,4,1,0,2064
22,combat_autoattack.pcapng,action-mechanic-combat-and-actions,534,0,115,f49198ee3b010000,7,536,0x013A,X10,1,3,43723073,1154495952,419434496,22104,0,30116,non_fit,0,0,1,0,2064
23,combat_autoattack.pcapng,action-mechanic-combat-and-actions,534,0,115,f49198ee3b010000,7,536,0x013A,X10,2,3,43723073,43723073,419434496,22104,135,33936,non_fit,0,50,1,0,2064
24,combat_autoattack.pcapng,action-mechanic-combat-and-actions,857,0,142,4ba398ee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2080374882,21002,0,0,unknown,1,0,1,0,2064
25,combat_skills.pcapng,action-mechanic-combat-and-actions,17,0,5,3d2999ee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2080374882,21001,0,0,unknown,1,0,1,0,2064
26,combat_skills.pcapng,action-mechanic-combat-and-actions,56,0,19,7a3899ee3b010000,3,504,0x0139,X01,0,1,43723073,43723073,234889791,27260,0,30328,non_fit,537094006,0,1,0,2064
27,combat_skills.pcapng,action-mechanic-combat-and-actions,86,0,27,734299ee3b010000,0,0,0x0139,X01,0,1,43723073,1154495957,419434496,22104,81,30301,normal_damage,134219268,1,1,0,2064
28,combat_skills.pcapng,action-mechanic-combat-and-actions,88,0,28,4b4399ee3b010000,1,40,0x0139,X01,0,1,1154495957,1154495957,2080374882,21001,0,0,unknown,1,0,1,0,2064
29,combat_skills.pcapng,action-mechanic-combat-and-actions,95,0,30,784399ee3b010000,3,504,0x0139,X01,0,1,43723073,43723073,234889905,27264,0,30328,non_fit,537094131,0,1,0,2064
30,combat_skills.pcapng,action-mechanic-combat-and-actions,116,0,41,e54999ee3b010000,0,0,0x0139,X01,0,1,1154495957,43723073,285216768,23005,23,30308,parry_damage,134221324,1,1,0,2064
31,combat_skills.pcapng,action-mechanic-combat-and-actions,126,0,48,0b5199ee3b010000,0,0,0x013A,X10,0,2,43723073,43723073,301993998,27190,0,30331,non_fit,671311859,0,1,0,2064
32,combat_skills.pcapng,action-mechanic-combat-and-actions,126,0,48,0b5199ee3b010000,0,0,0x013A,X10,1,2,43723073,1154495957,301993998,27190,175,30301,normal_damage,134252038,1,1,0,2064
33,combat_skills.pcapng,action-mechanic-combat-and-actions,157,0,57,4b5c99ee3b010000,0,0,0x0139,X01,0,1,1154495957,43723073,285216768,23005,23,30308,parry_damage,134221324,1,1,0,2064
34,combat_skills.pcapng,action-mechanic-combat-and-actions,164,0,63,085e99ee3b010000,0,0,0x0139,X01,0,1,43723073,1154495957,301994027,27191,161,30301,normal_damage,134284804,1,1,0,2064
35,combat_skills.pcapng,action-mechanic-combat-and-actions,233,0,76,0d6b99ee3b010000,7,536,0x013A,X10,0,3,43723073,1154495957,302002218,27198,119,30301,normal_damage,134743556,1,1,0,2064
36,combat_skills.pcapng,action-mechanic-combat-and-actions,233,0,76,0d6b99ee3b010000,7,536,0x013A,X10,1,3,43723073,1154495957,302002218,27198,0,30116,non_fit,0,0,1,0,2064
37,combat_skills.pcapng,action-mechanic-combat-and-actions,233,0,76,0d6b99ee3b010000,7,536,0x013A,X10,2,3,43723073,43723073,302002218,27198,135,33936,non_fit,0,50,1,0,2064
38,combat_skills.pcapng,action-mechanic-combat-and-actions,504,0,105,f08999ee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2080374882,21002,0,0,unknown,1,0,1,0,2064
39,gather_wood.pcapng,gathering-node-wood-and-harvest,169,0,62,ab46eeee3b010000,0,0,0x0139,X01,0,1,43723073,1152385073,335552512,0,0,0,unknown,1744830667,0,1,0,2048
40,gather_wood.pcapng,gathering-node-wood-and-harvest,240,0,86,f76beeee3b010000,0,0,0x0139,X01,0,1,43723073,1152385073,335548416,0,0,0,unknown,1744830604,0,1,0,2048
41,gather_wood.pcapng,gathering-node-wood-and-harvest,284,0,100,687ceeee3b010000,0,0,0x0139,X01,0,1,43723073,43723073,2080374882,0,218,33954,non_fit,0,50,1,0,2064
42,gather_wood.pcapng,gathering-node-wood-and-harvest,421,0,142,09c8eeee3b010000,0,0,0x0139,X01,0,1,43723073,1152385073,335548416,0,0,0,unknown,1744830667,0,1,0,2048
43,gather_wood.pcapng,gathering-node-wood-and-harvest,487,0,168,88efeeee3b010000,0,0,0x0139,X01,0,1,43723073,1152385073,335556608,0,0,0,unknown,1744830667,0,1,0,2048
44,gather_wood.pcapng,gathering-node-wood-and-harvest,547,0,190,320cefee3b010000,0,0,0x0139,X01,0,1,43723073,1152385073,335552512,0,0,0,unknown,1744830602,0,1,0,2048
45,gather_wood.pcapng,gathering-node-wood-and-harvest,596,0,205,b61eefee3b010000,0,0,0x0139,X01,0,1,43723073,43723073,2080374882,0,110,33954,non_fit,0,50,1,0,2064
46,gear_changesoul.pcapng,inventory-mechanic-bags-and-gear,33,0,14,2b30aaee3b010000,6,664,0x0139,X01,0,1,43723073,43723073,2080374882,12017,0,0,unknown,1,0,1,0,2064
47,gear_changeweapon.pcapng,inventory-mechanic-bags-and-gear,46,0,15,3512a9ee3b010000,7,1032,0x0139,X01,0,1,43723073,43723073,2080374882,12009,0,0,unknown,1,0,1,0,2064
48,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,620,0,203,b1a5b5ee3b010000,6,664,0x0139,X01,0,1,43723073,43723073,2080374882,12014,0,0,unknown,1,0,1,0,2064
49,gridania_to_coerthas.pcapng,zone-mechanic-cross-zone-travel,6854,0,1357,73a8bbee3b010000,6,664,0x0139,X01,0,1,43723073,43723073,2080374882,12015,0,0,unknown,1,0,1,0,2064
50,harvest.pcapng,gathering-node-wood-and-harvest,44,0,15,d297ecee3b010000,1,72,0x0139,X01,0,1,43723073,1152385081,83500972,0,0,0,unknown,0,0,1,0,2048
51,harvest.pcapng,gathering-node-wood-and-harvest,294,0,32,fdaaecee3b010000,2,128,0x013A,X10,0,2,43723073,43723073,2080374882,0,114,33954,non_fit,0,50,1,0,2064
52,harvest.pcapng,gathering-node-wood-and-harvest,294,0,32,fdaaecee3b010000,2,128,0x013A,X10,1,2,43723073,43723073,2080374882,0,5,33909,non_fit,0,40,1,0,2064
53,harvest.pcapng,gathering-node-wood-and-harvest,393,0,63,f1dcecee3b010000,1,72,0x0139,X01,0,1,43723073,1152385081,83500972,0,0,0,unknown,0,0,1,0,2048
54,harvest.pcapng,gathering-node-wood-and-harvest,633,0,79,aeefecee3b010000,4,368,0x0139,X01,0,1,43723073,43723073,2080374882,0,111,33954,non_fit,0,50,1,0,2064
55,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,305,0,98,6ed1dcee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610613760,0,1,0,2048
56,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,353,0,114,1feddcee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443663,0,0,0,unknown,1610613248,0,1,0,2048
57,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,401,0,129,a706ddee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443663,0,0,0,unknown,1610613248,0,1,0,2048
58,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,459,0,143,b81eddee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610613504,0,1,0,2048
59,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,506,0,158,3937ddee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610613504,0,1,0,2048
60,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,552,0,173,0450ddee3b010000,0,0,0x0139,X01,0,1,43723073,43723073,268439552,0,0,0,unknown,1610612774,0,1,0,2048
61,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,582,0,182,6e63ddee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2130707333,0,0,0,unknown,1610612769,0,1,0,2048
62,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,784,0,190,3c66ddee3b010000,25,3240,0x013A,X10,0,2,43723073,43723073,2080374882,0,446,33950,non_fit,0,50,1,0,2064
63,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,784,0,190,3c66ddee3b010000,25,3240,0x013A,X10,1,2,43723073,43723073,2080374882,0,3,33909,non_fit,0,34,1,0,2064
64,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,892,0,222,b592ddee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610612992,0,1,0,2048
65,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,925,0,231,4ca5ddee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268447744,0,0,0,unknown,1610613248,0,1,0,2048
66,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,973,0,246,07baddee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268439552,0,0,0,unknown,1610613504,0,1,0,2048
67,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1016,0,259,6ad0ddee3b010000,0,0,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610613760,0,1,0,2048
68,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1126,0,292,e716deee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2130707333,0,0,0,unknown,1610614528,0,1,0,2048
69,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1175,0,301,a221deee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610612992,0,1,0,2048
70,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1222,0,315,8a39deee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610612992,0,1,0,2048
71,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1257,0,326,e449deee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443663,0,0,0,unknown,1610613248,0,1,0,2048
72,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1303,0,339,645fdeee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610612774,0,1,0,2048
73,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1336,0,349,0773deee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2130707333,0,0,0,unknown,1610612769,0,1,0,2048
74,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1537,0,356,e775deee3b010000,25,3240,0x013A,X10,0,2,43723073,43723073,2080374882,0,542,33950,non_fit,0,50,1,0,2064
75,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1537,0,356,e775deee3b010000,25,3240,0x013A,X10,1,2,43723073,43723073,2080374882,0,4,33909,non_fit,0,34,1,0,2064
76,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1646,0,387,1da5deee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610613248,0,1,0,2048
77,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1706,0,405,3dbfdeee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443663,0,0,0,unknown,1610613248,0,1,0,2048
78,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1729,0,413,65cedeee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443648,0,0,0,unknown,1610613504,0,1,0,2048
79,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1786,0,429,4cebdeee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268443663,0,0,0,unknown,1610613248,0,1,0,2048
80,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1832,0,441,c303dfee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,268439552,0,0,0,unknown,1610612774,0,1,0,2048
81,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,1874,0,453,5217dfee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2130707333,0,0,0,unknown,1610612769,0,1,0,2048
82,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,2075,0,461,051adfee3b010000,5,520,0x0139,X01,0,1,43723073,43723073,2080374882,0,347,33950,non_fit,0,50,1,0,2064
83,local_leve_complete.pcapng,battlecraft-leve-accept-and-complete,2224,0,502,205ddfee3b010000,4,256,0x0139,X01,0,1,43723073,43723073,2080374882,0,100,33921,non_fit,0,34,1,0,2064
84,mount_unmount_chocobo.pcapng,chocobo-mechanic-mount-unmount,9,0,3,af4d95ee3b010000,6,664,0x0139,X01,0,1,43723073,43723073,2080374882,12014,0,0,unknown,1,0,1,0,2064
85,mount_unmount_chocobo.pcapng,chocobo-mechanic-mount-unmount,28,0,14,5a6895ee3b010000,6,664,0x0139,X01,0,1,43723073,43723073,2080374882,12015,0,0,unknown,1,0,1,0,2064
86,move_out_of_room.pcapng,zone-mechanic-inn-room,61,0,30,458191ee3b010000,1,48,0x0139,X01,0,1,43723073,43723073,2080374882,0,0,30331,non_fit,671311903,0,1,0,2064
87,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1,0,1,799952ef3b010000,0,0,0x013A,X10,0,2,43722707,43722707,2080374882,0,0,0,unknown,0,0,1,0,2064
88,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1,0,1,799952ef3b010000,0,0,0x013A,X10,1,2,43722707,43722707,2080374882,0,0,30331,non_fit,671311734,0,1,0,2064
89,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,98,0,40,cbc852ef3b010000,1,40,0x0139,X01,0,1,43722707,43722707,1862270979,27351,0,30128,non_fit,1,0,1,0,2064
90,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,162,0,55,e3d752ef3b010000,7,1048,0x013A,X10,0,2,43722707,43722707,16782397,27351,0,30328,non_fit,537094041,0,1,0,2064
91,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,162,0,55,e3d752ef3b010000,7,1048,0x013A,X10,1,2,43722707,43723073,16782397,27351,0,30328,non_fit,537094041,0,1,0,2064
92,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,191,0,68,2bdf52ef3b010000,3,504,0x0139,X01,0,1,43722707,43722707,234889791,27260,0,30328,non_fit,537094006,0,1,0,2064
93,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,967,0,256,8f5853ef3b010000,0,0,0x013A,X10,0,2,43722707,43722707,2080374882,0,0,0,unknown,0,0,1,0,2064
94,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,967,0,256,8f5853ef3b010000,0,0,0x013A,X10,1,2,43722707,43722707,2080374882,0,0,30331,non_fit,671311734,0,1,0,2064
95,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1426,0,380,4fb153ef3b010000,1,40,0x0139,X01,0,1,1158679889,1158679889,2080374882,21001,0,0,unknown,1,0,1,0,2064
96,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1482,0,395,a0b653ef3b010000,0,0,0x0139,X01,0,1,1158679889,43722707,285216768,23003,56,30301,normal_damage,134219332,4,1,0,2064
97,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1490,0,398,d2b653ef3b010000,1,40,0x0139,X01,0,1,43722707,43722707,2080374882,21001,0,0,unknown,1,0,1,0,2064
98,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1491,0,398,d2b653ef3b010000,2,128,0x0139,X01,0,1,1158679890,43722707,285216768,23005,57,30301,normal_damage,134219332,8,1,0,2064
99,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1525,0,418,f0c053ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,419434496,22104,23,30301,normal_damage,134219268,1,1,0,2064
100,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1553,0,430,44c653ef3b010000,2,336,0x013A,X10,0,2,43722707,1158679890,302096389,27156,53,30301,normal_damage,134219268,1,1,0,2064
101,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1553,0,430,44c653ef3b010000,2,336,0x013A,X10,1,2,43722707,1158679890,302096389,27156,0,30335,non_fit,537093927,1,1,0,2064
102,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1558,0,434,f7c753ef3b010000,0,0,0x0139,X01,0,1,1158679889,43722707,285216768,23005,38,30306,block_damage,134221892,8,1,0,2064
103,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1580,0,446,edd053ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,301994016,27158,56,30301,normal_damage,134252036,1,1,0,2064
104,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1584,0,448,a1d253ef3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2080374882,21001,0,0,unknown,1,0,1,0,2064
105,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1604,0,456,02d953ef3b010000,0,0,0x0139,X01,0,1,43722707,43722707,234971719,27141,0,30328,non_fit,537093970,0,1,0,2064
106,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1608,0,459,c2da53ef3b010000,0,0,0x013A,X10,0,3,1158679889,43722707,285216768,23003,0,30306,block_damage,134221892,8,1,0,2064
107,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1608,0,459,c2da53ef3b010000,0,0,0x013A,X10,1,3,1158679889,43722707,285216768,23003,136,33008,hp_recovery,805306626,8,1,0,2064
108,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1608,0,459,c2da53ef3b010000,0,0,0x013A,X10,2,3,1158679889,43722707,285216768,23003,0,30331,non_fit,671311698,8,1,0,2064
109,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1629,0,468,8de153ef3b010000,0,0,0x0139,X01,0,1,1158679890,1158679890,2080374882,0,0,30338,non_fit,671311655,0,1,0,2064
110,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1633,0,470,f2e253ef3b010000,0,0,0x0139,X01,0,1,43723073,1158679890,419434496,22104,49,30301,normal_damage,134219268,1,1,0,2064
111,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1650,0,474,24e653ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,419434496,22104,19,30301,normal_damage,134219268,1,1,0,2064
112,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1655,0,478,f6e753ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,301994016,27158,0,30311,miss,134217732,1,1,0,2064
113,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1660,0,483,8deb53ef3b010000,0,0,0x0139,X01,0,1,1158679889,43722707,285216768,23005,0,30311,miss,134217732,8,1,0,2064
114,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1672,0,486,0fef53ef3b010000,0,0,0x0139,X01,0,1,1158679890,43722707,285216768,23005,35,30306,block_damage,134221892,1,1,0,2064
115,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1683,0,491,0bf153ef3b010000,3,504,0x0139,X01,0,1,43723073,43723073,234889791,27260,0,30328,non_fit,537094006,0,1,0,2064
116,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1710,0,505,56fb53ef3b010000,0,0,0x0139,X01,0,1,1158679889,43722707,285216768,23005,61,30301,normal_damage,134219332,8,1,0,2064
117,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1711,0,506,bcfb53ef3b010000,0,0,0x0139,X01,0,1,43723073,1158679890,419434496,22104,46,30301,normal_damage,134219268,1,1,0,2064
118,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1727,0,510,dcfc53ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,419434496,22104,22,30301,normal_damage,134219268,1,1,0,2064
119,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1735,0,518,aa0154ef3b010000,0,0,0x0139,X01,0,1,1158679890,43722707,285216768,23005,61,30301,normal_damage,134219332,1,1,0,2064
120,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1751,0,524,150554ef3b010000,0,0,0x0139,X01,0,1,43723073,1158679890,301993998,27190,0,30311,miss,134217732,1,1,0,2064
121,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1755,0,526,d60654ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,419434496,22104,23,30301,normal_damage,134219268,1,1,0,2064
122,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1765,0,534,820b54ef3b010000,0,0,0x0139,X01,0,1,1158679889,43722707,285216768,23005,56,30301,normal_damage,134219332,8,1,0,2064
123,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1770,0,538,940c54ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,301995007,27150,65,30301,normal_damage,134252036,1,1,0,2064
124,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1803,0,547,6d1554ef3b010000,1,40,0x0139,X01,0,1,1158679890,1158679890,1862270987,23061,0,30126,non_fit,1,0,1,0,2064
125,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1806,0,550,5e1654ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,301995009,27152,64,30301,normal_damage,134284804,1,1,0,2064
126,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1816,0,554,471854ef3b010000,3,376,0x0139,X01,0,1,1158679890,1158679890,553656320,23061,0,30328,non_fit,537094072,0,1,0,2064
127,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1819,0,555,ca1854ef3b010000,0,0,0x0139,X01,0,1,43723073,1158679890,419434496,22104,49,30301,normal_damage,134219268,1,1,0,2064
128,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1840,0,565,241e54ef3b010000,0,0,0x0139,X01,0,1,1158679889,43722707,285216768,23005,35,30306,block_damage,134221892,8,1,0,2064
129,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1862,0,577,9a2554ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,419434496,22104,21,30301,normal_damage,134219268,1,1,0,2064
130,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1867,0,582,252954ef3b010000,0,0,0x0139,X01,0,1,43722707,1158679890,301994016,27158,57,30301,normal_damage,134252036,1,1,0,2064
131,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1870,0,583,382954ef3b010000,0,0,0x0139,X01,0,1,1158679890,43722707,285216768,23005,43,30306,block_damage,134221892,1,1,0,2064
132,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1884,0,586,bf2954ef3b010000,4,160,0x0139,X01,0,1,43723073,1158679890,2080374882,0,0,0,unknown,671311800,0,1,0,2064
133,party_battle_leve.pcapng,battlecraft-leve-accept-and-complete,1888,0,586,bf2954ef3b010000,8,624,0x013A,X10,0,4,43723073,1158679890,419434496,22104,51,30301,normal_damage,134743556,1,1,0,2064
