comparison,scenario_id,command_id,source_actor_id,target_actor_id,normal_count,outcome_count,one_to_one_pair_capacity,candidate_pair_count,normal_values,outcome_values,normal_row_indices,outcome_row_indices,normal_csv_lines,outcome_csv_lines
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679895,43722707,5,2,2,10,63;58;58;35;48,0;27,299;307;327;338;379,311;332,301;309;329;340;381,313;334
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679897,43722707,1,1,1,1,64,0,407,415,409,417
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679898,43722707,1,1,1,1,60,38,445,420,447,422
block_vs_normal,battlecraft-leve-accept-and-complete,23091,1158679895,43722707,2,1,1,2,85;88,57,364;371,385,366;373,387
parry_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679894,43723073,1,1,1,1,28,33,335,321,337,323
parry_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679892,43723073,1,1,1,1,71,59,246,221,248,223
parry_vs_normal,job-quest-war-updates,23005,1163947556,43722707,3,1,1,3,94;93;88,66,569;579;582,597,571;581;584,599
miss_vs_normal,battlecraft-leve-accept-and-complete,22104,43722707,1158679889,4,1,1,4,20;22;21;21,0,138;144;147;160,158,140;146;149;162,160
miss_vs_normal,battlecraft-leve-accept-and-complete,22104,43722707,1158679892,5,1,1,5,19;22;19;19;19,0,227;233;236;238;245,241,229;235;238;240;247,243
miss_vs_normal,battlecraft-leve-accept-and-complete,22104,43722707,1158679895,9,1,1,9,20;18;19;20;18;19;21;20;21,0,356;357;360;363;368;378;381;383;387,373,358;359;362;365;370;380;383;385;389,375
miss_vs_normal,battlecraft-leve-accept-and-complete,22104,43722707,1158679898,11,1,1,11,20;21;19;19;21;21;19;21;20;19;21,0,449;454;460;461;465;466;469;476;478;485;486,457,451;456;462;463;467;468;471;478;480;487;488,459
miss_vs_normal,battlecraft-leve-accept-and-complete,22104,43723073,1158679893,3,1,1,3,51;50;53,0,191;195;199,185,193;197;201,187
miss_vs_normal,battlecraft-leve-accept-and-complete,22104,43723073,1158679895,4,2,2,8,43;42;50;49,0;0,355;358;374;386,348;361,357;360;376;388,350;363
miss_vs_normal,battlecraft-leve-accept-and-complete,22104,43723073,1158679898,6,1,1,6,44;47;49;44;50;42,0,446;459;463;467;472;479,452,448;461;465;469;474;481,454
miss_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679843,43723073,1,1,1,1,38,0,286,283,288,285
miss_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679889,43722707,4,1,1,4,61;56;77;79,0,116;122;146;161,113,118;124;148;163,115
miss_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679892,43722707,1,1,1,1,66,0,194,204,196,206
miss_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679892,43723073,1,1,1,1,71,0,246,240,248,242
miss_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679895,43722707,5,1,1,5,63;58;58;35;48,0,299;307;327;338;379,320,301;309;329;340;381,322
miss_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679898,43723073,2,1,1,2,40;59,0,448;471,468,450;473,470
miss_vs_normal,battlecraft-leve-accept-and-complete,27158,43722707,1158679890,2,1,1,2,56;57,0,103;130,112,105;132,114
miss_vs_normal,battlecraft-leve-accept-and-complete,27158,43722707,1158679894,1,1,1,1,49,0,337,316,339,318
miss_vs_normal,battlecraft-leve-accept-and-complete,27193,43723073,1158679898,1,1,1,1,81,0,447,474,449,476
miss_vs_normal,job-quest-war-updates,23003,1163947558,43722707,1,1,1,1,86,0,570,555,572,557
miss_vs_normal,job-quest-war-updates,23005,1163947556,43722707,3,2,2,6,94;93;88,0;0,569;579;582,561;573,571;581;584,563;575
miss_vs_normal,job-quest-war-updates,23005,1163947558,43722707,1,1,1,1,87,0,560,568,562,570
