source_ordinal,observation_id,created_at,zone,canonical_zone_name,client_zone_name,zone_identity_status,category,category_basis,subject_type,subject_name,subject_identity_status,profile_id,map_bounds,position,rotation,notes,placement_claim_status
14,af29f689-603c-497e-b6b4-9d724e35b5d7,2026-09-16T03:36:27.4398151Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Kobold Pickman,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1070.2857666015625,27.30699348449707,-980.9356689453125]",-1.3841900825500488,Kobold Pickman spawn,observation-only; home/slot/respawn unresolved
15,22f82c7b-e621-4ca8-afdd-bb3e2f3e2bb4,2026-09-16T03:36:38.9617485Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Kobold Pickman,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1059.7725830078125,29.294132232666016,-1005.8875122070312]",-2.152982234954834,Kobold Pickman spawn,observation-only; home/slot/respawn unresolved
16,8abbcc90-449b-4985-9253-9b1b7f4ce87f,2026-09-16T03:37:06.3282172Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Kobold Ascetic,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1071.74951171875,26.115554809570312,-991.759521484375]",1.9865407943725586,Kobold Ascetic spawn,observation-only; home/slot/respawn unresolved
17,9d8a24b9-cbd6-4383-bb89-b859dafe783a,2026-09-16T03:37:33.4558581Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Kobold Ascetic,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1041.7784423828125,24.362483978271484,-989.1100463867188]",-1.3235416412353516,Kobold Ascetic spawn,observation-only; home/slot/respawn unresolved
20,887eaf2f-32b0-4f00-bbd8-5321d5c1b273,2026-09-16T03:41:40.568247Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Dire Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1045.8857421875,49.376495361328125,-881.376220703125]",-2.495546817779541,Dire rat spawn,observation-only; home/slot/respawn unresolved
21,42dd2e40-91e6-4749-9059-cc5b7214192c,2026-09-16T03:43:06.160211Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Ladybug,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1082.0621337890625,54.28582763671875,-840.1946411132812]",1.2913800477981567,Ladybug spawn,observation-only; home/slot/respawn unresolved
22,cbe96f30-9a20-484a-9ada-4e201e26bb8f,2026-09-16T03:43:34.5842402Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoat nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1085.6279296875,54.45977020263672,-821.2559204101562]",0.07401719689369202,Aldgoat nanny spawn,observation-only; home/slot/respawn unresolved
23,efd68b23-56b9-4cab-b9af-231488d8f5ea,2026-09-16T03:44:08.0400629Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoat nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1064.8408203125,53.105159759521484,-835.9175415039062]",-2.188656806945801,Aldgoat nanny spawn,observation-only; home/slot/respawn unresolved
24,6b5aba74-1481-465d-ac2f-858e0c55f79e,2026-09-16T03:44:24.0399778Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Ladybug,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1067.943115234375,54.32258987426758,-821.39697265625]",0.024972878396511078,Ladybug spawn,observation-only; home/slot/respawn unresolved
25,9356a5c4-beaa-4b9c-b11e-b46e2c7f646f,2026-09-16T03:54:51.2333068Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Amateur Footpad,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1031.020751953125,52.232967376708984,-856.307373046875]",-1.0235710144042969,Amateur Footpad spawn,observation-only; home/slot/respawn unresolved
26,6ded3659-12fe-40d8-9169-25223bb5b3ae,2026-09-16T03:55:04.3120399Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Amateur Footpad,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1033.7601318359375,53.076995849609375,-850.7599487304688]",0.5472207069396973,Amateur Footpad spawn,observation-only; home/slot/respawn unresolved
27,a54efe8d-4e90-4239-9a8a-3a8aa8a4e96e,2026-09-16T03:56:00.0722671Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Wharf Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1143.7481689453125,45.39102554321289,-826.5872192382812]",0.5356900095939636,Wharf Rat spawn,observation-only; home/slot/respawn unresolved
28,383dc61f-affb-4c54-8ae5-9ff320ad95f0,2026-09-16T03:57:24.5923808Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1107.756591796875,43.60640335083008,-831.5343017578125]",-0.23747730255126953,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
29,e35f20e5-ad55-42c7-a220-a68d972603d5,2026-09-16T03:57:47.3201602Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1131.66357421875,40.879608154296875,-816.328857421875]",-0.24399375915527344,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
30,69e463a9-bf72-4d9b-902a-4b31ff4e78a2,2026-09-16T04:00:20.8561624Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1124.1591796875,46.18049240112305,-778.5523681640625]",-2.5688326358795166,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
31,342f9b93-913f-45ab-bffd-dca925921fde,2026-09-16T04:01:35.1845149Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1104.59619140625,51.36007308959961,-756.7425537109375]",-2.4332404136657715,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
32,589cf109-52f9-4323-b121-7e289c1f2426,2026-09-16T04:02:50.0332217Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1100.107421875,51.427738189697266,-751.6085815429688]",-0.517186164855957,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
33,b37993a0-f7c5-4b1a-8fbc-cdd10d6f0e14,2026-09-16T04:03:01.9764499Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1099.246826171875,54.382144927978516,-770.0278930664062]",-2.6466031074523926,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
34,e929ac5e-8e48-4221-87a2-69a242847a79,2026-09-16T04:03:13.9526703Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1103.315185546875,47.42364501953125,-739.7860717773438]",-0.47334957122802734,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
35,0b5941b7-c9be-458c-bb68-e6e73880232c,2026-09-16T04:03:24.1442369Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1113.1666259765625,47.52307891845703,-742.889892578125]",1.6852543354034424,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
36,b39e3552-709e-4255-99d2-4bf7875aa67c,2026-09-16T04:03:55.6964499Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1116.9119873046875,42.16679382324219,-649.3306274414062]",0.17794589698314667,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
37,b37cb5bd-e5a9-43b0-be67-f0ad699ab2f7,2026-09-16T04:04:41.936316Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoad Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1127.150634765625,45.99433517456055,-612.2926635742188]",0.28446993231773376,Aldgoad Nanny spawn,observation-only; home/slot/respawn unresolved
38,a54039a3-1b43-4039-9e01-02d613f069cc,2026-09-16T04:05:02.032976Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Wharf Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1129.6787109375,50.4495849609375,-593.0501098632812]",0.028685366734862328,Wharf Rat spawn,observation-only; home/slot/respawn unresolved
39,4205299a-1b1a-4251-bed1-4868a44dafbb,2026-09-16T04:05:40.4407139Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Dodo,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1096.397216796875,54.090999603271484,-579.083251953125]",-1.5865917205810547,Dodo spawn,observation-only; home/slot/respawn unresolved
40,ff765fdf-6f58-48a5-b77a-ecd16b2e4252,2026-09-16T04:05:51.6884762Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Dodo,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1095.0186767578125,53.323997497558594,-592.5594482421875]",-2.745370388031006,Dodo spawn,observation-only; home/slot/respawn unresolved
41,2c4fa447-4e81-4428-8835-58237dff5b47,2026-09-16T04:06:27.7924698Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Dire rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1174.337890625,43.93539810180664,-623.7486572265625]",1.5428311824798584,Dire rat spawn,observation-only; home/slot/respawn unresolved
42,79ed288d-13b5-4076-97aa-219c1cc66beb,2026-09-16T04:06:40.9129899Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Dodo,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1173.280517578125,45.263729095458984,-639.7787475585938]",-2.886697292327881,Dodo spawn,observation-only; home/slot/respawn unresolved
43,4c5e7bed-a979-43e4-b12d-662831ee6ff0,2026-09-16T04:07:00.3924564Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Dodo,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1166.338623046875,46.179039001464844,-635.7062377929688]",-2.064347743988037,Dodo spawn,observation-only; home/slot/respawn unresolved
44,227763ae-0469-4651-81d3-2fd2c8ae40ff,2026-09-16T04:07:26.504535Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoat Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1154.162353515625,45.5457763671875,-628.3515625]",-1.4656357765197754,Aldgoat Nanny spawn,observation-only; home/slot/respawn unresolved
45,67018d89-c28f-4807-8365-2455324f0daa,2026-09-16T04:10:56.3528434Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Amateur Footpad,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1190.4693603515625,40.583526611328125,-596.821533203125]",2.7245237827301025,Amateur Footpad spawn,observation-only; home/slot/respawn unresolved
46,a347a142-cb46-41d3-b3e1-841a160ac013,2026-09-16T04:11:05.3284429Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Amateur Footpad,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1182.8541259765625,40.22755813598633,-596.3524780273438]",1.5904744863510132,Amateur Footpad spawn,observation-only; home/slot/respawn unresolved
47,17d1a03c-43b6-4b1f-b7e5-34e8c503a76b,2026-09-16T04:11:17.424531Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Amateur Footpad,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1186.4554443359375,40.36579513549805,-601.4325561523438]",3.0814409255981445,Amateur Footpad spawn,observation-only; home/slot/respawn unresolved
48,8f22561f-e985-42f7-917f-e6602be179cb,2026-09-16T04:11:32.4965256Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Amateur Footpad,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1178.293212890625,40.955841064453125,-609.3175048828125]",-2.552433729171753,Amateur Footpad spawn,observation-only; home/slot/respawn unresolved
49,c1aa15a4-08d4-4c70-928c-b1e480c483db,2026-09-16T04:12:47.8808829Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Aldgoat Nanny,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1184.5498046875,51.94538879394531,-583.4825439453125]",1.592721939086914,Aldgoat Nanny spawn,observation-only; home/slot/respawn unresolved
50,81a69541-23b0-46b7-a5a8-6ad584163bdd,2026-09-16T04:13:53.5285393Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Dire Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1202.36328125,46.49431228637695,-611.03564453125]",1.015864610671997,Dire Rat spawn,observation-only; home/slot/respawn unresolved
51,eb87d54d-28ba-45f4-a78b-ee3a1d83c342,2026-09-16T04:15:05.2813432Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Amateur Highwayman,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1181.7803955078125,35.525604248046875,-579.3308715820312]",-0.3145294189453125,Amateur Highwayman spawn,observation-only; home/slot/respawn unresolved
52,70946c72-c062-46ff-9c22-c6a72d56fe3d,2026-09-16T04:15:23.3847797Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Amateur Raider,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1187.5213623046875,36.650794982910156,-584.0995483398438]",3.1268982887268066,Amateur Raider spawn,observation-only; home/slot/respawn unresolved
53,7db06406-8e90-4493-9c20-dd3be1ce79d2,2026-09-16T04:23:54.3688495Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Wharf Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[122.61536407470703,45.80955123901367,154.0751495361328]",2.5335869789123535,Wharf Rat spawn,observation-only; home/slot/respawn unresolved
54,440e87b0-ed1e-4d5d-a23a-6c33b3720bd0,2026-09-16T04:24:47.6410062Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[162.49513244628906,48.59447479248047,169.99998474121094]",-0.3792262077331543,Bumble Beetle Spawn,observation-only; home/slot/respawn unresolved
55,6fd6b219-a9b2-40e8-a0a3-293af1445c93,2026-09-16T04:25:12.8088723Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[161.5859832763672,49.77928924560547,181.24790954589844]",0.2965717613697052,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
56,678387a1-1aa3-496f-9ea2-0b2acded37ce,2026-09-16T04:26:12.971983Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Wharf Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[170.53524780273438,42.670623779296875,102.81027221679688]",-2.7124369144439697,Wharf Rat spawn,observation-only; home/slot/respawn unresolved
57,d15c5079-c29d-4c2d-b15f-2d64bb99b9a4,2026-09-16T04:26:56.9048562Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[138.27914428710938,45.87506103515625,71.25942993164062]",-2.2552452087402344,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
58,a2a9648f-76a2-4695-99a9-e84f359809b6,2026-09-16T04:28:01.7853449Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Wharf Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[125.64064025878906,45.13190841674805,48.450130462646484]",0.7635464668273926,Wharf rat spawn,observation-only; home/slot/respawn unresolved
59,98db89f7-327c-46e8-9314-8cafddf8a518,2026-09-16T04:28:43.3528728Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[115.73731231689453,44.68210983276367,114.84939575195312]",0.17846234142780304,Bumble beetle spawn,observation-only; home/slot/respawn unresolved
60,2cf1a5c2-2c66-4c22-bd4c-f78a51705313,2026-09-16T04:29:36.9767861Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[182.364990234375,45.437355041503906,230.83543395996094]",2.9950668811798096,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
61,53762d93-3586-441d-8b2e-b88a88608827,2026-09-16T04:29:46.3211006Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[190.99688720703125,45.43655776977539,243.52685546875]",0.5971230268478394,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
62,6d5df165-8b10-4527-8af4-792c03e3f822,2026-09-16T04:29:55.8654903Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[186.72161865234375,46.49420928955078,250.79061889648438]",-0.32549476623535156,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
63,ce2a3e70-751b-4cd4-909c-19245c4b8d5b,2026-09-16T04:30:08.3131639Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[195.080810546875,46.499996185302734,255.84048461914062]",1.0050702095031738,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
64,b0ed92e2-8fe7-49dc-9e22-8dac75b471c9,2026-09-16T04:30:34.8730303Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Wharf Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[136.34373474121094,45.30598449707031,300.5294189453125]",-1.3049983978271484,Wharf rat spawn,observation-only; home/slot/respawn unresolved
65,4cc3e49e-514d-4d9d-9b39-b773d88ae9ea,2026-09-16T04:30:51.5929088Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Wharf Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[142.46286010742188,45.91154098510742,309.9838562011719]",0.797619104385376,Wharf Rat spawn,observation-only; home/slot/respawn unresolved
66,5f8a8adf-549d-422d-9d59-2bee736e9926,2026-09-16T04:31:11.51299Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[164.65069580078125,44.441436767578125,319.0158386230469]",1.2203304767608643,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
67,8afda3ae-4d0c-4762-aa46-8c93433efe39,2026-09-16T04:31:20.4761931Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[175.5795135498047,45.25600814819336,311.6142883300781]",2.2514734268188477,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
68,157a31f6-8af9-4404-89f7-787723cdc748,2026-09-16T04:31:29.9623076Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[190.5005340576172,46.5,317.0860900878906]",0.9771851301193237,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
69,55d388d6-bb08-42ff-9f51-3b30efbe1c3e,2026-09-16T04:31:42.1131905Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Wharf Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[189.1167755126953,46.2248420715332,327.3286437988281]",-0.053098201751708984,Wharf Rat spawn,observation-only; home/slot/respawn unresolved
70,80672ab5-2ecd-4f52-833d-1056bd175994,2026-09-16T04:31:53.6729664Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Wharf Rat,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[173.15562438964844,44.37895584106445,332.3267517089844]",-1.1905007362365723,Wharf Rat spawn,observation-only; home/slot/respawn unresolved
