slug,subclass,company,issue,date,title,source_url,words,images
starlight-2010-12-13,seasonal-events,,,2010-12-13,The Starlight Celebration,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=a71beaf5f2522baba8c1f903853af083cd4fdd50,851,15
heavensturn-2010-12-27,seasonal-events,,,2010-12-27,Heavensturn and the Usagi Kabuto,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=cabbeb00d358e4094dd880f6cc81f7fd70c658e3,588,10
valentione-2011-01-25,seasonal-events,,,2011-01-25,Valentione's Day,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=ebb24e6b791146967b5ef78776aa0ef7e9d2ddc0,627,10
little-ladies-2011-02-15,seasonal-events,,,2011-02-15,Little Ladies' Day,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=f767124daabe5125df3a06968ccc12d93af54878,900,10
hatching-tide-2011-04-15,seasonal-events,,,2011-04-15,Hatching-tide,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=b5430343dd36e86f35b9f2ac127b883f35793d55,771,5
hatching-tide-2011-04-26,seasonal-events,,,2011-04-26,Hatching-tide - Hard-boiled High Jinks,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=c866f4be348c7285713a6165bfbecf51d4900720,740,5
hatching-tide-2011-05-09,seasonal-events,,,2011-05-09,Hatching-tide - Case Cracked,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=8995fda81b8d3cc96cc03e566c7a79886c41f7d4,915,2
firefall-2011-08-08,seasonal-events,,,2011-08-08,Firefall Faire-Bombards Ablaze!,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=77e32c16cb1d80f0b48700b2f8c8d343296f1ccd,1169,10
hunters-moon-2011-09-02,seasonal-events,,,2011-09-02,Hunter's Moon The Curse of Dalamud,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=1f556d9818e4d92c236311c85c436b40e7fd7b90,700,1
foundation-day-2011-09-16,seasonal-events,,,2011-09-16,Foundation Day Cometh!,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=623d4ffd2a4b9e2ac8875e8d8fbf0d259553e7c8,493,5
all-saints-2011-10-13,seasonal-events,,,2011-10-13,All Saints' Wake Impish Impositions,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=2e1d4eaf3cf3b57c35c76c84ebd38d5c9ae3f1f7,622,5
all-saints-2011-11-02,seasonal-events,,,2011-11-02,All Saints' Wake Impudent Impulses,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=e0454f5640443f42385c39901c15a613ffad2319,597,2
starlight-2011-12-14,seasonal-events,,,2011-12-14,The Starlight Celebration Winter Is Not Coming,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=832a14fc11fb6bfc3d6396b217e30538d9f51c54,634,5
heavensturn-2011-12-28,seasonal-events,,,2011-12-28,Heavensturn,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=19cb7674ddf1a519e5c8f398df9060e4a085bf6c,220,1
heavensturn-2012-01-01,seasonal-events,,,2012-01-01,Heavensturn Gone with the Snow,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=d38d86a45cf9c7f24b6731f13ce5bc18953422bc,394,3
valentione-2012-01-31,seasonal-events,,,2012-01-31,Valentione's Day The Bonds of Love,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=01c1b36936d32bdc377267b5341190767f8d2674,677,5
little-ladies-2012-03-09,seasonal-events,,,2012-03-09,Little Ladies' Day - Out On the Town,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=c5185055741c2b876d3432965327a1ee155d9c24,1011,5
hatching-tide-2012-03-25,seasonal-events,,,2012-03-25,Hatching-tide Scrambled Eggs,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=a5ef58f9c023cb5d179a747ec987a762b2cfbde9,564,5
hatching-tide-2012-04-10,seasonal-events,,,2012-04-10,Hatching-tide Shell-Shocked,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=0631ccb11e405ddf0b55f8c533a1be625c195955,543,2
moonfire-2012-07-30,seasonal-events,,,2012-07-30,Moonfire Faire - Bombard Backlash,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=2249a4597b4aeab411f27a8bbeb1c214d4cee7b9,479,5
foundation-day-2012-09-11,seasonal-events,,,2012-09-11,Foundation Day Returneth!,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=a84ebc2e3063cbcd47d8dc0c437fe014837c8faa,288,5
