capture,sha256,lane_count,set_begin_count,set_end_count,change_begin_count,change_end_count,opcode_0x0148_count,opcode_0x0149_count,opcode_0x014a_count,opcode_0x014b_count,opcode_0x014c_count,opcode_0x014d_count,opcode_0x014e_count,opcode_0x014f_count,opcode_0x0150_count,opcode_0x0151_count,item_packet_count,item_record_count,link_packet_count,link_record_count,framed_event_count,exact_item_link_count,bounded_candidate_count,missing_carrier_count,repeated_aggregate_event_count,retransmitted_segment_count,excluded_0x018f_0x0191_count
friendlist_search.pcapng,3b9a35689fb923d9520bbfed8a3886dc2b461c9516492e3d8e68eec093eb7b0e,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
from_gridania_to_blackshroud.pcapng,eff300de679230653953ea3399939a15ce9d6aeafd202c7ebcf5f55e6d24930f,2,7,7,3,3,0,3,1,6,0,0,2,0,0,0,10,229,2,11,7,11,0,6,0,79,0
gather_wood.pcapng,c308aa4c984eb3e1912383c06e5115c6924713978df43cdb8075335e1bac7d32,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,40,201
gear_changesoul.pcapng,62af2cde3a4683fba3e09cc3dfed8001d74303b120381de577b05df492926780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0
gear_changeweapon.pcapng,3eec2c2993feeb2b8c47c1e1f553335638a7262ec13b561e2d52d768f0798080,1,2,2,1,1,0,1,0,0,0,1,0,0,0,0,1,2,1,1,1,1,1,0,0,6,0
gridania_map.pcapng,13e26b2d68f195b8e2daf7c355a2741c155a1036b80d79c90aab982157290795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
gridania_to_coerthas.pcapng,63152a1ed6e446df5cc4750fe50a0839f9e45ad270c79abfc72b5c09cc47e547,2,21,21,4,4,0,9,3,18,0,0,6,0,0,0,30,687,6,33,21,33,0,18,2,244,0
harvest.pcapng,8522a844b6904207c3465ae1d1038599eddb8b9dc47800d5230c8a1c3ad0e440,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,15,400
idle_in_party.pcapng,98b45822079372380bf834a937a9cb83b662b9e302555aafa14ee353537f74c1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
idling.pcapng,fd86f5b78b2975dcaf7bb8a8e7f94267f9f2660078a5193ea26732cb317dd385,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
inventory.pcapng,f667bfc1cb87afec3c5c5f56b031254101aff012577f6f35c7cbf133815b6878,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
invite_join_party.pcapng,34c946c3f93744d2bbd841e75f983ef12b9bbcb59afcba31414d6d3f41e7de58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
local_leve_complete.pcapng,4f0793f354140478725bf2c30642a3458a854460f47fb11a7af635c8881d95cd,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,98,597
login.pcapng,28e06b54fe559870031f077f8549b9244caafa7e5177dbca08a7feae6c2b1b62,2,7,7,1,1,0,3,1,6,0,0,2,0,0,0,10,229,2,11,7,11,0,6,1,24,0
mount_unmount_chocobo.pcapng,e77c06799f07029feb054792eac30baa431da15a61937b1a39bcd025e4db4072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
move_around_gridania.pcapng,bea7ae86444fa3ef9acc08f148f60dff1e5992188ee85136dec50c64e09236d0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0
move_out_of_room.pcapng,a7a03a1d688f3feb264f8da9fae3519c55b7e267aa3802472f0221f4d729b37b,1,7,7,2,2,0,3,1,6,0,0,2,0,0,0,10,229,2,11,7,11,0,6,1,10,0
moving_around_gridania.pcapng,bf6abf7ccc7a16e071846036477c1fadbc3b46385ef6e747b543d836f3f51017,2,14,14,7,7,0,6,2,12,0,0,4,0,0,0,20,458,4,22,14,22,0,12,2,185,0
open_gear_menu.pcapng,6b7dee09f59d03d9706ca1c81586dce667cd4d806ee2a2b72d89432d617afc2e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
party_battle_leve.pcapng,6327e5e1f5cbd51a9baaa9bcbacf53ca51c50a98fe4b66ae3e6bdecd9198089f,2,10,10,11,11,10,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,10,0,146,3417
quest_journal.pcapng,e1f983e9009a9ebe8b8231647229bee1672a1ac85d95a830113280f534531edc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
quest_update.pcapng,e31aa9738dd523b7703eefa6d38527135f16d8b5ff2fc314fd7e5b808d7e4787,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
repair_items.pcapng,bbd829cbd3f42b2cbfb3aa8a74a1cc35d4e2c16c99e5a4a20ca76573f02dd90f,2,6,6,6,6,6,0,0,0,0,0,0,0,0,0,6,6,0,0,6,0,0,6,0,21,202
return_to_inn.pcapng,9a81e483d3dd2673081afef06ed521c190c4d42be16e95e24097f25ff81f58c1,1,7,7,1,1,0,3,1,6,0,0,2,0,0,0,10,229,2,11,7,11,0,6,1,10,0
sell_item.pcapng,1cd808fff6501c53e4c113f1fdef090e50dfe0fd7fe86ceaa552b3a53c1b5aac,2,3,3,1,1,1,2,0,5,0,0,1,0,0,0,8,171,1,8,1,8,0,0,0,23,0
small_talk_louisoix.pcapng,58b620d90370ba69202e63f7f70edb79004ccbb8068e11e2e112a825d84dcafe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
switch_to_weaver.pcapng,b41b25bc51be1a64f41861142dc992c14493c65bcd920cadca013243480b777e,1,14,14,7,7,6,1,0,0,0,1,0,0,0,0,7,8,1,1,7,1,1,6,0,15,0
teleport_to_camp_nine_ivies.pcapng,fac2b485608247d299a406a7065e19918789118e7e544ca85cec4d772da0e3ab,2,7,7,1,1,0,3,1,6,0,0,2,0,0,0,10,229,2,11,7,11,0,6,1,28,0
teleport_to_camp_tranquil.pcapng,488318351cdedb2e2b650dc68c55014b160fbbc26753c200922402c1ba6c4dd7,2,7,7,1,1,0,3,1,6,0,0,2,0,0,0,10,229,2,11,7,11,0,6,1,34,0
teleport_to_gridania.pcapng,779141dc79a4bcf4bfc2e265f8b9510607d5a6b6e78d32f8940e5a847e598fa0,1,9,9,3,3,1,4,1,6,0,0,2,0,0,0,12,232,2,11,9,11,0,8,1,17,0
war_quest_update1.pcapng,ce64e429063cc7e49a2045e2f7b0e18b1991f5908368b791b93c72419841e890,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
war_quest_update2.pcapng,bf43b5ee32c58e5dc6f8149b071bd9c5cd5cc0aaa55ea3528872308fd7be2429,2,6,6,7,7,6,0,0,0,0,0,0,0,0,0,6,6,0,0,6,0,0,6,0,6,202
war_quest_update3.pcapng,52279e8cbc13d3f4751b5ee3cb9c91df1895ed5c41d30672629db3ec1c9efd05,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,27,0
