item_jp,item_en_client,client_item_id,item_match_note,seller_npc_jp,seller_npc_en_client,client_npc_id,npc_match_note,seller_city_region,seller_area,x,y,source_price
ライトニングクラスター,Lightning Cluster,1000019,,主計要員オスカルレ,Oscarlet,1200125,,黒衣森,ハーストミル,25,13,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ライトニングクラスター,Lightning Cluster,1000019,,主計要員セセリック,Seserikku,1400039,,ザナラーン,ゴールドバザー,39,19,"31,500/26,250/21,000（備蓄ランク0/1/2）"
コークス,Coke,10009617,,主計要員オスカルレ,Oscarlet,1200125,,黒衣森,ハーストミル,25,13,"-/100,000/50,000（備蓄ランク0/1/2）"
斑銅鉱,Peacock Ore,10009618,,主計要員オスカルレ,Oscarlet,1200125,,黒衣森,ハーストミル,25,13,"-/100,000/50,000（備蓄ランク0/1/2）"
灰汁,Potash,10009620,,主計要員セセリック,Seserikku,1400039,,ザナラーン,ゴールドバザー,39,19,"-/100,000/50,000（備蓄ランク0/1/2）"
水成岩砥石,Aqueous Whetstone,10009622,,主計要員セセリック,Seserikku,1400039,,ザナラーン,ゴールドバザー,39,19,"-/100,000/50,000（備蓄ランク0/1/2）"
獣脂,Animal Fat,10009619,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"-/100,000/50,000（備蓄ランク0/1/2）"
樹液塊,Hardened Sap,10009623,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"-/100,000/50,000（備蓄ランク0/1/2）"
石灰硫黄合剤,Lime Sulfur,10009621,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"-/100,000/50,000（備蓄ランク0/1/2）"
クァールの粗皮,Coeurl Skin,10007210,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"-/27,000/18,000（備蓄ランク0/1/2）"
クァールの粗皮_1,Coeurl Skin,10007210,variant-base:クァールの粗皮,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"-/-/180,000（備蓄ランク0/1/2）"
アイアンアレンビック,Iron Alembic,6070011,,道具商カンプラン,Quimperain,1200217,,ウルダハ,政庁層,5,6,"65,688"
アイアンアロー,Iron Arrow,3920006,,武器商ドエル,Doelle,1300157,,グリダニア,,8,5,24
アイアンアロー,Iron Arrow,3920006,,弓師トヴィルモト,Twyrmoht,1600206,,グリダニア,,7,2,24
アイアンインゴット,Iron Ingot,10002012,,鍛冶師スミドヘームル,Smydhaemr,1600172,,リムサ・ロミンサ,上甲板層,7,7,"5,000"
アイアンインゴット,Iron Ingot,10002012,,鍛冶師アルダイルン,Ahldiyrn,1600017,,グリダニア,,8,3,"5,000"
アイアンインゴット,Iron Ingot,10002012,,鍛冶師デュースドルン,Doesdornn,1600057,,ウルダハ,商業層,7,4,"5,000"
アイアンヴァンブレイス,Iron Vambraces,8070218,,武器商エイラード,Aylard,2200044,,リムサ・ロミンサ,下甲板層,4,7,"33,264"
アイアンヴァンブレイス,Iron Vambraces,8070218,,武器商ルストバン,Roustebant,1200219,,グリダニア,,7,2,"33,264"
アイアンヴァンブレイス,Iron Vambraces,8070218,,武器商スリドウルフ,Thrydwulf,1000241,,ウルダハ,商業層,5,5,"33,264"
アイアンエルモ,Iron Elmo,8011404,,武器商エイラード,Aylard,2200044,,リムサ・ロミンサ,下甲板層,4,7,"99,792"
アイアンエルモ,Iron Elmo,8011404,,武器商ルストバン,Roustebant,1200219,,グリダニア,,7,2,"99,792"
アイアンエルモ,Iron Elmo,8011404,,武器商スリドウルフ,Thrydwulf,1000241,,ウルダハ,商業層,5,5,"99,792"
アイアンオーナメンタルハンマー,Iron Ornamental Hammer,6040012,,道具商スレダ,Sreda,1100425,,ウルダハ,商業層,6,6,"69,600"
アイアンギグ,Iron Gig,7030105,,用具商ウンシンヴィルフ,Unsynwilf,1600212,,リムサ・ロミンサ,下甲板層,5,6,"39,000"
アイアンクラッドブーツ,Iron-plated Jackboots,8080819,,防具商ヴェーブアクト,Waebahct,1600215,,リムサ・ロミンサ,上甲板層,7,5,"7,862"
アイアンクラッドブーツ,Iron-plated Jackboots,8080819,,武器商エイラード,Aylard,2200044,,リムサ・ロミンサ,下甲板層,4,7,"7,862"
アイアンクラッドブーツ,Iron-plated Jackboots,8080819,,板金商フェーズギム,Faezghim,1600070,prefix-variant:client=甲冑商フェーズギム,リムサ・ロミンサ,商業区 アーマー街,,,"7,862"
アイアンクラッドブーツ,Iron-plated Jackboots,8080819,,防具商ナイ・カマゾン,Naih Khamazom,1900259,,グリダニア,,6,6,"7,862"
アイアンクラッドブーツ,Iron-plated Jackboots,8080819,,武器商ルストバン,Roustebant,1200219,,グリダニア,,7,2,"7,862"
アイアンクラッドブーツ,Iron-plated Jackboots,8080819,,板金商オディブランド,Odibrand,2200193,prefix-variant:client=甲冑商オディブランド,グリダニア,辻店区 アーマー通り,,,"7,862"
アイアンクラッドブーツ,Iron-plated Jackboots,8080819,,防具商ガネロン,Ganelon,1000116,,ウルダハ,商業層,6,4,"7,862"
アイアンクラッドブーツ,Iron-plated Jackboots,8080819,,武器商スリドウルフ,Thrydwulf,1000241,,ウルダハ,商業層,5,5,"7,862"
アイアンクラッドブーツ,Iron-plated Jackboots,8080819,,板金商イゾルド,Isaulde,1300119,prefix-variant:client=甲冑商イゾルド,ウルダハ,旅商区 アーマー横町,,,"7,862"
アイアンサイズ,Iron Scythe,7020105,,用具商デ・ボンジャ,D'bhonja,1900192,,グリダニア,,4,3,"42,000"
アイアンスキレット,Iron Skillet,6080010,,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,"9,360"
アイアンスキレット,Iron Skillet,6080010,,道具商レレマキ,Reremaki,1400189,,リムサ・ロミンサ,上甲板層,6,3,"9,360"
アイアンスキレット,Iron Skillet,6080010,,道具商ソーラ,Thora,1100436,,リムサ・ロミンサ,商業区 クラフター街,,,"9,360"
アイアンスキレット,Iron Skillet,6080010,,武器商ザギルヘームル,Zagylhaemr,1600253,,グリダニア,,6,6,"9,360"
アイアンスキレット,Iron Skillet,6080010,,道具商テンペルトン,Templeton,1000238,,グリダニア,辻店区 クラフター通り,,,"9,360"
アイアンスキレット,Iron Skillet,6080010,,武器商エトガル,Etgar,1000105,,ウルダハ,商業層,6,4,"9,360"
アイアンスキレット,Iron Skillet,6080010,,道具商アムニ,Amenie,1300153,,ウルダハ,旅商区 クラフター横町,,,"9,360"
アイアンスクトゥム,Iron Scutum,4100307,,武器商スリドウルフ,Thrydwulf,1000241,,ウルダハ,商業層,5,5,"96,600"
アイアンスクトゥム,Iron Scutum,4100307,,武器商ザギルスヴェルド,Zagylswerd,1600254,,ウルダハ,商業層,4,5,"96,600"
アイアンスケイルメイル,Iron Scale Mail,8031609,,武器商エイラード,Aylard,2200044,,リムサ・ロミンサ,下甲板層,4,7,"142,560"
アイアンスケイルメイル,Iron Scale Mail,8031609,,武器商ルストバン,Roustebant,1200219,,グリダニア,,7,2,"142,560"
アイアンスケイルメイル,Iron Scale Mail,8031609,,武器商スリドウルフ,Thrydwulf,1000241,,ウルダハ,商業層,5,5,"142,560"
アイアンスピア,Iron Spear,4080206,,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,"13,641"
アイアンスピア,Iron Spear,4080206,,武器商アイアンサンダー,Iron Thunder,1600295,,リムサ・ロミンサ,商業区 ファイター街,,,"13,641"
アイアンスピア,Iron Spear,4080206,,武器商ザギルヘームル,Zagylhaemr,1600253,,グリダニア,,6,6,"13,641"
アイアンスピア,Iron Spear,4080206,,武器商コネイン,Conayn,1000375,,グリダニア,辻店区 ファイター通り,,,"13,641"
アイアンスピア,Iron Spear,4080206,,武器商エトガル,Etgar,1000105,,ウルダハ,商業層,6,4,"13,641"
アイアンスピア,Iron Spear,4080206,,武器商リラクタントボア,Reluctant Boar,1600294,,ウルダハ,旅商区 ファイター横町,,,"13,641"
アイアンハチェット,Iron Hatchet,7020010,,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,"9,540"
アイアンハチェット,Iron Hatchet,7020010,,用具商シンエイヒル,Syneyhil,1600193,,リムサ・ロミンサ,商業区 ギャザラー街,,,"9,540"
アイアンハチェット,Iron Hatchet,7020010,,武器商ザギルヘームル,Zagylhaemr,1600253,,グリダニア,,6,6,"9,540"
アイアンハチェット,Iron Hatchet,7020010,,用具商デ・ボンジャ,D'bhonja,1900192,,グリダニア,,4,3,"9,540"
アイアンハチェット,Iron Hatchet,7020010,,用具商グリエルメ,Grillairmais,1200202,,グリダニア,辻店区 ギャザラー通り,,,"9,540"
アイアンハチェット,Iron Hatchet,7020010,,武器商エトガル,Etgar,1000105,,ウルダハ,商業層,6,4,"9,540"
アイアンハチェット,Iron Hatchet,7020010,,用具商テテトカ,Tetetoka,1400188,,ウルダハ,旅商区 ギャザラー横町,,,"9,540"
アイアンプレート,Iron Plate,10002022,,甲冑師ジョエロー,Joellaut,1200058,,リムサ・ロミンサ,上甲板層,7,7,"11,000"
アイアンプレート,Iron Plate,10002022,,甲冑師マテオニアン,Matheonien,1200109,,グリダニア,,7,3,"11,000"
アイアンプレート,Iron Plate,10002022,,甲冑師アルノール,Allenaure,1300010,,ウルダハ,商業層,7,4,"11,000"
アイアンモール,Iron Sledgehammer,7010104,,用具商エミヌ,Eminne,1300162,,ウルダハ,商業層,6,6,"47,520"
アイアンリベット,Iron Rivets,10002072,,鍛冶師スミドヘームル,Smydhaemr,1600172,,リムサ・ロミンサ,上甲板層,7,7,"2,000"
アイアンリベット,Iron Rivets,10002072,,鍛冶師アルダイルン,Ahldiyrn,1600017,,グリダニア,,8,3,"2,000"
アイアンリベット,Iron Rivets,10002072,,鍛冶師デュースドルン,Doesdornn,1600057,,ウルダハ,商業層,7,4,"2,000"
アイアンリングズ,Iron Rings,10002052,,甲冑師ジョエロー,Joellaut,1200058,,リムサ・ロミンサ,上甲板層,7,7,"4,000"
アイアンリングズ,Iron Rings,10002052,,甲冑師マテオニアン,Matheonien,1200109,,グリダニア,,7,3,"4,000"
アイアンリングズ,Iron Rings,10002052,,甲冑師アルノール,Allenaure,1300010,,ウルダハ,商業層,7,4,"4,000"
アイアンレイジングハンマー,Iron Raising Hammer,6030012,,道具商マルスラン,Marcelain,1200209,,リムサ・ロミンサ,上甲板層,7,7,"69,600"
アイパッチ,Leather Eyepatch,8010304,,画屋ゴールディヴ,Goldyve,1100079,prefix-variant:client=面屋ゴールディヴ,グリダニア,,6,5,"34,260"
アウル,Bronze Awl,6051004,,革細工師アーナルド,Arnald,1000037,,リムサ・ロミンサ,下甲板層,6,5,"15,840"
アウル,Bronze Awl,6051004,,道具商ヴォイス,Voyce,1000249,,グリダニア,,7,3,"15,840"
アウル,Bronze Awl,6051004,,革細工師エルギヴァ,Elgiva,1100063,,ウルダハ,商業層,6,4,"15,840"
アクトン,Hempen Acton,8030819,,防具商ヴェーブアクト,Waebahct,1600215,,リムサ・ロミンサ,上甲板層,7,5,"8,611"
アクトン,Hempen Acton,8030819,,板金商フェーズギム,Faezghim,1600070,prefix-variant:client=甲冑商フェーズギム,リムサ・ロミンサ,商業区 アーマー街,,,"8,611"
アクトン,Hempen Acton,8030819,,防具商ナイ・カマゾン,Naih Khamazom,1900259,,グリダニア,,6,6,"8,611"
アクトン,Hempen Acton,8030819,,板金商オディブランド,Odibrand,2200193,prefix-variant:client=甲冑商オディブランド,グリダニア,辻店区 アーマー通り,,,"8,611"
アクトン,Hempen Acton,8030819,,防具商ガネロン,Ganelon,1000116,,ウルダハ,商業層,6,4,"8,611"
アクトン,Hempen Acton,8030819,,板金商イゾルド,Isaulde,1300119,prefix-variant:client=甲冑商イゾルド,ウルダハ,旅商区 アーマー横町,,,"8,611"
アッシュキャバルリーボウ,Ash Cavalry Bow,4070104,,武器商ドエル,Doelle,1300157,,グリダニア,,8,5,"175,232"
アッシュマスク,Ash Mask,8010703,,画屋ゴールディヴ,Goldyve,1100079,prefix-variant:client=面屋ゴールディヴ,グリダニア,,6,5,"11,760"
アッシュマスク,Ash Mask,8010703,,魔器商ノノス,Nonosu,1500161,,ウルダハ,商業層,4,5,"11,760"
アッシュ原木,Ash Log,10008005,,船乗りス・ナヤック,S'gnayak,1900048,,リムサ・ロミンサ,下甲板層,6,5,"2,822"
アッシュ原木,Ash Log,10008005,,木工師オスガル,Osgar,1000337,,グリダニア,,6,5,"2,822"
アッシュ材,Ash Lumber,10008205,,木工師シスリー,Sysley,1100429,,リムサ・ロミンサ,下甲板層,5,5,"3,024"
アッシュ材,Ash Lumber,10008205,,木工師オスガル,Osgar,1000337,,グリダニア,,6,5,"3,024"
アッシュ材,Ash Lumber,10008205,,木工師バリン,Barryn,1000043,,ウルダハ,商業層,7,4,"3,024"
アップルジュース,Apple Juice,3010607,,土産屋エドゥイン,Aeduin,1000267,,グリダニア,,6,6,"4,590"
アラミゴマスタード,Ala Mhigan Mustard,3011534,,八百屋ヴィスロール,Wysslorh,1600245,,ウルダハ,商業層,6,4,983
アリゲーターペア,Alligator Pear,3011459,,八百屋ヴィスロール,Wysslorh,1600245,,ウルダハ,商業層,6,4,"2,218"
アルドゴートの肩ロース,Aldgoat Chuck,3011001,,肉屋エオルメンギルド,Eormengild,1100065,,ウルダハ,商業層,6,4,"3,938"
アルドゴートの粗皮,Aldgoat Skin,10007016,,毛皮商ゼースウーヤ,Zaesoeya,1600252,,グリダニア,,6,4,"3,600"
アルドゴートレザー,Aldgoat Leather,10007126,,革細工師アーナルド,Arnald,1000037,,リムサ・ロミンサ,下甲板層,6,5,"4,000"
アルドゴートレザー,Aldgoat Leather,10007126,,革細工師スペールフェダル,Spaerfedar,1600176,,グリダニア,,7,3,"4,000"
アルドゴートレザー,Aldgoat Leather,10007126,,革細工師エルギヴァ,Elgiva,1100063,,ウルダハ,商業層,6,4,"4,000"
アルメン,Alumen,10009111,,革細工師スペールフェダル,Spaerfedar,1600176,,グリダニア,,7,3,640
アロエ,Aloe,3011318,,八百屋ヴィスロール,Wysslorh,1600245,,ウルダハ,商業層,6,4,"1,229"
アングラーハット,Angler's Hat,8012014,,用具商ウンシンヴィルフ,Unsynwilf,1600212,,リムサ・ロミンサ,下甲板層,5,6,"88,560"
アンダーシャツ,Hempen Undershirt,8040017,,服屋ロズレット,Roserette,1300062,,ウルダハ,商業層,6,4,360
アンダースリーヴ,Hempen Undersleeves,8040029,,服屋ヨレーヌ,Yolaine,1300095,,グリダニア,,6,4,360
アンテロープの腱,Antelope Sinew,10007504,,革細工師アーナルド,Arnald,1000037,,リムサ・ロミンサ,下甲板層,6,5,720
アンテロープの腱,Antelope Sinew,10007504,,革細工師スペールフェダル,Spaerfedar,1600176,,グリダニア,,7,3,720
アンテロープの腱,Antelope Sinew,10007504,,革細工師エルギヴァ,Elgiva,1100063,,ウルダハ,商業層,6,4,720
アーティチョーク,Maiden Artichoke,3011316,,調理師ヨッシー,Jossy,1100144,,リムサ・ロミンサ,上甲板層,7,3,"2,511"
アーティチョーク,Maiden Artichoke,3011316,,土産屋チャ・ノギヤ,T'noggya,1900194,,リムサ・ロミンサ,リムサ・ロミンサ・ランディング,1,1,"2,511"
アーティチョーク,Maiden Artichoke,3011316,,八百屋ヴィスロール,Wysslorh,1600245,,ウルダハ,商業層,6,4,"2,511"
アーモンド,Almonds,3011528,,旅商ヘレナ,Helena,1100327,,ウルダハ,商業層,7,4,"2,009"
ウィンドブランド,Wind Brand,5020210,,魔器商ノノス,Nonosu,1500161,,ウルダハ,商業層,4,5,"56,784"
ウェザード_クロスペインハンマー,Weathered Cross-pein Hammer,6020001,variant:ウェザード・クロスペインハンマー,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,600
ウェザード_クロスペインハンマー,Weathered Cross-pein Hammer,6020001,variant:ウェザード・クロスペインハンマー,道具商アドリ,Adri,2200011,,リムサ・ロミンサ,上甲板層,7,7,600
ウェザード_クロスペインハンマー,Weathered Cross-pein Hammer,6020001,variant:ウェザード・クロスペインハンマー,道具商ソーラ,Thora,1100436,,リムサ・ロミンサ,商業区 クラフター街,,,600
ウェザード_クロスペインハンマー,Weathered Cross-pein Hammer,6020001,variant:ウェザード・クロスペインハンマー,武器商ザギルヘームル,Zagylhaemr,1600253,,グリダニア,,6,6,600
ウェザード_クロスペインハンマー,Weathered Cross-pein Hammer,6020001,variant:ウェザード・クロスペインハンマー,鍛冶師アルダイルン,Ahldiyrn,1600017,,グリダニア,,8,3,600
ウェザード_クロスペインハンマー,Weathered Cross-pein Hammer,6020001,variant:ウェザード・クロスペインハンマー,道具商テンペルトン,Templeton,1000238,,グリダニア,辻店区 クラフター通り,,,600
ウェザード_クロスペインハンマー,Weathered Cross-pein Hammer,6020001,variant:ウェザード・クロスペインハンマー,武器商エトガル,Etgar,1000105,,ウルダハ,商業層,6,4,600
ウェザード_クロスペインハンマー,Weathered Cross-pein Hammer,6020001,variant:ウェザード・クロスペインハンマー,鍛冶師デュースドルン,Doesdornn,1600057,,ウルダハ,商業層,7,4,600
ウェザード_クロスペインハンマー,Weathered Cross-pein Hammer,6020001,variant:ウェザード・クロスペインハンマー,道具商アムニ,Amenie,1300153,,ウルダハ,旅商区 クラフター横町,,,600
ウェザードアレンビック,Weathered Alembic,6070001,,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,612
ウェザードアレンビック,Weathered Alembic,6070001,,錬金術師ズズデス,Zuzudesu,1400035,,リムサ・ロミンサ,下甲板層,6,5,612
ウェザードアレンビック,Weathered Alembic,6070001,,道具商ソーラ,Thora,1100436,,リムサ・ロミンサ,商業区 クラフター街,,,612
ウェザードアレンビック,Weathered Alembic,6070001,,武器商ザギルヘームル,Zagylhaemr,1600253,,グリダニア,,6,6,612
ウェザードアレンビック,Weathered Alembic,6070001,,錬金術師ムムコ,Mumuko,1500079,,グリダニア,,8,3,612
ウェザードアレンビック,Weathered Alembic,6070001,,道具商テンペルトン,Templeton,1000238,,グリダニア,辻店区 クラフター通り,,,612
ウェザードアレンビック,Weathered Alembic,6070001,,武器商エトガル,Etgar,1000105,,ウルダハ,商業層,6,4,612
ウェザードアレンビック,Weathered Alembic,6070001,,道具商カンプラン,Quimperain,1200217,,ウルダハ,政庁層,5,6,612
ウェザードアレンビック,Weathered Alembic,6070001,,道具商アムニ,Amenie,1300153,,ウルダハ,旅商区 クラフター横町,,,612
ウェザードウォーアクス,Weathered War Axe,4040001,,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,840
ウェザードウォーアクス,Weathered War Axe,4040001,,武器商エイラード,Aylard,2200044,,リムサ・ロミンサ,下甲板層,4,7,840
ウェザードウォーアクス,Weathered War Axe,4040001,,武器商ケリッヒ,Kerrich,1000154,,リムサ・ロミンサ,上甲板層,7,6,840
ウェザードウォーアクス,Weathered War Axe,4040001,,武器商アイアンサンダー,Iron Thunder,1600295,,リムサ・ロミンサ,商業区 ファイター街,,,840
ウェザードウォーアクス,Weathered War Axe,4040001,,貿易商グルミ・ボルルミ,Gurumi Borlumi,1400181,,リムサ・ロミンサ,リムサ・ロミンサ交易商会,,,840
ウェザードウォーアクス,Weathered War Axe,4040001,,武器商ザギルヘームル,Zagylhaemr,1600253,,グリダニア,,6,6,840
ウェザードウォーアクス,Weathered War Axe,4040001,,貿易商ゼリア,Zelia,1300096,,グリダニア,,7,4,840
ウェザードウォーアクス,Weathered War Axe,4040001,,武器商コネイン,Conayn,1000375,,グリダニア,辻店区 ファイター通り,,,840
ウェザードウォーアクス,Weathered War Axe,4040001,,貿易商ワ・ジメイ,W'jhimei,1900209,,グリダニア,リムサ・ロミンサ交易商会,,,840
ウェザードウォーアクス,Weathered War Axe,4040001,,武器商エトガル,Etgar,1000105,,ウルダハ,商業層,6,4,840
ウェザードウォーアクス,Weathered War Axe,4040001,,貿易商ファブルレー,Fabrellet,1200099,,ウルダハ,商業層,6,4,840
ウェザードウォーアクス,Weathered War Axe,4040001,,武器商リラクタントボア,Reluctant Boar,1600294,,ウルダハ,旅商区 ファイター横町,,,840
ウェザードウォーアクス,Weathered War Axe,4040001,,貿易商ダイビング・イーグル,Diving Eagle,1600319,,ウルダハ,リムサ・ロミンサ交易商会,,,840
ウェザードギグ,Weathered Gig,7030108,,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,468
ウェザードギグ,Weathered Gig,7030108,,用具商ウンシンヴィルフ,Unsynwilf,1600212,,リムサ・ロミンサ,下甲板層,5,6,468
ウェザードギグ,Weathered Gig,7030108,,用具商シンエイヒル,Syneyhil,1600193,,リムサ・ロミンサ,商業区 ギャザラー街,,,468
ウェザードギグ,Weathered Gig,7030108,,武器商ザギルヘームル,Zagylhaemr,1600253,,グリダニア,,6,6,468
ウェザードギグ,Weathered Gig,7030108,,用具商グリエルメ,Grillairmais,1200202,,グリダニア,辻店区 ギャザラー通り,,,468
ウェザードギグ,Weathered Gig,7030108,,武器商エトガル,Etgar,1000105,,ウルダハ,商業層,6,4,468
ウェザードギグ,Weathered Gig,7030108,,用具商テテトカ,Tetetoka,1400188,,ウルダハ,旅商区 ギャザラー横町,,,468
ウェザードキュロット,Weathered Culottes (Grey),8050450,,骨董屋ピメル,Pimelle,1300058,,ウルダハ,商業層,5,4,414
ウェザードグラディウス,Weathered Gladius,4030010,,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,600
ウェザードグラディウス,Weathered Gladius,4030010,,貿易商ニストブルム,Nystbyrm,1600128,,リムサ・ロミンサ,下甲板層,5,5,600
ウェザードグラディウス,Weathered Gladius,4030010,,武器商アイアンサンダー,Iron Thunder,1600295,,リムサ・ロミンサ,商業区 ファイター街,,,600
ウェザードグラディウス,Weathered Gladius,4030010,,貿易商ピエヌ,Pienne,1300187,,リムサ・ロミンサ,ウルダハ交易商会,,,600
ウェザードグラディウス,Weathered Gladius,4030010,,武器商ザギルヘームル,Zagylhaemr,1600253,,グリダニア,,6,6,600
ウェザードグラディウス,Weathered Gladius,4030010,,貿易商ウルフスリス,Wulfthryth,1100117,,グリダニア,,7,3,600
ウェザードグラディウス,Weathered Gladius,4030010,,武器商コネイン,Conayn,1000375,,グリダニア,辻店区 ファイター通り,,,600
ウェザードグラディウス,Weathered Gladius,4030010,,貿易商ゴゴリヨ,Gogoriyo,1400203,,グリダニア,ウルダハ交易商会,,,600
ウェザードグラディウス,Weathered Gladius,4030010,,武器商エトガル,Etgar,1000105,,ウルダハ,商業層,6,4,600
ウェザードグラディウス,Weathered Gladius,4030010,,武器商スリドウルフ,Thrydwulf,1000241,,ウルダハ,商業層,5,5,600
ウェザードグラディウス,Weathered Gladius,4030010,,武器商ザギルスヴェルド,Zagylswerd,1600254,,ウルダハ,商業層,4,5,600
ウェザードグラディウス,Weathered Gladius,4030010,,武器商リラクタントボア,Reluctant Boar,1600294,,ウルダハ,旅商区 ファイター横町,,,600
ウェザードグラディウス,Weathered Gladius,4030010,,貿易商ザワワ,Zawawa,1500177,,ウルダハ,ウルダハ交易商会,,,600
ウェザードケーン,Weathered Cane,5030101,,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,840
ウェザードケーン,Weathered Cane,5030101,,魔器商レフレダ,Lefleda,1100089,,リムサ・ロミンサ,上甲板層,7,6,840
ウェザードケーン,Weathered Cane,5030101,,魔器商ブルーンフォク,Broenfohc,1600048,,リムサ・ロミンサ,商業区 ソーサラー街,,,840
ウェザードケーン,Weathered Cane,5030101,,武器商ザギルヘームル,Zagylhaemr,1600253,,グリダニア,,6,6,840
ウェザードケーン,Weathered Cane,5030101,,魔器商ジュルラン,Jeulerand,1200207,,グリダニア,,2,1,840
ウェザードケーン,Weathered Cane,5030101,,木工師オスガル,Osgar,1000337,,グリダニア,,6,5,840
ウェザードケーン,Weathered Cane,5030101,,魔器商ドレスト,Drest,1000379,,グリダニア,辻店区 ソーサラー通り,,,840
ウェザードケーン,Weathered Cane,5030101,,武器商エトガル,Etgar,1000105,,ウルダハ,商業層,6,4,840
ウェザードケーン,Weathered Cane,5030101,,貿易商ヨハネス,Johannes,1000147,,ウルダハ,商業層,7,4,840
ウェザードケーン,Weathered Cane,5030101,,魔器商ル・ジレッコ,R'zalikko,1900032,,ウルダハ,旅商区 ソーサラー横町,,,840
ウェザードコイフ,Weathered Coif (Grey),8010545,,採掘師ノルトムーン,Nortmoen,1600127,,ウルダハ,商業層,6,6,546
ウェザードサイズ,Weathered Scythe,7020108,,武器商ティルスヴェーン,Tylswaen,1600207,,リムサ・ロミンサ,上甲板層,7,5,504
