occurrence,capture,lane_index,direction,lane_frame_index,subevent_index,subevent_size,outer_size,single_subevent_frame,source_actor_token,destination_actor_token,wrapper_counter_token,header_tag,opcode,header_reserved,chat_group_selector,prefix_reserved,context_token,sender_name_token,sender_name_length,message_token,message_length,message_utf8_roundtrip,tail_token,tail_zero
22,party_battle_leve.pcapng,1,s2c,17,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-22,25,true,tail-3,true
23,party_battle_leve.pcapng,1,s2c,18,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-23,63,true,tail-3,true
24,party_battle_leve.pcapng,1,s2c,20,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-24,115,true,tail-3,true
25,party_battle_leve.pcapng,1,s2c,22,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-25,23,true,tail-3,true
26,party_battle_leve.pcapng,1,s2c,24,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-26,18,true,tail-3,true
27,party_battle_leve.pcapng,1,s2c,26,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-27,28,true,tail-3,true
28,party_battle_leve.pcapng,1,s2c,28,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-28,31,true,tail-3,true
29,party_battle_leve.pcapng,1,s2c,29,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-29,31,true,tail-3,true
30,party_battle_leve.pcapng,1,s2c,32,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-30,21,true,tail-3,true
31,party_battle_leve.pcapng,1,s2c,34,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-31,84,true,tail-3,true
32,party_battle_leve.pcapng,1,s2c,35,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-32,49,true,tail-3,true
33,party_battle_leve.pcapng,1,s2c,37,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-33,66,true,tail-3,true
34,party_battle_leve.pcapng,1,s2c,38,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-34,38,true,tail-3,true
35,war_quest_update2.pcapng,1,c2s,1,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-35,3,true,tail-1,false
36,war_quest_update2.pcapng,1,c2s,2,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-36,9,true,tail-1,false
37,war_quest_update2.pcapng,1,s2c,1,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-2,sender-name-1,21,message-8,3,true,tail-3,true
