region,marker_order,label_raw,parsed_candidates,level_text,level_min,level_max,amount_text,amount_min,amount_max,amount_approximation,map_x,map_y,coordinates,coordinate_x,coordinate_y,coordinate_note,aggression_marker,snapshot_url,original_url,shared_slot_verdict
Coerthas,22,Ixali Bravewing/Fencer/Fatecaller/Strongbeak,"[""Ixali Bravewing"",""Fencer"",""Fatecaller"",""Strongbeak""]",47-49,47,49,~8,8,8,approximate,1925,-1150,"38,22.5",38,22.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,23,Pteroc Matron,"[""Pteroc Matron""]",35-38,35,38,~8,8,8,approximate,1975,-1212.5,"39,23.75",39,23.75,,0,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,24,Ashdrake,"[""Ashdrake""]",40-42,40,42,~8,8,8,approximate,1987.5,-875,"39.25,17",39.25,17,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,25,Ixali Bravewing/Fencer/Fatecaller/Strongbeak,"[""Ixali Bravewing"",""Fencer"",""Fatecaller"",""Strongbeak""]",40-42,40,42,~8,8,8,approximate,2100,-900,"41.5,17.5",41.5,17.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,26,Ashdrake,"[""Ashdrake""]",43-46,43,46,~8,8,8,approximate,1662.5,-1025,"32.75,20",32.75,20,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,27,Ashdrake,"[""Ashdrake""]",47-49,47,49,~8,8,8,approximate,1550,-950,"30.5,18.5",30.5,18.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,28,Hippocerf,"[""Hippocerf""]",35-39,35,39,~8,8,8,approximate,1500,-900,"29.5,17.5",29.5,17.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,29,Hippocerf,"[""Hippocerf""]",35-39,35,39,~8,8,8,approximate,1500,-1025,"29.5,20",29.5,20,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,30,Bandit Archer/Mage/Spearman,"[""Bandit Archer"",""Mage"",""Spearman""]",40-42,40,42,~8,8,8,approximate,1025,-1150,"20,22.5",20,22.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,31,Mountain Peiste,"[""Mountain Peiste""]",40-42,40,42,~8,8,8,approximate,900,-1000,"17.5,19.5",17.5,19.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,32,Bandit Archer/Mage/Spearman,"[""Bandit Archer"",""Mage"",""Spearman""]",43-46,43,46,~8,8,8,approximate,762.5,-1112.5,"14.75,21.75",14.75,21.75,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,33,Mountain Peiste,"[""Mountain Peiste""]",40-42,40,42,~8,8,8,approximate,825,-1000,"16,19.5",16,19.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,34,Mountain Peiste,"[""Mountain Peiste""]",43-46,43,46,~8,8,8,approximate,825,-1125,"16,22",16,22,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,35,Bandit Archer/Mage/Spearman,"[""Bandit Archer"",""Mage"",""Spearman""]",43-46,43,46,~8,8,8,approximate,825,-1162.5,"16,22.75",16,22.75,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,36,Bandit Archer/Mage/Spearman,"[""Bandit Archer"",""Mage"",""Spearman""]",47-49,47,49,~12,12,12,approximate,800,-1200,"15.5,23.5",15.5,23.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,37,Mountain Peiste,"[""Mountain Peiste""]",47-49,47,49,~8,8,8,approximate,950,-1225,"18.5,24",18.5,24,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,38,Bandit Archer/Mage/Spearman,"[""Bandit Archer"",""Mage"",""Spearman""]",47-49,47,49,~12,12,12,approximate,900,-1250,"17.5,24.5",17.5,24.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,39,Ashdrake,"[""Ashdrake""]",43-46,43,46,~8,8,8,approximate,1575,-1025,"31,20",31,20,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Black Shroud,1,Chigoe,"[""Chigoe""]",4-5,4,5,,,,unresolved,1925,-1525,"38,30 (Lower elevation)",38,30,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,2,Bogy,"[""Bogy""]",6-7,6,7,,,,unresolved,1925,-1475,"38,29",38,29,,1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,3,Star Marmot,"[""Star Marmot""]",1-3,1,3,8-10,8,10,exact,1925,-1450,"38,28.5 (Higher elevation)",38,28.5,(Higher elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,4,Toad/Vulture/Eft Poacher,"[""Toad"",""Vulture"",""Eft Poacher""]",47-49,47,49,6-8,6,8,exact,2525,-1150,"50,22.5 (Higher elevation)",50,22.5,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,5,Black Eft,"[""Black Eft""]",47-49,47,49,5-7,5,7,exact,2600,-1025,"51.5,20 (Higher elevation)",51.5,20,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,6,Toad/Vulture/Eft Poacher,"[""Toad"",""Vulture"",""Eft Poacher""]",43-45,43,45,,,,unresolved,2625,-1225,"52,24 (Higher elevation)",52,24,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,7,Black Eft,"[""Black Eft""]",40-42,40,42,5-6,5,6,exact,2625,-1275,"52,25 (Higher elevation)",52,25,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,8,Black Eft,"[""Black Eft""]",43-46,43,46,,,,unresolved,2500,-1275,"49.5,25 (Higher elevation)",49.5,25,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,9,Black Eft,"[""Black Eft""]",45-46,45,46,6-8,6,8,exact,2750,-1325,"54.5,26 (Higher elevation)",54.5,26,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,10,Black Eft,"[""Black Eft""]",40-42,40,42,,,,unresolved,2675,-1475,"53,29 (Higher elevation)",53,29,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,11,Toad/Vulture/Eft Poacher,"[""Toad"",""Vulture"",""Eft Poacher""]",40-42,40,42,8-10,8,10,exact,2700,-1375,"53.5,27 (Higher elevation)",53.5,27,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,12,Black Eft,"[""Black Eft""]",47-49,47,49,,,,unresolved,2650,-1150,"52.5,22.5 (Higher elevation)",52.5,22.5,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,13,Star Marmot,"[""Star Marmot""]",1-1,1,1,,,,unresolved,1725,-1525,"34,30 (Lower elevation)",34,30,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,14,Forest Funguar,"[""Forest Funguar""]",8-9,8,9,8-10,8,10,exact,1925,-1575,"38,31 (Higher elevation)",38,31,(Higher elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,15,Chigoe,"[""Chigoe""]",4-5,4,5,5-8,5,8,exact,1900,-1625,"37.5,32 (Higher elevation)",37.5,32,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,16,Goblin Headman,"[""Goblin Headman""]",90-96,90,96,,,,unresolved,1875,-1725,"37,34 (Higher elevation)",37,34,(Higher elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,17,Goblin Headman,"[""Goblin Headman""]",90-99,90,99,10-14,10,14,exact,1850,-1800,"36.5,35.5 (Higher elevation)",36.5,35.5,(Higher elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,18,Star Marmot,"[""Star Marmot""]",2-3,2,3,12-14,12,14,exact,1725,-1625,"34,32 (Lower elevation)",34,32,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,19,Star Marmot,"[""Star Marmot""]",1-1,1,1,16-18,16,18,exact,1725,-1575,"34,31 (Lower elevation)",34,31,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,20,Star Marmot,"[""Star Marmot""]",2-3,2,3,7-8,7,8,exact,1675,-1575,"33,31 (Lower elevation)",33,31,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,21,Chigoe,"[""Chigoe""]",4-5,4,5,7-8,7,8,exact,1575,-1525,"31,30 (Lower elevation)",31,30,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,22,Bogy,"[""Bogy""]",6-7,6,7,,,,unresolved,1425,-1425,"28,28",28,28,,1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,23,Chigoe,"[""Chigoe""]",4-5,4,5,,,,unresolved,1375,-1475,"27,29 (Lower elevation)",27,29,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,24,Forest Funguar,"[""Forest Funguar""]",8-9,8,9,,,,unresolved,1275,-1425,"25,28 (Lower elevation)",25,28,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,25,Feral Watchdog,"[""Feral Watchdog""]",34-35,34,35,5-6,5,6,exact,1275,-1550,"25,30.5 (Lower elevation)",25,30.5,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,26,Feral Watchdog,"[""Feral Watchdog""]",30-32,30,32,,,,unresolved,1525,-1675,"30,33 (Lower elevation)",30,33,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,27,Feral Watchdog,"[""Feral Watchdog""]",37-39,37,39,5-6,5,6,exact,1375,-1725,"27,34 (Lower elevation)",27,34,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,28,Aurora Angler,"[""Aurora Angler""]",30-30,30,30,,,,unresolved,1325,-1725,"26,34",26,34,,1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,29,Sabletooth Spriggan,"[""Sabletooth Spriggan""]",10-10,10,10,,,,unresolved,1675,-1875,"33,37",33,37,,1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,30,Scout Vulture,"[""Scout Vulture""]",50-54,50,54,3-6,3,6,exact,887.5,-1675,"17.25,33 (Lower elevation)",17.25,33,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,31,Truffle Hog,"[""Truffle Hog""]",50-54,50,54,3-6,3,6,exact,912.5,-1675,"17.75,33 (Lower elevation)",17.75,33,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,32,Saltspray Pteroc,"[""Saltspray Pteroc""]",30-33,30,33,6-7,6,7,exact,975,-1675,"19,33 (Lower elevation)",19,33,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,33,Scout Vulture,"[""Scout Vulture""]",52-54,52,54,6-7,6,7,exact,237.5,-1825,"4.25,36 (Lower elevation)",4.25,36,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,34,Shrieker,"[""Shrieker""]",52-54,52,54,6-7,6,7,exact,212.5,-1825,"3.75,36 (Lower elevation)",3.75,36,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,35,Goblin Headman,"[""Goblin Headman""]",90-97,90,97,,,,unresolved,625,-1725,"12,34 (Lower elevation)",12,34,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,36,Scout Vulture,"[""Scout Vulture""]",50-53,50,53,,,,unresolved,237.5,-1725,"4.25,34 (Lower elevation)",4.25,34,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,37,Shrieker,"[""Shrieker""]",50-53,50,53,,,,unresolved,212.5,-1725,"3.75,34 (Lower elevation)",3.75,34,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,38,Curious Galago,"[""Curious Galago""]",10-12,10,12,,,,unresolved,1025,-1075,"20,21 (Lower elevation)",20,21,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,39,Curious Galago,"[""Curious Galago""]",10-12,10,12,7-8,7,8,exact,975,-1075,"19,21 (Lower elevation)",19,21,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,40,Curious Galago,"[""Curious Galago""]",13-16,13,16,,,,unresolved,825,-1025,"16,20 (Lower elevation)",16,20,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,41,Curious Galago,"[""Curious Galago""]",17-19,17,19,10-14,10,14,exact,775,-975,"15,19 (Lower elevation)",15,19,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,42,Mature Funguar,"[""Mature Funguar""]",11-13,11,13,10-12,10,12,exact,925,-1075,"18,21 (Lower elevation)",18,21,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,43,Drybone Shrew,"[""Drybone Shrew""]",10-12,10,12,,,,unresolved,1025,-975,"20,19 (Lower elevation)",20,19,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,44,Drybone Shrew,"[""Drybone Shrew""]",13-16,13,16,8-10,8,10,exact,1225,-925,"24,18 (Lower elevation)",24,18,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,45,Drybone Shrew,"[""Drybone Shrew""]",17-19,17,19,12-14,12,14,exact,1250,-800,"24.5,15.5 (Lower elevation)",24.5,15.5,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,46,Curious Galago,"[""Curious Galago""]",16-19,16,19,,,,unresolved,925,-775,"18,15 (Lower elevation)",18,15,(Lower elevation),0,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,47,Ixali Strongbeak/Fencer/Bravewing/Fatecaller,"[""Ixali Strongbeak"",""Fencer"",""Bravewing"",""Fatecaller""]",40-42,40,42,,,,unresolved,1175,-750,"23,14.5 (Higher elevation)",23,14.5,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,48,Wild Hog,"[""Wild Hog""]",40-42,40,42,,,,unresolved,1225,-825,"24,16 (Higher elevation)",24,16,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,49,Wild Hog,"[""Wild Hog""]",44-46,44,46,,,,unresolved,1325,-825,"26,16 (Lower elevation)",26,16,(Lower elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
Black Shroud,50,Ixali Strongbeak/Fencer/Bravewing/Fatecaller,"[""Ixali Strongbeak"",""Fencer"",""Bravewing"",""Fatecaller""]",43-46,43,46,8-10,8,10,exact,1125,-725,"22,14 (Higher elevation)",22,14,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,51,Ixali Strongbeak/Fencer/Bravewing/Fatecaller,"[""Ixali Strongbeak"",""Fencer"",""Bravewing"",""Fatecaller""]",47-49,47,49,,,,unresolved,975,-675,"19,13 (Higher elevation)",19,13,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,unresolved_shared_slot
Black Shroud,52,Wild Hog,"[""Wild Hog""]",47-49,47,49,,,,unresolved,975,-625,"19,12 (Higher elevation)",19,12,(Higher elevation),1,https://web.archive.org/web/20120605230901/http://mooglebox.com/blackshroud/index.php,http://www.mooglebox.com/blackshroud/index.php,single_label
