category,group,quest_name_jp,quest_name_en_client,client_quest_id,recommended_level,exp_reward,exp_class,name_match_note
sub,ウルダハ,汚点,Besmitten and Besmirched,110681,15,500,,
sub,ウルダハ,さらわれた呪術士,Clasping to Hope,110682,34,3180,,
sub,ウルダハ,かなしみの呪術士,Traumaturgy,110683,36,3540,,
sub,ウルダハ,キャンプ・ホライズンからの伝令,The Unheard Horizon,110685,20,1440,,
sub,ウルダハ,背徳の名,Freedom Isn't Free,110686,32,2820,,
sub,ウルダハ,わさわさコブラン,Ore for an Ore,110687,28,2970,,
sub,ウルダハ,新商品で巻き返せ,No Other Dodo Will Do,110690,15,500,,
sub,ウルダハ,つわものなる者たち,A Call to Arms,110695,5,200,,
sub,ウルダハ,黄金の加護,Quid Pro Quo,110726,15,500,,
sub,ウルダハ,呪剣に秘められし盟約,There Might Be Blood,110727,21,1401,,
sub,ウルダハ,その賢者アルドバル,Of Archons and Muses,110753,10,300,,
sub,ウルダハ,隣は何を掘る人ぞ,Secrets Unearthed,110755,17,960,,
sub,ウルダハ,海霧にひそむ闇市,Cutthroat Prices,110728,15,500,,
sub,ウルダハ,お客様は老ゴブリン,Risky Business,110811,18,780,,
sub,ウルダハ,流砂の迷宮「カッターズクライ」,A Light in the Dark,110818,45,5340,,
sub,ウルダハ,宿屋「砂時計亭」で消えた指輪,Ring of Deceit,110848,1,200,,
sub,ウルダハ,被疑者の男,The Usual Suspect,110849,15,500,,
sub,ウルダハ,降臨？ 賢者のタマゴ！ （ウルダハ）,The Dreamer's Gospel (Ul'dah),110789,5,,,
sub,ウルダハ,賢者の卵 奪還大作戦 （ウルダハ）,The Dreamer's Dilemma (Ul'dah),110790,5,,,site char-variant vs client
sub,ウルダハ,突撃！ 噂の魔物！ new!,Monster of Maw Most Massive,110734,45,5340,,site suffix/space variant
sub,ウルダハ,小月が導く事件の行方 new!,Mysteries of the Red Moon,110840,20,1120,,site suffix/space variant
sub,ザナラーン,泣きっ面に花,Best Flower Ever,110684,10,300,,
sub,ザナラーン,アマルジャの血,Sanguine Studies,110754,27,2170,,
sub,ザナラーン,アマルジャの刃,Rustproof,110756,28,1980,,
sub,ザナラーン,想いが生み出す力,Forging the Spirit,110812,,780,,
sub,ザナラーン,想いを繋ぐ力,Joining the Spirit,110813,18,780,,
sub,ザナラーン,想いを伝える力,Waking the Spirit,110814,18,780,,
sub,クルザス,安らぎのゆくえ,Counting Sheep,110706,25,1620,,
sub,クルザス,生命の境界,A Hypocritical Oath,110707,25,1620,,
sub,クルザス,黄金の谷「オーラムヴェイル」,What Glitters Always Isn't Gold,110819,45,5340,,
sub,クルザス,最後の群民,Blood Price,110708,45,5340,,
sub,その他,紅蓮祭 -大炎獣ボンバード登場！-,The Heat Is On,110799,1,,,
sub,その他,守護天節 -いたずらインプ大脱走！-,Impish Impositions,110800,1,,,
sub,その他,星芒祭/雪人の儀,Winter Is Not Coming,110801,1,,,
sub,その他,降神祭/消えた雪人,Gone with the Snow,110802,1,,,
sub,その他,再びのエッグハント,Scrambled Eggs,110859,1,,,
sub,その他,紅蓮祭 -大炎獣ボンバードの逆襲！-,Bombard Backlash,110860,1,,,
sub,その他,勇者と事件と灰と剣 new!,Prophecy Inspection,110841,20,1120,,site suffix/space variant
grand-company,黒渦団クエスト,賢者の秘密,The Price of Integrity,111401,22,1760,,
grand-company,黒渦団クエスト,「黒渦団」仮配属,Testing the Waters,111402,,1100,,
grand-company,黒渦団クエスト,「黒渦団」の軍票,Seals for the Whorl,111403,,1100,,
grand-company,黒渦団クエスト,帝国の照準,Engineering Victory,111404,22,1541,,
grand-company,黒渦団クエスト,巨艦を駆りて,An Officer and a Wise Man,111405,25,1891,,
grand-company,黒渦団クエスト,動乱の大地,Ceruleum Shock,111406,25,1891,,
grand-company,黒渦団クエスト,「黒渦団」配属,Till Sea Swallows All,111407,25,1080,,
grand-company,黒渦団クエスト,トトラクの千獄 （リムサ・ロミンサ）,Imperial Devices (Limsa Lominsa),111410,25,2160,,
grand-company,黒渦団クエスト,ゼーメル要塞 （リムサ・ロミンサ）,Into the Dark (Limsa Lominsa),111411,45,6231,,
grand-company,黒渦団クエスト,盟主ルイゾワの秘策 （リムサ・ロミンサ）,It Kills with Fire (Limsa Lominsa),111416,30,3040,,
grand-company,黒渦団クエスト,アワアワ大作戦,The Cove,111417,25,1891,,
grand-company,黒渦団クエスト,荒ぶる海賊たち,Saving the Stead Instead,111418,25,1891,,
grand-company,黒渦団クエスト,スウィートビスケット騒動,It's a Piece of Cake to Bake a Poison Cake,111419,40,4260,,
grand-company,黒渦団クエスト,地底の秘境,Kobold and the Beautiful,111420,45,4450,,
grand-company,黒渦団クエスト,一流を支えるもの,Oil Crisis,111426,50,6600,,
grand-company,黒渦団クエスト,王狼へのはなむけ,Alive,111427,40,4971,,
grand-company,黒渦団クエスト,「コボルド軍野営」疲弊作戦,The Weakest Link,111428,45,6231,,
grand-company,黒渦団クエスト,開かれた血路,Deus ex Machina,111429,45,5340,,
grand-company,黒渦団クエスト,盟主ルイゾワの導き （リムサ・ロミンサ）,In for Garuda Wakening (Limsa Lominsa),111430,45,6231,,
grand-company,黒渦団クエスト,リムサ・ロミンサの岐路,Don't Hate the Messenger (Limsa Lominsa),111431,45,6231,,
grand-company,黒渦団クエスト,勝利への行進 （リムサ・ロミンサ）,United We Stand (Limsa Lominsa),111432,45,6231,,
grand-company,黒渦団クエスト,「グレートバッファロー」討伐作戦,"Patrol, Interrupted",111434,50,6600,,
grand-company,黒渦団クエスト,月下の闘い（リムサ・ロミンサ）,To Kill a Raven (Limsa Lominsa),111433,45,5340,,
grand-company,双蛇党クエスト,賢者の刻印,Breaking the Seals,111601,22,1541,,
grand-company,双蛇党クエスト,「双蛇党」仮配属,Why Did It Have to Be Snakes,111602,,1100,,
grand-company,双蛇党クエスト,「双蛇党」の軍票,Adder's Nest Egg,111603,,1100,,
grand-company,双蛇党クエスト,覚悟の頼り,The Mail Must Get Through,111604,22,1541,,site char-variant vs client
grand-company,双蛇党クエスト,新たな調和を,Their Finest Hour,111605,25,1891,,
grand-company,双蛇党クエスト,破壊の力,Appetite for Destruction,111606,25,1891,,
grand-company,双蛇党クエスト,「双蛇党」配属,"Serenity, Purity, Sanctity",111607,25,1080,,
grand-company,双蛇党クエスト,トトラクの千獄 （グリダニア）,Imperial Devices (Gridania),111610,25,2160,,
grand-company,双蛇党クエスト,ゼーメル要塞 （グリダニア）,Into the Dark (Gridania),111611,45,6231,,
grand-company,双蛇党クエスト,盟主ルイゾワの秘策 （グリダニア）,It Kills with Fire (Gridania),111616,30,3040,,
grand-company,双蛇党クエスト,遥かなる循環,Eternal Recurrence,111617,25,1891,,
grand-company,双蛇党クエスト,護国にかける決意,The Pen Is Mightier Than the Spear,111618,25,1891,,
grand-company,双蛇党クエスト,ひらめきの種,Woes of the Botanist,111619,40,4260,,
grand-company,双蛇党クエスト,烈風の要塞,Gone with the Wind,111620,45,4450,,
grand-company,双蛇党クエスト,骸を喰らう者,A Taste for Death,111626,50,6600,,
grand-company,双蛇党クエスト,凶鳥の舞,Two Vans are Better than One,111627,40,4971,,
grand-company,双蛇党クエスト,「イクサル軍伐採所」急襲作戦,You Don't Have the Rite,111628,45,6231,,
grand-company,双蛇党クエスト,心をひとつに,Shadow of the Raven,111629,45,5340,,
grand-company,双蛇党クエスト,盟主ルイゾワの導き （グリダニア）,In for Garuda Wakening (Gridania),111630,45,6231,,
grand-company,双蛇党クエスト,グリダニアの岐路,Don't Hate the Messenger (Gridania),111631,45,6231,,
grand-company,双蛇党クエスト,勝利への行進 （グリダニア）,United We Stand (Gridania),111632,45,6231,,
grand-company,双蛇党クエスト,「太っ腹のホットポックス」討伐作戦,Cure for the Common Pox,111634,50,6600,,
grand-company,双蛇党クエスト,月下の闘い（グリダニア）,To Kill a Raven (Gridania),111633,45,5340,,
grand-company,不滅隊クエスト,賢者の策略,Career Opportunities,111801,22,1760,,
grand-company,不滅隊クエスト,「不滅隊」仮配属,Kindling a Flame,111802,,1100,,
grand-company,不滅隊クエスト,「不滅隊」の軍票,Burning a Hole in One's Pocket,111803,,1100,,
grand-company,不滅隊クエスト,軍備の動脈,Arms Race,111804,22,1760,,
grand-company,不滅隊クエスト,真なる富,Burning Man,111805,25,1891,,
grand-company,不滅隊クエスト,内なる敵,Know Your Enemy,111806,25,1891,,
grand-company,不滅隊クエスト,「不滅隊」配属,By Fire Reborn,111807,25,1080,,
grand-company,不滅隊クエスト,トトラクの千獄 （ウルダハ）,Imperial Devices (Ul'dah),111810,25,2160,,
grand-company,不滅隊クエスト,ゼーメル要塞 （ウルダハ）,Into the Dark (Ul'dah),111811,45,6231,,
grand-company,不滅隊クエスト,盟主ルイゾワの秘策 （ウルダハ）,It Kills with Fire (Ul'dah),111816,30,3040,,
grand-company,不滅隊クエスト,エシュテムの新製品,Prying Eyes,111817,25,1891,,
grand-company,不滅隊クエスト,確執の果て,Different Strokes,111818,25,1891,,
grand-company,不滅隊クエスト,すべては隊士様のために,A Weaver and a Mummer,111819,40,4260,,
grand-company,不滅隊クエスト,灼熱の聖域,When Alchemists Cry,111820,45,4450,,
grand-company,不滅隊クエスト,裏の裏,Challenge Accepted,111826,50,6600,,
grand-company,不滅隊クエスト,ふたりの機工師,"Like Father, Like Son",111827,40,4971,,
grand-company,不滅隊クエスト,「アマルジャ軍祭場」補給断絶作戦,"Gore a Lizard, Hurry",111828,45,6231,,
grand-company,不滅隊クエスト,決断の狼煙,Careless Whispers,111829,45,5340,,
grand-company,不滅隊クエスト,盟主ルイゾワの導き （ウルダハ）,In for Garuda Wakening (Ul'dah),111830,45,6231,,
grand-company,不滅隊クエスト,ウルダハの岐路,Don't Hate the Messenger (Ul'dah),111831,45,6231,,
grand-company,不滅隊クエスト,勝利への行進 （ウルダハ）,United We Stand (Ul'dah),111832,45,6231,,
grand-company,不滅隊クエスト,「エルダーモスホーン」討伐作戦,"Mess with the Goat, Get the Horns",111834,50,6600,,
grand-company,不滅隊クエスト,月下の闘い（ウルダハ）,To Kill a Raven (Ul'dah),111833,45,5340,,
class,剣術士クエスト,噛ませ犬,All Bark and No Bite,110080,20,1760,,
class,剣術士クエスト,自由の権利,Unalienable Rights,110081,30,3420,,
class,剣術士クエスト,興奮の代償,Thrill of the Fight,110082,36,4720,,
class,格闘士クエスト,債鬼繁盛記,The House Always Wins,110060,20,1760,,
class,格闘士クエスト,守護者の旅立ち,Here There Be Pirates,110061,30,3420,,
class,格闘士クエスト,コインの裏と表と,Two Sides to Every Chip,110062,36,4720,,
class,斧術士クエスト,断罪党の洗礼,Bloody Baptism,110100,20,1760,,
class,斧術士クエスト,俺たちの海賊,Two-man Crew,110101,30,3420,,
class,斧術士クエスト,笑って見てろ,Captain's Orders,110102,36,4720,,
class,槍術士クエスト,鬼哭隊,A Wailing Welcome,110180,20,1760,,
class,槍術士クエスト,石と黄金,Culture Shock,110181,30,3420,,
class,槍術士クエスト,したたかに,Necessary Evils,110182,36,4720,,
class,弓術士クエスト,神勇隊,Filling the Quiver,110160,20,1760,,
class,弓術士クエスト,昏い森,The Foreboding Forest,110161,30,3420,,
class,弓術士クエスト,過去より伸びる手,There Can Be Only One,110162,36,4720,,
class,幻術士クエスト,木霊が努め,Dendrological Duties,110260,20,1760,,site char-variant vs client
class,幻術士クエスト,竜騎士の夢,"Good Knight, Sweet Dreams",110261,30,3420,,
class,幻術士クエスト,呼び声,The Call of Nature,110262,36,4720,,
class,呪術士クエスト,復讐依頼,The Big Payback,110240,20,1760,,
class,呪術士クエスト,やっつけ伝道師,Revelry in Rivalry,110241,30,3420,,
class,呪術士クエスト,ナル・ザル教団特約,Law and the Order,110242,36,4720,,
class,木工師クエスト,小さな先生,The Mouths of Babes,110300,20,1760,,
class,木工師クエスト,小さな鬼,Hide and Seek Shenanigans,110301,30,3420,,
class,木工師クエスト,精霊たちの贈り物,Spanning the Spectrum,110302,36,4720,,
class,鍛冶師・甲冑師クエスト,左耳の男,An Ear for Quality,110320,20,1760,,
class,鍛冶師・甲冑師クエスト,セイレーンの歌声,Song of the Sirens,110321,30,3420,,
class,鍛冶師・甲冑師クエスト,魅惑の島,The Sound of Silence,110322,36,4720,,
class,彫金師クエスト,貴方のかたち,She Walks in Beauty,110360,20,1760,,
class,彫金師クエスト,フ・ラミンの花,F'lhaminn's Flower,110361,30,3420,,
class,彫金師クエスト,心の臓の刃,Struck Through the Heart,110362,36,4720,,
class,革細工師クエスト,物言わぬもの,The Silent Partners,110380,20,1760,,
class,革細工師クエスト,第二のアトリエ,Designer Imposters,110381,30,3420,,
class,革細工師クエスト,師弟評価制度,Head of the Class,110382,36,4720,,
class,裁縫師クエスト,赤の章,Hoodwinked,110400,20,1760,,
class,裁縫師クエスト,灰の章,Dance the Night Away,110401,30,3420,,
class,裁縫師クエスト,白の章,A Fruitful Murder,110402,36,4720,,
class,錬金術師クエスト,眠りの淵,"Sleep, Cousin of Death",110420,20,1760,,
class,錬金術師クエスト,ドラゴンになった少年,The Boy and the Dragon Gay,110421,30,3420,,
class,錬金術師クエスト,夢か現か,"Dream On, Dream Away",110422,36,4720,,
class,調理師クエスト,プルプル対決,Showdown,110440,20,1760,,
class,調理師クエスト,消えた美食家,Mystery of the Gastronome Gone Home,110441,30,3420,,
class,調理師クエスト,湯けむり毒殺事件,Something in the Soup,110442,36,4720,,
class,採掘師クエスト,時のかけら,A Piece of History,110460,20,1760,,
class,採掘師クエスト,とっておき大作戦,Little Saboteurs,110461,30,3420,,
class,採掘師クエスト,彼女の逃避行,Runaway Little Girl,110462,36,4720,,
class,園芸師クエスト,グリダニアの根っこ,Gridanian Roots,110480,20,1760,,
class,園芸師クエスト,憧れの大都会,The Grass is Always Greener,110481,30,3420,,
class,園芸師クエスト,モーグリの花畑,A Moogle Bouquet,110482,36,4720,,
class,漁師クエスト,サハギン族をやっつけろ,To Fight a Fishback,110500,20,1760,,
class,漁師クエスト,いけすのヌシ,The Beast of the Barrel,110501,30,3420,,
class,漁師クエスト,うはうは期間,Polishing the Mast,110502,36,4720,,
job,戦士クエスト,アバラシアから来た戦士,Pride and Duty (Will Take You from the Mountain),111201,30,2661,槍術,
job,戦士クエスト,壁をぶち壊せ,Embracing the Beast,111202,35,3360,斧術,
job,戦士クエスト,原初のマグマ,Curious Gorge Goes to the Bazaar,111203,40,4260,斧術,
job,戦士クエスト,英雄巡礼,Looking the Part,111204,45,5340,斧術,
job,戦士クエスト,腕くらべ,Proof is in the Pudding,111205,45,5340,斧術,
job,戦士クエスト,いちばんの戦士,How to Quit You,111206,50,,,
job,モンククエスト,さすらいのモンク,Brother from Another Mother,111221,30,2661,槍術,
job,モンククエスト,青き古戦場,Insulted Intelligence,111222,35,3360,闘術,
job,モンククエスト,不和から至る旋律,The Pursuit of Power,111223,40,4260,闘術,
job,モンククエスト,チャクラの波紋,Good Vibrations,111224,45,5340,闘術,
job,モンククエスト,無明の内地,Five Easy Pieces,111225,45,5340,闘術,
job,モンククエスト,廃王の帰還,Return of the King...of Ruin,111226,50,,,
job,白魔道士クエスト,白魔道士が導くもの,Seeds of Initiative,111241,30,2661,幻術,
job,白魔道士クエスト,光のあとに残るもの,When Sheep Attack,111242,35,3360,幻術,
job,白魔道士クエスト,続く明日を語るもの,Lost in Rage,111243,40,4260,幻術,
job,白魔道士クエスト,瞬く希望を願うもの,The Wheel of Disaster,111244,45,5340,幻術,
job,白魔道士クエスト,怒りの底に眠るもの,In Search of Succor,111245,45,5340,幻術,
job,白魔道士クエスト,無垢より満つるもの,The Chorus of Cataclysm,111246,50,,,
job,黒魔道士クエスト,黒魔道士と黒の石,Hearing Voices,111261,30,2661,槍術,
job,黒魔道士クエスト,時を告げし血,A Time to Kill,111262,35,3360,呪術,
job,黒魔道士クエスト,異郷なる友,International Relations,111263,40,4260,呪術,
job,黒魔道士クエスト,いざないの霧,The Voidgate Breathes Gloomy,111264,45,5340,呪術,
job,黒魔道士クエスト,道を求むる旅,Gearing Up,111265,45,5340,呪術,
job,黒魔道士クエスト,黒魔法の導き手,Always Bet on Black,111266,50,,,
job,ナイトクエスト,ナイトの誓約,Paladin's Pledge,111281,30,2661,槍術,
job,ナイトクエスト,慕いし背中,Honor Lost,111282,35,,,
job,ナイトクエスト,失望と怒りと責任と,Power Struggles,111283,40,4260,剣術,
job,ナイトクエスト,交わる毒心,Poisoned Hearts,111284,45,5340,剣術,
job,ナイトクエスト,交わらぬ心慮,Parley on High Ground,111285,45,5340,剣術,
job,ナイトクエスト,かざすは騎士の聖剣,Keeping the Oath,111286,50,,,
job,吟遊詩人クエスト,吟遊詩人の調べ,A Song of Bards and Bowmen,111301,30,2661,弓術,
job,吟遊詩人クエスト,弓兵の戦歌,The Archer's Anthem,111302,35,3360,弓術,
job,吟遊詩人クエスト,時神の境地,Bard's-Eye View,111303,40,4260,弓術,
job,吟遊詩人クエスト,罪深き愚者,Doing It the Bard Way,111304,45,5340,弓術,
job,吟遊詩人クエスト,浄罪の地を求めて,Pieces of the Past,111305,45,5340,弓術,
job,吟遊詩人クエスト,命の賛歌,Requiem for the Fallen,111306,50,,,
job,竜騎士クエスト,目覚めし竜騎士,Eye of the Dragon,111321,30,2661,槍術,
job,竜騎士クエスト,戦神の槍,Lance of Fury,111322,35,3360,槍術,
job,竜騎士クエスト,消えぬ爪痕,Unfading Scars,111323,40,4260,槍術,
job,竜騎士クエスト,双竜の邂逅,Double Dragoon,111324,45,5340,槍術,
job,竜騎士クエスト,邪竜の声,Fatal Seduction,111325,45,5340,槍術,
job,竜騎士クエスト,蒼の竜騎士,Into the Dragon's Maw,111326,50,,,
