anchor_index,capture,lane_index,lane,direction,opcode,relative_event,neighbor_direction_event_index,same_frame,frame_index,subevent_index,subevent_offset,subevent_type,neighbor_opcode,transport_source_actor_id_hex,transport_target_actor_id_hex,capture_delta_us,outer_value_delta
26,return_to_inn.pcapng,0,main,s2c,0x00da,-1,26,no,13,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-419412,-420
26,return_to_inn.pcapng,0,main,s2c,0x00da,1,28,no,15,0,0,0x0003,0x0001,0x029b2941,0x029b2941,739945,740
26,return_to_inn.pcapng,0,main,s2c,0x00da,2,29,no,16,0,0,0x0003,0x00cf,0x46700082,0x029b2941,1260232,1260
26,return_to_inn.pcapng,0,main,s2c,0x00da,3,30,no,16,1,80,0x0003,0x00cf,0x467000a9,0x029b2941,1260232,1260
27,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,-3,62,no,40,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-1323259,-1558
27,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,-2,63,no,41,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-459960,-457
27,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,-1,64,yes,42,0,0,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
27,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,1,66,yes,42,2,112,0x0003,0x0130,0x029b2941,0x029b2941,0,0
27,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,2,67,no,43,0,0,0x0003,0x00cf,0x448800ec,0x029b2941,401582,140
27,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,3,68,no,43,1,80,0x0003,0x00cf,0x44880090,0x029b2941,401582,140
28,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,-3,74,no,46,2,160,0x0003,0x00cf,0x4488005b,0x029b2941,-823907,-740
28,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,-2,75,no,47,0,0,0x0003,0x018d,0x029b2941,0x029b2941,-416786,-371
28,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,-1,76,no,48,0,0,0x0003,0x0001,0x029b2941,0x029b2941,0,-98
28,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,1,78,no,50,0,0,0x0003,0x0001,0x029b2941,0x029b2941,516076,602
28,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,2,79,no,51,0,0,0x0003,0x00cf,0x448800ec,0x029b2941,1216216,1299
28,teleport_to_camp_nine_ivies.pcapng,0,main,s2c,0x00da,3,80,no,51,1,80,0x0003,0x00cf,0x44880090,0x029b2941,1216216,1299
29,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,-3,18,no,18,0,0,0x0003,0x018d,0x029b2941,0x029b2941,-1120148,-1121
29,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,-2,19,no,19,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-340034,-331
29,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,-1,20,yes,20,0,0,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
29,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,1,22,yes,20,2,112,0x0003,0x0130,0x029b2941,0x029b2941,0,0
29,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,2,23,no,21,0,0,0x0003,0x0001,0x029b2941,0x029b2941,800006,802
29,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,3,24,no,22,0,0,0x0003,0x0001,0x029b2941,0x029b2941,1490053,1489
30,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,-3,23,no,21,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-2012767,-1721
30,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,-2,24,no,22,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-1322720,-1034
30,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,-1,25,no,23,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-302753,-11
30,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,1,27,no,25,0,0,0x0003,0x0001,0x029b2941,0x029b2941,847130,1138
30,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,2,28,no,26,0,0,0x0003,0x018d,0x029b2941,0x029b2941,1091871,1370
30,teleport_to_camp_tranquil.pcapng,0,main,s2c,0x00da,3,29,no,27,0,0,0x0003,0x0193,0x029b2941,0x029b2941,1747166,2040
31,teleport_to_gridania.pcapng,0,main,s2c,0x00da,-3,84,no,22,17,1752,0x0003,0x0137,0x44d0008f,0x029b2941,-368832,-350
31,teleport_to_gridania.pcapng,0,main,s2c,0x00da,-2,85,no,23,0,0,0x0003,0x0001,0x029b2941,0x029b2941,0,-66
31,teleport_to_gridania.pcapng,0,main,s2c,0x00da,-1,86,yes,24,0,0,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
