occurrence,capture,record_index,field_u32_00,field_u32_08,field_u32_0c,field_f32_14,field_f32_18,field_f32_1c,hypothesis_f32_20_unprojected
occurrence-046,combat_skills.pcapng,0,value-001,value-005,value-006,822.597229,-0.029163003,1066.44092,2.7121141
occurrence-047,combat_skills.pcapng,0,value-001,value-005,value-006,822.634766,-0.029163003,1067.88037,0.026040215
occurrence-048,combat_skills.pcapng,0,value-001,value-005,value-006,822.634766,-0.029163003,1067.88037,0.026040215
occurrence-049,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,61.850769,4,-1210.83447,-1.31518984
occurrence-050,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,75.4978943,4.02539444,-1209.16833,1.25482249
occurrence-051,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,99.3384171,3.60166144,-1202.40979,1.29682386
occurrence-052,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,119.026459,4.12400246,-1190.08008,0.511425674
occurrence-053,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,137.327042,1.32460403,-1176.70911,0.720864236
occurrence-054,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,160.335663,-0.959503651,-1164.04785,0.968805492
occurrence-055,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,182.82222,-0.999999166,-1154.69739,1.52081501
occurrence-056,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,208.033066,0.979967535,-1153.18079,1.62880564
occurrence-057,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,231.424576,4.51629257,-1155.6344,1.69281673
occurrence-058,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,254.6604,6.55023098,-1151.31079,0.850814104
occurrence-059,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,269.163818,6.53746939,-1138.5946,0.850814104
occurrence-060,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,280.853485,6.53604507,-1128.06372,0.82081455
occurrence-061,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,296.7771,6.10013819,-1111.30798,0.82081455
occurrence-062,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,306.437012,6.5360446,-1090.00024,0.0354163833
occurrence-063,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,318.363129,5.99401617,-1066.36401,0.150812119
occurrence-064,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,319.243073,6.53604412,-1041.06482,0.0128141325
occurrence-065,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,319.543854,6.5360446,-1017.599,0.0128137581
occurrence-066,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,318.287964,4.05350161,-992.431458,-0.315187931
occurrence-067,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,317.45874,6.8381443,-966.879639,0.434811652
occurrence-068,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,330.729492,6.15636063,-945.56073,0.596815526
occurrence-069,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,343.781494,4.13787699,-924.236633,0.54881233
occurrence-070,from_gridania_to_blackshroud.pcapng,0,value-001,value-005,value-006,367.364868,5.90112591,-912.047668,1.83220863
occurrence-071,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-072,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-073,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-074,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-075,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-076,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-077,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-078,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-079,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-080,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-081,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-082,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-083,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-084,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-085,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-086,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-087,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-088,gather_wood.pcapng,0,value-001,value-005,value-006,388.021637,5.21288204,-469.845642,2.07059598
occurrence-089,gridania_map.pcapng,0,value-001,value-005,value-006,115.62529,4.88313246,-1195.10791,1.7960403
occurrence-090,gridania_map.pcapng,0,value-001,value-005,value-006,115.62529,4.88313246,-1195.10791,1.7960403
occurrence-091,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,129.469604,3.29370475,-1185.1803,0.862033963
occurrence-092,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,149.230469,-0.259869546,-1171.36475,0.862033188
occurrence-093,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,169.447281,-1.28188086,-1157.85889,1.64743137
occurrence-094,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,192.936722,-0.902297735,-1152.48181,1.5100292
occurrence-095,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,216.297562,2.83124328,-1152.53003,2.39942646
occurrence-096,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,242.665161,6.3622241,-1155.98499,1.24402893
occurrence-097,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,263.691589,6.28723001,-1144.19104,0.850035846
occurrence-098,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,281.632385,6.5360446,-1126.27576,0.758030713
occurrence-099,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,299.020996,6.1013093,-1107.89722,0.758030713
occurrence-100,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,307.72937,6.5360446,-1086.2677,0.758030713
occurrence-101,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,319.06665,5.95932627,-1065.54639,0.758030713
occurrence-102,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,319.736389,6.5360446,-1040.59375,-0.0273752213
occurrence-103,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,319.088654,6.53604412,-1017.02832,-0.0273575783
occurrence-104,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,317.652679,4.07335472,-990.093689,-0.645362377
occurrence-105,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,317.858673,6.85579586,-966.155701,0.444035381
occurrence-106,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,329.999512,6.05024004,-944.137512,0.532033682
occurrence-107,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,350.979248,4.10565519,-920.61908,1.15203047
occurrence-108,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,384.016815,7.02075577,-892.779358,0.34003216
occurrence-109,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,380.976532,2.43692279,-849.949036,-0.12396574
occurrence-110,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,385.342194,3.45631266,-806.398682,-0.525362015
occurrence-111,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,383.75412,4.32217073,-764.454651,-0.525362015
occurrence-112,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,360.729889,4.0607028,-729.28479,-0.289963722
occurrence-113,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,324.982422,4.47356033,-708.961609,-1.36396217
occurrence-114,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,280.870575,3.99230742,-699.000793,-1.30596495
occurrence-115,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,235.824707,4.16222334,-700.753662,-1.79396772
occurrence-116,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,192.82933,3.51111841,-700.528809,-1.11796284
occurrence-117,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,151.18045,5.13163853,-707.554443,-1.98596525
occurrence-118,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,108.970917,16.1275673,-699.85144,-1.44596243
occurrence-119,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,65.7027283,20.1868629,-699.972046,-2.38596416
occurrence-120,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,42.3828621,20.2006493,-739.131287,-2.61996484
occurrence-121,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,4.91256332,20.2125912,-762.284119,-2.41796684
occurrence-122,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-32.9585609,20.0551567,-769.763672,-1.60396481
occurrence-123,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-75.7321243,7.36040545,-759.725403,-1.76196194
occurrence-124,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-117.952347,0.48773095,-768.72345,-1.16996098
occurrence-125,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-162.337875,4.07878017,-765.479065,-1.49996042
occurrence-126,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-198.434753,4.31137991,-774.253662,-2.42796326
occurrence-127,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-228.363159,4.18609142,-808.819153,-2.42796326
occurrence-128,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-260.297394,4.40046406,-837.274963,-2.42796326
occurrence-129,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-300.699188,4.8639884,-834.859924,-1.54796505
occurrence-130,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-339.523254,4.51179361,-857.055115,-2.26796818
occurrence-131,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-361.890442,5.38137579,-881.805664,-2.70430255
occurrence-132,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-396.622253,5.16538715,-904.21344,-1.15796614
occurrence-133,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-440.914917,0.285342425,-898.240051,-1.33796501
occurrence-134,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-485.319183,4.14283466,-894.221497,-1.72396469
occurrence-135,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-524.766907,6.08672905,-912.214783,-2.11596537
occurrence-136,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-560.374207,4.68745327,-939.632202,-1.652565
occurrence-137,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-592.365723,4.67355967,-967.32074,-1.19996881
occurrence-138,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-633.098022,3.80103588,-950.26709,-1.50996256
occurrence-139,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-642.771057,4.00000048,-987.618591,2.58322287
occurrence-140,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-638.564941,11.2882299,-1028.26526,-2.34196329
occurrence-141,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-636.048584,22.0448666,-1070.95129,2.90922093
occurrence-142,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-657.152039,21.0040951,-1109.92102,-2.78395796
occurrence-143,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-672.373901,19.7500019,-1151.91638,-2.79796505
occurrence-144,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-688.63855,21.1581993,-1194.22168,-2.79796505
occurrence-145,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-708.83551,22.1718407,-1232.40015,-2.79796505
occurrence-146,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-698.036987,19.6518116,-1274.33228,-2.79796505
occurrence-147,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-733.991577,20.0296669,-1279.05066,-1.27396679
occurrence-148,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-772.797302,20.2104034,-1284.11194,-2.54996443
occurrence-149,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-804.311401,20.0097313,-1315.58508,-2.43196154
occurrence-150,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-832.514526,20.1322861,-1345.16492,-2.43196154
occurrence-151,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-872.537659,19.7427044,-1339.755,-1.16395855
occurrence-152,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-903.534058,19.5701294,-1356.15076,-3.11796808
occurrence-153,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-896.077393,19.8166199,-1399.77417,-2.71196318
occurrence-154,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-896.983521,20.0316277,-1441.33789,2.75122356
occurrence-155,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-890.544739,20.1996517,-1494.91077,-3.06796122
occurrence-156,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-892.968201,19.5689583,-1539.17395,-2.77796435
occurrence-157,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-889.257751,19.8351727,-1582.71155,2.88922191
occurrence-158,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-914.126099,19.4597797,-1605.29285,-1.25195837
occurrence-159,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-957.67865,22.2189884,-1594.54114,-1.62595987
occurrence-160,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1002.88708,20.4223804,-1595.98816,-1.19995928
occurrence-161,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1037.2804,20.5873642,-1616.45544,-2.44396925
occurrence-162,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1068.64465,21.3641872,-1645.59839,-2.30196524
occurrence-163,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1092.52747,21.5329514,-1683.44751,2.97722149
occurrence-164,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1095.08057,22.4415379,-1723.12842,-2.2859621
occurrence-165,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1140.17334,16.8870525,-1729.24524,-1.33796692
occurrence-166,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1185.20239,20.067564,-1725.85364,-1.64995909
occurrence-167,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1226.85327,19.2339554,-1733.32959,-1.75396395
occurrence-168,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1271.41833,19.6371803,-1730.13647,-1.22597218
occurrence-169,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1310.60132,20.0673313,-1725.8761,-1.92995882
occurrence-170,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1353.18494,19.984951,-1733.69421,-1.18196201
occurrence-171,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1396.12341,21.2465897,-1719.625,-1.27596521
occurrence-172,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1427.56824,21.2339745,-1749.70667,-2.50396228
occurrence-173,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1461.40833,20.5339699,-1779.74744,-2.2899642
occurrence-174,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1494.10754,20.2732811,-1793.79541,-0.918568611
occurrence-175,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1535.89648,19.506876,-1804.36853,-1.6659646
occurrence-176,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1577.06067,19.6839218,-1788.33044,-1.19796658
occurrence-177,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1606.60669,19.8219604,-1806.4104,3.04322433
occurrence-178,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1606.89954,20.6587296,-1850.22241,2.8232255
occurrence-179,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1582.74353,20.3370361,-1887.27466,2.91521645
occurrence-180,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1603.79407,20.4306469,-1926.22424,-2.12396812
occurrence-181,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,-1612.62634,21.1526623,-1927.96228,-1.30596161
occurrence-182,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,1836.94482,148,1741.29932,-2.3499999
occurrence-183,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,1836.94482,148,1741.29932,-2.3499999
occurrence-184,gridania_to_coerthas.pcapng,0,value-001,value-005,value-006,1825.78186,149.23848,1730.1875,-2.35400963
occurrence-185,harvest.pcapng,0,value-001,value-005,value-006,388.518799,5.03876591,-425.918549,-0.92777586
occurrence-186,harvest.pcapng,0,value-001,value-005,value-006,388.518799,5.03876591,-425.918549,-2.56135368
occurrence-187,harvest.pcapng,0,value-001,value-005,value-006,388.518799,5.03876591,-425.918549,-2.56135368
occurrence-188,harvest.pcapng,0,value-001,value-005,value-006,387.94458,5.2789917,-423.799652,-0.927775383
occurrence-189,harvest.pcapng,0,value-001,value-005,value-006,387.287903,5.37145996,-424.676178,-0.714602947
occurrence-190,harvest.pcapng,0,value-001,value-005,value-006,387.287903,5.37145996,-424.676178,-0.714602947
occurrence-191,idle_in_party.pcapng,0,value-001,value-005,value-006,61.2363625,4,-1217.60364,1.86106634
occurrence-191,idle_in_party.pcapng,1,value-007,value-008,value-006,58.9560966,4,-1219.13916,2.66046476
occurrence-192,idle_in_party.pcapng,0,value-001,value-005,value-006,61.2319489,4,-1216.79944,-0.212384701
occurrence-192,idle_in_party.pcapng,1,value-007,value-008,value-006,58.9560966,4,-1219.13916,2.66046476
occurrence-193,idling.pcapng,0,value-001,value-005,value-006,1828.76526,149.012756,1731.32703,-2.14040232
occurrence-194,idling.pcapng,0,value-001,value-005,value-006,1828.76526,149.012756,1731.32703,-2.14040232
occurrence-195,idling.pcapng,0,value-001,value-005,value-006,1828.76526,149.012756,1731.32703,-2.14040232
occurrence-196,idling.pcapng,0,value-001,value-005,value-006,1828.76526,149.012756,1731.32703,-2.14040232
occurrence-197,idling.pcapng,0,value-001,value-005,value-006,1828.76526,149.012756,1731.32703,-2.14040232
occurrence-198,idling.pcapng,0,value-001,value-005,value-006,1828.76526,149.012756,1731.32703,-2.14040232
occurrence-199,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-200,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-201,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-202,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-203,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-204,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-205,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-206,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-207,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-208,invite_join_party.pcapng,0,value-001,value-005,value-006,60.5067558,4,-1208.15234,-2.43800116
occurrence-208,invite_join_party.pcapng,1,value-006,value-006,value-006,0,0,0,0
occurrence-209,local_leve_complete.pcapng,0,value-001,value-005,value-006,276.856842,4.53056145,-554.504028,-2.65999889
occurrence-210,local_leve_complete.pcapng,0,value-001,value-005,value-006,276.856842,4.53056145,-554.504028,-2.65999889
occurrence-211,local_leve_complete.pcapng,0,value-001,value-005,value-006,276.856842,4.53056145,-554.504028,-2.65999889
occurrence-212,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-213,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-214,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-215,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-216,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-217,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-218,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-219,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-220,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-221,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-222,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-223,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-224,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-225,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-226,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-227,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-228,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-229,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-230,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
occurrence-231,local_leve_complete.pcapng,0,value-001,value-005,value-006,277.748169,4.53056145,-553.033813,0.544960558
