category_jp,category_en,title_jp,display_text_jp,event_item_jp,event_item_en_client,client_item_id
クエスト,Quest,アビリティ「カモフラージュ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「カモフラージュ」を獲得しました！,,,
クエスト,Quest,アビリティ「完全」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「完全」を獲得しました！,,,
クエスト,Quest,アビリティ「機関識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「機関識」を獲得しました！,,,
クエスト,Quest,アビリティ「きこりの腕」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「きこりの腕」を獲得しました！,,,
クエスト,Quest,アビリティ「魚影識別」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「魚影識別」を獲得しました！,,,
クエスト,Quest,アビリティ「クイックステップ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「クイックステップ」を獲得しました！,,,
クエスト,Quest,アビリティ「草木識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「草木識」を獲得しました！,,,
クエスト,Quest,アビリティ「グランドデザイン」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「グランドデザイン」を獲得しました！,,,
クエスト,Quest,アビリティ「クリーンスレート」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「クリーンスレート」を獲得しました！,,,
クエスト,Quest,アビリティ「グリーンマインド」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「グリーンマインド」を獲得しました！,,,
クエスト,Quest,アビリティ「クリエイティブアージ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「クリエイティブアージ」を獲得しました！,,,
クエスト,Quest,アビリティ「クレバーアーチ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「クレバーアーチ」を獲得しました！,,,
クエスト,Quest,アビリティ「甲鱗識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「甲鱗識」を獲得しました！,,,
クエスト,Quest,アビリティ「ゴッズハンド」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ゴッズハンド」を獲得しました！,,,
クエスト,Quest,アビリティ「コンビクション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「コンビクション」を獲得しました！,,,
クエスト,Quest,アビリティ「コンプリートコントロール」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「コンプリートコントロール」を獲得しました！,,,
クエスト,Quest,アビリティ「コンプリートコントロールII」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「コンプリートコントロールII」を獲得しました！,,,
クエスト,Quest,アビリティ「サブリメーション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「サブリメーション」を獲得しました！,,,
クエスト,Quest,アビリティ「サリャクの加護」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「サリャクの加護」を獲得しました！,,,
クエスト,Quest,アビリティ「死屍識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「死屍識」を獲得しました！,,,
クエスト,Quest,アビリティ「呪具識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「呪具識」を獲得しました！,,,
クエスト,Quest,アビリティ「樹相識別」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「樹相識別」を獲得しました！,,,
クエスト,Quest,アビリティ「シャドウフォール」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「シャドウフォール」を獲得しました！,,,
クエスト,Quest,アビリティ「十全」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「十全」を獲得しました！,,,
クエスト,Quest,アビリティ「シュプリームマインド」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「シュプリームマインド」を獲得しました！,,,
クエスト,Quest,アビリティ「シュプリームマインドII」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「シュプリームマインドII」を獲得しました！,,,
クエスト,Quest,アビリティ「シルエット」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「シルエット」を獲得しました！,,,
クエスト,Quest,アビリティ「水棲識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「水棲識」を獲得しました！,,,
クエスト,Quest,アビリティ「ストーンリゾルヴ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ストーンリゾルヴ」を獲得しました！,,,
クエスト,Quest,アビリティ「石理識別」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「石理識別」を獲得しました！,,,
クエスト,Quest,アビリティ「石工の理」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「石工の理」を獲得しました！,,,
クエスト,Quest,アビリティ「セルフガード」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「セルフガード」を獲得しました！,,,
クエスト,Quest,アビリティ「ソードマンシップ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ソードマンシップ」を獲得しました！,,,
クエスト,Quest,アビリティ「ダウズIII」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ダウズIII」を獲得しました！,,,
クエスト,Quest,アビリティ「ダウズIV」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ダウズIV」を獲得しました！,,,
クエスト,Quest,アビリティ「ダウズV」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ダウズV」を獲得しました！,,,
クエスト,Quest,アビリティ「ダークワーシップ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ダークワーシップ」を獲得しました！,,,
クエスト,Quest,アビリティ「彫工の力」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「彫工の力」を獲得しました！,,,
クエスト,Quest,アビリティ「デヴォーション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「デヴォーション」を獲得しました！,,,
クエスト,Quest,アビリティ「デタミネーション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「デタミネーション」を獲得しました！,,,
クエスト,Quest,アビリティ「トライアングレートIII」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「トライアングレートIII」を獲得しました！,,,
クエスト,Quest,アビリティ「トライアングレートIV」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「トライアングレートIV」を獲得しました！,,,
クエスト,Quest,アビリティ「トライアングレートV」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「トライアングレートV」を獲得しました！,,,
クエスト,Quest,アビリティ「ナルザルの加護」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ナルザルの加護」を獲得しました！,,,
クエスト,Quest,アビリティ「ネイチャーフューリー」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ネイチャーフューリー」を獲得しました！,,,
クエスト,Quest,アビリティ「ネイチャーワーシップ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ネイチャーワーシップ」を獲得しました！,,,
クエスト,Quest,アビリティ「ノフィカの加護」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ノフィカの加護」を獲得しました！,,,
クエスト,Quest,アビリティ「パーフェクション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「パーフェクション」を獲得しました！,,,
クエスト,Quest,アビリティ「パイクマンシップ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「パイクマンシップ」を獲得しました！,,,
クエスト,Quest,アビリティ「ハイリターン」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ハイリターン」を獲得しました！,,,
クエスト,Quest,アビリティ「ピアース」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ピアース」を獲得しました！,,,
クエスト,Quest,アビリティ「ビエルゴの加護」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ビエルゴの加護」を獲得しました！,,,
クエスト,Quest,アビリティ「百獣識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「百獣識」を獲得しました！,,,
クエスト,Quest,アビリティ「百蟲識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「百蟲識」を獲得しました！,,,
クエスト,Quest,アビリティ「ファストキャスト」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ファストキャスト」を獲得しました！,,,
クエスト,Quest,アビリティ「複射準備」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「複射準備」を獲得しました！,,,
クエスト,Quest,アビリティ「船乗りの信」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「船乗りの信」を獲得しました！,,,
クエスト,Quest,アビリティ「プライムコンディション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「プライムコンディション」を獲得しました！,,,
クエスト,Quest,アビリティ「ブランド・オブ・アイス」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ブランド・オブ・アイス」を獲得しました！,,,
クエスト,Quest,アビリティ「ブランド・オブ・アース」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ブランド・オブ・アース」を獲得しました！,,,
クエスト,Quest,アビリティ「ブランド・オブ・ウィンド」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ブランド・オブ・ウィンド」を獲得しました！,,,
クエスト,Quest,アビリティ「ブランド・オブ・ウォーター」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ブランド・オブ・ウォーター」を獲得しました！,,,
クエスト,Quest,アビリティ「ブランド・オブ・ファイア」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ブランド・オブ・ファイア」を獲得しました！,,,
クエスト,Quest,アビリティ「ブランド・オブ・ライトニング」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ブランド・オブ・ライトニング」を獲得しました！,,,
クエスト,Quest,アビリティ「フルスラスト」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「フルスラスト」を獲得しました！,,,
クエスト,Quest,アビリティ「プロスペクトIII」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「プロスペクトIII」を獲得しました！,,,
クエスト,Quest,アビリティ「プロスペクトIV」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「プロスペクトIV」を獲得しました！,,,
クエスト,Quest,アビリティ「プロスペクトV」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「プロスペクトV」を獲得しました！,,,
クエスト,Quest,アビリティ「ヘヴィショット」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ヘヴィショット」を獲得しました！,,,
クエスト,Quest,アビリティ「ヘヴィスウィング」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ヘヴィスウィング」を獲得しました！,,,
クエスト,Quest,アビリティ「ヘヴィスラッシュ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ヘヴィスラッシュ」を獲得しました！,,,
クエスト,Quest,アビリティ「ボールドエンデバー」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ボールドエンデバー」を獲得しました！,,,
クエスト,Quest,アビリティ「ボウマンシップ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ボウマンシップ」を獲得しました！,,,
クエスト,Quest,アビリティ「マスプロダクション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「マスプロダクション」を獲得しました！,,,
クエスト,Quest,アビリティ「マッスルメモリー」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「マッスルメモリー」を獲得しました！,,,
クエスト,Quest,アビリティ「マッスルメモリーII」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「マッスルメモリーII」を獲得しました！,,,
クエスト,Quest,アビリティ「マニピュレーション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「マニピュレーション」を獲得しました！,,,
クエスト,Quest,アビリティ「メネフィナの加護」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「メネフィナの加護」を獲得しました！,,,
クエスト,Quest,アビリティ「有翼識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「有翼識」を獲得しました！,,,
クエスト,Quest,アビリティ「妖異識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「妖異識」を獲得しました！,,,
クエスト,Quest,アビリティ「ラプチャー」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ラプチャー」を獲得しました！,,,
クエスト,Quest,アビリティ「ラプチャーII」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ラプチャーII」を獲得しました！,,,
クエスト,Quest,アビリティ「リムレーンの加護」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「リムレーンの加護」を獲得しました！,,,
クエスト,Quest,アビリティ「リングズマンシップ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「リングズマンシップ」を獲得しました！,,,
クエスト,Quest,アビリティ「レス・イズ・モア」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「レス・イズ・モア」を獲得しました！,,,
クエスト,Quest,アビリティ「レゾリューション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「レゾリューション」を獲得しました！,,,
クエスト,Quest,アビリティ「レネゲード」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「レネゲード」を獲得しました！,,,
クエスト,Quest,アビリティ「レネゲードII」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「レネゲードII」を獲得しました！,,,
クエスト,Quest,アビリティ「連撃」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「連撃」を獲得しました！,,,
クエスト,Quest,アビリティ「老農の知」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「老農の知」を獲得しました！,,,
クエスト,Quest,アビリティ「六識識」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「六識識」を獲得しました！,,,
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「エッグキャップ」を入手しました！,エッグキャップ,Pristine Egg Cap,8012801
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「カモエッグキャップ」を入手しました！,カモエッグキャップ,Vibrant Egg Cap,8012802
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「トリコエッグキャップ」を入手しました！,トリコエッグキャップ,Brilliant Egg Cap,8012803
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「ダークエッグキャップ」を入手しました！,ダークエッグキャップ,Midnight Egg Cap,8012804
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「チョコボエッグキャップ」を入手しました！,チョコボエッグキャップ,Chocobo Egg Cap,8012805
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「銀色の水着」を入手しました！,銀色の水着,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「赤色の水着」を入手しました！,赤色の水着,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「緑色の水着」を入手しました！,緑色の水着,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「青色の水着」を入手しました！,青色の水着,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「金色の水着」を入手しました！,金色の水着,,
シーズナルイベント,Seasonal Event,イベント「ハンターズムーン」に参加しました！,[Your Name]は、イベント「ハンターズムーン」で「ムーンマウス」を倒しました！,ムーンマウス,,
シーズナルイベント,Seasonal Event,イベント「ハンターズムーン」に参加しました！,[Your Name]は、イベント「ハンターズムーン」で大量の「ムーンマウス」を倒しました！,ムーンマウス,,
シーズナルイベント,Seasonal Event,イベント「復古祭」に参加しました！,[Your Name]は、イベント「復古祭」で「黒渦団軍票」を入手しました！,黒渦団軍票,Storm Seal,1000201
シーズナルイベント,Seasonal Event,イベント「復古祭」に参加しました！,[Your Name]は、イベント「復古祭」で「双蛇党軍票」を入手しました！,双蛇党軍票,Serpent Seal,1000202
シーズナルイベント,Seasonal Event,イベント「復古祭」に参加しました！,[Your Name]は、イベント「復古祭」で「不滅隊軍票」を入手しました！,不滅隊軍票,Flame Seal,1000203
シーズナルイベント,Seasonal Event,イベント「復古祭」に参加しました！,[Your Name]は、イベント「復古祭」で「ストームトレーサー」を使用しました！,ストームトレーサー,Storm Tracer,3020601
シーズナルイベント,Seasonal Event,イベント「復古祭」に参加しました！,[Your Name]は、イベント「復古祭」で「フレイムトレーサー」を使用しました！,フレイムトレーサー,Flame Tracer,3020602
シーズナルイベント,Seasonal Event,イベント「復古祭」に参加しました！,[Your Name]は、イベント「復古祭」で「サーペントトレーサー」を使用しました！,サーペントトレーサー,Serpent Tracer,3020603
シーズナルイベント,Seasonal Event,イベント「守護天節」でアイテムを入手しました！,[Your Name]は、イベント「守護天節」で「パンプキンヘッド」を入手しました！,パンプキンヘッド,Pumpkin Head,8013301
シーズナルイベント,Seasonal Event,イベント「守護天節」でアイテムを入手しました！,[Your Name]は、イベント「守護天節」で「アンライプパンプキンヘッド」を入手しました！,アンライプパンプキンヘッド,Unripened Pumpkin Head,8013302
シーズナルイベント,Seasonal Event,イベント「守護天節」でアイテムを入手しました！,[Your Name]は、イベント「守護天節」で「ホワイトパンプキンヘッド」を入手しました！,ホワイトパンプキンヘッド,White Pumpkin Head,8013303
シーズナルイベント,Seasonal Event,イベント「守護天節」でアイテムを入手しました！,[Your Name]は、イベント「守護天節」で「ライプパンプキンヘッド」を入手しました！,ライプパンプキンヘッド,Ripened Pumpkin Head,8013304
シーズナルイベント,Seasonal Event,イベント「星芒祭」でアイテムを入手しました！,[Your Name]は、イベント「星芒祭」で「レインディアアントラー」と「レインディアスーツ」を入手しました！,レインディアスーツ,Reindeer Suit,8032102
シーズナルイベント,Seasonal Event,イベント「降神祭」でアイテムを入手しました！,[Your Name]は、イベント「降神祭」で「龍形兜」を入手しました！,龍形兜,Dragon Kabuto,8012604
シーズナルイベント,Seasonal Event,イベント「降神祭」でアイテムを入手しました！,[Your Name]は、イベント「降神祭」で「朱漆塗龍形兜」を入手しました！,朱漆塗龍形兜,Crimson Dragon Kabuto,8012605
シーズナルイベント,Seasonal Event,イベント「降神祭」でアイテムを入手しました！,[Your Name]は、イベント「降神祭」で「黒漆塗龍形兜」を入手しました！,黒漆塗龍形兜,Black Dragon Kabuto,8012607
シーズナルイベント,Seasonal Event,イベント「降神祭」でアイテムを入手しました！,[Your Name]は、イベント「降神祭」で「金箔押龍形兜」を入手しました！,金箔押龍形兜,Golden Dragon Kabuto,8012606
シーズナルイベント,Seasonal Event,イベント「ヴァレンティオンデー」でアイテムを入手しました！,[Your Name]は、イベント「ヴァレンティオンデー」で「パラムールペンダント」を入手しました！,パラムールペンダント,Paramour's Pendant,9040019
シーズナルイベント,Seasonal Event,イベント「ヴァレンティオンデー」でアイテムを入手しました！,[Your Name]は、イベント「ヴァレンティオンデー」で「プラチナ・パラムールペンダント」を入手しました！,プラチナ・パラムールペンダント,Platinum Paramour's Pendant,9040020
シーズナルイベント,Seasonal Event,イベント「ヴァレンティオンデー」でアイテムを入手しました！,[Your Name]は、イベント「ヴァレンティオンデー」で「バンド・オブ・エターナルパッション」を入手しました！,バンド・オブ・エターナルパッション,Band of Eternal Passion,9040021
シーズナルイベント,Seasonal Event,イベント「ヴァレンティオンデー」でアイテムを入手しました！,[Your Name]は、イベント「ヴァレンティオンデー」でベストカップルに認定されました！,,,
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「エッグリング」を入手しました！,エッグリング,Pristine Egg Ring,9050058
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「カモエッグリング」を入手しました！,カモエッグリング,Vibrant Egg Ring,9050061
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「トリコエッグリング」を入手しました！,トリコエッグリング,Brilliant Egg Ring,9050060
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「ダークエッグリング」を入手しました！,ダークエッグリング,Midnight Egg Ring,9050059
シーズナルイベント,Seasonal Event,イベント「エッグハント」でアイテムを入手しました！,[Your Name]は、イベント「エッグハント」で「チョコボエッグリング」を入手しました！,チョコボエッグリング,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「藍(紅)染の浴衣」と「墨染の股引」を入手しました！,墨染の股引,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「緑(藍)染の浴衣」を入手しました！,緑(藍)染の浴衣,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「墨染の浴衣」を入手しました！,墨染の浴衣,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「白錬の股引」を入手しました！,白錬の股引,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「山吹の股引」を入手しました！,山吹の股引,,
シーズナルイベント,Seasonal Event,イベント「紅蓮祭」でアイテムを入手しました！,[Your Name]は、イベント「紅蓮祭」で「下駄」を入手しました！,下駄,,
その他イベント,Other Event,「第七の浄化～不吉な噂～」,[Your Name]は、エーテライト付近で、「この世が破滅する」と吹聴する者が出没しているという噂を聞きました。 いったい彼らは何を企んでいるのでしょうか。,,,
その他イベント,Other Event,「第七の浄化～ガレマール帝国の襲来～」,[Your Name]は、ガレマール帝国兵による襲撃の情報を聞きました。 帝国兵を殲滅しなければ、都市にまで攻撃が及ぶ危険があります。,,,
その他イベント,Other Event,「第七の浄化～得がたき勝利～」,[Your Name]は、攻めてきたガレマール帝国勢を殲滅しました！ 帝国の攻撃がこれで終わるとは限りません。心してください。,,,
その他イベント,Other Event,「第七の浄化～北方の勝利～」,[Your Name]は、キャンプ・グローリー付近でのガレマール帝国兵との衝突にて、帝国兵を殲滅しました！ 帝国の攻撃は、今後も激しさを増すと予想されます。心してください。,,,
その他イベント,Other Event,「第七の浄化～森の迷宮における勝利～」,[Your Name]は、キャンプ・エメラルドモス付近でのガレマール帝国兵との衝突にて、帝国兵を殲滅しました！ 帝国の攻撃は、今後も激しさを増すと予想されます。心してください。,,,
その他イベント,Other Event,「「救世神ダラガブ」への生贄：「霧髭入江」の秘儀からの生還」,[Your Name]は、「霧髭入江」内部において「救世神ダラガブ」への贄として捧げられました！ しかし、秘儀を執り行う「最後の群民」の信者を撃破し、生還に成功しました！,最後の群民,,
その他イベント,Other Event,「「救世神ダラガブ」への生贄：「シラディハ水道」の秘儀からの生還」,[Your Name]は、「シラディハ水道」において「救世神ダラガブ」への贄として捧げられました！ しかし、秘儀を執り行う「最後の群民」の信者を撃破し、生還に成功しました！,最後の群民,,
その他イベント,Other Event,「第七の浄化～海都迎撃戦の勝利～」,[Your Name]は、リムサ・ロミンサへ進軍するガレマール帝国軍を撃退しました！ 帝国軍の手は、リムサ・ロミンサ領内奥深くにまで及びはじめているようです……,,,
その他イベント,Other Event,「第七の浄化～森都迎撃戦の勝利～」,[Your Name]は、グリダニアへ進軍するガレマール帝国軍を撃退しました！ 帝国軍の手は、グリダニア領内奥深くにまで及びはじめているようです……,,,
その他イベント,Other Event,「第七の浄化～砂都迎撃戦の勝利～」,[Your Name]は、ウルダハへ進軍するガレマール帝国軍を撃退しました！ 帝国軍の手は、ウルダハ領内奥深くにまで及びはじめているようです……,,,
