zone_slug,zone_jp,service_jp,service_type,npc_jp,npc_en_client,client_npc_id,location_area,x,y,name_match_note
Gridania,グリダニア,リンクシェル発行,linkshell-manager,エモニ,Emoni,1100126,,6,6,
Gridania,グリダニア,リテイナー雇用,retainer-manager,ガイルス,Gyles,1000131,,6,6,
Gridania,グリダニア,リテイナー呼び鈴,retainer-bell,,,,,6,6,
Gridania,グリダニア,リテイナー呼び鈴,retainer-bell,,,,,8,4,
Gridania,グリダニア,リテイナー呼び鈴,retainer-bell,,,,リムサ・ロミンサ交易商会,,,
Gridania,グリダニア,リテイナー呼び鈴,retainer-bell,,,,グリダニア交易商会,,,
Gridania,グリダニア,リテイナー呼び鈴,retainer-bell,,,,ウルダハ交易商会,,,
Ul_dah,ウルダハ,修理請負,item-repairer,修理屋ゴゴラノ,Gogorano,1400116,商業層,6,3,
Ul_dah,ウルダハ,修理請負,item-repairer,修理屋セイヤー,Sayer,2200214,旅商区 リペア横町,,,
Ul_dah,ウルダハ,修理請負,item-repairer,修理屋キョン・チャラッコ,Qhon Chalahko,1900231,リムサ・ロミンサ交易商会,,,
Ul_dah,ウルダハ,修理請負,item-repairer,修理屋ノノワト,Nonowato,1400049,グリダニア交易商会,,,
Ul_dah,ウルダハ,修理請負,item-repairer,修理屋ズヴィンティル,Zwyntyl,1600267,ウルダハ交易商会,,,
Ul_dah,ウルダハ,リーヴ発行,guildleve-publisher,トトノワ,Totonawa,1400141,商業層,6,4,
Ul_dah,ウルダハ,リーヴ発行,guildleve-publisher,ユースタス,Eustace,1000106,商業層,6,4,
Ul_dah,ウルダハ,リンクシェル発行,linkshell-manager,セセバル,Sesebaru,1400068,商業層,6,4,
Ul_dah,ウルダハ,リテイナー雇用,retainer-manager,テージ,Thaisie,1300128,商業層,6,4,
Ul_dah,ウルダハ,リテイナー呼び鈴,retainer-bell,,,,商業層,6,4,
Ul_dah,ウルダハ,リテイナー呼び鈴,retainer-bell,,,,商業層,7,4,
Ul_dah,ウルダハ,リテイナー呼び鈴,retainer-bell,,,,リムサ・ロミンサ交易商会,,,
Ul_dah,ウルダハ,リテイナー呼び鈴,retainer-bell,,,,グリダニア交易商会,,,
Ul_dah,ウルダハ,リテイナー呼び鈴,retainer-bell,,,,ウルダハ交易商会,,,
LaNoscea,ラノシア,修理請負,item-repairer,修理屋ダインバート,Daimbert,1000080,ビアデッドロック,25,29,
LaNoscea,ラノシア,修理請負,item-repairer,修理屋オストゥフォル,Haustefort,1200203,スカルバレー,15,18,
LaNoscea,ラノシア,修理請負,item-repairer,修理屋オルトファンス,Hortefense,1200204,バルドノール,6,16,
LaNoscea,ラノシア,修理請負,item-repairer,修理屋アリステア,Alistair,1000035,ブラッドショア,36,20,
LaNoscea,ラノシア,修理請負,item-repairer,修理屋イニュモルテル,Ignemortel,1200205,アイアンレイク,22,7,
LaNoscea,ラノシア,修理請負,item-repairer,修理屋シヴィンンマス,Syvinmhas,1600197,ブラッドショア,36,25,
LaNoscea,ラノシア,修理請負,item-repairer,修理屋ジャントルモン,Jeantremont,1200206,バルドノール,7,20,
Coerthas,クルザス,修理請負,item-repairer,修理屋クラウディエン,Claudien,1000068,ドラゴンヘッド,39,18,
Coerthas,クルザス,修理請負,item-repairer,修理屋フリヌ,Frine,1300198,クルケッドフォーク,48,9,
Coerthas,クルザス,修理請負,item-repairer,修理屋セギュイ,Seghuie,1100105,フィールド・オブ・グローリー,52,29,
Coerthas,クルザス,修理請負,item-repairer,修理屋シュロロ,Shulolo,1500165,エバーレイクス,35,33,
Coerthas,クルザス,修理請負,item-repairer,修理屋ズヴェルフヒル,Zwelfhyll,1600265,リバーズミート,19,19,
BlackShroud,黒衣森（コクエノモリ）,修理請負,item-repairer,修理屋ガースライト,Garthrite,1100074,ベントブランチ,33,32,
BlackShroud,黒衣森（コクエノモリ）,修理請負,item-repairer,修理屋マウ・リーゼ,Mauh Lihzeh,1900261,ナインアイビー,48,29,
BlackShroud,黒衣森（コクエノモリ）,修理請負,item-repairer,修理屋エマニュエル,Emanuel,1000099,エメラルドモス,20,20,
BlackShroud,黒衣森（コクエノモリ）,修理請負,item-repairer,修理屋ヒルデヤード,Hildeyerd,1100084,クリムゾンバーク,15,32,
BlackShroud,黒衣森（コクエノモリ）,修理請負,item-repairer,修理屋ベネジャー,Beneger,1000048,トランキルパス,38,49,
BlackShroud,黒衣森（コクエノモリ）,修理請負,item-repairer,修理屋エギンオルフ,Eginolf,2200076,トランキルパス,35,43,
BlackShroud,黒衣森（コクエノモリ）,修理請負,item-repairer,修理屋ウトルゲルラン,Outreguerlain,1200213,ナインアイビー,50,32,
Thanalan,ザナラーン,修理請負,item-repairer,修理屋モン・ムジューク,Monh Mujuuk,1900257,ブラックブラッシュ,27,26,
Thanalan,ザナラーン,修理請負,item-repairer,修理屋アウドゥイン,Audouin,2200041,ドライボーン,39,25,
Thanalan,ザナラーン,修理請負,item-repairer,修理屋トキキ,Tokiki,1500162,ホライズンエッジ,13,29,
Thanalan,ザナラーン,修理請負,item-repairer,修理屋イロアズ,Yloise,1300193,ブルーフォグ,25,13,
Thanalan,ザナラーン,修理請負,item-repairer,修理屋パパトリ,Papatori,1400192,ブロークンウォーター,43,40,
Thanalan,ザナラーン,修理請負,item-repairer,修理屋ネルモン,Nellemond,1200211,ホライズンエッジ,9,27,
Thanalan,ザナラーン,修理請負,item-repairer,修理屋ベイナード,Baynard,2200049,ドライボーン,40,28,
MorDhona,モードゥナ,修理請負,item-repairer,修理屋ガドフリッド,Gadfrid,2200097,ブリトルバーク,17,20,
MorDhona,モードゥナ,修理請負,item-repairer,修理屋ノジ・ミュリラー,Nozih Mewrilah,1900263,レヴナンツトール,10,6,
