zone_slug,zone_jp,linked_region_jp,linked_region_en_client,weather_icons,weather_behavior
MistbeardCove,霧髭入江,ラノシア（地域）,La Noscea,[weather2][weather3][weather4][weather5][weather6][weather17],"[weather2][weather3][weather4][weather5][weather6][weather17] / 「ラノシア（地域）」と連動（0時,8時,16時のタイミングで変化）"
CassiopeiaHollow,浮海月の巌穴,ラノシア（地域）,La Noscea,[weather2][weather3][weather4][weather5][weather6][weather17],"[weather2][weather3][weather4][weather5][weather6][weather17] / 「ラノシア（地域）」と連動（0時,8時,16時のタイミングで変化）"
U_GhamaroMines,ウ・ガマロ武装鉱山,ラノシア（地域）,La Noscea,[weather2][weather3][weather4][weather5][weather6][weather17],"[weather2][weather3][weather4][weather5][weather6][weather17] / 「ラノシア（地域）」と連動（0時,8時,16時のタイミングで変化）"
Shposhae,シュポシェの霊窟,ラノシア（地域）,La Noscea,[weather2][weather3][weather4][weather5][weather6][weather17],"[weather2][weather3][weather4][weather5][weather6][weather17] / 「ラノシア（地域）」と連動（0時,8時,16時のタイミングで変化）"
StraitofMerlthor,メルトール海峡,,,[weather2][weather4][weather7][weather17],[weather2][weather4][weather7][weather17]
DzemaelDarkhold,ゼーメル要塞,クルザス（地域）,Coerthas,[weather2][weather3][weather4][weather5][weather6][weather17],"[weather2][weather3][weather4][weather5][weather6][weather17] / 「クルザス（地域）」と連動（0時,8時,16時のタイミングで変化）"
TheAurumVale,オーラムヴェイル,クルザス（地域）,Coerthas,[weather2][weather3][weather4][weather5][weather6][weather17],"[weather2][weather3][weather4][weather5][weather6][weather17] / 「クルザス（地域）」と連動（0時,8時,16時のタイミングで変化）"
TheHowlingEye,ハウリングアイ石塔群,,,[weather14],[weather14]
Rivenroad,リヴェンロード,,,[weather15][weather16],[weather15][weather16]
TheMun-TuyCellars,ムントゥイ醸造庫,黒衣森（地域）,The Black Shroud,[weather1][weather2][weather3][weather4][weather6][weather7][weather17],"[weather1][weather2][weather3][weather4][weather6][weather7][weather17] / 「黒衣森（地域）」と連動（0時,8時,16時のタイミングで変化）"
TheTam-TaraDeepcroft,タムタラの墓所,黒衣森（地域）,The Black Shroud,[weather1][weather2][weather3][weather4][weather6][weather7][weather17],"[weather1][weather2][weather3][weather4][weather6][weather7][weather17] / 「黒衣森（地域）」と連動（0時,8時,16時のタイミングで変化）"
TheThousandMawsofToto-Rak,トトラクの千獄,黒衣森（地域）,The Black Shroud,[weather1][weather2][weather3][weather4][weather6][weather7][weather17],"[weather1][weather2][weather3][weather4][weather6][weather7][weather17] / 「黒衣森（地域）」と連動（0時,8時,16時のタイミングで変化）"
Thornmarch,茨の園,,,[weather12],[weather12]
NanawaMines,ナナワ銀山,ザナラーン（地域）,Thanalan,[weather1][weather2][weather3][weather4][weather6][weather8][weather17],"[weather1][weather2][weather3][weather4][weather6][weather8][weather17] / 「ザナラーン（地域）」と連動（0時,8時,16時のタイミングで変化）"
CopperbellMines,カッパーベル銅山,ザナラーン（地域）,Thanalan,[weather1][weather2][weather3][weather4][weather6][weather8][weather17],"[weather1][weather2][weather3][weather4][weather6][weather8][weather17] / 「ザナラーン（地域）」と連動（0時,8時,16時のタイミングで変化）"
TheBowlofEmbers,炎帝祭跡,,,[weather10],[weather10]
Cutter_sCry,カッターズクライ,ザナラーン（地域）,Thanalan,[weather1][weather2][weather3][weather4][weather6][weather8][weather17],"[weather1][weather2][weather3][weather4][weather6][weather8][weather17] / 「ザナラーン（地域）」と連動（0時,8時,16時のタイミングで変化）"
Ship,船,,,[weather7],[weather7]
