gate_jp,gate_en,class_jp,class_en,class_ingame_note,genus_jp,genus_en_site,genus_en_client,species_list,crystal_drop_priority_by_element,crystal_drop_priority_en,weakness_attr_inferred,weakness_attr_en,resistance_attr_inferred,resistance_attr_en,remarks,source
衆生門,Sentient Gate,水棲綱,Aquatic,,オロボン,Orobon,GAP,アングラー / Angler （嗅覚）; オロボン / Orobon （嗅覚）,水 > 氷 > 風,Water > Ice > Wind,雷,Lightning,水/土,Water/Earth,en_map: no client Orobon genus; species Angler = client row1045 (ピラニア),monster/bestiary/Orobon.html
衆生門,Sentient Gate,水棲綱,Aquatic,,ギガントード,Gigantoad,Gigantoad,ギガントード / Gigantoad （視覚）; ニクス / Nix （視覚）,水 > 氷 > 風,Water > Ice > Wind,雷,Lightning,水/土,Water/Earth,,monster/bestiary/Gigantoad.html
衆生門,Sentient Gate,水棲綱,Aquatic,,サラマンダー,Salamander,Salamander,エフト / Eft （聴覚）; サラマンダー / Salamander （聴覚）,水 > 氷 > 風,Water > Ice > Wind,雷,Lightning,水/土,Water/Earth,en_map: client row1013 Salamander (サンショウウオ); NB client row1022 サラマンダー maps to Drake,monster/bestiary/Salamander.html
衆生門,Sentient Gate,水棲綱 （＋有翼綱）,Aquatic (+Winged),,ジェリーフィッシュ,Jellyfish,Jellyfish,オーレリア / Aurelia （聴覚）; アネモネ / Anemone （聴覚）,水 > 氷 > 風,Water > Ice > Wind,雷,Lightning,水/土,Water/Earth,,monster/bestiary/Jellyfish.html
衆生門,Sentient Gate,水棲綱,Aquatic,,スラッグ,Slug,Slug,スラッグ / Slug （聴覚）; アリオン / Sea Hare （聴覚）,水 > 氷 > 風,Water > Ice > Wind,雷,Lightning,水/土,Water/Earth,,monster/bestiary/Slug.html
衆生門,Sentient Gate,水棲綱,Aquatic,,メガロクラブ,Megalocrab,GAP,メガロクラブ / Megalocrab （聴覚）; スニッパー / Snipper （聴覚）,水 > 氷 > 風,Water > Ice > Wind,雷,Lightning,水/土,Water/Earth,en_map: client has generic Crab (rows1011/1076); no Megalocrab genus,monster/bestiary/Megalocrab.html
衆生門,Sentient Gate,六識綱,Beastmen,,アマルジャ,Amalj'aa,Amlaj'aa,アマルジャ / Amalj'aa （視覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,"en_map: client spelling Amlaj'aa (typo, row1065)",monster/bestiary/Amalj'aa.html
衆生門,Sentient Gate,六識綱,Beastmen,,イクサル,Ixali,Ixal,イクサル / Ixali （視覚）,風 > 雷 > 水,Wind > Lightning > Water,氷,Ice,風/火,Wind/Fire,en_map: client spelling Ixal (row1064); site labels Ixali,monster/bestiary/Ixali.html
衆生門,Sentient Gate,六識綱,Beastmen,,キキルン,Qiqirn,Qiqirn,キキルン / Qiqirn （視覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,,monster/bestiary/Qiqirn.html
衆生門,Sentient Gate,六識綱,Beastmen,,ゴブリン,Goblin,Goblin,ゴブリン / Goblin （視覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,,monster/bestiary/Goblin.html
衆生門,Sentient Gate,六識綱,Beastmen,,コボルド,Kobold,Kobold,コボルド / Kobold （視覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,,monster/bestiary/Kobold.html
衆生門,Sentient Gate,六識綱 （＋有翼綱）,Beastmen (+Winged),,シルフ,Sylph,Sylph,シルフ / Sylph （視覚）,雷 > 風 > 炎,Lightning > Wind > Fire,土,Earth,雷/水,Lightning/Water,,monster/bestiary/Sylph.html
衆生門,Sentient Gate,六識綱,Beastmen,,人,Human,GAP,？？？ / ??? （視覚）,,,,,,,en_map: player/imperial race; not in xtx_monsterRace,monster/bestiary/Human.html
衆生門,Sentient Gate,甲鱗綱,Reptilian,,ドレーク,Drake,Drake,ドレーク / Drake （聴覚）; ビアスト / Biast （聴覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,en_map: client row1022 Drake (client JP サラマンダー),monster/bestiary/Drake.html
衆生門,Sentient Gate,甲鱗綱,Reptilian,,バジリスク,Basilisk,Basilisk,バジリスク / Basilisk （視覚）; ペイスト / Peiste （視覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,,monster/bestiary/Basilisk.html
衆生門,Sentient Gate,甲鱗綱,Reptilian,,ラプトル,Raptor,Raptor,ヴェロキラプトル / Velociraptor （視覚）; リンドヴルム / Lindwurm （視覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,,monster/bestiary/Raptor.html
衆生門,Sentient Gate,百蟲綱,Insects,,アントリング,Antling,Antling,アントリング・ワーカー / Antling Worker （聴覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,,monster/bestiary/Antling.html
衆生門,Sentient Gate,百蟲綱,Insects,※ファイアフライは『（＋有翼綱）』。,ビートル,Beetle,GAP,ウィーヴィル / Weevil （聴覚）; レディバグ / Ladybug （聴覚）; ファイアフライ / Firefly （聴覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,"en_map: no client Beetle genus; species Weevil = row1039, Firefly = row1058",monster/bestiary/Beetle.html
衆生門,Sentient Gate,百蟲綱 （＋有翼綱）,Insects (+Winged),,スウォーム,Sworm,Swarm,ミッヂ / Midge （聴覚）; サーフィズ / Syrphids （嗅覚）; ビーズ / Bees （視覚）,風 > 雷 > 水,Wind > Lightning > Water,氷,Ice,風/火,Wind/Fire,en_map: client Swarm row1053 (飛ぶ虫の群れ); site romaji Sworm,monster/bestiary/Sworm.html
衆生門,Sentient Gate,百蟲綱,Insects,,ダイアマイト,Diremite,GAP,マイトリング / Miteling （聴覚）; ダイアマイト / Diremite （聴覚）; ベーンマイト / Banemite （聴覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,en_map: no client genus row,monster/bestiary/Diremite.html
衆生門,Sentient Gate,百蟲綱,Insects,,チゴー,Chigoe,Chigoe,チグレット / Chiglet （聴覚）; ヂッガ / Djigga （聴覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,,monster/bestiary/Chigoe.html
衆生門,Sentient Gate,百蟲綱 （＋有翼綱）,Insects (+Winged),※ゲーム内では『妖異綱 （＋有翼綱）』ですが公式設定上は『百蟲綱』となっています。,ナット,Gnat,Gnat,ナット / Gnat （嗅覚）; ケッド / Ked （嗅覚）,雷 > 風 > 炎,Lightning > Wind > Fire,土,Earth,雷/水,Lightning/Water,en_map: client JP ベルゼブブ row1006,monster/bestiary/Gnat.html
衆生門,Sentient Gate,百蟲綱,Insects,,ヤーゾン,Yarzon,Yarzon,ラセットヤーゾン / Sand Yarzon （聴覚）; ボッグヤーゾン / Bog Yarzon （聴覚）,氷 > 水 > 土,Ice > Water > Earth,火,Fire,氷/風,Ice/Wind,,monster/bestiary/Yarzon.html
衆生門,Sentient Gate,有翼綱,Winged,※ゲーム内では綱は不明ですが公式設定上は『有翼綱』となっています。,アプカル,Apkallu,Apkallu,アプカル / Apkallu （視覚）,水 > 氷 > 風,Water > Ice > Wind,雷,Lightning,水/土,Water/Earth,,monster/bestiary/Apkallu.html
衆生門,Sentient Gate,有翼綱,Winged,,ヴァルチャー,Vulture,Vulture,ヴァルチャー / Vulture （視覚）,風 > 雷 > 水,Wind > Lightning > Water,氷,Ice,風/火,Wind/Fire,en_map: client JP 鳥 row1012,monster/bestiary/Vulture.html
衆生門,Sentient Gate,有翼綱,Winged,※ゲーム内では綱は不明ですが公式設定上は『有翼綱』となっています。,ドードー,Dodo,GAP,ドードー / Dodo （視覚）; コカトリス / Cockatrice （視覚）,風 > 雷 > 水,Wind > Lightning > Water,氷,Ice,風/火,Wind/Fire,en_map: no client Dodo genus; species Cockatrice = client row1020,monster/bestiary/Dodo.html
衆生門,Sentient Gate,百獣綱,Beasts,※ゲーム内では『百獣綱』ですが公式設定上は『有翼綱』となっています。,ヒッポグリフ,Hippogryph,Hippogryph,ヒッポグリフ / Hippogryph （嗅覚）; ヒッポセルフ / Hippocerf （嗅覚）,雷 > 風 > 炎,Lightning > Wind > Fire,土,Earth,雷/水,Lightning/Water,en_map: client JP グリフォン row1004,monster/bestiary/Hippogryph.html
衆生門,Sentient Gate,甲鱗綱,Reptilian,※ゲーム内では『甲鱗綱』ですが公式設定上は『有翼綱』となっています。,プーク,Puk,Puk,プーク / Puk （視覚）; テロック / Pteroc （視覚）,風 > 雷 > 水,Wind > Lightning > Water,氷,Ice,風/火,Wind/Fire,,monster/bestiary/Puk.html
衆生門,Sentient Gate,有翼綱,Winged,,バット,Bat,Bat,バット / Bat （聴覚）; カロング / Kalong （聴覚）,風 > 雷 > 水,Wind > Lightning > Water,氷,Ice,風/火,Wind/Fire,,monster/bestiary/Bat.html
無情門,Unfeeling Gate,死屍綱 （＋有翼綱）,Undead (+Winged),,ゴースト,Ghost,Ghost,ボギー / Bogy （聴覚）; レブナント / Revenant （聴覚）,氷 > 水 > 土,Ice > Water > Earth,火,Fire,氷/風,Ice/Wind,,monster/bestiary/Ghost.html
無情門,Unfeeling Gate,死屍綱,Undead,,ザ・ダムド,The Damned,GAP,ゾンビー / Zombie （聴覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,en_map: no client The Damned genus; species Zombie = client row1018,monster/bestiary/TheDamned.html
無情門,Unfeeling Gate,死屍綱,Undead,,ワイト,Wight,Wight,ワイト / Wight （聴覚）,氷 > 水 > 土,Ice > Water > Earth,火,Fire,氷/風,Ice/Wind,,monster/bestiary/Wight.html
無情門,Unfeeling Gate,呪具綱,Cursed-object,,コブラン,Coblyn,Coblyn,コブラン / Coblyn （聴覚）; ドブラン / Doblyn （聴覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,,monster/bestiary/Coblyn.html
無情門,Unfeeling Gate,呪具綱,Cursed-object,,スプリガン,Spriggan,Spriggan,スプリガン / Spriggan （視覚）,雷 > 風 > 炎,Lightning > Wind > Fire,土,Earth,雷/水,Lightning/Water,持っている石によって遠隔攻撃と魔法の属性が変化する ロード オブ ヴァーミリオンII（関連 : グッズ_関連ソフト等）に参戦,monster/bestiary/Spriggan.html
超常門,Supernatural Gate,妖異綱 （＋有翼綱）,Aberrant (+Winged),,アーリマン,Ahriman,Ahriman,ファハン / Fachan （視覚）; アーリマン / Ahriman （視覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,,monster/bestiary/Ahriman.html
超常門,Supernatural Gate,妖異綱 （＋有翼綱）,Aberrant (+Winged),,インプ,Imp,Imp,インプ / Imp （視覚）; デビレット / Devilet （視覚）,氷 > 水 > 土,Ice > Water > Earth,火,Fire,氷/風,Ice/Wind,en_map: client JP ガルキマセラ row1026,monster/bestiary/Imp.html
超常門,Supernatural Gate,妖異綱,Aberrant,※ゲーム内では『百蟲綱 （＋有翼綱）』ですが公式設定上は『妖異綱』となっています。,ウィル・オ・ザ・ウィスプ,Will-o'-the-Wisp,GAP,ウィル・オ・ザ・ウィスプ / Will-o'-the-Wisp （聴覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,"en_map: client row1100 carries JP codename only, no EN",monster/bestiary/Will-o'-the-Wisp.html
超常門,Supernatural Gate,妖異綱,Aberrant,※ゲーム内では『有翼綱』ですが公式設定上は『妖異綱』となっています。,エレメンタル,Elemental,Elemental,ファイアエレメンタル / Fire Elemental （聴覚）; ウォーターエレメンタル / Water Elemental （聴覚）; アースエレメンタル / Earth Elemental （聴覚）; ライトニングエレメンタル / Lightning Elemental （聴覚）; アイスエレメンタル / Ice Elemental （聴覚）; ウィンドエレメンタル / Wind Elemental （聴覚）,※属性による,varies by element,,,,,weakres_raw: ※属性による | en_map: client generic Elemental row1052 plus per-element rows,monster/bestiary/Elemental.html
超常門,Supernatural Gate,妖異綱,Aberrant,,オーガ,Ogre,Ogre,オーガ / Ogre （視覚）,,,,,,,,monster/bestiary/Ogre.html
超常門,Supernatural Gate,妖異綱,Aberrant,,ファーブル,Phurble,Phurble,スナーブル / Snurble （視覚）,雷 > 風 > 炎,Lightning > Wind > Fire,土,Earth,雷/水,Lightning/Water,,monster/bestiary/Phurble.html
超常門,Supernatural Gate,妖異綱 （＋有翼綱）,Aberrant (+Winged),※ゲーム内では『百蟲綱 （＋有翼綱）』ですが公式設定上は『妖異綱』となっています。,プラズモイド,Plasmoid,GAP,プラズモイド / Plasmoid （聴覚）,雷 > 風 > 炎,Lightning > Wind > Fire,土,Earth,雷/水,Lightning/Water,en_map: no client genus row,monster/bestiary/Plasmoid.html
超常門,Supernatural Gate,妖異綱,Aberrant,,フラン,Flan,Flan,プリン / Pudding （聴覚）,水 > 氷 > 風,Water > Ice > Wind,,,,,色によって魔法の属性（味）が変化する 同じ属性の魔法ダメージを吸収する | weakres_raw: ※属性による | en_map: client JP プリン row1034,monster/bestiary/Flan.html
超常門,Supernatural Gate,妖異綱 （＋有翼綱）,Aberrant (+Winged),※ゲーム内では『呪具綱 （＋有翼綱）』ですが公式設定上は『妖異綱』となっています。,ボム,Bomb,Bomb,ボム / Bomb （視覚）; グレネード / Grenade （視覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,,monster/bestiary/Bomb.html
,,,,,ヴァンガード,Vanguard,GAP,ヴァンガード / Vanguard （視覚）,,,,,,,en_map: uncertain; client Juggernaut row1024 (魔導アーマー) or Killer Machine row1090,monster/bestiary/Vanguard.html
,,,,,ガーゴイル,Gargoyle,Gargoyle,ガーゴイル / Gargoyle （知覚感知不明）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,,monster/bestiary/Gargoyle.html
,,,,,キマイラ,Chimera,GAP,キマイラ / Chimera （知覚感知不明）,,,,,,,"en_map: client row1087 carries JP codename only, no EN",monster/bestiary/Chimera.html
,,,,,ゴーレム,Golem,Golem (1.2),ゴーレム / Golem （知覚感知不明）,,,,,,,"en_map: client race table row1089; the (1.2) is part of the client string, a version tag",monster/bestiary/Golem.html
,,,,,サイクロプス,Cyclops,GAP,サイクロプス / Cyclops （知覚感知不明）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,"en_map: client row1107 carries JP name only, no EN",monster/bestiary/Cyclops.html
,,,,,トレント,Treant,Treant,トレント / Treant （知覚感知不明）,,,,,,,,monster/bestiary/Treant.html
