genus_jp,genus_en_site,genus_en_client_race,genus_is_race_gap,species_jp,species_en_site,client_generic_name,client_generic_id,client_variant_count,client_variants,note
ローデント,Rodent,GAP,y,マーモット,Marmot,Marmot,3104023,6,Star Marmot (3104009); Marmot (3104023); Star Marmot (3104028); Nutbiter Marmot (3204008); Nutbiter Marmot (3204009); Marmot (3204020),
ローデント,Rodent,GAP,y,ドーマウス,Dormouse,Dormouse,3104014,10,Dormouse (3104014); Dormouse (3104018); Dormouse (3104024); Dire Dormouse (3204012); Dire Dormouse (3204013); Dire Dormouse (3204014); Dire Dormouse (3204015); Dire Dormouse (3204016); Dire Dormouse (3204017); Dormouse (3204021),
カクター,Cactuar,Sabotender,n,カクター,Cactuar,Cactuar,3100901,6,Cactuar (3100901); Cactuar (3100902); Cactuar (3100914); Common Cactuar (3200901); Uncommon Cactuar (3200902); Sabotender (3200903),
カクター,Cactuar,Sabotender,n,サボテンダー,Sabotender,Sabotender,3100905,8,Sabotender (3100905); Sabotender (3100906); Desert Rose (3100909); Cactuar (3100910); Sabotender (3100911); Desert Rose (3100912); Sabotender (3200904); Sabotender (3200905),
ファンガー,Funguar,Funguar,n,ファンガー,Funguar,Funguar,3205905,4,Forest Funguar (3105901); Stumbling Funguar (3205901); Fumbling Funguar (3205902); Funguar (3205905),
ファンガー,Funguar,Funguar,n,マイコニド,Myconid,,,1,Toadstool (3105905),no client actor exactly matches the site species; see variants
フライングトラップ,Flying Trap,Flytrap,n,ローズリング,Roseling,Roseling,3102701,7,Roseling (3102701); Roseling (3102702); Ocean Roseling (3202701); Forest Roseling (3202702); Ocean Roseling (3202703); Forest Roseling (3202704); Roseling (3202709),
フライングトラップ,Flying Trap,Flytrap,n,フライングトラップ,Flying Trap,,,0,,not in xtx_displayName
モルボル,Morbol,Morbol,n,モルボル,Morbol,Morbol,3101001,10,Morbol (3101001); Morbol (3101002); Ochu (3101005); Ochu (3101006); Ochu (3101007); Ochu (3101008); Morbol (3101009); Ochu (3101010); Morbol (3201001); Ochu (3201002),
オロボン,Orobon,GAP,y,アングラー,Angler,Angler,3104501,5,Angler (3104501); Angler (3104508); Inland Angler (3204501); Greedy Angler (3204502); Angler (3204505),
オロボン,Orobon,GAP,y,オロボン,Orobon,Orobon,3104505,5,Orobon (3104505); Orobon (3104509); Greedy Orobon (3204503); Plump Orobon (3204504); Orobon (3204506),
ギガントード,Gigantoad,Gigantoad,n,ギガントード,Gigantoad,Gigantoad,3103103,5,Gigantoad (3103103); Gigantoad (3103104); Dreamtoad (3203101); Dreamtoad (3203102); Gigantoad (3203103),
ギガントード,Gigantoad,Gigantoad,n,ニクス,Nix,Nix,3103105,2,Nix (3103105); Nix (3103106),
サラマンダー,Salamander,Salamander,n,エフト,Eft,Eft,3101301,8,Eft (3101301); Eft (3101302); Mottled Eft (3201301); Northern Eft (3201302); Cavern Eft (3201303); Cavern Eft (3201304); Cavern Eft (3201305); Salamander (3201306),
サラマンダー,Salamander,Salamander,n,サラマンダー,Salamander,Salamander,3101311,5,Salamander (3101311); Salamander (3101312); Eft (3101319); Salamander (3101320); Salamander (3201307),
ジェリーフィッシュ,Jellyfish,Jellyfish,n,オーレリア,Aurelia,Aurelia,3105401,9,Aurelia (3105401); Aurelia (3105402); Aurelia (3105409); Aurelia (3105412); Aurelia (3105413); Jellyfish (3205401); Drifting Aurelia (3205402); Aurelia (3205407); Agitated Aurelia (3205409),
ジェリーフィッシュ,Jellyfish,Jellyfish,n,アネモネ,Anemone,Anemone,3105405,6,Anemone (3105405); Anemone (3105406); Anemone (3105410); Drifting Anemone (3205404); Drifting Anemone (3205405); Anemone (3205408),
スラッグ,Slug,Slug,n,スラッグ,Slug,Slug,3204209,5,Shore Slug (3104201); Giant Slug (3204201); Giant Slug (3204202); Slithering Slug (3204203); Slug (3204209),
スラッグ,Slug,Slug,n,アリオン,Sea Hare,Sea Hare,3104205,8,Sea Hare (3104205); Sea Hare (3104207); Salt Hare (3204204); Hairless Hare (3204205); Salt Hare (3204206); Hairless Hare (3204207); Hairless Hare (3204208); Sea Hare (3204210),
メガロクラブ,Megalocrab,GAP,y,メガロクラブ,Megalocrab,Megalocrab,3207603,9,Giant Crab (3107601); Giant Crab (3107619); Molting Megalocrab (3207601); River Crab (3207602); Megalocrab (3207603); Delta Crab (3207604); Mature Megalocrab (3207605); Lake Crab (3207606); Megalocrabs (3207607),
メガロクラブ,Megalocrab,GAP,y,スニッパー,Snipper,Snipper,3107609,2,Snipper (3107609); Snipper (3107610),
アマルジャ,Amalj'aa,Amlaj'aa,n,アマルジャ,Amalj'aa,Amalj'aa,3206508,15,Amalj'aa Warrior (3106529); Amalj'aa Warrior (3106530); Amalj'aa Warrior (3106531); Amalj'aa Warrior (3106532); Amalj'aa Warrior (3106533); Amalj'aa Warrior (3106534); Amalj'aa Warrior (3106535); Amalj'aa Warrior (3106536); Amalj'aa (3206508); Amalj'aa (3206518); Amalj'aa (3206519); Amalj'aa (3206520); Amalj'aa (3206521); Amalj'aa (3206522); Amalj'aa Brawler (4000570),
イクサル,Ixali,Ixal,n,イクサル,Ixali,,,7,Ixali Warrior (3106408); Ixali Warrior (3106409); Ixali Warrior (3106410); Ixali Warrior (3206405); Ixali Warrior (3206406); Ixali Warrior (3206407); Ixali Warrior (4000569),no client actor exactly matches the site species; see variants
キキルン,Qiqirn,Qiqirn,n,キキルン,Qiqirn,Qiqirn,3206304,1,Qiqirn (3206304),
ゴブリン,Goblin,Goblin,n,ゴブリン,Goblin,Goblin,3110314,3,Goblin (3110314); Goblin (3210301); Goblin (3210302),
コボルド,Kobold,Kobold,n,コボルド,Kobold,Kobold,3106605,5,Kobold (3106605); Kobold (3106606); Kobold (3206603); Kobold (3206604); Kobold Zealot (4000572),
シルフ,Sylph,Sylph,n,シルフ,Sylph,Sylph,3106725,29,Sylph Susurrus (3106713); Sylph Susurrus (3106714); Sylph Susurrus (3106715); Sylph Susurrus (3106716); Sylph Susurrus (3106717); Sylph Susurrus (3106718); Sylph (3106725); Sylph (3106726); Sylph (3106727); Sylph (3106728); Sylph (3106729); Sylph (3106730); Sylph (3106731); Red Dewflower Sylph (3206701); Turquoise Dewflower Sylph (3206702); Green Dewflower Sylph (3206703); Yellow Dewflower Sylph (3206704); Violet Dewflower Sylph (3206705); Blue Dewflower Sylph (3206706); Delinquent Sylph (3206707); Delinquent Sylph (3206708); Delinquent Sylph (3206709); Delinquent Sylph (3206710); Delinquent Sylph (3206711); Delinquent Sylph (3206712); Delinquent Sylph (3206713); Delinquent Sylph (3206714); Sylph (3206715); Sylph (4000571),
人,Human,GAP,y,？？？,???,???,4000257,2,??? (4000257); School of Fish (4000599),
ドレーク,Drake,Drake,n,ドレーク,Drake,,,0,,not in xtx_displayName
ドレーク,Drake,Drake,n,ビアスト,Biast,Biast,3102209,4,Biast (3102209); Biast (3102210); Biast (3102217); Biast (3202203),
バジリスク,Basilisk,Basilisk,n,バジリスク,Basilisk,Basilisk,3100709,5,Bad Basilisk (3000001); Basilisk (3100709); Basilisk (3100710); Basilisk (3100711); Basilisk (3100712),
バジリスク,Basilisk,Basilisk,n,ペイスト,Peiste,Peiste,3100718,7,Desert Peiste (3100701); Peiste (3100718); Fellbite Peiste (3200701); Rockbite Peiste (3200702); Peiste (3200703); Peiste (3200704); Peiste (3200705),
ラプトル,Raptor,Raptor,n,ヴェロキラプトル,Velociraptor,Velociraptor,3100203,5,Velociraptor (3100203); Velociraptor (3100204); Velociraptor (3100209); Velociraptor (3200201); Velociraptor (3200203),
ラプトル,Raptor,Raptor,n,リンドヴルム,Lindwurm,Lindwurm,3100207,5,Lindwurm (3100207); Lindwurm (3100208); Lindwurm (3100210); Lindwurm (3200202); Lindwurm (3200204),
アントリング,Antling,Antling,n,アントリング・ワーカー,Antling Worker,Antling Worker,3203001,5,Antling Digger (3103001); Antling Worker (3203001); Antling Worker (3203002); Antling Worker (3203003); Antling Worker (3203011),
ビートル,Beetle,GAP,y,ウィーヴィル,Weevil,,,3,Beady Beetle (3103902); Bark Weevil (3203901); Wood Weevil (3203902),no client actor exactly matches the site species; see variants
ビートル,Beetle,GAP,y,レディバグ,Ladybug,Ladybug,3103904,7,Ladybug (3103904); Ladybug (3103905); Ladybug (3103909); Carrier Ladybug (3203903); Loverly Ladybird (3203904); Gorgebug (3203905); Ladybug (3203908),
ビートル,Beetle,GAP,y,ファイアフライ,Firefly,Firefly,3105801,5,Firefly (3105801); Evenfall Firefly (3205801); Evenfall Firefly (3205802); Evenfall Firefly (3205803); Firefly (3205804),
スウォーム,Sworm,Swarm,n,ミッヂ,Midge,,,1,Midge Cloud (3205311),no client actor exactly matches the site species; see variants
スウォーム,Sworm,Swarm,n,サーフィズ,Syrphids,,,1,Syrphid Cloud (3205310),no client actor exactly matches the site species; see variants
スウォーム,Sworm,Swarm,n,ビーズ,Bees,,,1,Bee Cloud (3205309),no client actor exactly matches the site species; see variants
ダイアマイト,Diremite,GAP,y,マイトリング,Miteling,Miteling,3101109,2,Miteling (3101109); Miteling (3101110),
ダイアマイト,Diremite,GAP,y,ダイアマイト,Diremite,Diremite,3101102,2,Diremite (3101102); Diremite (3101103),
ダイアマイト,Diremite,GAP,y,ベーンマイト,Banemite,Banemite,3101106,2,Banemite (3101106); Banemite (3101107),
チゴー,Chigoe,Chigoe,n,チグレット,Chiglet,Chiglet,3205601,4,Chigoe (3105601); Chiglet (3205601); Carrion Chiglet (3205602); Chiglet (3205608),
チゴー,Chigoe,Chigoe,n,ヂッガ,Djigga,Djigga,3205609,5,Jumping Djigga (3105605); Jumping Djigga (3105610); Gorged Djigga (3205606); Plague Djigga (3205607); Djigga (3205609),
ナット,Gnat,Gnat,n,ナット,Gnat,Gnat,3100609,7,Giant Gnat (3100601); Gnat (3100609); Ked (3100610); Vile Gnat (3200601); Bile Gnat (3200602); Gnat (3200604); Gnat (3200605),
ナット,Gnat,Gnat,n,ケッド,Ked,Ked,3100605,2,Ked (3100605); Ked (3100606),
ヤーゾン,Yarzon,Yarzon,n,ラセットヤーゾン,Sand Yarzon,Sand Yarzon,3205501,3,Yarzon Feeder (3105501); Sand Yarzon (3205501); Sand Yarzon (3205502),
ヤーゾン,Yarzon,Yarzon,n,ボッグヤーゾン,Bog Yarzon,Bog Yarzon,3205507,9,Yarzon Scavenger (3105505); Yarzon Scavenger (3105517); Bog Yarzon (3205507); Towering Yarzon (3205508); Cliff Yarzon (3205509); Towering Yarzon (3205510); Towering Yarzon (3205511); Towering Yarzon (3205512); Yarzon (3205516),
アプカル,Apkallu,Apkallu,n,アプカル,Apkallu,Apkallu,3102902,4,Apkallu (3102902); Apkallu (3102905); Apkallu (3202901); Apkallu (3202902),
ヴァルチャー,Vulture,Vulture,n,ヴァルチャー,Vulture,Vulture,3101202,4,Vulture (3101202); Blood-Eyed Buzzard (3201201); Blood-Eyed Buzzard (3201202); Buzzard (3201205),
ドードー,Dodo,GAP,y,ドードー,Dodo,Dodo,3102001,11,Bad Dodo (3000002); Dodo (3102001); Dodo (3102002); Dodo (3102009); Dodo (3102013); Stray Dodo (3202001); Game Dodo (3202002); Feral Dodo (3202003); Dodo (3202006); Rabid Dodo (3202008); Moonblind Dodo (3202009),
ドードー,Dodo,GAP,y,コカトリス,Cockatrice,Cockatrice,3102005,6,Cockatrice (3102005); Cockatrice (3102006); Cockatrice (3102010); Cadaverous Cockatrice (3202004); Cadaverous Cockatrice (3202005); Cockatrice (3202007),
ヒッポグリフ,Hippogryph,Hippogryph,n,ヒッポグリフ,Hippogryph,Hippogryph,3100407,2,Hippogryph (3100407); Hippogryph (3100408),
ヒッポグリフ,Hippogryph,Hippogryph,n,ヒッポセルフ,Hippocerf,Hippocerf,3100401,6,Hippocerf (3100401); Hippocerf (3100402); Hippocerf (3100411); Downcast Hippocerf (3200401); Downcast Hippocerf (3200402); Hippogryph (3200404),
プーク,Puk,Puk,n,プーク,Puk,Puk,3100102,7,Puk (3100102); Puk (3100103); Scalepuk (3200101); Scalepuk (3200102); Deepground Puk (3200103); Deepground Puk (3200104); Puk (3200112),
プーク,Puk,Puk,n,テロック,Pteroc,Pteroc,3100114,8,Saltspray Pteroc (3100105); Pteroc (3100114); Pteroc (3100115); Ringtail Pteroc (3200105); Rubyscale Pteroc (3200106); Ill-Tempered Pteroc (3200107); Pteroc (3200111); Pteroc (3200113),
バット,Bat,Bat,n,バット,Bat,Bat,3204107,5,Cave Bat (3104101); Wingrat (3204101); Wingrat (3204102); Rabid Wingrat (3204103); Bat (3204107),
バット,Bat,Bat,n,カロング,Kalong,Kalong,3104106,5,Kalong (3104106); Croft Kalong (3204104); Croft Kalong (3204105); Croft Kalong (3204106); Bat (3204108),
ゴースト,Ghost,Ghost,n,ボギー,Bogy,Bogy,3104302,12,Bogy (3104302); Bogy (3104303); Bogy (3104321); Bogy (3104324); Dune Bogy (3204301); Loam Bogy (3204302); Dune Bogy (3204303); Loam Bogy (3204304); Brine Bogy (3204305); Dune Bogy (3204306); Loam Bogy (3204307); Bogy (3204314),
ゴースト,Ghost,Ghost,n,レブナント,Revenant,Revenant,3104312,10,Revenant (3104312); Revenant (3104313); Revenant (3104322); Revenant (3204308); Revenant (3204309); Revenant (3204310); Revenant (3204311); Revenant (3204312); Revenant (3204313); Revenant (3204315),
ザ・ダムド,The Damned,GAP,y,ゾンビー,Zombie,,,6,Rotting Corpse (3101801); Rotting Corpse (3101808); Zombie Pikeman (3201801); Zombie Pikeman (3201802); Zombie Mage (3201803); Zombie Mage (3201804),no client actor exactly matches the site species; see variants
ワイト,Wight,Wight,n,ワイト,Wight,Wight,3101908,7,Magicked Bones (3101902); Wight (3101908); Wight (3201901); Wight (3201902); Wight (3201903); Wight (3201904); Wight (3201905),
コブラン,Coblyn,Coblyn,n,コブラン,Coblyn,Coblyn,3102125,12,Copper Coblyn (3102101); Copper Coblyn (3102113); Coblyn (3102125); Coblyn (3102126); Corroded Coblyn (3102128); Corroded Coblyn (3202101); Cavernulous Coblyn (3202102); Cavernulous Coblyn (3202103); Chitinous Coblyn (3202104); Chitinous Coblyn (3202105); Coblyn (3202109); Corrosive Coblyn (3202111),
コブラン,Coblyn,Coblyn,n,ドブラン,Doblyn,Doblyn,3202110,5,Quartz Doblyn (3102107); Quartz Doblyn (3102119); Diaphanous Doblyn (3202107); Diaphanous Doblyn (3202108); Doblyn (3202110),
スプリガン,Spriggan,Spriggan,n,スプリガン,Spriggan,Spriggan,3106207,14,Spriggan Collector (3106201); Spriggan Collector (3106202); Spriggan Collector (3106203); Spriggan (3106207); Spriggan (3106208); Spriggan (3206201); Spriggan (3206202); Spriggan (3206203); Spriggan (3206204); Spriggan (3206205); Spriggan (3206206); Spriggan (3206208); Spriggan (3206209); Spriggan (3206210),
アーリマン,Ahriman,Ahriman,n,ファハン,Fachan,Fachan,3101711,5,Floating Eye (3101701); Fachan (3101711); Fachan (3201701); Fachan (3201702); Fachan (3201703),
アーリマン,Ahriman,Ahriman,n,アーリマン,Ahriman,Ahriman,3101705,4,Ahriman (3101705); Ahriman (3101706); Ahriman (3101712); Ahriman (3201704),
インプ,Imp,Imp,n,インプ,Imp,Imp,3102601,8,Imp (3102601); Imp (3102602); Imp (3102609); Devilet (3102610); Firestarter Imp (3202601); Firestarter Imp (3202602); Firestarter Imp (3202603); Imp (3202607),
インプ,Imp,Imp,n,デビレット,Devilet,Devilet,3102605,6,Devilet (3102605); Devilet (3102606); Darkwing Devilet (3202604); Darkeye Devilet (3202605); Darkeye Devilet (3202606); Devilet (3202608),
ウィル・オ・ザ・ウィスプ,Will-o'-the-Wisp,GAP,y,ウィル・オ・ザ・ウィスプ,Will-o'-the-Wisp,Will-o'-the-Wisp,3109901,3,Will-o'-the-Wisp (3109901); Wisp Familiar (3209901); Wandering Wisp (3209902),
エレメンタル,Elemental,Elemental,n,ファイアエレメンタル,Fire Elemental,Fire Elemental,3104601,12,Fire Elemental (3104601); Fire Elemental (3104602); Fire Elemental (3104603); Fire Elemental (3104604); Fire Elemental (3104605); Fire Elemental (3104606); Fire Elemental (3204601); Fire Elemental (3204602); Fire Elemental (3204603); Fire Elemental (3204604); Fire Elemental (3204606); Firebound Wrath (3204607),
エレメンタル,Elemental,Elemental,n,ウォーターエレメンタル,Water Elemental,Water Elemental,3105101,12,Water Elemental (3105101); Water Elemental (3105102); Water Elemental (3105103); Water Elemental (3105104); Water Elemental (3105105); Water Elemental (3205101); Water Elemental (3205102); Water Elemental (3205103); Water Elemental (3205104); Water Elemental (3205105); Water Elemental (3205106); Waterbound Wrath (3205107),
エレメンタル,Elemental,Elemental,n,アースエレメンタル,Earth Elemental,Earth Elemental,3104901,11,Earth Elemental (3104901); Earth Elemental (3104902); Earth Elemental (3104903); Earth Elemental (3104904); Earth Elemental (3104905); Earth Elemental (3204901); Earth Elemental (3204902); Earth Elemental (3204903); Earth Elemental (3204904); Earth Elemental (3204905); Earthbound Wrath (3204906),
エレメンタル,Elemental,Elemental,n,ライトニングエレメンタル,Lightning Elemental,Lightning Elemental,3105001,12,Lightning Elemental (3105001); Lightning Elemental (3105002); Lightning Elemental (3105003); Lightning Elemental (3105004); Lightning Elemental (3105005); Lightning Elemental (3205001); Lightning Elemental (3205002); Lightning Elemental (3205003); Lightning Elemental (3205004); Lightning Elemental (3205005); Lightning Elemental (3205006); Lightningbound Wrath (3205007),
エレメンタル,Elemental,Elemental,n,アイスエレメンタル,Ice Elemental,Ice Elemental,3104701,11,Ice Elemental (3104701); Ice Elemental (3104702); Ice Elemental (3104703); Ice Elemental (3104704); Ice Elemental (3104705); Ice Elemental (3204701); Ice Elemental (3204702); Ice Elemental (3204703); Ice Elemental (3204704); Ice Elemental (3204705); Icebound Wrath (3204706),
エレメンタル,Elemental,Elemental,n,ウィンドエレメンタル,Wind Elemental,Wind Elemental,3104801,12,Wind Elemental (3104801); Wind Elemental (3104802); Wind Elemental (3104803); Wind Elemental (3104804); Wind Elemental (3104805); Wind Elemental (3204801); Wind Elemental (3204802); Wind Elemental (3204803); Wind Elemental (3204804); Wind Elemental (3204805); Wind Elemental (3204806); Windbound Wrath (3204807),
オーガ,Ogre,Ogre,n,オーガ,Ogre,Ogre,3102505,6,Ogre Bastard (3000042); Redhorn Ogre (3102501); Ogre (3102505); Ogre (3102506); Ogre (3202501); Ogre (3202502),
ファーブル,Phurble,Phurble,n,スナーブル,Snurble,Snurble,3104403,5,Snurble (3104403); Snurble (3104404); Phurble (3104405); Snurble (3204401); Snurble (3204402),
プラズモイド,Plasmoid,GAP,y,プラズモイド,Plasmoid,Plasmoid,3110001,5,Plasmoid (3110001); Plasmoid (3110002); Plasma Spark (3210001); Plasma Spark (3210002); Plasma Spark (3210004),
フラン,Flan,Flan,n,プリン,Pudding,,,2,Plain Pudding (3103401); Plain Pudding (3103402),no client actor exactly matches the site species; see variants
ボム,Bomb,Bomb,n,ボム,Bomb,Bomb,3101601,6,Da Bomb (3000008); Bomb (3101601); Bomb (3101609); Fire Bomb (3201601); Brimstone Bomb (3201602); Bomb (3201604),
ボム,Bomb,Bomb,n,グレネード,Grenade,Grenade,3101605,4,Grenade (3101605); Grenade (3101606); Grenade (3101610); Grenade (3201605),
ヴァンガード,Vanguard,GAP,y,ヴァンガード,Vanguard,,,0,,not in xtx_displayName
ガーゴイル,Gargoyle,Gargoyle,n,ガーゴイル,Gargoyle,Gargoyle,3103501,4,Gargoyle (3103501); Gargoyle (3103502); Gargoyle (3203501); Gargoyle (3203502),
キマイラ,Chimera,GAP,y,キマイラ,Chimera,Chimera,3308701,1,Chimera (3308701),
ゴーレム,Golem,Golem (1.2),n,ゴーレム,Golem,Golem,3208901,2,Golem (3208901); Golem (3208902),
サイクロプス,Cyclops,GAP,y,サイクロプス,Cyclops,,,0,,not in xtx_displayName
トレント,Treant,Treant,n,トレント,Treant,Treant,3102801,8,Treant (3102801); Treant (3102802); Treant (3102803); Treant (3102804); Treant (3202801); Treant (3202802); Treant (3202803); Treant (3202804),
