scope_jp,scope_en,client_actor_id,is_nm,group_jp,group_en,skill_name_jp,skill_name_en,client_command_id,cast_effect_color,cast_effect_color_en,aoe_range,aoe_range_en,deals_damage,deals_damage_en,interruptible,interruptible_en,status_effect,status_effect_en,remarks,source
ギガントード,Gigantoad,,n,水棲綱,Aquatic,三竦み,Ranine Glare,23269,紫,Purple (debuff),目視中前方範囲,frontal gaze cone (while in sight),-,no,○,Yes,ＷＳ不可,Pacification,,monster/bestiary/Gigantoad.html
ギガントード,Gigantoad,,n,水棲綱,Aquatic,果し目,Fated Gaze (?),,紫,Purple (debuff),目視中前方範囲,frontal gaze cone (while in sight),-,no,○,Yes,ＴＰを全て失う,removes all TP,,monster/bestiary/Gigantoad.html
ギガントード,Gigantoad,,n,水棲綱,Aquatic,リヴィッドラップ,Livid Lap,23265,紫,Purple (debuff),前方範囲,frontal cone,○,Yes,,,ステータスエフェクト2つの効果（スロウ/麻痺）,2 status effects (Slow / Paralysis),ニクス,monster/bestiary/Gigantoad.html
サラマンダー,Salamander,,n,水棲綱,Aquatic,キネティックパルス,Kinetic Pulse,23160;23161;23162,,,敵範囲,area (enemies),-,no,○,Yes,バインド,Bind,,monster/bestiary/Salamander.html
サラマンダー,Salamander,,n,水棲綱,Aquatic,サンダーヴェイパー,Thundervapor,23159,,,前方範囲,frontal cone,○,Yes,,,,,回り込み回避可能,monster/bestiary/Salamander.html
サラマンダー,Salamander,,n,水棲綱,Aquatic,マグネティックパルス,Magnetic Pulse,23163;23164;23165,,,敵範囲,area (enemies),-,no,,,ヘヴィ,Heavy,,monster/bestiary/Salamander.html
ジェリーフィッシュ,Jellyfish,,n,水棲綱 （＋有翼綱）,水棲綱 （＋有翼綱）,刺胞,Binding Tendrils,23038,,,前方単体,frontal single,○,Yes,,,バインド,Bind,回り込み回避可能,monster/bestiary/Jellyfish.html
ジェリーフィッシュ,Jellyfish,,n,水棲綱 （＋有翼綱）,水棲綱 （＋有翼綱）,雷胞,Numbing Tendrils,23039,紫,Purple (debuff),,,○,Yes,,,麻痺,Paralysis,アネモネ,monster/bestiary/Jellyfish.html
スラッグ,Slug,,n,水棲綱,Aquatic,粘汁散布,Viscous Discharge,23099,紫,Purple (debuff),敵範囲,area (enemies),○,Yes,○,Yes,静寂,Silence,,monster/bestiary/Slug.html
スラッグ,Slug,,n,水棲綱,Aquatic,忘汁散布,Mucous Discharge,23100;23347,紫,Purple (debuff),敵範囲,area (enemies),○,Yes,,,アビリティ不可,Amnesia,,monster/bestiary/Slug.html
メガロクラブ,GAP,,n,水棲綱,Aquatic,潮騒,Sound of the Sea,23403,,,前方範囲,frontal cone,-,no,,,睡眠,Sleep,,monster/bestiary/Megalocrab.html
アマルジャ,Amlaj'aa,,n,六識綱,Beastmen,我武者羅,Infuriate,23202;23587,黄,Yellow (buff),敵単体,single target,-,no,,,ヘイスト / 物理攻撃＋,Haste / Attack Up,,monster/bestiary/Amalj'aa.html
アマルジャ,Amlaj'aa,,n,六識綱,Beastmen,ストロングショルダー,Strong Shoulder,23395,赤,Red (damage),,,○,Yes,,,,,,monster/bestiary/Amalj'aa.html
イクサル,Ixal,,n,六識綱,Beastmen,ウィングクリッパー,Wing Clipper,23394,紫,Purple (debuff),敵範囲,area (enemies),○,Yes,,,ヘヴィ,Heavy,,monster/bestiary/Ixali.html
イクサル,Ixal,,n,六識綱,Beastmen,スウィフトゲイル,Swift Gale,23196,黄,Yellow (buff),敵単体,single target,-,no,,,パーフェクトドッジ（物理攻撃を完全に回避する状態。/効果時間1分）,Perfect Dodge (fully evades physical attacks; 1 min),,monster/bestiary/Ixali.html
キキルン,Qiqirn,,n,六識綱,Beastmen,カイボッシュ,Kibosh,23204,紫,Purple (debuff),単体,single target,-,no,,,アビリティ不可,Amnesia,,monster/bestiary/Qiqirn.html
キキルン,Qiqirn,,n,六識綱,Beastmen,サンドスプレー,Sandspray,23205,紫,Purple (debuff),前方範囲,frontal cone,-,no,,,暗闇,Blind,,monster/bestiary/Qiqirn.html
キキルン,Qiqirn,,n,六識綱,Beastmen,ミスディレクション,Misdirection,23206,紫,Purple (debuff),前方範囲,frontal cone,-,no,,,スタン,Stun,,monster/bestiary/Qiqirn.html
ゴブリン,Goblin,,n,六識綱,Beastmen,爆弾投げ,Bomb Toss,23311;23312,赤,Red (damage),敵範囲,area (enemies),○,Yes,○,Yes,,,,monster/bestiary/Goblin.html
ゴブリン,Goblin,,n,六識綱,Beastmen,ファイアクラッカーシャワー,Firecracker Shower,23315,紫,Purple (debuff),敵範囲,area (enemies),-,no,,,スタン,Stun,,monster/bestiary/Goblin.html
ゴブリン,Goblin,,n,六識綱,Beastmen,ヘイルメアリー,Hail Mary,23313;23314,赤,Red (damage),敵範囲,area (enemies),○,Yes,,,,,,monster/bestiary/Goblin.html
コボルド,Kobold,,n,六識綱,Beastmen,特大発破,Titan's Heart,23397,紫,Purple (debuff),敵範囲,area (enemies),○,Yes,,,,,,monster/bestiary/Kobold.html
コボルド,Kobold,,n,六識綱,Beastmen,粉塵,Firedamp,23396,黄,Yellow (buff),敵範囲,area (enemies),-,no,,,麻痺,Paralysis,,monster/bestiary/Kobold.html
シルフ,Sylph,,n,六識綱 （＋有翼綱）,六識綱 （＋有翼綱）,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Sylph.html
シルフ,Sylph,,n,六識綱 （＋有翼綱）,六識綱 （＋有翼綱）,ウッドランド・ララバイ,Woodland Lullaby,23190,,,敵範囲,area (enemies),-,no,○,Yes,睡眠,Sleep,,monster/bestiary/Sylph.html
シルフ,Sylph,,n,六識綱 （＋有翼綱）,六識綱 （＋有翼綱）,光合成,Lay of the Leaves,23189;23447,,,敵単体,single target,-,no,,,ＨＰを回復,HP recovery,,monster/bestiary/Sylph.html
人,GAP,,n,六識綱,Beastmen,（通常攻撃）,(normal attack),,-,none,メインアームに準拠,per main-hand weapon,,,,,,,,monster/bestiary/Human.html
人,GAP,,n,六識綱,Beastmen,（WS）,(weaponskill),,-,none,メインアームのWSを使用（関連 : クラス_アクション/特性/ゴッドセンド）,uses main-hand weaponskill (see class actions / Godsend),,,,,,,,monster/bestiary/Human.html
人,GAP,,n,六識綱,Beastmen,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Human.html
人,GAP,,n,六識綱,Beastmen,アトリション,Attrition,23401,紫<br>+<br>（黄）,Purple (debuff) + (Yellow),,,○,Yes,,,ノックバック,Knockback,インペリアル,monster/bestiary/Human.html
人,GAP,,n,六識綱,Beastmen,インペリアルガード,Imperial Guard,23223,,,敵単体,single target,-,no,,,ガード,Guard,インペリアル,monster/bestiary/Human.html
人,GAP,,n,六識綱,Beastmen,デフトスラッシュ,Deft Slash,23217,赤,Red (damage),,,○,Yes,,,,,インペリアル,monster/bestiary/Human.html
ドレーク,Drake,,n,甲鱗綱,Reptilian,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Drake.html
ドレーク,Drake,,n,甲鱗綱,Reptilian,サーペンタインテール,Serpentine Tail,23278,赤,Red (damage),後方範囲,rear cone,○,Yes,,,,,後方から攻撃時,monster/bestiary/Drake.html
ドレーク,Drake,,n,甲鱗綱,Reptilian,スモルダー,Smoulder,23271,青,Blue (special),,,○,Yes,,,（赤く光る）,(glows red),ドレイク,monster/bestiary/Drake.html
ドレーク,Drake,,n,甲鱗綱,Reptilian,バーニングサイクロン,Burning Cyclone,23274,赤,Red (damage),前方範囲,frontal cone,○,Yes,,,,,,monster/bestiary/Drake.html
ドレーク,Drake,,n,甲鱗綱,Reptilian,墜狂焔,Flames of Defiance,23276,赤,Red (damage),対象範囲,targeted area,○,Yes,,,,,,monster/bestiary/Drake.html
バジリスク,Basilisk,,n,甲鱗綱,Reptilian,ストーンゲイズ,Stone Gaze,23023,,,前方範囲,frontal cone,-,no,,,石化,Petrification,使用後に敵の眼が光り、見ると石化,monster/bestiary/Basilisk.html
バジリスク,Basilisk,,n,甲鱗綱,Reptilian,ヘヴィストンプ,Heavy Stomp,23025,,,敵範囲,area (enemies),○,Yes,○,Yes,,,,monster/bestiary/Basilisk.html
バジリスク,Basilisk,,n,甲鱗綱,Reptilian,ボディスラム,Body Slam,23026,,,敵範囲,area (enemies),○,Yes,○,Yes,ヘヴィ,Heavy,,monster/bestiary/Basilisk.html
ラプトル,Raptor,,n,甲鱗綱,Reptilian,サイズテール,Scythe Tail,23031,赤,Red (damage),後方範囲,rear cone,○,Yes,,,,,後方から攻撃時,monster/bestiary/Raptor.html
ラプトル,Raptor,,n,甲鱗綱,Reptilian,ファウルブレス,Foul Breath,23030,赤,Red (damage),前方範囲,frontal cone,○,Yes,○,Yes,,,,monster/bestiary/Raptor.html
ラプトル,Raptor,,n,甲鱗綱,Reptilian,リッパーファング,Ripper Fang,23029,,,,,○,Yes,,,,,,monster/bestiary/Raptor.html
アントリング,Antling,,n,百蟲綱,Insects,顎鳴,Stridulation,23227,黄,Yellow (buff),,,,,,,,,,monster/bestiary/Antling.html
アントリング,Antling,,n,百蟲綱,Insects,フォーミックフェロモンズ,Formic Pheromones,23229;23560,黄,Yellow (buff),敵範囲,area (enemies),-,no,,,HP回復 / 状態異常回復,HP recovery / cures status ailments,,monster/bestiary/Antling.html
アントリング,Antling,,n,百蟲綱,Insects,マンディブルバイト,Mandible Bite,23228,赤,Red (damage),前方範囲,frontal cone,○,Yes,,,,,,monster/bestiary/Antling.html
ビートル,GAP,,n,百蟲綱,Insects,スポイル,Spoil,23085,,,敵範囲,area (enemies),○,Yes,○,Yes,,,,monster/bestiary/Beetle.html
ビートル,GAP,,n,百蟲綱,Insects,ブラインディングバースト,Blinding Burst,23259,,,敵範囲,area (enemies),-,no,○,Yes,閃光,Glare,ファイアフライ,monster/bestiary/Beetle.html
スウォーム,Swarm,,n,百蟲綱 （＋有翼綱）,百蟲綱 （＋有翼綱）,（通常攻撃）,(normal attack),,-,none,近接単体,melee single,○,Yes,×,No,中毒,Poison,ビーズ,monster/bestiary/Sworm.html
スウォーム,Swarm,,n,百蟲綱 （＋有翼綱）,百蟲綱 （＋有翼綱）,（通常攻撃）,(normal attack),,-,none,近接単体,melee single,○,Yes,×,No,ＴＰＤｏＴ,TP Bleed,サーフィズ,monster/bestiary/Sworm.html
ダイアマイト,GAP,,n,百蟲綱,Insects,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Diremite.html
ダイアマイト,GAP,,n,百蟲綱,Insects,コースティックブロー,Caustic Blow,23288,紫,Purple (debuff),単体,single target,○,Yes,,,物理防御－,Defense Down,マイトリング /<br>ダイアマイト,monster/bestiary/Diremite.html
ダイアマイト,GAP,,n,百蟲綱,Insects,スティッキーウェブ,Sticky Web,23294,紫,Purple (debuff),前方範囲,frontal cone,-,no,○,Yes,スロウ,Slow,,monster/bestiary/Diremite.html
ダイアマイト,GAP,,n,百蟲綱,Insects,デッドリースラスト,Deadly Thrust,23289;23291,紫,Purple (debuff),単体,single target,○,Yes,,,中毒,Poison,,monster/bestiary/Diremite.html
ダイアマイト,GAP,,n,百蟲綱,Insects,レルムシェーカー,Realm Shaker,23290,,,敵範囲,area (enemies),○,Yes,,,,,ベーンマイト,monster/bestiary/Diremite.html
チゴー,Chigoe,,n,百蟲綱,Insects,モータルミスト,Mortal Mist,23051,,,敵範囲,area (enemies),○,Yes,,,中毒,Poison,ヂッガ /<br>敵にウェポンスキルがヒットすると使用,monster/bestiary/Chigoe.html
ナット,Gnat,,n,百蟲綱 （＋有翼綱）,百蟲綱 （＋有翼綱）,サンダーウォール,Thunderwall,23067,,,,,○,Yes,,,,,,monster/bestiary/Gnat.html
ナット,Gnat,,n,百蟲綱 （＋有翼綱）,百蟲綱 （＋有翼綱）,サンダーストーム,Thunderstorm,23068,,,敵範囲,area (enemies),○,Yes,,,,,,monster/bestiary/Gnat.html
ヤーゾン,Yarzon,,n,百蟲綱,Insects,コロシヴスピット,Corrosive Spit,23139;23348,紫,Purple (debuff),,,○,Yes,○,Yes,バインド,Bind,回り込み回避可能,monster/bestiary/Yarzon.html
ヤーゾン,Yarzon,,n,百蟲綱,Insects,ブレインスパイク,Brain Spike,23140,紫,Purple (debuff),単体,single target,-,no,,,ＴＰ吸収,TP drain,,monster/bestiary/Yarzon.html
アプカル,Apkallu,,n,有翼綱,Winged,フライングマリーン,Flying Mareen (?),,赤,Red (damage),遠隔単体,ranged single,○,Yes,,,,,,monster/bestiary/Apkallu.html
アプカル,Apkallu,,n,有翼綱,Winged,ヨーン,Yawn,23208,紫,Purple (debuff),敵範囲,area (enemies),,,,,睡眠,Sleep,発動後にフライングマリーンを使用、またはPCの後ろに回り込む,monster/bestiary/Apkallu.html
ヴァルチャー,Vulture,,n,有翼綱,Winged,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Vulture.html
ヴァルチャー,Vulture,,n,有翼綱,Winged,ウィングカッター,Wing Cutter,23234,,,,,○,Yes,,,ノックバック,Knockback,,monster/bestiary/Vulture.html
ヴァルチャー,Vulture,,n,有翼綱,Winged,デフェニングカー,Deafening Caw,23236,紫,Purple (debuff),敵範囲,area (enemies),-,no,,,ＴＰをすべて失う,removes all TP,,monster/bestiary/Vulture.html
ヴァルチャー,Vulture,,n,有翼綱,Winged,ヨークシャワー,Yolk Shower,23235,,,,,○,Yes,○,Yes,バインド,Bind,,monster/bestiary/Vulture.html
ドードー,GAP,,n,有翼綱,Winged,ファウルステンチ,Fowl Stench,23017;23018;23019,,,,,-,no,,,睡眠,Sleep,コカトリス,monster/bestiary/Dodo.html
ドードー,GAP,,n,有翼綱,Winged,ランシッドベルチ,Rancid Belch,23014;23015;23016,紫,Purple (debuff),前方範囲,frontal cone,-,no,○,Yes,スロウ / 暗闇 / 睡眠,Slow / Blind / Sleep,,monster/bestiary/Dodo.html
ドードー,GAP,,n,有翼綱,Winged,リガージテイト,Regurgitate,23020,,,敵範囲,area (enemies),-,no,,,ステータスエフェクト3つの効果（スロウ/暗闇/睡眠）,3 status effects (Slow / Blind / Sleep),コカトリス,monster/bestiary/Dodo.html
ヒッポグリフ,Hippogryph,,n,百獣綱,Beasts,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Hippogryph.html
ヒッポグリフ,Hippogryph,,n,百獣綱,Beasts,号叫,Shriek,23081,紫,Purple (debuff),敵範囲,area (enemies),-,no,○,Yes,スタン,Stun,,monster/bestiary/Hippogryph.html
ヒッポグリフ,Hippogryph,,n,百獣綱,Beasts,ビークスナップ,Beak Snap,23083,赤,Red (damage),単体,single target,○,Yes,,,,,,monster/bestiary/Hippogryph.html
プーク,Puk,,n,甲鱗綱,Reptilian,テイルチェイス,Tail Chase,23059,,,敵範囲,area (enemies),○,Yes,,,,,テロック,monster/bestiary/Puk.html
プーク,Puk,,n,甲鱗綱,Reptilian,バックフリップ,Backflip,23058,赤,Red (damage),前方直線,frontal line,○,Yes,○,Yes,ノックバック,Knockback,回り込み回避可能,monster/bestiary/Puk.html
バット,Bat,,n,有翼綱,Winged,吸血,Blood Drain,23049,紫,Purple (debuff),単体,single target,○,Yes,,,ＨＰ吸収,HP drain,,monster/bestiary/Bat.html
バット,Bat,,n,有翼綱,Winged,超音波,Ultrasonics,23048,紫,Purple (debuff),,,○,Yes,,,物理命中－,Accuracy Down,,monster/bestiary/Bat.html
ゴースト,Ghost,,n,死屍綱 （＋有翼綱）,死屍綱 （＋有翼綱）,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Ghost.html
ゴースト,Ghost,,n,死屍綱 （＋有翼綱）,死屍綱 （＋有翼綱）,グレーブリール,Grave Reel,23129,紫,Purple (debuff),敵範囲,area (enemies),○,Yes,,,ＨＰ吸収,HP drain,,monster/bestiary/Ghost.html
ゴースト,Ghost,,n,死屍綱 （＋有翼綱）,死屍綱 （＋有翼綱）,呪言,Curse,23128,紫,Purple (debuff),,,○,Yes,,,魔法防御－,Magic Defense Down,,monster/bestiary/Ghost.html
ザ・ダムド,GAP,,n,死屍綱,Undead,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/TheDamned.html
ザ・ダムド,GAP,,n,死屍綱,Undead,瘴気,Cloud of Pestilence,23232,紫,Purple (debuff),,,○,Yes,,,中毒,Poison,,monster/bestiary/TheDamned.html
ザ・ダムド,GAP,,n,死屍綱,Undead,ロットブレス,Rot Breath,23231,紫,Purple (debuff),,,○,Yes,,,ＴＰＤｏＴ,TP Bleed,,monster/bestiary/TheDamned.html
