page_file,kind,source_page,special_move_rows,nm_drop_rows,nm_spawn_rows
sources/elemen-bestiary/objects/pages/Flan.md,bestiary,monster/bestiary/Flan.html,2,,
sources/elemen-bestiary/objects/pages/Bomb.md,bestiary,monster/bestiary/Bomb.html,3,,
sources/elemen-bestiary/objects/pages/Vanguard.md,bestiary,monster/bestiary/Vanguard.html,1,,
sources/elemen-bestiary/objects/pages/Gargoyle.md,bestiary,monster/bestiary/Gargoyle.html,8,,
sources/elemen-bestiary/objects/pages/Chimera.md,bestiary,monster/bestiary/Chimera.html,9,,
sources/elemen-bestiary/objects/pages/Golem.md,bestiary,monster/bestiary/Golem.html,5,,
sources/elemen-bestiary/objects/pages/Cyclops.md,bestiary,monster/bestiary/Cyclops.html,7,,
sources/elemen-bestiary/objects/pages/Treant.md,bestiary,monster/bestiary/Treant.html,1,,
sources/elemen-bestiary/objects/pages/NM_LaNoscea.md,nm-region (11 NMs),monster/nm/LaNoscea.html,37,21,11
sources/elemen-bestiary/objects/pages/NM_Coerthas.md,nm-region (4 NMs),monster/nm/Coerthas.html,9,9,4
sources/elemen-bestiary/objects/pages/NM_BlackShroud.md,nm-region (14 NMs),monster/nm/BlackShroud.html,51,33,14
sources/elemen-bestiary/objects/pages/NM_Thanalan.md,nm-region (9 NMs),monster/nm/Thanalan.html,23,20,9
sources/elemen-bestiary/objects/pages/NM_MorDhona.md,nm-region (1 NMs),monster/nm/MorDhona.html,6,1,1
sources/elemen-bestiary/objects/pages/_bestiary_index.md,index,monster/bestiary/index.html,,,
sources/elemen-bestiary/objects/pages/_nm_index.md,index,monster/nm/index.html,,,
