city,camp_jp,leve_name_jp,leve_name_en_client,client_leve_id,objective_text,name_match_note
Limsa Lominsa,キャンプ・バルドノール,野生化した家畜の一掃,Wyrston's Herd,10904,【 ドードー 3体PT】 2体倒すと1体逃げ 【 ラム 4体PT】追加 3体倒すと1体逃げ 【 ジャッカル 2体PT】追加,
Limsa Lominsa,キャンプ・バルドノール,脱獄囚デビレットE05の処断,Escape from Cell E05,10905,【 アルドゴート・ビリー 単体】の中から当たり探し×2 / / 当たりの場合【 デビレット 2体PT】に変化 / / 【 フライトラップ 3体PT】が落とす フライトラップの巻きひげ でシステムメニューの「見破り」から見破り可能,
Limsa Lominsa,キャンプ・バルドノール,第113防御陣地の防衛,Keeping the Peace,10906,防衛時間05:00 【 ジャッカル 1～2体PT】と【 ラム 4体PT】が複数回出現,
Limsa Lominsa,キャンプ・バルドノール,急募！第93防御陣地の防衛,Dropping Like Flies,10907,防衛時間05:00 【 スラッグ 2～3体PT】が複数回出現 / / 防衛時間00:00で【 ギガントード 1体】が出現,
Limsa Lominsa,キャンプ・バルドノール,第107防御陣地の防衛,On the Beating Path,10908,防衛時間05:00 【 ボム 1～2体PT】と【 ファハン 3体PT】が複数回出現,
Limsa Lominsa,キャンプ・バルドノール,エフト狩り,Off With Their Heads,10909,地面の光を調べて当たり探し×3 / / 当たりの場合【 エフト 1体】が出現 / / ハズレの場合【 スラッグ 1体】が出現,
Limsa Lominsa,キャンプ・アイアンレイク,アネモネの防除,Soft Targets,10921,【 アネモネ 1体 オーレリア 3体のPT】×3,
Limsa Lominsa,キャンプ・アイアンレイク,アイアンレイクの魔物の駆逐,Annexing the Lake,10922,【 ナット 2体PT】×3 倒すと【 ナット 1体 エフト 1体のPT】追加,
Limsa Lominsa,キャンプ・アイアンレイク,交易船の貨物：塩漬用の肉調達,Meating Demand,10923,【 ジャッカル 2体PT】から ジャッカルの腿肉 1個 / / 【 アルドゴート・ビリー 単体】から アルドゴートの岩塩 2個,
Limsa Lominsa,キャンプ・アイアンレイク,羊喰いジャッカルの一掃,Mutton over Mongrels,10924,【 ジャッカル 2体PT】×3 5体倒すと1体逃げ 2体PT追加 2体倒すと1体逃げ 2体PT追加,
Limsa Lominsa,キャンプ・アイアンレイク,脱獄デビレットの誅殺,Unholy Moley,10925,【 ヘッジモール 2体PT】の中から当たり探し×2 / / 当たりの場合【 デビレット 2体PT】に変化,
Limsa Lominsa,キャンプ・アイアンレイク,魔物大全『地這いし者の巻』の回収,Necrologos: The Abased,10926,地面の光を調べて当たり探し×6 / / ハズレの場合【 スラッグ 3体PT】が出現 / / 擦れた魔導書の紙片 3個を集めると【 ペイスト 2体PT】が出現 / / 破れた魔導書の紙片 3個を集めると【 ブルータルカラクール 2体PT】が出現,
Limsa Lominsa,キャンプ・アイアンレイク,第78防御陣地の防衛,Sharing the Load,10927,防衛時間06:40 【 ウォーターエレメンタル 1～3体PT】が複数回出現 / / 防衛時間00:00で【 アネモネ 2体PT】が出現,
Limsa Lominsa,キャンプ・アイアンレイク,第33防御陣地の防衛,Cliff Haranguers,10928,防衛時間05:00 【 ボッグヤーゾン 1～3体PT】が複数回出現,
Limsa Lominsa,キャンプ・アイアンレイク,急募！ ギガントード狩り,Great Hoary Toads,10929,【 ボッグヤーゾン 3体PT】から ボッグヤーゾンの味噌 / / ボッグヤーゾンの味噌 を所持している状態で地面の光を調べて当たり探し×3 / / 当たりの場合【 ギガントード 1体】が出現 / / ハズレの場合【 ボム 1体】が出現,
Gridania,キャンプ・ベントブランチ,初級冒険者向けの仕事,Spore Spoor,12401,メインクエスト / 【 ファンガー 1体】×3,
Gridania,キャンプ・ベントブランチ,キャンプ・ベントブランチの魔物の駆逐,Reforesting Bentbranch,12421,【 マーモット 1体 ファンガー 1体のPT】 倒すと同PT追加×2回,
Gridania,キャンプ・ベントブランチ,チグレットの防除,Crushing Chiglets,12422,【 チグレット 2体PT】 倒すと同PT追加×2回,
Gridania,キャンプ・ベントブランチ,初蛍の調達,Light for the Rites,12423,【 ファイアフライ 2体PT】から 初蛍 3個,
Gridania,キャンプ・ベントブランチ,ファンガーの傘の調達,Spores for the Ceremony,12424,【 ファンガー 2体PT】から ファンガーの傘 20個,
Gridania,キャンプ・ベントブランチ,急募！ スプリガンの除霊者,An Old-fashioned Exorcism,12425,【 スプリガン 1体 ファイアフライ 1体のPT】×3,
Gridania,キャンプ・ベントブランチ,モール叩き,Moles vs the Pilgrims,12426,【 モール 2体PT】×3,
Gridania,キャンプ・ベントブランチ,ファンガーの除草,Clearing the Forest,12427,【 ファンガー 2体PT】×3,
Gridania,キャンプ・ベントブランチ,ビーズ退治,Bees vs the Pilgrims,12428,【 ビー・クラウド 2体PT】×3,
Gridania,キャンプ・エメラルドモス,キャンプ・エメラルドモスの魔物の駆逐,Foresting Emerald Moss,12441,【 ガラゴ 1体 チグレット 1体のPT】×2 倒すと同PT追加×2回,
Gridania,キャンプ・エメラルドモス,ラセットヤーゾン掃滅,Yarzons vs the Pilgrims,12442,【 ラセットヤーゾン 3体PT】×2 倒すと同PT追加,
Gridania,キャンプ・エメラルドモス,隊商の主力商品：車骨鉱の調達,The Black Rabbit's Ore,12443,【 スプリガン 2体PT】から 車骨鉱 3個,
Gridania,キャンプ・エメラルドモス,市民の敵ファンガーの一掃,Fungicide,12444,【 ファンガー 2体PT】×3 6体目戦闘中に1体逃げ 2体PT追加,
Gridania,キャンプ・エメラルドモス,募集：チグレットの追跡者,Lack of Humours,12445,【 チグレット 1体】×5 倒すと1体×3追加,
Gridania,キャンプ・エメラルドモス,急募！ インプへの復讐者,Tricks of the Traders,12446,【 インプ 1体】×4 倒すと【 ファイアフライ 2体PT】追加,
Gridania,キャンプ・エメラルドモス,柱囓りモールの一掃,Sapped Saplings,12447,【 モール 2体PT】×2 4体目戦闘中に1体逃げ 2体PT×2追加,
Gridania,キャンプ・エメラルドモス,市民の敵ビーズの一掃,Help the Children,12448,【 ビー・クラウド 2体PT】×3 5体倒すと1体逃げ 【 ビー・クラウド 1体 ローズリング 1体のPT】追加,
Gridania,キャンプ・トランキル,キャンプ・トランキルの魔物の駆逐,Reforesting Tranquil,12461,【 スクウィレル 1体 マーモット 2体のPT】×3,
Gridania,キャンプ・トランキル,アンテロープの駆除,An Enemy in the Orchards,12462,【 アンテロープ・ドゥ 2体PT】×4 倒すと2体PT追加,
Gridania,キャンプ・トランキル,隊商の主力商品：テロックの縞尾の調達,Forsaken Sacs,12463,【 テロック 2体PT】から テロックの縞尾 5個,
Gridania,キャンプ・トランキル,ヒメミツバチの調達,A Feast Fit for a Queen,12464,【 ビー・クラウド 2体PT】から ヒメミツバチ 32個,
Gridania,キャンプ・トランキル,メガロクラブの追跡,Migrating Crustaceans,12465,【 メガロクラブ 2体PT】×4 7体倒すと1体逃げ 1体×2追加,
Gridania,キャンプ・トランキル,ガラゴに化けたインプの誅殺,Impish Intentions,12466,【 ガラゴ 2体PT】の中から当たり探し×2 / / 当たりの場合【 インプ 2体PT】に変化,
Gridania,キャンプ・トランキル,妖火使いの誅殺,Hidden Behind a Hide,12467,【 アンテロープ・ドゥ 2体PT】の中から当たり探し×2 / / 当たりの場合【 インプ 1体 ファイアフライ 1体のPT】に変化,
Gridania,キャンプ・トランキル,脱獄囚インプ237の処断,Leaders of the Pack,12468,【 テロック 2体PT】の中から当たり探し×2 / / 当たりの場合【 インプ 2体PT】に変化 / / 【 ファイアフライ 2体PT】が落とす 初蛍 でシステムメニューの「見破り」から見破り可能,
Gridania,妖精の火床,妖精の火床の魔物駆逐,Reforesting Humblehearth,12481,【 ドーマウス 1体 スクウィレル 1体のPT】×5,
Gridania,妖精の火床,アングラー退治,From the Sea to the Trees,12482,【 アングラー 3体PT】×3 倒すと【 アングラー 1体 スラッグ 1体のPT】追加,
Gridania,妖精の火床,隊商の主力商品：バッファローの猟用外套の調達,The Goodwill Traders,12483,【 ウルフポーチャー 1体 ラプトルポーチャー 1体のPT】から バッファローの猟用外套 5個,
Gridania,妖精の火床,花喰いアンテロープの一掃,The Root of the Problem,12484,【 アンテロープ・ドゥ 2体PT】×3 5体倒すと1体逃げ 2体PT追加,
Gridania,妖精の火床,水使いの誅殺,Underneath the Shell,12485,【 メガロクラブ 単体】の中から当たり探し×1 / / 当たりの場合【 デビレット 1体 ウォーターエレメンタル 1体のPT】に変化,
Gridania,妖精の火床,急募！ 魔物大全『黒雲包まれし者の巻』の回収,Necrologos: In Shadow Bemantled,12486,地面の光を調べて当たり探し×4 / / ハズレの場合【 ナット 2体PT】が出現 / / 擦れた魔導書の紙片 4個を集めると【 カラクールユー 3体PT】が出現,
Gridania,妖精の火床,魔物大全『猛進せし者の巻』の回収,Necrologos: Celeritous Impetus,12487,地面の光を調べて当たり探し×6 / / ハズレの場合【 アングラー 2体PT】が出現 / / 焦げた魔導書の紙片 3個を集めると【 アルドゴート・ナニー 2体PT】が出現 / / 擦れた魔導書の紙片 3個を集めると【 アルドゴート・ビリー 2体PT】が出現,
Gridania,妖精の火床,魔物大全『針千本飲ます者の巻』の回収,Necrologos: Thousandfold Agony,12488,【 ガラゴ 2体PT】から 擦れた魔導書の紙片 4個 / / 擦れた魔導書の紙片 4個を集めると【 カクター 3体PT】が出現,
Gridania,ムントゥイ醸造庫,洞穴プーク討伐,Wizening Up,13021,【 プーク 2体PT】×4,
Gridania,ムントゥイ醸造庫,急募！ 「ナットの触覚」の調達,Undercutting the Competition,13022,【 ナット 2体PT】から ナットの触覚 5個,site 触覚 vs client 触角 (antenna); ｢｣/「」 brackets
Gridania,ムントゥイ醸造庫,アースオーブの収集,Orbs for the Ceremony,13023,【 アースエレメンタル 2体PT】から アースオーブ 5個,
Gridania,ムントゥイ醸造庫,残飯漁りウルフの一掃,Tracking the Pack,13024,【 ウルフ 3体PT】 2体倒すと1体逃げ 2体PT追加,
Gridania,ムントゥイ醸造庫,市民の敵メガロクラブの一掃,Crabs in the Cellar,13025,【 メガロクラブ 1体】 戦闘中に逃げ 2体PT追加,
Gridania,ムントゥイ醸造庫,デビレットの誅殺,My Fey Lady,13026,【 レディバグ 単体】の中から当たり探し×2 / / 当たりの場合【 デビレット 1体】に変化,
Gridania,ムントゥイ醸造庫,魔物大全『沼歩む者の巻』の回収,Necrologos: The Ever-reaching Claw,13027,地面の光を調べて当たり探し×4 / / ハズレの場合【 カロング 2体PT】が出現 / / 破れた魔導書の紙片 4個を集めると【 ボッグヤーゾン 2体PT】が出現,
Gridania,ムントゥイ醸造庫,魔物大全『闇に吼えし者の巻』の回収,Necrologos: The Moons' Mistress,13028,【 ウルフ 2体PT】から 破れた魔導書の紙片 5個 / / 破れた魔導書の紙片 5個を集めると【 ヒッポセルフ 2体PT】が出現,
Gridania,キャンプ・ナインアイビー,キャンプ・ナインアイビーの魔物駆逐,Reforesting Nine Ivies,12501,【 ホッグ 1体】×6,
Gridania,キャンプ・ナインアイビー,ファハンの封印,The All-seeing Eyes,12502,【 ファハン 2体PT】×3 倒すと【 ファハン 1体 アースエレメンタル 1体】のPT追加,
Gridania,キャンプ・ナインアイビー,隊商の主力商品：オロボンのヒゲの調達,Tickling Whiskers,12503,【 オロボン 単体】から オロボンのヒゲ 24個,
Gridania,キャンプ・ナインアイビー,市民の敵エフトの一掃,Efts from Afar,12504,【 エフト 1体】×6 6体目戦闘中に1体逃げ 1体×2追加,
Gridania,キャンプ・ナインアイビー,変身デビレットの捜索,What the Devilet Dons,12505,【 ドーマウス 2体PT】の中から当たり探し×2 / / 当たりの場合【 デビレット 2体PT】に変化,
Gridania,キャンプ・ナインアイビー,魔物大全『地に墜ちし者の巻』の回収,Necrologos: The Fallen,12506,地面の光を調べて当たり探し×4 / / ハズレの場合【 フライトラップ 2体PT】が出現 / / 焦げた魔導書の紙片 4個を集めると【 ペイスト 1体】が出現,
Gridania,キャンプ・ナインアイビー,ジャッカスツリー監視哨の防衛,Fire Fighting,12507,防衛時間05:00 【 テロック 1～3体PT】が複数回出現,
Gridania,キャンプ・ナインアイビー,急募！ フーリッシュツリー監視哨の防衛,All Nine Ivies is a Stage,12508,防衛時間05:00 【 ナット 1～2体PT】が複数回出現 / / 防衛時間00:00で【 フライトラップ 1体 プラズモイド 1体のPT】が出現,
Gridania,キャンプ・ナインアイビー,アリオンを利用したアンブッシュ訓練,Slugging it Out,12509,地面の光の場所（到達巡回地点）に行く / / 1箇所目で【 アリオン 3体PT】が出現 / / 2箇所目で【 スラッグ 3体PT】が出現 戦闘中に【 メガロクラブ 3体PT】追加,
Gridania,ひそひそ木立,ギガントードの防除,A Toad's Taste,12521,【 ギガントード 1体】×5,
Gridania,ひそひそ木立,隊商の主力商品：虫笑みリンゴの調達,Stealing Apples from a Lemur,12522,【 レミュー 2体PT】から 虫笑みリンゴ 4個,
Gridania,ひそひそ木立,隊商の主力商品：黒砂の調達,Blacksand in Hand,12523,【 アースエレメンタル 1体 ヘッジモール 1体のPT】から 黒砂 5個,
Gridania,ひそひそ木立,募集：ギガントードの追跡者,Do Toads Dream,12524,【 ギガントード 1体】×4 4体目戦闘中に1体逃げ 1体追加 5体目戦闘中に1体逃げ 1体追加,
Gridania,ひそひそ木立,脱獄囚デビレット049の処断,Out of its Shell,12525,【 メガロクラブ 2体PT】の中から当たり探し×2 / / 当たりの場合【 デビレット 2体PT】に変化 / / 【 ライトニングエレメンタル 単体】が落とす ライトニングオーブ でシステムメニューの「見破り」から見破り可能,
Gridania,ひそひそ木立,魔物大全『しなやかなりし者の巻』の回収,Necrologos: Rockbound Mists,12526,【 アンテロープ・ドゥ 2体PT】から 焦げた魔導書の紙片 4個 / / 焦げた魔導書の紙片 4個を集めると【 アネモネ 1体 オーレリア 3体のPT】が出現,
Gridania,ひそひそ木立,ポーキュパインツリー監視哨の防衛,All Treespeak is a Stage,12527,防衛時間05:00 【 ファハン 1～3体PT】が複数回出現,
Gridania,ひそひそ木立,レオパルドツリー監視哨の防衛,Sweet Revenge,12528,防衛時間05:00 【 テロック 1～2体PT】が複数回出現 / / 防衛時間00:00で【 エフト 2体PT】が出現,
Gridania,ひそひそ木立,急募！ ポーチャーを利用したアンブッシュ訓練,Open Season,12529,"地面の光の場所（到達巡回地点）に行く / / 1,2,3,4箇所目で【 ウルフポーチャー 1体】か【 ボアポーチャー 1体】が出現 / / 5箇所目で【 ウルフポーチャー 1体】か【 ボアポーチャー 1体】が出現 戦闘中に【 ラプトルポーチャー 2体PT】追加",
Ul'dah,キャンプ・ブラックブラッシュ,新米冒険者向けの仕事,Moles for the Mauling,11601,メインクエスト / 【 モール 1体】×3,
Ul'dah,キャンプ・ブラックブラッシュ,マーモットの駆除,Something in the Water,11621,【 マーモット 2体PT】 倒すと2体PT追加×2回,
Ul'dah,キャンプ・ブラックブラッシュ,ウィーヴィルの駆虫,Weevil Panic,11622,【 ウィーヴィル 2体PT】 倒すと【 チグレット 2体PT】追加×2回,
Ul'dah,キャンプ・ブラックブラッシュ,急募！ 霊布の確保,Flambert's Forgetfulness,11623,【 ボギー 2体PT】から 霊布 4個,
Ul'dah,キャンプ・ブラックブラッシュ,駅馬車の積荷：車骨鉱の調達,Cogwheel Scramble,11624,【 コブラン 2体PT】から 車骨鉱 24個,
Ul'dah,キャンプ・ブラックブラッシュ,ミッヂの防除,Sucking Blood,11625,【 ミッヂ・クラウド 3体PT】×2,
Ul'dah,キャンプ・ブラックブラッシュ,モールの駆除,Tunneling Trouble,11626,【 モール 3体PT】×2,
Ul'dah,キャンプ・ブラックブラッシュ,スプリガンの除霊,Sprightly Spriggans,11627,【 スプリガン 2体PT】×3,
Ul'dah,キャンプ・ブラックブラッシュ,キャンプ・ブラックブラッシュの魔物の駆逐,Clearing Black Brush,11628,【 コブラン 2体PT】×3,
Ul'dah,キャンプ・ドライボーン,ラセットヤーゾン退治,Sand Yarzon Sweep,11641,【 ラセットヤーゾン 2体PT】×4,
Ul'dah,キャンプ・ドライボーン,揺蚊の防除,Sucking Blood Again,11642,【 ミッヂ・クラウド 3体PT】×2 倒すと【 サーフィド・クラウド 2体PT】追加,
Ul'dah,キャンプ・ドライボーン,駅馬車の積荷：浮石の調達,Where the Stone Floats,11643,【 コブラン 3体PT】と【 スプリガン 2体PT】から 浮石 4個,
Ul'dah,キャンプ・ドライボーン,客荒らしラセットヤーゾンの一掃,After the Battle,11644,【 ラセットヤーゾン 3体PT】×2 5体倒すと1体逃げ 3体PT追加,
Ul'dah,キャンプ・ドライボーン,宝石泥棒スプリガンの一掃,Treasures of the Smallfolk,11645,【 スプリガン 2体PT】 3体倒すと1体逃げ 2体PT追加 1体倒すと1体逃げ 2体PT追加,
Ul'dah,キャンプ・ドライボーン,芋喰いマーモットの一掃,Popotoes in Peril,11646,【 マーモット 2体PT】×3 5体倒すと1体逃げ 【 モール 2体PT】追加,
Ul'dah,キャンプ・ドライボーン,募集：コブランの追跡者,Culling All Coblyns,11647,【 コブラン 2体PT】×3 5体倒すと1体逃げ 2体PT追加,
Ul'dah,キャンプ・ドライボーン,急募！ ドードーへの復讐者,Revenge of the Dodos,11648,【 ドードー 2体PT】×3 5体倒すと1体逃げ 2体PT追加,
Ul'dah,キャンプ・ホライズン,キャンプ・ホライズンの賊退治,Securing Horizon's Edge,11661,【 フットパッド 1体 レイダー 1体のPT】×5,
Ul'dah,キャンプ・ホライズン,カクターの除草,Threading the Needles,11662,【 カクター 1体】×7 倒すと3体PT追加,
Ul'dah,キャンプ・ホライズン,駅馬車の積荷：サボテンダーの肉の調達,A Leg Up,11663,【 カクター 3体PT】から サボテンダーの肉 5個,
Ul'dah,キャンプ・ホライズン,錆びた古代剣の調達,The Wights' Stuff,11664,【 ワイト 2体PT】から 錆びた古代剣 20個,
Ul'dah,キャンプ・ホライズン,客狙いアサシンの一掃,Sweet Vengeance,11665,【 デスストローク・アサシン 1体】×6 6体目戦闘中に1体逃げ 【 ナイトブレード・アサシン 1体 ベノムタン・アサシン 1体のPT】追加,
Ul'dah,キャンプ・ホライズン,急募！ ドードーの保護,Just One of the Dodos,11666,【 ドードー 2体PT】の中から当たり探し×2 / / 当たりの場合【 インプ 1体 ウィル・オ・ザ・ウィスプ 1体のPT】に変化,
Ul'dah,キャンプ・ホライズン,レディバグの捜索,The Lady's Bite,11667,【 ドードー 2体PT】の中から当たり探し×2 / / 当たりの場合【 レディバグ 2体PT】に変化,
Ul'dah,キャンプ・ホライズン,脱獄囚インプAZTの処断,The Devilet Inside,11668,【 ナイトブレード・アサシン 2体PT】の中から当たり探し / / 当たりの場合【 インプ 2体PT】に変化 / / 【 ウィル・オ・ザ・ウィスプ 2体PT】が落とす 魔白灰 でシステムメニューの「見破り」から見破り可能,
Ul'dah,ノフィカの井戸,ノフィカの井戸の魔物駆逐,Securing Nophica's Wells,11681,【 ナット 2体PT】×4 倒すと2体PT追加,
