record_index,capture,scenario_id,lane_index,frame_index,subevent_index,packet_index,record_in_packet,stream_offset,source_actor_id,destination_actor_id,target_marker,property_hash,value_width,value_hex,value_u_le,value_f32
23,add_str.pcapng,character-mechanic-attributes-and-class,0,19,0,0,0,1,43723073,43723073,,0x647a29a8,2,7400,116,
24,add_str.pcapng,character-mechanic-attributes-and-class,0,19,0,0,1,34,43723073,43723073,charaWork/battleParameter,0xd22a70b1,1,00,0,
25,attributes.pcapng,character-mechanic-attributes-and-class,0,9,1,0,0,1,43723073,43723073,,0x2f394338,95,00001e001f001a00000000001e00110000000000000000000000000000000000000000000000000000001e00300000000000000000000000000000000000000000000100000000000000000000000400000000000000000000000000000001,23689546086131422960647270026588478931810543511767355224817149726088099732704467060448801016904626901090673271012573964141206168177375992194805640105139955628274877115814291537253188586678700325350593306698432252651958750281728,
26,attributes.pcapng,character-mechanic-attributes-and-class,0,11,0,1,0,1,43723073,43723073,,0x2f394338,11,0000000000000000000003,3626777458843887524118528,
27,attributes.pcapng,character-mechanic-attributes-and-class,0,12,1,2,0,1,43723073,43723073,,0x0ad1ce80,95,ff003200320032003200320032003200ff003200ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff0032003200ff00ff00ff00ff00ff0032003200320032003200320032003200ff00ff00320032003200ff00ff00ff00ff00ff00ff0001,23781723308256447952712045396340806180869615993167844472432004100322134239808893960801433895105628498007153485506402098817483122103465021464215785337914822543512982255564054035911411498352514656202031940640693663228366840529151,
28,attributes.pcapng,character-mechanic-attributes-and-class,0,13,0,3,0,1,43723073,43723073,,0x0ad1ce80,11,ff00ff00ff00ff00ff0003,3631481450359897754370303,
29,attributes.pcapng,character-mechanic-attributes-and-class,0,14,0,4,0,1,43723073,43723073,,0xd6917eac,4,4ee5a93e,1051321678,0.331827581
30,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,10,1,0,0,1,43723073,43723073,,0x2f394338,95,00001e001f001a00000000001e00110000000000000000000000000000000000000000000000000000001e00300000000000000000000000000000000000000000000100000000000000000000000400000000000000000000000000000001,23689546086131422960647270026588478931810543511767355224817149726088099732704467060448801016904626901090673271012573964141206168177375992194805640105139955628274877115814291537253188586678700325350593306698432252651958750281728,
31,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,11,0,1,0,1,43723073,43723073,,0x2f394338,11,0000000000000000000003,3626777458843887524118528,
32,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,12,1,2,0,1,43723073,43723073,,0x0ad1ce80,95,ff003200320032003200320032003200ff003200ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff0032003200ff00ff00ff00ff00ff0032003200320032003200320032003200ff00ff00320032003200ff00ff00ff00ff00ff00ff0001,23781723308256447952712045396340806180869615993167844472432004100322134239808893960801433895105628498007153485506402098817483122103465021464215785337914822543512982255564054035911411498352514656202031940640693663228366840529151,
33,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,13,0,3,0,1,43723073,43723073,,0x0ad1ce80,11,ff00ff00ff00ff00ff0003,3631481450359897754370303,
34,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,20,7,4,0,1,43723073,43723073,,0x7bcdfb69,2,1103,785,
35,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,20,8,5,0,1,43723073,43723073,,0x416571ac,2,6300,99,
36,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,20,8,5,1,8,43723073,43723073,,0xba51c4e1,2,a500,165,
37,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,20,8,5,2,15,43723073,43723073,,0x8cae90db,2,9300,147,
38,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,20,8,5,3,22,43723073,43723073,,0x17ab37ef,2,ae00,174,
39,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,0,22,0,6,0,1,43723073,43723073,,0x4232bcaa,2,1103,785,
40,change_helm.pcapng,inventory-mechanic-bags-and-gear,0,6,0,0,0,1,43723073,43723073,,0x2f394338,95,00001e001f001a00000000001e00110000000000000000000000000000000000000000000000000000001e00300000000000000000000000000000000000000000000100000000000000000000000400000000000000000000000000000001,23689546086131422960647270026588478931810543511767355224817149726088099732704467060448801016904626901090673271012573964141206168177375992194805640105139955628274877115814291537253188586678700325350593306698432252651958750281728,
41,change_helm.pcapng,inventory-mechanic-bags-and-gear,0,7,1,1,0,1,43723073,43723073,,0x2f394338,11,0000000000000000000003,3626777458843887524118528,
42,change_helm.pcapng,inventory-mechanic-bags-and-gear,0,8,0,2,0,1,43723073,43723073,,0x0ad1ce80,95,ff003200320032003200320032003200ff003200ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff0032003200ff00ff00ff00ff00ff0032003200320032003200320032003200ff00ff00320032003200ff00ff00ff00ff00ff00ff0001,23781723308256447952712045396340806180869615993167844472432004100322134239808893960801433895105628498007153485506402098817483122103465021464215785337914822543512982255564054035911411498352514656202031940640693663228366840529151,
43,change_helm.pcapng,inventory-mechanic-bags-and-gear,0,9,0,3,0,1,43723073,43723073,,0x0ad1ce80,11,ff00ff00ff00ff00ff0003,3631481450359897754370303,
44,change_helm.pcapng,inventory-mechanic-bags-and-gear,0,16,0,4,0,1,43723073,43723073,,0x8cae90db,2,8d00,141,
45,change_helm.pcapng,inventory-mechanic-bags-and-gear,0,30,5,5,0,1,43723073,43723073,,0x8cae90db,2,a100,161,
46,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,7,0,0,0,1,43723073,43723073,,0x2f394338,95,00001e001f001a00000000001e00110000000000000000000000000000000000000000000000000000001e00300000000000000000000000000000000000000000000400000000000000000000000400000000000000000000000000000001,23689546086131422960647270026588478931810543511767355224817149726090735815005957214579354066811474156086104734167828993418413642145703240777230340029155018530288875664925573320827517236164955168742484497922460679515746932228096,
47,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,9,0,1,0,1,43723073,43723073,,0x2f394338,11,0000000000000000000003,3626777458843887524118528,
48,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,10,0,2,0,1,43723073,43723073,,0x0ad1ce80,95,ff003200320032003200320032003200ff003200ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff0032003200ff00ff00ff00ff00ff0032003200320032003200320032003200ff00ff00320032003200ff00ff00ff00ff00ff00ff0001,23781723308256447952712045396340806180869615993167844472432004100322134239808893960801433895105628498007153485506402098817483122103465021464215785337914822543512982255564054035911411498352514656202031940640693663228366840529151,
49,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,12,1,3,0,1,43723073,43723073,,0x0ad1ce80,11,ff00ff00ff00ff00ff0003,3631481450359897754370303,
50,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,0,4,0,1,43723073,43723073,,0x7532ce24,1,28,40,
51,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,0,1,43723073,43723073,,0x647a29a8,2,1800,24,
52,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,1,8,43723073,43723073,,0x416571ac,2,1500,21,
53,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,2,15,43723073,43723073,,0x2dfbc13a,2,1c00,28,
54,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,3,22,43723073,43723073,,0x0e704141,2,1500,21,
55,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,4,29,43723073,43723073,,0x1f3dacc5,2,4500,69,
56,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,5,36,43723073,43723073,,0xa329599a,2,4300,67,
57,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,6,43,43723073,43723073,,0xd57dc284,2,4300,67,
58,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,7,50,43723073,43723073,,0xf904670d,2,0000,0,
59,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,8,57,43723073,43723073,,0x31af42be,2,0000,0,
60,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,9,64,43723073,43723073,,0x6c281311,2,0000,0,
61,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,10,71,43723073,43723073,,0xc8f1d28c,2,0900,9,
62,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,11,78,43723073,43723073,,0x85e8d2a0,2,0800,8,
63,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,1,5,12,85,43723073,43723073,,0xf763d225,2,0700,7,
64,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,2,6,0,1,43723073,43723073,,0xe98bffbf,4,00000000,0,0
65,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,2,6,1,39,43723073,43723073,charaWork/battleStateForSelf,0x3e2b1a7a,4,00000000,0,0
66,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,2,6,2,48,43723073,43723073,charaWork/battleStateForSelf,0xf7800f79,4,00000000,0,0
67,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,2,6,3,57,43723073,43723073,charaWork/battleStateForSelf,0xe8860f56,4,00000000,0,0
68,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,2,6,4,66,43723073,43723073,charaWork/battleStateForSelf,0xaf9e9323,4,00000000,0,0
69,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,2,6,5,75,43723073,43723073,charaWork/battleStateForSelf,0x09664b49,4,00000000,0,0
70,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,2,6,6,84,43723073,43723073,charaWork/battleStateForSelf,0x06f2289f,4,f355f0a0,2700105203,-4.07144579e-19
71,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,2,6,7,93,43723073,43723073,charaWork/battleStateForSelf,0xa6748335,4,f755f0a0,2700105207,-4.07144682e-19
72,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,2,6,8,102,43723073,43723073,charaWork/battleStateForSelf,0xca132bc5,4,6256f0a0,2700105314,-4.07147448e-19
73,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,0,1,43723073,43723073,,0xd71d3b0e,4,7374f0a0,2700113011,-4.07346411e-19
74,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,1,10,43723073,43723073,,0xf642f974,4,9174f0a0,2700113041,-4.07347186e-19
75,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,2,37,43723073,43723073,charaWork/command,0x3dd87222,2,0f00,15,
76,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,3,44,43723073,43723073,charaWork/command,0x079d8d67,2,1e00,30,
77,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,4,51,43723073,43723073,charaWork/command,0x8d974f1c,4,a5fee050,1356922533,3.01982781e+10
78,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,5,60,43723073,43723073,charaWork/command,0x5272eae9,4,affee050,1356922543,3.01982986e+10
79,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,6,69,43723073,43723073,charaWork/command,0x28887bd6,4,befee050,1356922558,3.01983293e+10
80,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,7,78,43723073,43723073,charaWork/command,0xc8c3a058,1,01,1,
81,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,8,84,43723073,43723073,charaWork/command,0xadef0b22,1,01,1,
82,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,23,3,7,9,90,43723073,43723073,charaWork/command,0x2526d379,1,01,1,
83,change_to_botanist.pcapng,character-mechanic-attributes-and-class,0,36,0,8,0,1,43723073,43723073,,0x584fcfe3,1,28,40,
84,check_room_map.pcapng,zone-mechanic-inn-room,0,4,0,0,0,1,43723073,43723073,,0xd6917eac,4,e7fba93e,1051327463,0.331999987
85,check_room_map.pcapng,zone-mechanic-inn-room,0,20,0,1,0,1,43723073,43723073,,0xd6917eac,4,f204aa3e,1051329778,0.33206898
86,checkbed.pcapng,zone-mechanic-inn-room,0,16,0,0,0,1,43723073,43723073,,0xd6917eac,4,12afa93e,1051307794,0.331413805
87,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,21,0,0,0,1,43723073,43723073,,0x0b99c876,2,a401,420,
88,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,23,0,1,0,1,1154495952,43723073,,0x4232bcaa,2,5d01,349,
89,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,23,0,1,1,8,1154495952,43723073,,0x0b99c876,2,4701,327,
90,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,30,0,2,0,1,1154495952,43723073,,0x8e9c05be,1,03,3,
91,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,32,0,3,0,1,43723073,43723073,,0x0b99c876,2,bc01,444,
92,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,32,0,3,1,8,43723073,43723073,,0x4232bcaa,2,da02,730,
93,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,35,0,4,0,1,1154495952,43723073,,0x0b99c876,2,7302,627,
94,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,40,0,5,0,1,43723073,43723073,,0x0b99c876,2,6003,864,
95,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,41,0,6,0,1,1154495952,43723073,,0x4232bcaa,2,ff00,255,
96,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,41,0,6,1,8,1154495952,43723073,,0x0b99c876,2,d003,976,
97,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,0,1,1154500318,43723073,,0xc0f66df7,4,d7a3a840,1084793815,5.26999998
98,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,1,10,1154500318,43723073,,0xe14b0ca8,1,01,1,
99,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,2,16,1154500318,43723073,,0x2138fd71,1,01,1,
100,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,3,22,1154500318,43723073,,0x7b675313,1,01,1,
101,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,4,28,1154500318,43723073,,0xfbfbcfb1,1,01,1,
102,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,5,34,1154500318,43723073,,0x4232bcaa,2,1202,530,
103,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,6,41,1154500318,43723073,,0x7bcdfb69,2,1202,530,
104,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,7,48,1154500318,43723073,,0x13f89710,2,3002,560,
105,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,8,55,1154500318,43723073,,0x3c95d5c5,2,3002,560,
106,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,9,62,1154500318,43723073,,0x7532ce24,1,03,3,
107,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,10,68,1154500318,43723073,,0x584fcfe3,1,03,3,
108,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,11,74,1154500318,43723073,,0x96063588,2,1800,24,
109,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,47,17,7,12,81,1154500318,43723073,,0x8e9c05be,1,01,1,
110,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,48,0,8,0,1,43723073,43723073,,0x0b99c876,2,8003,896,
111,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,48,0,8,1,8,43723073,43723073,,0x4232bcaa,2,b402,692,
112,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,48,1,9,0,1,1154495952,43723073,,0x0b99c876,2,fc04,1276,
113,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,54,0,10,0,1,43723073,43723073,,0x0b99c876,2,2405,1316,
114,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,55,0,11,0,1,1154495952,43723073,,0x4232bcaa,2,ae00,174,
115,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,55,0,11,1,8,1154495952,43723073,,0x0b99c876,2,2906,1577,
116,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,61,0,12,0,1,43723073,43723073,,0x0b99c876,2,3d05,1341,
117,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,61,0,12,1,8,43723073,43723073,,0x4232bcaa,2,9602,662,
118,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,62,0,13,0,1,1154495952,43723073,,0x0b99c876,2,5507,1877,
119,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,68,0,14,0,1,1154495952,43723073,,0x4232bcaa,2,5500,85,
120,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,68,0,14,1,8,1154495952,43723073,,0x0b99c876,2,9f08,2207,
121,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,69,0,15,0,1,43723073,43723073,,0x0b99c876,2,e106,1761,
122,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,93,0,16,0,1,43723073,43723073,,0x0b99c876,2,8508,2181,
123,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,102,1,17,0,1,1154495952,43723073,,0x4232bcaa,2,0100,1,
124,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,102,1,17,1,8,1154495952,43723073,,0x0b99c876,2,d709,2519,
125,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,106,0,18,0,1,43723073,43723073,,0x0b99c876,2,ae08,2222,
126,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,106,0,18,1,8,43723073,43723073,,0x4232bcaa,2,6502,613,
127,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,107,0,19,0,1,1154495952,43723073,,0x0b99c876,2,ef05,1519,
128,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,118,0,20,0,1,43723073,43723073,,0x0b99c876,2,520a,2642,
129,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,118,1,21,0,1,43723073,43723073,,0xacc58f29,4,08240000,9224,1.2925577e-41
130,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,118,1,21,1,39,43723073,43723073,charaWork/battleStateForSelf,0xd6917eac,4,94e6a73e,1051190932,0.327931046
131,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,119,0,22,0,1,1154495952,43723073,,0x4232bcaa,2,0000,0,
132,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,119,0,22,1,8,1154495952,43723073,,0x0b99c876,2,1807,1816,
133,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,119,0,22,2,46,1154495952,43723073,charaWork/stateAtQuicklyForAll,0x8e9c05be,1,04,4,
134,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,0,1,1154500317,43723073,,0xc0f66df7,4,1f85b340,1085506847,5.61000013
135,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,1,10,1154500317,43723073,,0xe14b0ca8,1,01,1,
136,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,2,16,1154500317,43723073,,0x2138fd71,1,01,1,
137,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,3,22,1154500317,43723073,,0x7b675313,1,01,1,
138,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,4,28,1154500317,43723073,,0xfbfbcfb1,1,01,1,
139,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,5,34,1154500317,43723073,,0x4232bcaa,2,5b02,603,
140,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,6,41,1154500317,43723073,,0x7bcdfb69,2,5b02,603,
141,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,7,48,1154500317,43723073,,0x13f89710,2,8002,640,
142,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,8,55,1154500317,43723073,,0x3c95d5c5,2,8002,640,
143,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,9,62,1154500317,43723073,,0x7532ce24,1,03,3,
144,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,10,68,1154500317,43723073,,0x584fcfe3,1,03,3,
145,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,11,74,1154500317,43723073,,0x96063588,2,1a00,26,
146,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,17,23,12,81,1154500317,43723073,,0x8e9c05be,1,01,1,
147,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,0,1,1154482319,43723073,,0xc0f66df7,4,ccccac40,1085066444,5.39999962
148,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,1,10,1154482319,43723073,,0xe14b0ca8,1,01,1,
149,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,2,16,1154482319,43723073,,0x2138fd71,1,01,1,
150,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,3,22,1154482319,43723073,,0x7b675313,1,01,1,
151,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,4,28,1154482319,43723073,,0xfbfbcfb1,1,01,1,
152,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,5,34,1154482319,43723073,,0x4232bcaa,2,f101,497,
153,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,6,41,1154482319,43723073,,0x7bcdfb69,2,f101,497,
154,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,7,48,1154482319,43723073,,0x13f89710,2,0802,520,
155,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,8,55,1154482319,43723073,,0x3c95d5c5,2,0802,520,
156,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,9,62,1154482319,43723073,,0x7532ce24,1,07,7,
157,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,10,68,1154482319,43723073,,0x584fcfe3,1,07,7,
158,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,11,74,1154482319,43723073,,0x96063588,2,1700,23,
159,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,123,35,24,12,81,1154482319,43723073,,0x8e9c05be,1,01,1,
160,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,124,15,25,0,1,1154500318,43723073,,0xc0f66df7,4,d7a3a840,1084793815,5.26999998
161,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,124,15,25,1,10,1154500318,43723073,,0xe14b0ca8,1,01,1,
162,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,124,15,25,2,16,1154500318,43723073,,0x2138fd71,1,01,1,
163,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,124,15,25,3,22,1154500318,43723073,,0x7b675313,1,01,1,
164,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,124,15,25,4,28,1154500318,43723073,,0xfbfbcfb1,1,01,1,
165,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,124,15,25,5,34,1154500318,43723073,,0x4232bcaa,2,1202,530,
166,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,124,15,25,6,41,1154500318,43723073,,0x7bcdfb69,2,1202,530,
167,combat_autoattack.pcapng,action-mechanic-combat-and-actions,0,124,15,25,7,48,1154500318,43723073,,0x13f89710,2,3002,560,
