actor_class_id,pool_name,era_family,decoded_race_name,catalog_class_path,configured_class_path,runtime_class_paths
2101508,pugot,Boar,Boar,,/Chara/Npc/Monster/Boar/BoarNormalStandard,
2100102,puk,Puk,Puk,,/Chara/Npc/Monster/WingLizard/WingLizardNormalStandard,
2100101,puk_hatchling,Puk,Puk,,/Chara/Npc/Monster/WingLizard/WingLizardLesserStandard,
2101608,puroboros,Bomb,Bomb,/Chara/Npc/Monster/Bomb/BombNormalStandard,,/Chara/Npc/Monster/Cactus/CactusLesserStandard
2106304,qiqirn_scrambler,Qiqirn,Qiqirn,,/Chara/Npc/Monster/Qiqirn/QiqirnBareHandsStandard,
2100714,rainbow_basilisk,Basilisk,Basilisk,,/Chara/Npc/Monster/ScaleLizard/ScaleLizardStandard,
2102307,ravenous_nannygoat,Aldgoat,Aldgoats,/Chara/Npc/Monster/Yak/YakFemaleStandard,,
2180201,rhotano_buccaneer,,,,/Chara/Npc/Monster/Pirate/PirateMarauderStandard,
2100105,saltspray_pteroc,Puk,Puk,,/Chara/Npc/Monster/WingLizard/WingLizardNormalStandard,
2200101,scalepuk,Puk,Puk,,/Chara/Npc/Monster/WingLizard/WingLizardLesserStandard,
2100104,sea_puk,Puk,Puk,,/Chara/Npc/Monster/WingLizard/WingLizardNormalStandard,
2101707,smolenkos,Ahriman,Ahriman,,/Chara/Npc/Monster/Ahriman/AhrimanNormalStandard,
2105905,toadstool,Funguar,Funguar,,/Chara/Npc/Monster/Funguar/FunguarNormalStandard,
2103101,toxic_toad,Toad,Gigantoad,,/Chara/Npc/Monster/Gigantoad/GigantoadNormalStandard,
2101503,truffle_hog,Boar,Boar,,/Chara/Npc/Monster/Boar/BoarNormalStandard,
2180038,viith_legion_eques,Enemy Humanoid,,,/Chara/Npc/Monster/Empire/EmpirePugilistStandard,
2280052,viith_legion_hoplomachus,Enemy Humanoid,,,/Chara/Npc/Monster/Empire/EmpireGladiatorStandard,
2280053,viith_legion_laquearius,Enemy Humanoid,,,/Chara/Npc/Monster/Empire/EmpireLancerStandard,
2280056,viith_legion_medicus,Enemy Humanoid,,,/Chara/Npc/Monster/Empire/EmpireConjurerStandard,
2180039,viith_legion_sagittarius,,,,/Chara/Npc/Monster/Empire/EmpireArcherStandard,
2180037,viith_legion_secutor,Enemy Humanoid,,,/Chara/Npc/Monster/Empire/EmpireGladiatorStandard,
2280057,viith_legion_signifer,Enemy Humanoid,,,/Chara/Npc/Monster/Empire/EmpireThaumaturgeStandard,
2104001,wharf_rat,Rodent,Rat,/Chara/Npc/Monster/Lemming/LemmingStandard,,
2103901,bumble_beetle,Beetle,Weevil,/Chara/Npc/Monster/Bug/BugStandard,,
2102305,aldgoat_nanny,Aldgoat,Aldgoats,/Chara/Npc/Monster/Yak/YakFemaleStandard,,
